Date,Open,High,Low,Close,Volume
2020-02-24,26.0876,26.7558,25.9587,26.6270,4707522
2020-04-01,15.3539,15.3539,12.6721,13.1605,2531033
2020-04-02,12.9312,13.6690,11.9641,12.4626,4431897
2020-04-03,12.0638,12.6521,11.8146,12.5025,4053109
2020-04-06,13.0010,13.9581,12.2931,12.6521,5931598
2020-04-07,13.4198,13.9282,11.9741,12.0738,5686163
2020-04-08,12.4626,13.3500,12.2732,13.0409,6590295
2020-04-09,13.8485,14.1177,13.1705,13.2104,3293267
2020-04-13,13.1206,13.3400,12.1735,12.5623,4033261
2020-04-14,12.7916,13.0209,11.9342,12.1635,4925346
2020-04-15,12.0339,12.0638,10.3041,11.3360,7531898
2020-04-16,10.8973,11.3161,10.3689,10.7079,8191061
2020-04-17,11.2164,11.6650,11.0568,11.6152,10288256
2020-04-20,11.5853,12.5324,11.3559,11.6052,6322565
2020-04-21,11.3360,11.4656,10.5484,10.5583,3304835
2020-04-22,10.9073,11.2662,10.6281,10.7976,2777753
2020-04-23,10.7777,11.3559,10.7378,10.9671,4680954
2020-04-24,11.0369,11.2961,10.5484,10.7777,6716778
2020-04-27,10.8674,11.5204,10.8275,11.3759,2776668
2020-04-28,11.6451,12.2134,11.5354,11.9541,2876926
2020-04-29,12.3629,13.8883,12.2931,13.8485,4141564
2020-04-30,13.5195,13.6092,12.7717,13.0309,3240784
2020-05-01,12.8814,12.9212,12.1635,12.5025,2455780
2020-05-04,12.2632,12.3230,11.3859,11.9143,3015728
2020-05-05,12.4128,13.0010,12.1236,12.1735,3118937
2020-05-06,12.2333,12.3131,11.4158,11.4556,2303941
2020-05-07,11.4656,12.2632,11.4656,11.8345,3471942
2020-05-08,11.9242,12.6022,11.9242,12.5823,2154369
2020-05-11,12.2233,12.4427,11.6750,11.7248,1769469
2020-05-12,11.8146,12.0638,11.0768,11.0867,2562397
2020-05-13,10.9671,11.0269,10.4786,10.6182,2261584
2020-05-14,10.3689,11.2662,9.8405,11.2164,3399298
2020-05-15,11.0269,11.1665,10.7079,10.7378,2882246
2020-05-18,11.2662,12.3829,11.2612,12.3031,3464962
2020-05-19,12.2532,12.4327,11.8644,12.0140,1630775
2020-05-20,12.2433,12.9611,12.2233,12.7119,2594552
2020-05-21,12.5823,12.9312,12.3280,12.3928,2369551
2020-05-22,12.4128,12.6321,12.0339,12.3330,2002110
2020-05-26,13.1306,13.3599,12.9013,13.0209,2550433
2020-05-27,13.2901,14.1177,12.8614,13.9781,6213073
2020-05-28,14.3071,14.3171,13.2303,13.2403,2954972
2020-05-29,13.1904,13.3948,12.7617,13.0409,6797423
2020-06-01,13.1206,13.7189,13.0608,13.3699,2301828
2020-06-02,13.3699,14.1575,13.3200,13.9482,2832090
2020-06-03,14.3968,15.1446,14.2672,15.1246,2698823
2020-06-04,15.1246,15.6032,14.9651,15.4836,4153995
2020-06-05,16.7597,17.2084,16.2812,17.1087,4226581
2020-06-08,17.9661,18.3250,17.6072,17.6770,5243799
2020-06-09,16.9791,17.1486,16.0070,16.1715,3308964
2020-06-10,15.9821,15.9821,14.6860,14.9252,4738591
2020-06-11,13.8285,14.2273,12.9412,12.9412,3175554
2020-06-12,14.0080,14.1177,13.2403,13.9581,4051273
2020-06-15,13.1007,14.6162,13.0409,14.4766,2997361
2020-06-16,15.3340,15.5800,14.7557,15.1845,4129732
2020-06-17,15.3539,15.4138,14.7458,14.7557,5763993
2020-06-18,14.4866,14.8754,14.3769,14.5364,4409678
2020-06-19,14.9551,15.2044,13.7787,13.8983,9255714
