Date,Open,High,Low,Close,Volume
2005-11-16,6.7514,7.6533,6.6752,6.7947,97759000
2005-11-17,6.9764,7.2275,5.8858,6.1022,34308500
2005-11-18,6.2667,6.3965,5.9828,6.0589,12810000
2005-11-21,6.1022,6.2251,6.0278,6.2147,6404000
2005-11-22,6.1368,6.1386,5.9378,6.0503,6533000
2005-11-23,6.0070,6.0503,5.4617,5.8772,12421000
2005-11-25,5.8426,5.9637,5.8252,5.9118,1316000
2005-11-28,5.8685,5.8685,5.6348,5.7647,3155000
2005-11-29,5.7647,5.7975,5.4132,5.5344,4477500
2005-11-30,5.5569,5.6106,5.4704,5.5915,3894500
2005-12-01,5.5915,6.0936,5.5656,6.0589,5688500
2005-12-02,6.0589,6.2840,6.0416,6.2494,5120000
2005-12-05,6.2632,6.4831,6.2632,6.3723,4592500
2005-12-06,6.3723,6.5108,6.3100,6.3325,3202500
2005-12-07,6.3446,6.3446,5.9724,6.1368,2473000
2005-12-08,6.1801,6.2805,6.1542,6.2321,1823500
2005-12-09,6.2321,6.3117,6.1940,6.2667,808000
2005-12-12,6.3100,6.3186,6.2407,6.3100,953500
2005-12-13,6.3082,6.3082,6.1472,6.1611,1843000
2005-12-14,6.1455,6.1801,6.0243,6.0589,1422000
2005-12-15,6.0503,6.0503,5.8252,5.8858,3273000
2005-12-16,5.8599,5.9707,5.7993,5.9187,8170500
2005-12-19,5.8858,5.9551,5.8616,5.9499,2242000
2005-12-20,5.9932,6.1299,5.9551,6.0486,2423500
2005-12-21,6.0416,6.0589,5.9810,6.0226,916500
2005-12-22,6.0226,6.0226,5.9378,6.0070,1171000
2005-12-23,5.9637,6.0053,5.8962,5.9291,985000
2005-12-27,5.9724,6.1368,5.9724,6.1022,1214000
2005-12-28,6.1022,6.1368,6.0641,6.0728,581000
2005-12-29,6.0416,6.2701,6.0416,6.2563,1076500
2005-12-30,6.2753,6.2927,6.1368,6.2927,923500
2006-01-03,6.3186,6.6216,6.2321,6.5541,2993000
2006-01-04,6.5610,6.5610,6.2944,6.3879,1196500
2006-01-05,6.6129,6.8795,6.6129,6.8051,3478500
2006-01-06,6.7947,6.9938,6.7687,6.9799,2306500
2006-01-09,7.0976,7.6672,7.0803,7.5494,8702000
2006-01-10,7.5062,8.1017,7.5062,7.9649,8667500
2006-01-11,8.0480,8.3440,7.8507,8.1225,7560000
2006-01-12,8.1952,8.2834,7.4889,7.6100,4841500
2006-01-13,7.5668,7.7226,7.4439,7.7122,2010500
2006-01-17,7.8766,8.1363,7.7901,8.0290,2609500
2006-01-18,8.0238,8.0238,7.7901,7.9251,1397500
2006-01-19,7.9113,8.2748,7.6170,8.2142,3307000
2006-01-20,8.3094,8.3804,8.0047,8.0151,2309500
2006-01-23,8.0151,8.2783,7.9857,8.2696,1744500
2006-01-24,8.2644,9.2425,8.1207,9.1369,5615000
2006-01-25,9.2615,9.5506,8.6816,9.1750,7019000
2006-01-26,9.2183,9.3741,9.0382,9.0798,2424000
2006-01-27,8.6643,9.1023,8.4064,8.8305,6929000
2006-01-30,8.6989,8.8634,8.3613,8.5033,2970000
2006-01-31,8.5033,8.8288,7.9753,8.7976,6552500
2006-02-01,9.0884,9.8709,8.9846,9.6303,7184500
2006-02-02,9.5904,10.0388,9.1854,9.5558,10589500
2006-02-03,9.7289,10.1098,9.5749,9.6095,5790500
2006-02-06,9.9194,9.9194,9.4727,9.6441,3958000
2006-02-07,9.6164,9.7203,8.8997,9.2529,3575000
2006-02-08,9.4346,9.4866,9.1057,9.2581,1954000
2006-02-09,9.3014,9.4052,9.1369,9.1732,2131500
2006-02-10,9.2165,9.2165,8.4756,8.9551,3580500
2006-02-13,8.8288,9.2875,8.8288,9.1300,1660500
2006-02-14,9.1300,9.1732,8.9517,8.9984,1478000
2006-02-15,9.0019,9.0555,8.9292,8.9984,882000
2006-02-16,9.0417,9.0625,8.8426,8.9274,848000
2006-02-17,8.9586,8.9897,8.6816,8.8911,1626500
2006-02-21,8.8928,8.8963,8.4392,8.5933,2389500
2006-02-22,8.5068,8.6279,8.3354,8.5223,3314500
2006-02-23,8.6903,8.9846,8.4808,8.6383,7781500
2006-02-24,8.9672,9.6510,8.9672,9.4346,11018000
2006-02-27,9.5212,9.9021,9.4035,9.8415,4822000
2006-02-28,9.7982,10.0232,9.3567,9.4779,4038000
2006-03-01,9.5212,9.8415,9.5212,9.8259,3081000
2006-03-02,9.7982,10.2864,9.6580,10.2760,4253000
2006-03-03,10.4733,10.8992,10.3868,10.4906,6878500
2006-03-06,10.6464,10.9061,10.3989,10.6135,4600500
2006-03-07,10.6135,10.6135,10.2431,10.3868,3193000
2006-03-08,10.5599,10.5633,10.1704,10.2465,5132500
2006-03-09,10.2898,11.1658,10.2898,11.0775,5446500
2006-03-10,11.0775,11.6643,10.8507,11.6228,7088000
2006-03-13,11.8149,12.3776,11.6713,12.3395,9415500
2006-03-14,12.3776,12.4987,11.7769,11.8790,9242500
2006-03-15,11.9015,12.3066,11.6851,11.9950,5496000
2006-03-16,11.9967,12.1508,11.2696,11.5622,7085500
2006-03-17,11.5622,11.8426,11.1485,11.7890,5977000
2006-03-20,11.9534,12.3204,11.9534,12.3204,5575500
2006-03-21,12.4122,12.7394,12.0504,12.1612,6876500
2006-03-22,11.8634,11.9534,11.3666,11.7699,6843500
2006-03-23,11.7284,11.9967,11.4774,11.6072,2925500
2006-03-24,11.4254,11.8219,11.3856,11.6332,2114000
2006-03-27,11.7457,12.2356,11.6436,12.0919,5238500
2006-03-28,12.0919,12.2495,11.7197,11.8755,3080000
2006-03-29,11.8755,12.0660,11.6868,11.7284,1981000
2006-03-30,12.0313,12.4312,11.9915,12.3464,5514000
2006-03-31,12.4208,12.6615,11.6540,11.9534,9687000
2006-04-03,12.1092,12.1352,10.7607,10.9234,10266000
2006-04-04,11.0879,11.4635,10.4941,11.2523,9966500
2006-04-05,11.3822,11.4047,10.7174,10.8767,9132500
2006-04-06,10.8767,11.1571,10.1669,10.3521,12852000
2006-04-07,10.0405,10.0405,9.0625,9.1750,24447000
2006-04-10,9.2183,9.5039,9.1075,9.4450,7960000
2006-04-11,9.4952,9.8242,9.4623,9.7999,9023500
2006-04-12,9.8432,10.0180,9.4433,9.9782,7027000
2006-04-13,9.9782,10.2465,9.7982,10.1704,4786000
2006-04-17,10.2569,10.3781,9.9574,10.0180,4060000
2006-04-18,10.2137,11.4947,10.1998,11.4531,13185500
2006-04-19,11.4705,12.0435,11.1502,11.9933,11672500
2006-04-20,12.0365,12.1871,11.6470,12.1179,8156500
2006-04-21,12.1179,12.2045,11.8409,11.9448,4925500
2006-04-24,11.7890,11.8409,11.5553,11.6418,6188500
2006-04-25,11.5120,12.0850,11.4878,12.0850,5205000
2006-04-26,12.0746,12.2010,11.8790,12.1716,4119000
2006-04-27,12.0850,12.5940,11.8201,12.3949,4162500
2006-04-28,12.2910,12.5212,12.2252,12.3447,4768000
2006-05-01,12.3464,12.3464,11.3908,11.5916,7722000
2006-05-02,12.0244,12.0313,11.3475,11.7197,7205500
2006-05-03,11.6851,12.2391,11.6505,12.1421,3033500
2006-05-04,12.0971,12.1508,11.9413,11.9465,3575000
2006-05-05,11.9482,12.9835,11.8582,12.8467,8049000
2006-05-08,12.8952,13.7677,12.6459,13.6499,9139000
