Date,Open,High,Low,Close,Volume
1989-06-30,1.7618,1.7779,1.7149,1.7618,214802
1989-07-03,1.7779,1.7779,1.7779,1.7779,17101
1989-07-05,1.7928,1.7928,1.7618,1.7928,157899
1989-07-06,1.7928,1.7928,1.7458,1.7458,17501
1989-07-07,1.7458,1.7779,1.7309,1.7779,31600
1989-07-10,1.7928,1.8237,1.7779,1.8237,401801
1989-07-11,1.8385,1.8385,1.8088,1.8088,125499
1989-07-12,1.8237,1.8237,1.8088,1.8088,59500
1989-07-13,1.8237,1.8237,1.8088,1.8088,60001
1989-07-14,1.8088,1.8088,1.7928,1.8088,132400
1989-07-17,1.8088,1.8237,1.8088,1.8237,127798
1989-07-18,1.8088,1.8237,1.8088,1.8237,62998
1989-07-19,1.8546,1.8546,1.8237,1.8546,117399
1989-07-20,1.8546,1.8546,1.8385,1.8546,126902
1989-07-21,1.8694,1.8855,1.8546,1.8546,54599
1989-07-24,1.8855,1.9473,1.8855,1.9473,165301
1989-07-25,1.9325,1.9325,1.9016,1.9164,97200
1989-07-26,1.9164,1.9621,1.9164,1.9473,62699
1989-07-27,1.9621,1.9782,1.9621,1.9621,207401
1989-07-28,1.9782,1.9782,1.9473,1.9621,130901
1989-07-31,2.0091,2.0400,1.9943,1.9943,432100
1989-08-01,2.0091,2.0091,1.9943,2.0091,321899
1989-08-02,2.0091,2.0091,1.9782,2.0091,156102
1989-08-03,1.9943,2.0091,1.9782,2.0091,107502
1989-08-04,1.9943,2.0091,1.9782,1.9782,70202
1989-08-07,1.9782,2.0091,1.9782,2.0091,248402
1989-08-08,2.0252,2.0252,1.9782,1.9943,147698
1989-08-09,2.0091,2.0091,1.9782,1.9782,44702
1989-08-10,1.9782,1.9943,1.9782,1.9782,37301
1989-08-11,1.9943,1.9943,1.9473,1.9621,41801
1989-08-14,1.9782,1.9782,1.9473,1.9473,56801
1989-08-15,1.9473,1.9782,1.9473,1.9621,100000
1989-08-16,1.9473,1.9782,1.9473,1.9782,34602
1989-08-17,1.9473,1.9782,1.9473,1.9782,75102
1989-08-18,1.9621,1.9782,1.9473,1.9473,64800
1989-08-21,1.9621,1.9621,1.9325,1.9325,86999
1989-08-22,1.9325,1.9473,1.9325,1.9325,35200
1989-08-23,1.9473,1.9473,1.9325,1.9473,82898
1989-08-24,1.9325,1.9621,1.9325,1.9473,134501
1989-08-25,1.9473,1.9621,1.9473,1.9473,23100
1989-08-28,1.9621,1.9621,1.9325,1.9325,127499
1989-08-29,1.9164,1.9164,1.9016,1.9016,66698
1989-08-30,1.9016,1.9325,1.9016,1.9016,103498
1989-08-31,1.9164,1.9164,1.9016,1.9016,24300
1989-09-01,1.9016,1.9164,1.8855,1.9164,92401
1989-09-05,1.9325,1.9325,1.9325,1.9325,46798
1989-09-06,1.9325,1.9473,1.9164,1.9325,46499
1989-09-07,1.9473,1.9621,1.9473,1.9621,287499
1989-09-08,1.9621,1.9621,1.9621,1.9621,125499
1989-09-11,1.9621,1.9782,1.9621,1.9782,5402
1989-09-12,1.9782,1.9782,1.9621,1.9782,15400
1989-09-13,1.9943,1.9943,1.9621,1.9621,54898
1989-09-14,1.9782,1.9782,1.9621,1.9621,73001
1989-09-15,1.9782,1.9782,1.9621,1.9782,247202
1989-09-18,1.9782,1.9782,1.9621,1.9782,40500
1989-09-19,1.9782,1.9782,1.9621,1.9621,314700
1989-09-20,1.9782,1.9943,1.9621,1.9621,153900
1989-09-21,1.9782,1.9782,1.9621,1.9621,52599
1989-09-22,1.9621,1.9621,1.9473,1.9621,103498
1989-09-25,1.9621,1.9621,1.9325,1.9325,110702
1989-09-26,1.9473,1.9473,1.9164,1.9164,28502
1989-09-27,1.9164,1.9621,1.9164,1.9621,26198
1989-09-28,1.9473,1.9782,1.9325,1.9325,170201
1989-09-29,1.9621,1.9621,1.9325,1.9325,37802
1989-10-02,1.9473,1.9473,1.9325,1.9473,10900
1989-10-03,1.9473,1.9782,1.9473,1.9621,123702
1989-10-04,1.9782,2.0091,1.9621,2.0091,581398
1989-10-05,1.9782,1.9943,1.9621,1.9621,87298
1989-10-06,1.9782,1.9943,1.9621,1.9782,161200
1989-10-09,1.9943,2.0252,1.9943,2.0252,130901
1989-10-10,2.0252,2.0400,1.9943,2.0252,117399
1989-10-11,2.0252,2.0400,2.0091,2.0400,94001
1989-10-12,2.0252,2.0252,2.0091,2.0091,39700
1989-10-13,2.0091,2.0252,1.9164,1.9164,110201
1989-10-16,1.8694,1.8855,1.8385,1.8694,76201
1989-10-17,1.8546,1.8694,1.8385,1.8546,98501
1989-10-18,1.8546,1.8546,1.8385,1.8546,33301
1989-10-19,1.8385,1.8546,1.8385,1.8546,131802
1989-10-20,1.8855,1.9164,1.8694,1.9164,64000
1989-10-23,1.9164,1.9164,1.8855,1.9016,15400
1989-10-24,1.8855,1.8855,1.8546,1.8694,31200
1989-10-25,1.8546,1.8855,1.8546,1.8855,20199
1989-10-26,1.9016,1.9016,1.8546,1.8546,5402
1989-10-27,1.8546,1.8694,1.8546,1.8546,33301
1989-10-30,1.8546,1.8546,1.8385,1.8385,19501
1989-10-31,1.8385,1.8385,1.8385,1.8385,18098
1989-11-01,1.8546,1.8855,1.8546,1.8855,74201
1989-11-02,1.8694,1.8694,1.8385,1.8385,45401
1989-11-03,1.8546,1.8546,1.8385,1.8385,30598
1989-11-06,1.8546,1.8546,1.8237,1.8237,4901
1989-11-07,1.8237,1.8237,1.8237,1.8237,1301
1989-11-08,1.8237,1.8546,1.8237,1.8546,40500
1989-11-09,1.8546,1.8694,1.8546,1.8546,31600
1989-11-10,1.8546,1.8694,1.8546,1.8694,1301
1989-11-13,1.8855,1.8855,1.8546,1.8546,28502
1989-11-14,1.8546,1.8546,1.8385,1.8546,36602
1989-11-15,1.8546,1.8855,1.8385,1.8855,17501
1989-11-16,1.8546,1.8546,1.8546,1.8546,8100
1989-11-17,1.8546,1.8546,1.8546,1.8546,4202
1989-11-20,1.8694,1.8694,1.8694,1.8694,101
1989-11-21,1.8694,1.8694,1.8546,1.8546,1898
1989-11-22,1.8855,1.9164,1.8546,1.9164,30598
1989-11-24,1.9164,1.9325,1.9164,1.9164,19000
1989-11-27,1.9164,1.9473,1.9164,1.9164,13502
1989-11-28,1.9473,1.9621,1.9473,1.9621,10900
1989-11-29,1.9782,1.9782,1.9621,1.9621,12099
1989-11-30,1.9473,1.9621,1.9473,1.9473,19000
1989-12-01,1.9473,1.9621,1.9016,1.9016,26502
1989-12-04,1.9164,1.9473,1.9164,1.9325,19000
1989-12-05,1.9621,1.9621,1.9016,1.9016,32400
