Date,Open,High,Low,Close,Volume
1993-03-22,2.2218,2.2588,2.1107,2.1107,1749600
1993-03-23,2.1477,2.2588,2.0737,2.2588,2000400
1993-03-24,2.2218,2.2588,2.1477,2.2033,1009200
1993-03-25,2.2033,2.2033,2.1107,2.1107,1035600
1993-03-26,2.1477,2.1477,2.1107,2.1107,1326000
1993-03-29,2.1477,2.1848,2.0737,2.1018,518400
1993-03-30,2.1477,2.1477,2.0737,2.1107,649200
1993-03-31,2.1107,2.1107,2.0552,2.0552,1665600
1993-04-01,2.0552,2.1107,2.0366,2.0552,316800
1993-04-02,2.0552,2.0552,1.9070,1.9626,1820400
1993-04-05,1.9811,2.0366,1.9070,1.9996,1450800
1993-04-06,2.0737,2.0737,1.9996,1.9996,1084800
1993-04-07,1.9626,2.0181,1.9256,1.9256,1216800
1993-04-08,1.9070,1.9811,1.8700,1.8885,990000
1993-04-12,1.8515,1.8885,1.8330,1.8700,1232400
1993-04-13,1.8515,1.8885,1.7960,1.8145,2005200
1993-04-14,1.8515,1.8885,1.8145,1.8885,3022800
1993-04-15,1.8885,1.8885,1.8330,1.8330,412800
1993-04-16,1.8330,1.8885,1.8330,1.8330,188400
1993-04-19,1.8700,1.8700,1.8145,1.8145,628800
1993-04-20,1.8145,1.8515,1.8145,1.8145,214800
1993-04-21,1.8515,1.8515,1.7774,1.7960,588000
1993-04-22,1.8330,1.8885,1.7960,1.8885,382800
1993-04-23,1.9070,1.9070,1.8330,1.9070,118800
1993-04-26,1.9070,1.9070,1.8330,1.8330,187200
1993-04-27,1.8700,2.0366,1.8145,2.0366,1040400
1993-04-28,2.0366,2.0366,1.9811,2.0181,348000
1993-04-29,1.9811,1.9811,1.9441,1.9811,319200
1993-04-30,1.9626,2.0922,1.9626,2.0366,1194000
1993-05-03,2.0366,2.1477,2.0366,2.1477,499200
1993-05-04,2.1477,2.1477,2.0922,2.1477,242400
1993-05-05,2.0922,2.3329,2.0922,2.2588,1215600
1993-05-06,2.2588,2.2959,2.1663,2.2033,598800
1993-05-07,2.2033,2.2959,2.2033,2.2403,472800
1993-05-10,2.2403,2.3514,2.2403,2.2959,349200
1993-05-11,2.3329,2.3329,2.2773,2.2773,391200
1993-05-12,2.2773,2.3144,2.2773,2.2773,145200
1993-05-13,2.3144,2.3144,2.2588,2.2959,303600
1993-05-14,2.2959,2.3144,2.2588,2.2773,204000
1993-05-17,2.3144,2.3329,2.2773,2.2959,142800
1993-05-18,2.3329,2.3329,2.2959,2.2959,802800
1993-05-19,2.3329,2.3884,2.3329,2.3699,1312800
1993-05-20,2.3514,2.4069,2.3514,2.4069,265200
1993-05-21,2.3514,2.3884,2.3514,2.3514,223200
1993-05-24,2.3699,2.3699,2.3514,2.3514,222000
1993-05-25,2.3699,2.3699,2.2959,2.3329,372000
1993-05-26,2.2773,2.2959,2.2218,2.2499,844800
1993-05-27,2.2773,2.2773,2.2033,2.2033,200400
1993-05-28,2.2033,2.2218,2.1107,2.1477,676800
1993-06-01,2.1477,2.1477,2.1107,2.1107,94800
1993-06-02,2.1292,2.1477,2.1107,2.1477,452400
1993-06-03,2.1292,2.1477,2.1107,2.1477,670800
1993-06-04,2.1107,2.1663,2.1107,2.1107,874800
1993-06-07,2.0922,2.1477,1.9996,2.0833,1143600
1993-06-08,2.0366,2.0648,1.9441,1.9996,1207200
1993-06-09,1.9441,1.9996,1.9070,1.9441,490800
1993-06-10,1.9441,2.0366,1.9441,1.9811,586800
1993-06-11,2.0366,2.2959,2.0278,2.2588,2109600
1993-06-14,2.2773,2.3329,2.2403,2.2773,949200
1993-06-15,2.3144,2.3144,2.2403,2.2588,740400
1993-06-16,2.2403,2.2773,2.2403,2.2773,301200
1993-06-17,2.2588,2.2773,2.2403,2.2403,73200
1993-06-18,2.2773,2.2773,2.2403,2.2403,67200
1993-06-21,2.2773,2.3884,2.2403,2.3884,663600
1993-06-22,2.3884,2.3884,2.3329,2.3329,64800
1993-06-23,2.3144,2.3514,2.3144,2.3514,108000
1993-06-24,2.3699,2.4995,2.3144,2.4810,1266000
1993-06-25,2.4625,2.5366,2.4255,2.4255,997200
1993-06-28,2.4255,2.4625,2.4255,2.4440,308400
1993-06-29,2.4255,2.4440,2.3329,2.3699,265200
1993-06-30,2.3329,2.4069,2.3329,2.4069,99600
1993-07-01,2.3514,2.4069,2.3144,2.3144,388800
1993-07-02,2.3514,2.3699,2.3144,2.3699,289200
1993-07-06,2.3329,2.3699,2.3329,2.3329,147600
1993-07-07,2.3699,2.3699,2.3329,2.3329,360000
1993-07-08,2.3329,2.3884,2.2959,2.3795,915600
1993-07-09,2.4069,2.4069,2.3699,2.3699,50400
1993-07-12,2.4069,2.4069,2.3699,2.3699,1050000
1993-07-13,2.3699,2.4069,2.3699,2.4069,78000
1993-07-14,2.4069,2.4069,2.3514,2.3610,759600
1993-07-15,2.3514,2.4069,2.3514,2.4069,990000
1993-07-16,2.3514,2.3884,2.3329,2.3884,408000
1993-07-19,2.3329,2.4069,2.3329,2.3514,693600
1993-07-20,2.3329,2.3699,2.3329,2.3329,162000
1993-07-21,2.3329,2.3514,2.2218,2.2403,510000
1993-07-22,2.2588,2.2588,2.0922,2.1574,741600
1993-07-23,2.1477,2.2033,2.1477,2.1477,322800
1993-07-26,2.1848,2.2033,2.1292,2.1663,421200
1993-07-27,2.2033,2.2033,2.1292,2.1663,547200
1993-07-28,2.0922,2.1663,2.0922,2.0922,274800
