Date,Open,High,Low,Close,Volume
2017-02-01,16.8292,17.0972,16.5780,16.7455,30832753
2017-02-02,16.7790,17.0888,16.7790,16.9381,4901231
2017-02-03,17.0385,17.4153,16.9967,17.2730,2631545
2017-02-06,17.7000,17.7000,17.2060,17.3567,1836800
2017-02-07,17.3735,17.4656,17.2646,17.4153,3521570
2017-02-08,17.4153,17.5158,17.3567,17.4488,973618
2017-02-09,17.4907,17.5577,17.4404,17.4823,1798591
2017-02-10,17.5158,18.3112,17.3986,17.5995,1560824
2017-02-13,17.7000,17.7419,17.5451,17.5828,896041
2017-02-14,17.4907,17.6246,17.3735,17.6079,1143094
2017-02-15,17.7167,17.7167,17.4656,17.5074,1065698
2017-02-16,17.4153,17.6246,17.3986,17.5493,740470
2017-02-17,17.5242,17.7628,17.3818,17.7084,664029
2017-02-21,17.8340,18.0014,17.8172,17.9763,793309
2017-02-22,17.9595,18.1270,17.9177,18.0600,675062
2017-02-23,18.1521,18.2610,17.8926,18.0684,641434
2017-02-24,18.0182,18.1772,18.0014,18.0851,763716
2017-02-27,18.0684,18.4117,18.0433,18.2610,1159288
2017-02-28,18.3447,18.5456,18.2233,18.2442,1583632
2017-03-01,18.5373,18.5423,17.7251,18.0265,1415061
2017-03-02,18.0851,18.2358,17.8591,18.1856,1123486
2017-03-03,18.0516,18.3782,17.8005,18.2610,1077753
2017-03-06,18.2358,18.4200,18.1019,18.3531,1333155
2017-03-07,18.2526,18.4033,18.0014,18.2610,709011
2017-03-08,18.2358,18.2693,18.0182,18.0433,797640
2017-03-09,18.0851,18.2024,17.6163,17.7837,1303081
2017-03-10,17.8172,18.0349,17.8172,17.9177,1193724
2017-03-13,17.9093,18.2861,17.6330,17.9009,1841007
2017-03-14,17.9009,17.9595,17.6246,17.7921,778245
2017-03-15,17.9093,18.0851,17.7879,18.0182,1520784
2017-03-16,18.0851,18.1521,17.7921,17.9847,1181759
2017-03-17,18.0433,18.2442,17.9763,18.0851,8630179
2017-03-20,18.0014,18.1270,17.8758,18.0349,1357769
2017-03-21,18.0684,18.0684,17.8465,17.9093,1762859
2017-03-22,17.9261,18.0265,17.7929,18.0014,1419148
2017-03-23,17.8758,18.0433,17.8088,17.9930,1571324
2017-03-24,18.0265,18.1689,18.0014,18.0684,1069116
2017-03-27,17.9679,18.0851,17.9177,18.0265,894619
2017-03-28,17.9595,18.1521,17.9595,18.1186,988367
2017-03-29,18.1772,18.2442,18.1019,18.1605,878483
2017-03-30,18.2358,18.3028,18.0768,18.2107,551682
2017-03-31,18.2358,18.4033,18.0182,18.2777,5648435
2017-04-03,18.2945,18.3279,18.0516,18.1103,1013715
2017-04-04,17.9679,18.3027,17.9595,18.0349,1355775
2017-04-05,18.1354,18.1417,17.9595,18.0684,766778
2017-04-06,17.9930,18.2693,17.9679,18.1689,924919
2017-04-07,18.2191,18.2861,18.0684,18.0935,394134
2017-04-10,18.0851,18.2233,18.0851,18.1186,400707
2017-04-11,18.1605,18.1605,17.9428,18.0433,1138763
2017-04-12,17.9847,18.1354,17.9344,18.0433,652518
2017-04-13,18.1019,18.1437,17.7419,17.8256,962875
2017-04-17,17.8005,18.3447,17.7343,18.1437,931946
2017-04-18,18.1019,18.2610,18.1019,18.2275,812722
2017-04-19,18.2275,18.2945,18.1437,18.2107,1154764
2017-04-20,18.1521,18.2735,17.9177,17.9930,1312592
2017-04-21,17.9428,18.2191,17.7251,18.1354,1174101
2017-04-24,18.2191,18.2275,18.0349,18.1186,576937
2017-04-25,18.1270,18.2107,18.0558,18.1856,733861
2017-04-26,18.1270,18.1856,18.0098,18.1521,632046
2017-04-27,18.1689,18.2065,18.0433,18.0768,457186
2017-04-28,18.0768,18.1186,18.0098,18.0433,782233
2017-05-01,18.0684,18.2107,18.0684,18.1521,704630
2017-05-02,18.0768,18.2191,17.9595,18.0182,1224119
2017-05-03,17.9009,18.0265,17.6832,17.9847,1162872
2017-05-04,17.9930,17.9930,17.6581,17.7502,1759528
2017-05-05,17.7921,17.9930,17.7326,17.8088,899630
2017-05-08,17.8758,17.9763,17.7000,17.8172,816968
2017-05-09,17.7921,18.0516,17.7335,17.9595,1270806
2017-05-10,17.8926,18.3279,17.8926,18.1437,2430792
2017-05-11,18.2018,18.4873,17.9584,18.3866,1253891
2017-05-12,18.4285,18.4285,18.0759,18.2942,709920
2017-05-15,18.2606,18.3950,18.0843,18.3866,1227833
2017-05-16,18.3530,18.3950,17.8408,17.9416,1815054
2017-05-17,17.8408,18.2522,17.8408,18.0843,1234265
2017-05-18,18.0423,18.2942,17.8828,18.1767,1092140
2017-05-19,18.2270,18.4117,18.0717,18.2858,805731
2017-05-22,18.2186,18.3866,18.1011,18.1935,808554
2017-05-23,18.2858,18.3698,18.0591,18.1011,464864
2017-05-24,18.0843,18.2522,18.0675,18.1683,483041
2017-05-25,18.2522,18.2522,17.7401,17.7989,784919
2017-05-26,17.8408,17.8912,17.6393,17.7989,543801
2017-05-30,17.7905,17.9668,17.7905,17.9332,1473123
2017-05-31,18.0675,18.1557,17.9080,18.0675,619775
2017-06-01,18.0843,18.2186,18.0004,18.2018,404099
2017-06-02,18.1935,18.4453,18.1767,18.4117,490139
2017-06-05,18.4957,18.7140,18.1095,18.1179,1266841
2017-06-06,17.9920,18.2018,17.8996,18.0675,673705
2017-06-07,18.0927,18.0927,17.8282,17.8828,676785
2017-06-08,17.8828,17.9164,17.7485,17.7821,776817
2017-06-09,17.7821,18.2522,17.7233,17.9668,2112604
2017-06-12,18.8315,18.8315,17.9584,18.0087,1395164
2017-06-13,18.0087,18.1095,17.9584,17.9752,2058180
2017-06-14,18.0087,18.2690,17.8996,18.0507,1997047
2017-06-15,18.0004,18.1011,17.8240,18.0171,939715
2017-06-16,18.0255,18.0927,17.7821,17.8240,3989696
2017-06-19,17.8744,18.1683,17.7905,18.1431,633395
2017-06-20,18.0507,18.1011,17.9080,17.9416,377432
2017-06-21,17.9836,18.0171,17.7149,17.8744,958761
2017-06-22,17.8408,18.1263,17.8408,18.0004,874793
2017-06-23,18.0171,18.4537,17.9500,18.2354,1784252
2017-06-26,18.3362,18.3446,18.1011,18.1683,1237184
2017-06-27,18.1431,18.2186,18.0843,18.1095,1230194
2017-06-28,18.1263,18.1935,17.9752,18.1095,981730
2017-06-29,18.1431,18.1431,17.8576,17.8828,513146
2017-06-30,17.8996,18.2144,17.8996,18.1599,1071464
2017-07-03,18.2606,18.2606,17.9836,18.2018,307630
2017-07-05,18.2102,18.2690,18.0759,18.2102,1520156
2017-07-06,18.1095,18.1431,17.8408,17.8744,719081
2017-07-07,17.8492,18.1683,17.8156,18.0087,846493
2017-07-10,17.9332,18.0675,17.9164,17.9920,590865
2017-07-11,17.9752,18.0255,17.7989,18.0087,776106
2017-07-12,17.9836,18.1767,17.9836,18.0423,567780
2017-07-13,18.0423,18.0591,17.9290,18.0423,655044
2017-07-14,18.0171,18.1557,18.0171,18.0843,396349
2017-07-17,18.0843,18.2060,18.0507,18.1599,694577
2017-07-18,18.1011,18.1851,17.9836,18.0339,482348
2017-07-19,17.9836,18.2018,17.9836,18.2018,367061
2017-07-20,18.1347,18.2900,18.1263,18.1767,520971
2017-07-21,18.1767,18.3026,18.1767,18.2522,348972
2017-07-24,18.2522,18.3530,18.1011,18.2774,443285
