Date,Open,High,Low,Close,Volume
1970-01-02,1.3212,1.3657,1.3168,1.3612,71800
1970-01-05,1.3835,1.4235,1.3835,1.4102,118400
1970-01-06,1.4102,1.4146,1.3879,1.3968,84400
1970-01-07,1.3924,1.3924,1.3568,1.3657,93700
1970-01-08,1.3701,1.3835,1.3701,1.3790,74200
1970-01-09,1.3746,1.3746,1.3524,1.3657,93300
1970-01-12,1.3657,1.3701,1.3390,1.3479,39300
1970-01-13,1.3479,1.3524,1.3346,1.3390,108300
1970-01-14,1.3390,1.3390,1.3212,1.3346,38500
1970-01-15,1.3346,1.3346,1.3079,1.3212,47900
1970-01-16,1.3123,1.3123,1.2278,1.2678,95700
1970-01-19,1.2678,1.2878,1.2678,1.2767,63700
1970-01-20,1.2767,1.2856,1.2678,1.2812,75800
1970-01-21,1.2812,1.2856,1.2545,1.2678,71800
1970-01-22,1.2678,1.2812,1.2589,1.2634,51100
1970-01-23,1.2634,1.2723,1.2367,1.2367,81100
1970-01-26,1.2367,1.2367,1.2100,1.2278,58000
1970-01-27,1.2278,1.2278,1.2055,1.2144,63300
1970-01-28,1.2100,1.2100,1.1833,1.1967,72200
1970-01-29,1.1833,1.1833,1.1477,1.1655,107900
1970-01-30,1.1655,1.2011,1.1611,1.1700,63700
1970-02-02,1.1789,1.2189,1.1789,1.1789,135100
1970-02-03,1.1789,1.2189,1.1744,1.2055,150500
1970-02-04,1.2055,1.2233,1.2055,1.2189,111900
1970-02-05,1.2189,1.2456,1.2189,1.2411,41400
1970-02-06,1.2500,1.2901,1.2500,1.2812,86000
1970-02-09,1.2901,1.3123,1.2901,1.3034,41400
1970-02-10,1.3034,1.3079,1.2856,1.2990,87200
1970-02-11,1.2990,1.3212,1.2678,1.3168,137500
1970-02-12,1.3168,1.3435,1.3034,1.3346,60800
1970-02-13,1.3346,1.3346,1.3212,1.3301,62500
1970-02-16,1.3438,1.3438,1.2764,1.2899,49100
1970-02-17,1.2899,1.2944,1.2584,1.2584,163500
1970-02-18,1.2629,1.2854,1.2629,1.2854,98200
1970-02-19,1.2854,1.3079,1.2584,1.2629,90900
1970-02-20,1.2629,1.2629,1.2405,1.2629,62100
1970-02-24,1.2629,1.2764,1.2494,1.2494,61200
1970-02-25,1.2494,1.2854,1.2405,1.2809,70600
1970-02-26,1.2809,1.2809,1.2629,1.2764,43400
1970-02-27,1.2764,1.3124,1.2674,1.3079,67700
1970-03-02,1.3124,1.3393,1.3124,1.3214,82700
1970-03-03,1.3214,1.3258,1.2989,1.3124,56000
1970-03-04,1.3124,1.3214,1.3034,1.3124,69000
1970-03-05,1.3169,1.3393,1.3169,1.3169,67300
1970-03-06,1.3169,1.3169,1.2899,1.3034,104200
1970-03-09,1.3034,1.3034,1.2719,1.2854,50700
1970-03-10,1.2854,1.2944,1.2764,1.2809,61200
1970-03-11,1.2809,1.2899,1.2719,1.2764,66100
1970-03-12,1.2764,1.2854,1.2674,1.2809,47000
1970-03-13,1.2809,1.2809,1.2629,1.2629,101800
1970-03-16,1.2629,1.2719,1.2360,1.2449,49500
1970-03-17,1.2449,1.2584,1.2315,1.2449,140700
1970-03-18,1.2449,1.2539,1.2405,1.2449,311900
