Date,Open,High,Low,Close,Volume
1987-11-05,1.4589,1.5863,1.4589,1.5863,729603
1987-11-06,1.6147,1.6220,1.5863,1.5863,407403
1987-11-09,1.5790,1.5863,1.5512,1.5790,587403
1987-11-10,1.5648,1.5648,1.5297,1.5297,396603
1987-11-11,1.5297,1.6713,1.5297,1.6220,554400
1987-11-12,1.6787,1.6996,1.6356,1.6430,841203
1987-11-13,1.6498,1.6571,1.6498,1.6571,121203
1987-11-16,1.7138,1.7421,1.6713,1.7138,265203
1987-11-17,1.6713,1.6855,1.6356,1.6855,603000
1987-11-18,1.6855,1.6996,1.6356,1.6645,470403
1987-11-19,1.6147,1.6571,1.6147,1.6356,646200
1987-11-20,1.6317,1.6317,1.6242,1.6317,442800
1987-11-23,1.6242,1.6385,1.6242,1.6317,401400
1987-11-24,1.6453,1.6955,1.6453,1.6670,203400
1987-11-25,1.6527,1.7314,1.6453,1.7097,301203
1987-11-27,1.7097,1.7240,1.7097,1.7097,54000
1987-11-30,1.6955,1.7023,1.6385,1.6453,535203
1987-12-01,1.6385,1.6527,1.6317,1.6527,832203
1987-12-02,1.6670,1.6812,1.6317,1.6527,212400
1987-12-03,1.6385,1.6453,1.6174,1.6174,695403
1987-12-04,1.5957,1.6453,1.5815,1.6453,2098800
1987-12-07,1.6174,1.6453,1.6174,1.6317,307800
1987-12-08,1.6527,1.7023,1.6385,1.6886,259200
1987-12-09,1.6744,1.7097,1.6670,1.6955,153000
1987-12-10,1.6812,1.7166,1.6385,1.6670,169803
1987-12-11,1.6670,1.6670,1.6385,1.6527,131400
1987-12-14,1.6596,1.6670,1.6453,1.6527,347400
1987-12-15,1.6670,1.6812,1.6242,1.6242,435600
1987-12-16,1.6670,1.6670,1.6385,1.6385,295200
1987-12-17,1.6242,1.6670,1.6242,1.6453,249003
1987-12-18,1.6174,1.6670,1.6174,1.6670,428400
1987-12-21,1.6596,1.7525,1.6596,1.7525,631800
1987-12-22,1.7525,1.7736,1.7382,1.7667,290403
1987-12-23,1.7525,1.8380,1.7525,1.8169,195003
1987-12-24,1.8169,1.8237,1.8095,1.8237,180603
1987-12-28,1.8169,1.8169,1.7525,1.7736,367200
1987-12-29,1.7599,1.7599,1.6812,1.7314,468603
1987-12-30,1.7166,1.7952,1.7166,1.7952,621603
1987-12-31,1.7667,1.8237,1.7525,1.8095,165600
1988-01-04,1.8026,1.8522,1.8026,1.8169,373203
1988-01-05,1.8237,1.8305,1.8026,1.8026,191403
1988-01-06,1.7878,1.7952,1.7736,1.7952,299403
1988-01-07,1.7810,1.8095,1.7382,1.8095,133200
1988-01-08,1.7810,1.7952,1.7525,1.7667,153603
1988-01-11,1.7240,1.7382,1.6955,1.7240,307800
1988-01-12,1.7240,1.7382,1.6955,1.6955,270603
1988-01-13,1.6886,1.7240,1.6886,1.7240,268803
1988-01-14,1.7525,1.7525,1.6670,1.6670,423603
1988-01-15,1.6812,1.7240,1.6812,1.7240,70803
1988-01-18,1.7166,1.7314,1.7166,1.7240,144000
1988-01-19,1.7240,1.7314,1.7240,1.7240,133803
1988-01-20,1.7097,1.7097,1.6886,1.7023,1143000
1988-01-21,1.7525,1.7525,1.7097,1.7097,220203
