Date,Open,High,Low,Close,Volume
2017-05-12,21.1636,21.2134,20.1876,21.0142,10933718
2017-05-15,20.9246,22.2093,20.9246,21.9305,3487278
2017-05-16,22.0998,22.3189,21.9603,22.0101,1289339
2017-05-17,22.0599,22.4185,21.5819,22.0101,1583699
2017-05-18,22.0998,23.5339,21.8906,22.4085,4075173
2017-05-19,22.4683,23.3945,22.2292,22.6276,1248618
2017-05-22,22.7073,22.9961,22.4284,22.7969,383071
2017-05-23,22.8965,23.5140,22.5579,23.3547,703985
2017-05-24,23.4443,23.4971,22.9164,23.2551,408791
2017-05-25,23.3248,23.7231,22.2193,22.4185,1080743
2017-05-26,22.4583,23.1455,22.2641,22.9364,721073
2017-05-30,22.9065,23.1953,22.4981,22.8567,843125
2017-05-31,22.8766,23.0857,22.5778,22.8368,484429
2017-06-01,22.8168,23.3392,22.7173,22.8368,486400
2017-06-02,22.7969,23.0061,22.5081,22.5579,546591
2017-06-05,22.5181,22.8168,21.8309,22.5380,422153
2017-06-06,21.7412,22.6177,21.7412,22.1994,1089496
2017-06-07,22.3089,22.6973,21.4823,21.6715,733543
2017-06-08,21.6616,21.8408,21.5221,21.5620,432553
2017-06-09,21.5918,22.7272,21.5918,22.3986,565863
2017-06-12,22.3687,23.4841,21.8010,22.9364,826169
2017-06-13,22.8965,24.1414,22.7073,23.3945,927265
2017-06-14,23.4742,23.6136,22.4583,23.1555,1988480
2017-06-15,22.9862,24.4502,22.6774,22.8965,1510315
2017-06-16,22.9065,23.9024,22.9065,23.8227,2465627
2017-06-19,23.9622,24.1116,23.4443,23.8227,460198
2017-06-20,23.6236,23.6236,22.1197,22.5280,1043702
2017-06-21,22.4484,22.6525,20.5461,20.6358,1275376
2017-06-22,20.6358,20.9843,19.8290,20.9744,1321878
2017-06-23,20.9445,21.0192,20.1578,20.3868,3690385
2017-06-26,20.3370,20.9644,19.9984,20.4166,790772
2017-06-27,20.4764,21.5421,20.3370,21.2034,1029076
2017-06-28,21.1935,21.5520,21.0540,21.1835,737567
2017-06-29,21.2433,21.4524,20.9544,21.3429,796188
2017-06-30,21.4524,21.6516,21.1536,21.5221,250831
2017-07-03,21.6616,22.3089,21.3030,22.2492,396507
2017-07-05,22.2890,22.3189,21.6715,21.7313,765815
2017-07-06,21.5221,21.5221,20.8100,20.8847,1184427
2017-07-07,20.9047,21.1337,20.4963,20.5860,953857
2017-07-10,20.5461,21.3927,20.4664,21.2532,826888
2017-07-11,21.1437,21.7114,20.9345,21.6416,656134
2017-07-12,21.6914,22.2492,21.6416,22.0400,1091807
2017-07-13,22.0201,22.1695,21.7711,21.9703,1577730
2017-07-14,22.0400,22.1994,21.9006,21.9902,211254
2017-07-17,21.9703,23.0260,21.8334,22.8766,1357054
2017-07-18,22.7372,23.1156,22.7173,22.9463,962684
