Date,Open,High,Low,Close,Volume
1987-11-05,2.0812,2.0889,1.9852,2.0095,552000
1987-11-06,2.0249,2.0249,1.9371,1.9371,496000
1987-11-09,1.9371,1.9371,1.8251,1.8571,876800
1987-11-10,1.8251,1.8411,1.7130,1.7687,748000
1987-11-11,1.8090,1.9531,1.8007,1.9531,496000
1987-11-12,2.0172,2.1132,1.9691,2.0012,1035200
1987-11-13,1.9852,2.0332,1.9211,1.9211,928000
1987-11-16,1.9371,1.9775,1.9371,1.9691,536800
1987-11-17,1.9531,1.9531,1.9051,1.9454,772000
1987-11-18,1.9531,2.0172,1.9051,2.0172,467200
1987-11-19,2.0172,2.0652,1.9211,1.9531,335200
1987-11-20,1.9531,2.0095,1.9051,1.9852,1008800
1987-11-23,2.0012,2.0332,1.9531,2.0332,149600
1987-11-24,2.0492,2.0735,2.0172,2.0569,564000
1987-11-25,2.0249,2.0812,2.0012,2.0652,288000
1987-11-27,2.0652,2.0652,1.9852,2.0012,695200
1987-11-30,1.8891,1.9531,1.8571,1.9051,1473600
1987-12-01,1.9211,2.0249,1.9051,1.9852,597600
1987-12-02,1.9691,1.9691,1.9211,1.9531,487200
1987-12-03,1.9454,1.9454,1.8090,1.8251,802400
1987-12-04,1.7610,1.8251,1.7290,1.8090,787200
1987-12-07,1.7770,1.8411,1.7450,1.8251,227200
1987-12-08,1.8090,2.0172,1.8090,2.0012,396000
1987-12-09,1.9852,2.1132,1.9775,2.0415,1044800
1987-12-10,1.9691,2.1292,1.9691,2.0172,572800
1987-12-11,2.0012,2.0812,2.0012,2.0652,157600
1987-12-14,2.0492,2.1452,2.0492,2.1452,832000
1987-12-15,2.1613,2.1773,2.0972,2.1452,992000
1987-12-16,2.1452,2.1452,2.0812,2.1452,502400
1987-12-17,2.1452,2.1452,2.1292,2.1292,560000
1987-12-18,2.1452,2.1773,2.1292,2.1773,1742400
1987-12-21,2.2253,2.2253,2.1773,2.1933,701600
1987-12-22,2.1933,2.1933,2.1452,2.1773,409600
1987-12-23,2.1613,2.2733,2.1132,2.2733,2480000
1987-12-24,2.2573,2.3374,2.2573,2.2893,103200
1987-12-28,2.2413,2.2413,2.1613,2.2093,484000
1987-12-29,2.1933,2.1933,2.1209,2.1452,695200
1987-12-30,2.1292,2.1452,2.1132,2.1452,385600
1987-12-31,2.1452,2.1452,2.1132,2.1132,291200
1988-01-04,2.1292,2.1696,2.1132,2.1696,2088000
1988-01-05,2.1933,2.3213,2.1933,2.2656,1412000
1988-01-06,2.3053,2.3213,2.2733,2.3053,396800
1988-01-07,2.2893,2.3854,2.2656,2.3694,676000
1988-01-08,2.3213,2.3534,2.1613,2.1613,383200
1988-01-11,2.1773,2.1773,1.9531,2.1696,485600
1988-01-12,2.1773,2.2413,2.0172,2.2253,667200
1988-01-13,2.1933,2.2253,2.1132,2.1132,824000
1988-01-14,2.1452,2.1613,2.1132,2.1292,676000
1988-01-15,2.2413,2.2733,2.1773,2.1773,899200
1988-01-18,2.1613,2.1613,2.1292,2.1452,331200
1988-01-19,2.1292,2.2253,2.1209,2.1292,858400
1988-01-20,2.1209,2.1613,2.0889,2.0889,752000
1988-01-21,2.1055,2.1055,2.0172,2.0492,696000
1988-01-22,2.0652,2.0972,2.0492,2.0652,1225600
1988-01-25,2.0812,2.2253,2.0652,2.2016,271200
1988-01-26,2.1696,2.2093,2.1452,2.1613,156800
1988-01-27,2.1452,2.2093,2.0889,2.1132,231200
1988-01-28,2.1132,2.1132,2.0889,2.0889,512800
1988-01-29,2.1035,2.1356,2.1035,2.1356,284000
1988-02-01,2.1196,2.1517,2.1035,2.1196,129600
1988-02-02,2.1196,2.1356,2.0393,2.1035,1119200
1988-02-03,2.1119,2.1356,1.9429,1.9751,606400
1988-02-04,1.9751,2.0714,1.9751,2.0232,700800
1988-02-05,2.0072,2.0072,1.9911,1.9911,497600
1988-02-08,1.9911,2.0072,1.9751,2.0072,302400
1988-02-09,2.0072,2.0875,2.0072,2.0875,118400
1988-02-10,2.0554,2.1119,2.0554,2.1035,360000
1988-02-11,2.1196,2.1517,2.0554,2.0714,212800
1988-02-12,2.0952,2.2236,2.0952,2.2159,749600
1988-02-16,2.1838,2.2320,2.1838,2.2159,273600
1988-02-17,2.2320,2.2480,2.1678,2.1678,374400
1988-02-18,2.1517,2.1594,2.1035,2.1035,798400
1988-02-19,2.0875,2.2159,2.0875,2.2159,743200
1988-02-22,2.2159,2.2962,2.1999,2.2802,688000
1988-02-23,2.2802,2.2802,2.1838,2.2480,376000
1988-02-24,2.2480,2.2641,2.1915,2.2480,583200
1988-02-25,2.2641,2.3046,2.2236,2.2236,2243200
1988-02-26,2.2236,2.2802,2.2236,2.2480,224800
1988-02-29,2.2159,2.3444,2.2159,2.3367,560800
1988-03-01,2.3283,2.3604,2.3123,2.3444,556800
1988-03-02,2.4086,2.4086,2.3604,2.3926,572000
1988-03-03,2.3765,2.4086,2.3765,2.4009,340800
1988-03-04,2.4009,2.4247,2.3283,2.3926,624800
1988-03-07,2.3765,2.3765,2.3123,2.3765,504800
1988-03-08,2.3765,2.3842,2.3123,2.3123,347200
1988-03-09,2.3283,2.3604,2.2802,2.2802,524800
1988-03-10,2.2962,2.2962,2.1999,2.2159,372800
1988-03-11,2.2320,2.2480,2.1517,2.2480,534400
1988-03-14,2.2480,2.3604,2.2480,2.3283,190400
1988-03-15,2.3123,2.3444,2.3123,2.3444,344000
1988-03-16,2.3604,2.4247,2.3123,2.4247,365600
1988-03-17,2.4407,2.4728,2.3926,2.4163,904000
1988-03-18,2.4568,2.4568,2.3604,2.4407,1212000
1988-03-21,2.4247,2.4247,2.3604,2.3604,578400
1988-03-22,2.3765,2.3765,2.3123,2.3367,332000
1988-03-23,2.3521,2.3765,2.3444,2.3688,396000
1988-03-24,2.3604,2.3604,2.2320,2.2641,490400
1988-03-25,2.2480,2.2641,2.2320,2.2641,574400
1988-03-28,2.2480,2.2724,2.2480,2.2480,578400
1988-03-29,2.2641,2.2802,2.2320,2.2641,210400
1988-03-30,2.2641,2.2962,2.2320,2.2403,426400
1988-03-31,2.2320,2.2403,2.1999,2.2403,434400
1988-04-04,2.2236,2.2403,2.1678,2.1678,521600
1988-04-05,2.1838,2.2159,2.1838,2.2082,276800
1988-04-06,2.2159,2.2641,2.1999,2.2480,508800
1988-04-07,2.2724,2.2879,2.2480,2.2480,450400
1988-04-08,2.2480,2.3123,2.2320,2.2879,521600
1988-04-11,2.2724,2.3444,2.2641,2.3444,234400
1988-04-12,2.3283,2.4247,2.3123,2.4247,299200
1988-04-13,2.4086,2.4086,2.3765,2.4086,428000
1988-04-14,2.3123,2.3283,2.2641,2.2962,482400
1988-04-15,2.2480,2.2641,2.1999,2.2480,720000
1988-04-18,2.2320,2.2480,2.1838,2.1838,411200
1988-04-19,2.2159,2.2962,2.2159,2.2320,685600
1988-04-20,2.2082,2.2236,2.1838,2.2082,1239200
1988-04-21,2.1915,2.2802,2.1915,2.1915,380000
1988-04-22,2.1999,2.3123,2.1915,2.2802,424800
1988-04-25,2.2641,2.3283,2.2557,2.3123,242400
1988-04-26,2.3283,2.4086,2.3123,2.4009,501600
