Date,Open,High,Low,Close,Volume
1995-08-25,2.9333,2.9770,2.9333,2.9665,3541000
1995-08-28,2.9804,2.9804,2.9250,2.9469,1418500
1995-08-29,2.9689,2.9804,2.9135,2.9469,879000
1995-08-30,2.9469,2.9575,2.9364,2.9575,436500
1995-08-31,2.9575,2.9575,2.9250,2.9469,606500
1995-09-01,2.9469,2.9575,2.9364,2.9575,217000
1995-09-05,2.9469,2.9575,2.9364,2.9469,385500
1995-09-06,2.9364,2.9469,2.9250,2.9364,247000
1995-09-07,2.9364,2.9364,2.9030,2.9135,738000
1995-09-08,2.8915,2.9030,2.7604,2.7604,946000
1995-09-11,2.7710,2.8704,2.7710,2.8264,434000
1995-09-12,2.8810,2.9364,2.8810,2.9250,817500
1995-09-13,2.9689,2.9804,2.9250,2.9364,542500
1995-09-14,2.9364,2.9469,2.9250,2.9469,154500
1995-09-15,2.9364,2.9469,2.9364,2.9469,218500
1995-09-18,2.9364,2.9575,2.9250,2.9575,422500
1995-09-19,2.9469,2.9469,2.9250,2.9364,116500
1995-09-20,2.9250,2.9250,2.8704,2.8810,124500
1995-09-21,2.9030,2.9135,2.8810,2.9030,157000
1995-09-22,2.8810,2.8810,2.8370,2.8370,94500
1995-09-25,2.8590,2.8590,2.8264,2.8264,53000
1995-09-26,2.8810,2.9030,2.8704,2.8704,266500
1995-09-27,2.8590,2.8704,2.8590,2.8590,95000
1995-09-28,2.8810,2.9135,2.8810,2.9030,205000
1995-09-29,2.9909,3.0463,2.9909,3.0349,1303000
1995-10-02,3.0789,3.1334,3.0789,3.0903,570000
1995-10-03,3.1009,3.1114,3.0789,3.1009,165000
1995-10-04,3.0903,3.0903,3.0675,3.0675,108500
1995-10-05,3.0789,3.0903,3.0675,3.0903,70500
1995-10-06,3.0903,3.0903,3.0569,3.0675,277000
1995-10-09,3.0569,3.0789,3.0463,3.0463,77000
1995-10-10,3.0463,3.0463,2.9909,3.0015,80000
1995-10-11,3.0015,3.0349,3.0015,3.0015,80500
1995-10-12,3.0244,3.1009,3.0244,3.0903,170000
1995-10-13,3.1449,3.2003,3.1449,3.1889,201000
1995-10-16,3.2108,3.2663,3.2108,3.2443,130000
1995-10-17,3.2328,3.2328,3.2003,3.2003,154500
1995-10-18,3.2003,3.2874,3.2003,3.2443,169000
1995-10-19,3.2663,3.3103,3.2663,3.3103,130500
1995-10-20,3.3314,3.3868,3.3314,3.3648,212500
1995-10-23,3.3762,3.3762,3.3648,3.3762,66000
1995-10-24,3.3534,3.3534,3.3208,3.3208,71500
1995-10-25,3.3208,3.3208,3.3103,3.3103,284500
1995-10-26,3.3103,3.3208,3.2663,3.2768,96000
1995-10-27,3.2663,3.2768,3.2548,3.2768,25000
1995-10-30,3.2663,3.2874,3.2663,3.2663,18500
1995-10-31,3.3208,3.3648,3.3208,3.3648,208000
1995-11-01,3.3534,3.3534,3.2874,3.2988,107000
1995-11-02,3.3103,3.3648,3.3103,3.3428,291000
1995-11-03,3.4748,3.4862,3.4748,3.4862,252500
1995-11-06,3.4862,3.5187,3.4528,3.5187,235000
1995-11-07,3.5187,3.5187,3.4862,3.4862,192000
1995-11-08,3.4862,3.4967,3.4748,3.4967,14500
1995-11-09,3.4862,3.5407,3.4862,3.5293,41500
1995-11-10,3.5187,3.5187,3.4967,3.4967,11000
1995-11-13,3.4862,3.4862,3.4642,3.4862,29000
1995-11-14,3.4748,3.4748,3.4308,3.4308,35500
1995-11-15,3.4308,3.4642,3.4308,3.4642,11500
1995-11-16,3.4642,3.5187,3.4642,3.5187,31000
1995-11-17,3.5187,3.5187,3.5187,3.5187,14500
1995-11-20,3.5187,3.5627,3.5187,3.5513,25000
1995-11-21,3.5513,3.5733,3.5513,3.5733,6500
1995-11-22,3.5627,3.6181,3.5627,3.6181,21500
1995-11-24,3.6181,3.6181,3.5847,3.5847,12000
1995-11-27,3.5847,3.5847,3.5407,3.5407,21000
1995-11-28,3.5407,3.5847,3.5407,3.5733,12000
1995-11-29,3.5627,3.5627,3.5513,3.5513,6500
1995-11-30,3.5627,3.5961,3.5627,3.5847,16000
1995-12-01,3.5847,3.5847,3.5733,3.5733,8500
1995-12-04,3.5627,3.5733,3.5627,3.5733,6500
1995-12-05,3.5627,3.5733,3.5627,3.5733,3000
1995-12-06,3.5627,3.5627,3.5407,3.5407,18000
1995-12-07,3.5627,3.6067,3.5627,3.5961,102500
1995-12-08,3.5733,3.5733,3.5627,3.5627,5500
1995-12-11,3.5513,3.5513,3.5513,3.5513,2500
1995-12-12,3.5407,3.5407,3.5407,3.5407,2000
1995-12-13,3.5627,3.5627,3.5293,3.5293,8500
1995-12-14,3.5187,3.5187,3.5073,3.5073,17000
1995-12-15,3.4967,3.4967,3.4967,3.4967,8000
1995-12-18,3.4748,3.4748,3.4748,3.4748,4000
1995-12-19,3.4528,3.4528,3.4088,3.4088,15500
1995-12-20,3.4088,3.4088,3.3762,3.3762,6500
1995-12-21,3.3762,3.3973,3.3648,3.3648,7000
1995-12-22,3.3648,3.3648,3.3648,3.3648,3000
1995-12-26,3.3534,3.3534,3.3534,3.3534,1500
1995-12-27,3.3534,3.3762,3.3534,3.3534,19500
1995-12-28,3.3868,3.4088,3.3868,3.4088,28000
1995-12-29,3.3973,3.4088,3.3973,3.4088,10500
1996-01-02,3.4308,3.4528,3.4308,3.4413,38500
1996-01-03,3.4642,3.5073,3.4642,3.4967,25000
1996-01-04,3.4967,3.4967,3.4308,3.4308,19500
1996-01-05,3.4308,3.4413,3.4308,3.4308,15500
