Date,Open,High,Low,Close,Volume
1990-01-12,1.7706,1.7706,1.7486,1.7629,272000
1990-01-15,1.7558,1.7629,1.7260,1.7558,312000
1990-01-16,1.7558,1.8379,1.7558,1.8379,520000
1990-01-17,1.8748,1.9272,1.8748,1.8974,1720000
1990-01-18,1.8897,1.9492,1.8897,1.9272,425600
1990-01-19,1.9343,1.9343,1.9117,1.9194,208000
1990-01-22,1.9272,1.9343,1.9117,1.9272,1080000
1990-01-23,1.9194,1.9343,1.9117,1.9272,284800
1990-01-24,1.8974,1.9272,1.8819,1.9117,382400
1990-01-25,1.9194,1.9194,1.9046,1.9194,126400
1990-01-26,1.9272,1.9272,1.9046,1.9046,299200
1990-01-29,1.9117,1.9117,1.9046,1.9046,116800
1990-01-30,1.9046,1.9194,1.9046,1.9117,316800
1990-01-31,1.9194,1.9194,1.9046,1.9046,532800
1990-02-01,1.9117,1.9117,1.8897,1.9046,649600
1990-02-02,1.9117,1.9117,1.9046,1.9046,116800
1990-02-05,1.9117,1.9415,1.9046,1.9415,499200
1990-02-06,1.9569,1.9790,1.9492,1.9641,222400
1990-02-07,1.9641,2.0385,1.9641,2.0385,747200
1990-02-08,2.0605,2.1873,2.0605,2.1498,873600
1990-02-09,2.1724,2.2170,2.1652,2.2093,398400
1990-02-12,2.1724,2.2021,2.1575,2.2021,924800
1990-02-13,2.2093,2.2468,2.1873,2.2468,641600
1990-02-14,2.2468,2.2468,2.2093,2.2170,347200
1990-02-15,2.2093,2.2248,2.2021,2.2093,233600
1990-02-16,2.2170,2.2765,2.2170,2.2545,276800
1990-02-20,2.2545,2.2617,2.2391,2.2391,299200
1990-02-21,2.2248,2.2319,2.2021,2.2248,606400
1990-02-22,2.2170,2.2468,2.2093,2.2468,216000
1990-02-23,2.2468,2.2468,2.2021,2.2021,321600
1990-02-26,2.2021,2.2170,2.2021,2.2170,112000
1990-02-27,2.2021,2.2319,2.1950,2.2170,283200
1990-02-28,2.2248,2.2248,2.1950,2.2021,152000
1990-03-01,2.2021,2.2093,2.2021,2.2021,41600
1990-03-02,2.2021,2.2093,2.2021,2.2021,174400
1990-03-05,2.2021,2.2093,2.2021,2.2093,86400
1990-03-06,2.2093,2.2170,2.2093,2.2170,83200
1990-03-07,2.2093,2.2248,2.2021,2.2093,163200
1990-03-08,2.2021,2.2248,2.1950,2.2170,129600
1990-03-09,2.2170,2.2248,2.2021,2.2248,446400
1990-03-12,2.2093,2.2319,2.2021,2.2319,142400
1990-03-13,2.2248,2.2248,2.2093,2.2170,169600
1990-03-14,2.2248,2.2391,2.2170,2.2391,132800
