Date,Open,High,Low,Close,Volume
1990-03-26,2.5954,2.6252,2.5954,2.5954,356400
1990-03-27,2.6551,2.6551,2.5954,2.6252,121602
1990-03-28,2.5954,2.6551,2.5954,2.6551,100800
1990-03-29,2.6252,2.6252,2.6252,2.6252,33600
1990-03-30,2.5954,2.6849,2.5954,2.6551,154800
1990-04-02,2.6252,2.7147,2.6252,2.7147,90000
1990-04-03,2.7147,2.7744,2.6849,2.7446,978402
1990-04-04,2.7446,2.7446,2.6849,2.6849,496002
1990-04-05,2.6849,2.7147,2.6849,2.6849,1087200
1990-04-06,2.6849,2.7147,2.6849,2.6849,122802
1990-04-09,2.6849,2.7147,2.6849,2.7147,59202
1990-04-10,2.6551,2.6551,2.5954,2.6252,517200
1990-04-11,2.6551,2.6849,2.6252,2.6849,253200
1990-04-12,2.6252,2.6551,2.5954,2.6395,223200
1990-04-16,2.5954,2.6252,2.5954,2.5954,678402
1990-04-17,2.5656,2.5954,2.5656,2.5954,225600
1990-04-18,2.5954,2.5954,2.5656,2.5954,527202
1990-04-19,2.5656,2.6551,2.5656,2.5954,217602
1990-04-20,2.5954,2.6551,2.5954,2.5954,597600
1990-04-23,2.6252,2.6252,2.5357,2.5656,148002
1990-04-24,2.5059,2.5357,2.4606,2.4606,322800
1990-04-25,2.4462,2.4761,2.4164,2.4761,181602
1990-04-26,2.4164,2.4761,2.4164,2.4761,128400
1990-04-27,2.4164,2.4761,2.4164,2.4307,284400
1990-04-30,2.4236,2.4236,2.3638,2.4092,228402
1990-05-01,2.4092,2.4535,2.4092,2.4236,122802
1990-05-02,2.4834,2.5134,2.4535,2.4834,207600
1990-05-03,2.4679,2.4679,2.3039,2.4236,409602
1990-05-04,2.3937,2.4535,2.3937,2.4535,637200
1990-05-07,2.4236,2.4535,2.4236,2.4236,133602
1990-05-08,2.4535,2.4535,2.4236,2.4535,52002
1990-05-09,2.4535,2.4834,2.4236,2.4834,648000
1990-05-10,2.4535,2.5134,2.4535,2.5134,1025202
1990-05-11,2.4834,2.5433,2.4535,2.5134,1180002
1990-05-14,2.5732,2.6630,2.5732,2.6031,308400
1990-05-15,2.6331,2.6630,2.6031,2.6630,212400
1990-05-16,2.6031,2.6331,2.5732,2.5732,94800
1990-05-17,2.5732,2.6630,2.5732,2.6175,1250400
1990-05-18,2.6031,2.6630,2.6031,2.6031,378402
1990-05-21,2.6031,2.6630,2.6031,2.6474,1994400
1990-05-22,2.6331,2.6630,2.6331,2.6331,598800
1990-05-23,2.6331,2.6630,2.6331,2.6474,1464402
1990-05-24,2.6630,2.6929,2.6331,2.6630,395202
1990-05-25,2.6331,2.6630,2.6031,2.6630,121200
1990-05-29,2.6031,2.6630,2.6031,2.6630,261600
1990-05-30,2.6331,2.6630,2.6331,2.6331,235200
1990-05-31,2.6630,2.6929,2.6331,2.6630,964002
1990-06-01,2.6630,2.6929,2.6331,2.6331,333600
1990-06-04,2.6630,2.6630,2.6031,2.6331,231600
1990-06-05,2.6331,2.6630,2.5277,2.5732,378000
1990-06-06,2.5433,2.5588,2.5134,2.5433,518400
1990-06-07,2.5134,2.5732,2.5134,2.5732,149202
1990-06-08,2.5134,2.6031,2.5134,2.6031,119202
1990-06-11,2.5732,2.6630,2.5134,2.6031,332400
1990-06-12,2.6331,2.7228,2.6331,2.6331,865602
1990-06-13,2.6929,2.6929,2.6331,2.6929,665202
1990-06-14,2.6331,2.6929,2.6331,2.6331,108000
1990-06-15,2.6331,2.6630,2.6331,2.6474,570000
1990-06-18,2.6331,2.6331,2.5732,2.6331,158802
1990-06-19,2.5732,2.6331,2.5732,2.5732,69600
1990-06-20,2.6331,2.6331,2.5732,2.6331,93600
1990-06-21,2.6031,2.6331,2.5732,2.5732,97200
1990-06-22,2.5732,2.5732,2.4236,2.4535,581202
1990-06-25,2.4236,2.4834,2.4236,2.4679,198000
1990-06-26,2.4834,2.5433,2.4236,2.4834,169200
1990-06-27,2.4834,2.5134,2.4236,2.4236,198402
1990-06-28,2.4236,2.5134,2.4236,2.4236,49200
1990-06-29,2.4236,2.5134,2.4236,2.5134,550800
1990-07-02,2.4535,2.5732,2.4535,2.5732,134802
1990-07-03,2.5433,2.5732,2.5433,2.5433,55602
1990-07-05,2.4834,2.5433,2.4834,2.5433,86400
1990-07-06,2.4535,2.6031,2.4535,2.5433,158802
1990-07-09,2.5433,2.5588,2.4535,2.4535,298800
1990-07-10,2.5134,2.5134,2.4535,2.5134,214800
1990-07-11,2.4236,2.5433,2.4236,2.5134,607200
1990-07-12,2.5277,2.5433,2.4679,2.4990,337602
1990-07-13,2.4834,2.5433,2.4834,2.4834,78000
1990-07-16,2.5134,2.5433,2.4834,2.5134,66402
1990-07-17,2.4834,2.5433,2.4834,2.4990,207600
