Date,Open,High,Low,Close,Volume
1993-05-03,0.7317,0.7561,0.7190,0.7444,859200
1993-05-04,0.7444,0.7444,0.7073,0.7317,1188000
1993-05-05,0.7073,0.7561,0.7073,0.7317,1298400
1993-05-06,0.7190,0.7922,0.7190,0.7922,1876800
1993-05-07,0.7922,0.8293,0.7805,0.8293,1213600
1993-05-10,0.8293,0.8566,0.8176,0.8536,940000
1993-05-11,0.8536,0.8536,0.8049,0.8419,768800
1993-05-12,0.8419,0.8449,0.7805,0.7805,532800
1993-05-13,0.8293,0.8293,0.7776,0.8176,255200
1993-05-14,0.7805,0.8176,0.7805,0.8176,207200
1993-05-17,0.8176,0.8293,0.7805,0.8049,460800
1993-05-18,0.8293,0.8293,0.7922,0.8049,278400
1993-05-19,0.7922,0.8293,0.7922,0.8049,164800
1993-05-20,0.8049,0.8293,0.8049,0.8293,515200
1993-05-21,0.8293,0.8780,0.8049,0.8780,838400
1993-05-24,0.8419,0.8654,0.8293,0.8654,405600
1993-05-25,0.8654,0.8654,0.8049,0.8536,303200
1993-05-26,0.8536,0.8654,0.8049,0.8293,1228000
1993-05-27,0.8419,0.8536,0.7922,0.7922,1132800
1993-05-28,0.7805,0.8049,0.7561,0.7561,1062400
1993-06-01,0.7805,0.7805,0.7317,0.7317,1884000
1993-06-02,0.7317,0.7317,0.6097,0.6712,2239200
1993-06-03,0.6712,0.6829,0.6341,0.6829,525600
1993-06-04,0.6585,0.7805,0.6585,0.7805,482400
1993-06-07,0.8049,0.8049,0.7317,0.7805,964000
1993-06-08,0.8049,0.8049,0.7444,0.8049,470400
1993-06-09,0.8049,0.8293,0.7805,0.8293,627200
1993-06-10,0.8293,0.8536,0.7805,0.8293,232800
1993-06-11,0.8293,0.8536,0.7805,0.7805,234400
1993-06-14,0.8293,0.8293,0.7805,0.7863,244800
1993-06-15,0.7805,0.8049,0.7317,0.8049,512000
1993-06-16,0.8049,0.8049,0.7561,0.7805,188000
1993-06-17,0.8049,0.8049,0.7561,0.7805,247200
1993-06-18,0.8049,0.8049,0.7561,0.7805,104000
1993-06-21,0.8049,0.8049,0.7561,0.7805,76000
1993-06-22,0.7805,0.8176,0.7317,0.7805,698400
1993-06-23,0.7922,0.8654,0.7561,0.8049,1614400
1993-06-24,0.8654,0.9512,0.8049,0.8780,1463200
1993-06-25,0.8780,0.9268,0.8536,0.8780,889600
1993-06-28,0.8780,0.9268,0.8780,0.9268,940000
1993-06-29,0.9268,0.9268,0.8780,0.9268,884800
1993-06-30,0.9024,0.9512,0.9024,0.9512,876800
1993-07-01,0.9512,0.9756,0.9268,0.9268,262400
1993-07-02,0.9639,0.9756,0.9268,0.9268,315200
1993-07-06,0.9756,0.9756,0.8780,0.8780,216000
