Date,Open,High,Low,Close,Volume
1970-01-02,0.3838,0.3848,0.3742,0.3742,1195200
1970-01-05,0.3742,0.3752,0.3646,0.3651,964800
1970-01-06,0.3651,0.3720,0.3635,0.3720,1036800
1970-01-07,0.3720,0.3731,0.3694,0.3704,331200
1970-01-08,0.3704,0.3763,0.3704,0.3731,460800
1970-01-09,0.3752,0.3806,0.3752,0.3752,748800
1970-01-12,0.3752,0.3752,0.3688,0.3688,864000
1970-01-13,0.3699,0.3752,0.3699,0.3720,849600
1970-01-14,0.3720,0.3784,0.3720,0.3774,619200
1970-01-15,0.3774,0.3784,0.3768,0.3779,1209600
1970-01-16,0.3779,0.3779,0.3763,0.3774,734400
1970-01-19,0.3768,0.3768,0.3720,0.3726,1180800
1970-01-20,0.3726,0.3726,0.3662,0.3726,763200
1970-01-21,0.3726,0.3742,0.3715,0.3742,878400
1970-01-22,0.3742,0.3752,0.3720,0.3752,360000
1970-01-23,0.3752,0.3763,0.3726,0.3731,979200
1970-01-26,0.3731,0.3731,0.3710,0.3731,979200
1970-01-27,0.3715,0.3715,0.3688,0.3688,532800
1970-01-28,0.3656,0.3656,0.3486,0.3486,1497600
1970-01-29,0.3475,0.3475,0.3294,0.3411,3585600
1970-01-30,0.3368,0.3368,0.3305,0.3368,2808000
1970-02-02,0.3406,0.3539,0.3406,0.3539,1612800
1970-02-03,0.3539,0.3688,0.3518,0.3518,2692800
1970-02-04,0.3480,0.3480,0.3321,0.3363,2793600
1970-02-05,0.3363,0.3518,0.3352,0.3518,1886400
1970-02-06,0.3496,0.3496,0.3454,0.3475,705600
1970-02-09,0.3560,0.3656,0.3560,0.3630,1684800
1970-02-10,0.3688,0.3731,0.3688,0.3699,2505600
1970-02-11,0.3688,0.3688,0.3651,0.3667,2232000
1970-02-12,0.3667,0.3667,0.3510,0.3534,3369600
1970-02-13,0.3520,0.3520,0.3411,0.3454,1540800
1970-02-16,0.3460,0.3476,0.3452,0.3452,820800
1970-02-17,0.3452,0.3455,0.3353,0.3385,1915200
1970-02-18,0.3396,0.3423,0.3396,0.3412,878400
1970-02-19,0.3412,0.3412,0.3380,0.3388,576000
1970-02-20,0.3380,0.3380,0.3311,0.3324,1396800
1970-02-24,0.3324,0.3337,0.3231,0.3252,3744000
1970-02-25,0.3252,0.3375,0.3236,0.3375,2822400
1970-02-26,0.3343,0.3343,0.3273,0.3311,1353600
1970-02-27,0.3332,0.3417,0.3332,0.3404,1627200
1970-03-02,0.3404,0.3455,0.3375,0.3375,1051200
1970-03-03,0.3375,0.3380,0.3321,0.3380,1468800
1970-03-04,0.3380,0.3439,0.3380,0.3412,734400
1970-03-05,0.3412,0.3423,0.3396,0.3407,892800
1970-03-06,0.3407,0.3407,0.3348,0.3359,907200
1970-03-09,0.3348,0.3348,0.3321,0.3337,273600
1970-03-10,0.3321,0.3321,0.3281,0.3311,1353600
1970-03-11,0.3311,0.3353,0.3300,0.3337,432000
1970-03-12,0.3340,0.3364,0.3340,0.3348,388800
1970-03-13,0.3332,0.3332,0.3311,0.3311,1339200
1970-03-16,0.3311,0.3311,0.3252,0.3257,806400
1970-03-17,0.3257,0.3268,0.3241,0.3241,1267200
1970-03-18,0.3247,0.3273,0.3247,0.3273,748800
1970-03-19,0.3284,0.3300,0.3284,0.3284,1123200
1970-03-20,0.3284,0.3284,0.3263,0.3284,518400
1970-03-23,0.3279,0.3279,0.3247,0.3257,216000
1970-03-24,0.3255,0.3255,0.3204,0.3238,1670400
1970-03-25,0.3268,0.3385,0.3268,0.3343,2275200
1970-03-26,0.3343,0.3364,0.3332,0.3343,936000
1970-03-30,0.3343,0.3359,0.3321,0.3327,1368000
1970-03-31,0.3311,0.3311,0.3279,0.3300,676800
1970-04-01,0.3289,0.3289,0.3268,0.3276,820800
1970-04-02,0.3257,0.3257,0.3215,0.3222,792000
1970-04-03,0.3222,0.3241,0.3222,0.3236,1008000
1970-04-06,0.3236,0.3252,0.3145,0.3150,2275200
1970-04-07,0.3145,0.3145,0.3054,0.3060,1526400
1970-04-08,0.3060,0.3065,0.3038,0.3054,734400
1970-04-09,0.3054,0.3129,0.3054,0.3124,820800
1970-04-10,0.3124,0.3172,0.3110,0.3118,3312000
1970-04-13,0.3118,0.3118,0.3076,0.3097,878400
1970-04-14,0.3097,0.3150,0.3054,0.3145,835200
1970-04-15,0.3145,0.3199,0.3140,0.3161,2217600
1970-04-16,0.3161,0.3161,0.3124,0.3126,1252800
1970-04-17,0.3126,0.3129,0.3118,0.3124,950400
1970-04-20,0.3124,0.3129,0.3102,0.3118,1425600
1970-04-21,0.3118,0.3140,0.3097,0.3100,518400
1970-04-22,0.3097,0.3097,0.3076,0.3078,561600
1970-04-23,0.3078,0.3081,0.2980,0.2987,763200
1970-04-24,0.2987,0.2990,0.2972,0.2974,792000
1970-04-27,0.2972,0.2972,0.2937,0.2942,705600
1970-04-28,0.2942,0.2948,0.2926,0.2926,676800
1970-04-29,0.2926,0.3033,0.2873,0.3033,2534400
1970-04-30,0.3033,0.3097,0.3033,0.3054,532800
1970-05-01,0.3054,0.3054,0.3033,0.3038,316800
1970-05-04,0.3001,0.3001,0.2942,0.2942,576000
1970-05-05,0.2932,0.2932,0.2910,0.2910,950400
1970-05-06,0.2910,0.2958,0.2910,0.2958,1166400
1970-05-07,0.2969,0.3012,0.2969,0.3001,1137600
1970-05-08,0.3001,0.3022,0.2937,0.2958,921600
1970-05-11,0.2918,0.2918,0.2883,0.2883,705600
1970-05-12,0.2883,0.2958,0.2878,0.2905,763200
1970-05-13,0.2894,0.2894,0.2878,0.2886,360000
1970-05-14,0.2886,0.2889,0.2819,0.2857,1094400
1970-05-15,0.2883,0.2990,0.2883,0.2990,676800
1970-05-18,0.3108,0.3108,0.3028,0.3028,187200
1970-05-19,0.3028,0.3044,0.2867,0.2867,657600
1970-05-20,0.2867,0.2883,0.2827,0.2827,542400
1970-05-21,0.2787,0.2787,0.2668,0.2723,1881600
1970-05-22,0.2728,0.2777,0.2632,0.2712,777600
1970-05-25,0.2696,0.2696,0.2520,0.2520,1718400
1970-05-26,0.2520,0.2536,0.2391,0.2400,1536000
1970-05-27,0.2472,0.2584,0.2472,0.2584,2001600
1970-05-28,0.2584,0.2648,0.2552,0.2632,3168000
1970-05-29,0.2632,0.2793,0.2600,0.2793,1872000
1970-06-01,0.2793,0.2889,0.2777,0.2889,1555200
1970-06-02,0.2889,0.2921,0.2809,0.2857,1190400
1970-06-03,0.2857,0.2978,0.2832,0.2978,1185600
1970-06-04,0.2978,0.3074,0.2953,0.2953,1948800
1970-06-05,0.2953,0.2953,0.2865,0.2881,796800
1970-06-08,0.2881,0.2913,0.2809,0.2905,523200
1970-06-09,0.2905,0.2913,0.2825,0.2889,652800
1970-06-10,0.2889,0.2945,0.2881,0.2881,744000
1970-06-11,0.2881,0.2945,0.2857,0.2937,628800
1970-06-12,0.2937,0.2953,0.2905,0.2937,696000
1970-06-15,0.2937,0.3001,0.2921,0.2985,374400
1970-06-16,0.3017,0.3258,0.3017,0.3210,912000
1970-06-17,0.3210,0.3210,0.3098,0.3146,974400
1970-06-18,0.3146,0.3210,0.3114,0.3210,556800
1970-06-19,0.3210,0.3258,0.3146,0.3146,1238400
1970-06-22,0.3146,0.3194,0.3017,0.3146,393600
1970-06-23,0.3114,0.3114,0.3017,0.3033,715200
1970-06-24,0.3033,0.3033,0.2953,0.2993,532800
1970-06-25,0.2993,0.3082,0.2985,0.2993,388800
1970-06-26,0.2993,0.3001,0.2905,0.2953,484800
1970-06-29,0.2953,0.2978,0.2897,0.2953,283200
1970-06-30,0.2953,0.3065,0.2953,0.2993,417600
1970-07-01,0.2993,0.3001,0.2953,0.3001,921600
1970-07-02,0.3001,0.3009,0.2961,0.2961,216000
1970-07-06,0.2969,0.3042,0.2969,0.3001,672000
1970-07-07,0.3001,0.3033,0.2889,0.2889,916800
1970-07-08,0.2889,0.2993,0.2881,0.2985,408000
1970-07-09,0.3001,0.3082,0.3001,0.3017,427200
1970-07-10,0.3017,0.3114,0.3017,0.3089,336000
1970-07-13,0.3089,0.3154,0.3058,0.3058,403200
1970-07-14,0.3058,0.3082,0.3009,0.3049,552000
1970-07-15,0.3058,0.3114,0.3058,0.3082,912000
1970-07-16,0.3082,0.3121,0.3065,0.3065,763200
1970-07-17,0.3098,0.3178,0.3098,0.3178,849600
1970-07-20,0.3178,0.3242,0.3178,0.3202,1224000
1970-07-21,0.3202,0.3234,0.3194,0.3194,1800000
1970-07-22,0.3194,0.3218,0.3178,0.3178,1872000
1970-07-23,0.3178,0.3226,0.3146,0.3162,1804800
1970-07-24,0.3154,0.3154,0.3114,0.3114,667200
1970-07-27,0.3105,0.3105,0.3033,0.3033,436800
1970-07-28,0.3049,0.3130,0.3049,0.3114,772800
1970-07-29,0.3130,0.3210,0.3130,0.3186,326400
1970-07-30,0.3186,0.3202,0.3146,0.3162,542400
1970-07-31,0.3162,0.3194,0.3162,0.3170,484800
1970-08-03,0.3162,0.3162,0.3042,0.3114,816000
1970-08-04,0.3098,0.3098,0.3049,0.3082,542400
1970-08-05,0.3082,0.3114,0.3033,0.3042,633600
1970-08-06,0.3049,0.3082,0.3049,0.3058,470400
1970-08-07,0.3058,0.3089,0.3025,0.3042,811200
1970-08-10,0.3025,0.3025,0.2921,0.2921,672000
1970-08-11,0.2921,0.2937,0.2889,0.2905,849600
1970-08-12,0.2913,0.2953,0.2913,0.2913,288000
1970-08-13,0.2913,0.2913,0.2793,0.2841,1833600
1970-08-14,0.2816,0.2816,0.2769,0.2785,998400
1970-08-17,0.2790,0.2814,0.2750,0.2798,1108800
1970-08-18,0.2894,0.2975,0.2894,0.2902,753600
1970-08-19,0.2902,0.2975,0.2902,0.2902,624000
1970-08-20,0.2902,0.2975,0.2862,0.2926,816000
1970-08-21,0.2926,0.3087,0.2926,0.3071,1118400
1970-08-24,0.3119,0.3184,0.3119,0.3152,1036800
1970-08-25,0.3152,0.3184,0.3103,0.3184,508800
1970-08-26,0.3184,0.3184,0.3103,0.3119,220800
1970-08-27,0.3119,0.3135,0.3103,0.3103,369600
1970-08-28,0.3103,0.3152,0.3071,0.3152,1012800
1970-08-31,0.3152,0.3168,0.3127,0.3127,283200
1970-09-01,0.3144,0.3168,0.3144,0.3168,446400
1970-09-02,0.3168,0.3168,0.3103,0.3103,681600
1970-09-03,0.3103,0.3304,0.3103,0.3232,1219200
1970-09-04,0.3232,0.3312,0.3232,0.3312,840000
1970-09-08,0.3312,0.3377,0.3264,0.3361,672000
1970-09-09,0.3384,0.3473,0.3384,0.3441,873600
1970-09-10,0.3400,0.3400,0.3312,0.3400,777600
1970-09-11,0.3400,0.3400,0.3328,0.3377,336000
1970-09-14,0.3377,0.3409,0.3288,0.3369,820800
1970-09-15,0.3337,0.3337,0.3248,0.3248,609600
1970-09-16,0.3248,0.3377,0.3232,0.3328,1046400
1970-09-17,0.3328,0.3400,0.3312,0.3377,729600
1970-09-18,0.3377,0.3409,0.3361,0.3393,427200
1970-09-21,0.3393,0.3393,0.3337,0.3344,374400
1970-09-22,0.3312,0.3312,0.3216,0.3288,974400
1970-09-23,0.3288,0.3393,0.3288,0.3296,532800
1970-09-24,0.3304,0.3409,0.3304,0.3377,816000
1970-09-25,0.3393,0.3457,0.3393,0.3441,1060800
1970-09-28,0.3441,0.3441,0.3312,0.3328,1387200
1970-09-29,0.3328,0.3400,0.3280,0.3377,1185600
1970-09-30,0.3384,0.3425,0.3384,0.3393,489600
1970-10-01,0.3393,0.3409,0.3384,0.3409,268800
1970-10-02,0.3409,0.3441,0.3409,0.3441,897600
1970-10-05,0.3441,0.3537,0.3441,0.3537,768000
1970-10-06,0.3553,0.3586,0.3553,0.3586,672000
1970-10-07,0.3577,0.3577,0.3537,0.3570,806400
1970-10-08,0.3553,0.3553,0.3473,0.3489,508800
1970-10-09,0.3441,0.3441,0.3344,0.3384,508800
1970-10-12,0.3369,0.3369,0.3280,0.3369,374400
1970-10-13,0.3369,0.3441,0.3328,0.3441,763200
1970-10-14,0.3473,0.3505,0.3473,0.3473,657600
1970-10-15,0.3473,0.3530,0.3473,0.3481,744000
1970-10-16,0.3481,0.3537,0.3393,0.3393,873600
1970-10-19,0.3393,0.3409,0.3353,0.3353,561600
