Date,Open,High,Low,Close,Volume
1999-06-25,13.7252,13.8559,12.2873,12.9252,44833800
1999-06-28,12.7945,13.0063,11.7814,12.9579,9166200
1999-06-29,12.7945,17.6205,12.5239,15.0977,14730000
1999-06-30,15.8951,20.7969,15.5552,19.4767,16852800
1999-07-01,20.6401,21.1760,18.5617,19.0846,9501000
1999-07-02,19.2676,19.7251,17.6467,18.6663,3912600
1999-07-06,18.8231,20.1695,17.9081,18.2349,3632400
1999-07-07,18.1173,18.6924,16.7317,17.6597,4234800
1999-07-08,17.9735,18.0388,16.7317,16.7317,2370000
1999-07-09,17.2545,17.3852,15.9474,17.3591,2935200
1999-07-12,17.5160,17.6467,16.6794,16.7317,1416000
1999-07-13,16.4441,17.3722,15.9474,16.3395,1843800
1999-07-14,16.6532,17.9081,16.4049,17.2676,3486000
1999-07-15,17.3591,19.6074,17.2545,19.5421,5128200
1999-07-16,20.2087,20.6531,18.4440,18.6793,5008800
1999-07-19,19.3852,19.4767,17.6205,17.6467,2044800
1999-07-20,17.3330,18.7970,16.6532,18.0388,3841800
1999-07-21,18.8885,20.5747,18.5617,18.7970,12091200
1999-07-22,19.4506,20.0780,17.7512,19.4113,7816800
1999-07-23,19.8688,19.9996,18.6924,19.0715,3629400
1999-07-26,18.9408,19.3460,18.1695,18.8623,4404000
1999-07-27,19.4113,19.5813,18.9538,19.0976,2255400
1999-07-28,18.9669,18.9930,18.4963,18.7970,2297400
1999-07-29,18.0388,19.2806,17.9081,18.9538,1638000
1999-07-30,19.2022,21.5682,19.0846,21.2283,9073800
1999-08-02,20.9146,22.5485,20.3917,21.0845,6874200
1999-08-03,21.4897,22.0257,20.0126,20.3133,6499800
1999-08-04,20.1041,20.3917,19.3460,20.3786,4508400
1999-08-05,20.0911,21.0453,19.0846,20.6139,5100000
1999-08-06,20.4571,21.4113,20.0519,20.9146,3399000
1999-08-09,20.2610,22.1825,19.5421,21.2283,2832600
1999-08-10,21.2806,22.3655,21.0453,22.3394,3091800
1999-08-11,22.6139,24.2348,22.5877,24.2348,4552200
1999-08-12,24.2217,26.0125,24.1825,25.7511,4590600
1999-08-13,26.6007,28.0909,26.0125,27.9471,6362400
1999-08-16,27.7641,27.8425,26.1432,26.6661,4176000
1999-08-17,27.1759,28.6922,26.4177,28.5745,4975800
1999-08-18,28.2347,29.2673,27.0321,27.0321,3699600
1999-08-19,26.5354,27.4504,26.2739,26.8752,2773800
1999-08-20,27.3720,27.3850,26.2739,26.7445,1428000
1999-08-23,26.6661,29.7902,26.6007,29.6726,4897800
1999-08-24,29.1628,30.6399,28.3523,29.5549,7678800
1999-08-25,29.4111,29.6726,28.0386,28.3000,3115200
1999-08-26,28.3523,29.4373,28.0517,28.1432,3348000
1999-08-27,28.5353,29.1497,27.7118,28.4961,2197200
1999-08-30,28.4961,28.4961,27.2674,27.4635,2007600
1999-08-31,27.5157,27.9079,26.4831,26.7968,2745600
1999-09-01,26.9798,27.2543,23.4113,23.5681,12541200
1999-09-02,22.7185,26.3785,22.2479,25.9602,13288800
1999-09-03,26.7314,26.8099,24.7184,25.2674,7052400
1999-09-07,25.0452,25.6988,24.3263,25.2936,1929600
1999-09-08,25.1498,26.6661,24.6531,25.2936,3897600
1999-09-09,25.6596,25.6596,24.3132,25.1236,1240800
1999-09-10,25.4243,26.1432,24.8491,25.0321,1700400
1999-09-13,25.0975,25.2021,23.5158,23.5289,1663200
1999-09-14,23.7250,24.8230,23.5158,23.9341,2368800
1999-09-15,24.5223,25.4635,23.8034,24.1171,4597800
1999-09-16,24.3001,24.3132,23.3198,23.9733,2417400
1999-09-17,24.2217,24.6008,23.7642,23.8557,1386000
1999-09-20,23.9603,24.2871,23.3982,23.9210,1418400
