Date,Open,High,Low,Close,Volume
1987-11-05,1.2847,1.2923,1.2703,1.2772,55000
1987-11-06,1.2847,1.2992,1.2772,1.2772,212000
1987-11-09,1.2703,1.2847,1.2414,1.2414,107600
1987-11-10,1.2559,1.2847,1.2414,1.2772,61600
1987-11-11,1.2559,1.2923,1.2559,1.2772,65600
1987-11-12,1.2992,1.3569,1.2847,1.3494,102000
1987-11-13,1.3356,1.3714,1.3281,1.3494,30200
1987-11-16,1.3356,1.3569,1.3281,1.3425,53400
1987-11-17,1.3494,1.3569,1.3136,1.3205,29800
1987-11-18,1.3136,1.3136,1.2703,1.2847,38400
1987-11-19,1.2559,1.2703,1.2126,1.2126,422800
1987-11-20,1.2270,1.2339,1.1837,1.2126,111200
1987-11-23,1.2270,1.2339,1.2126,1.2201,31800
1987-11-24,1.2294,1.2809,1.2071,1.2663,198200
1987-11-25,1.2663,1.2663,1.2370,1.2370,96000
1987-11-27,1.2294,1.2510,1.2294,1.2510,31000
1987-11-30,1.2370,1.2370,1.2071,1.2218,74600
1987-12-01,1.2148,1.2510,1.2148,1.2440,96800
1987-12-02,1.2370,1.2510,1.2294,1.2370,78200
1987-12-03,1.2294,1.2440,1.2148,1.2148,29000
1987-12-04,1.2001,1.2071,1.1931,1.1931,73200
1987-12-07,1.1855,1.2001,1.1779,1.1779,46200
1987-12-08,1.1779,1.2294,1.1779,1.2294,84000
1987-12-09,1.2148,1.2218,1.1562,1.1855,111200
1987-12-10,1.1708,1.1779,1.1562,1.1779,63800
1987-12-11,1.1638,1.1855,1.1492,1.1638,48400
1987-12-14,1.1708,1.1931,1.1562,1.1855,92600
1987-12-15,1.1708,1.2071,1.1708,1.2001,67800
1987-12-16,1.2071,1.2218,1.1855,1.1855,131800
1987-12-17,1.1855,1.2587,1.1855,1.2218,295600
1987-12-18,1.2370,1.2733,1.2218,1.2733,198800
1987-12-21,1.2733,1.3026,1.2218,1.2510,109400
1987-12-22,1.2663,1.2663,1.2370,1.2663,114200
1987-12-23,1.2440,1.3318,1.2148,1.3026,135200
1987-12-24,1.3172,1.3172,1.2733,1.2879,135800
1987-12-28,1.2733,1.3389,1.2440,1.3242,76800
1987-12-29,1.3102,1.3172,1.2733,1.2733,46800
1987-12-30,1.2587,1.3102,1.2440,1.2879,73800
1987-12-31,1.2879,1.2879,1.2294,1.2440,53600
1988-01-04,1.2294,1.3026,1.2294,1.2809,67800
1988-01-05,1.2950,1.3242,1.2950,1.3242,158400
1988-01-06,1.3465,1.3465,1.3026,1.3172,214800
1988-01-07,1.3026,1.3389,1.3026,1.3389,86000
1988-01-08,1.3318,1.3318,1.2733,1.2733,30600
1988-01-11,1.2733,1.2879,1.2587,1.2733,28800
1988-01-12,1.2587,1.2733,1.2218,1.2510,98400
1988-01-13,1.2370,1.2370,1.1855,1.2294,82400
1988-01-14,1.2440,1.2587,1.1855,1.2071,169000
1988-01-15,1.2071,1.2218,1.1931,1.2148,177800
1988-01-18,1.2294,1.2440,1.2148,1.2440,31200
1988-01-19,1.2510,1.2879,1.2510,1.2879,41400
1988-01-20,1.2733,1.3026,1.2510,1.2663,175800
1988-01-21,1.2587,1.2587,1.2440,1.2510,73200
1988-01-22,1.2663,1.2733,1.2663,1.2733,15000
1988-01-25,1.2663,1.2879,1.2510,1.2663,32000
1988-01-26,1.2587,1.2809,1.2587,1.2663,32000
1988-01-27,1.2809,1.3242,1.2809,1.2879,249600
1988-01-28,1.3026,1.3026,1.2879,1.3026,21200
1988-01-29,1.3102,1.3242,1.2733,1.3102,55600
1988-02-01,1.3242,1.3242,1.2879,1.3102,87000
1988-02-02,1.3102,1.3102,1.2809,1.2879,32400
1988-02-03,1.2809,1.2879,1.2733,1.2733,97800
1988-02-04,1.2733,1.2733,1.2370,1.2510,13800
1988-02-05,1.2370,1.2587,1.2370,1.2510,41400
1988-02-08,1.2663,1.2663,1.2370,1.2440,21800
1988-02-09,1.2370,1.2440,1.2001,1.2148,83800
1988-02-10,1.2148,1.2294,1.2001,1.2294,108600
1988-02-11,1.2370,1.2587,1.2294,1.2440,123800
1988-02-12,1.2148,1.2663,1.2148,1.2587,102600
1988-02-16,1.2440,1.2587,1.2294,1.2294,60600
1988-02-17,1.2510,1.2663,1.2440,1.2663,27600
1988-02-18,1.2587,1.2733,1.2587,1.2587,8600
1988-02-19,1.2587,1.2733,1.2510,1.2663,23000
1988-02-22,1.2809,1.2809,1.2510,1.2663,37800
1988-02-23,1.2510,1.2733,1.2440,1.2587,62400
1988-02-24,1.2933,1.2933,1.2707,1.2862,57800
1988-02-25,1.2933,1.2933,1.2862,1.2933,87000
1988-02-26,1.2862,1.3082,1.2862,1.2933,60000
1988-02-29,1.2784,1.2933,1.2707,1.2784,49800
1988-03-01,1.2862,1.2933,1.2636,1.2636,69600
1988-03-02,1.2784,1.2784,1.2636,1.2636,269800
1988-03-03,1.2487,1.2636,1.2338,1.2338,105600
1988-03-04,1.2338,1.2862,1.2261,1.2862,93800
1988-03-07,1.3010,1.3082,1.2784,1.2933,327400
1988-03-08,1.2933,1.3379,1.2933,1.3082,126400
1988-03-09,1.3082,1.3230,1.2862,1.3082,166200
1988-03-10,1.3082,1.3230,1.2862,1.3082,193600
1988-03-11,1.2933,1.3153,1.2862,1.3010,90600
1988-03-14,1.2862,1.3230,1.2862,1.3230,82600
1988-03-15,1.3230,1.3379,1.3153,1.3153,48600
1988-03-16,1.3082,1.3153,1.3010,1.3082,78200
1988-03-17,1.2862,1.3230,1.2862,1.3230,114800
1988-03-18,1.3082,1.3379,1.3010,1.3308,81600
1988-03-21,1.3082,1.3153,1.2933,1.2933,71800
1988-03-22,1.2862,1.2933,1.2636,1.2784,101400
1988-03-23,1.2636,1.3010,1.2487,1.3010,136000
1988-03-24,1.3010,1.3082,1.2636,1.3082,61400
1988-03-25,1.2784,1.2784,1.2636,1.2784,28400
1988-03-28,1.2636,1.2784,1.2487,1.2564,81800
1988-03-29,1.2707,1.2707,1.2410,1.2410,195400
1988-03-30,1.2487,1.2564,1.2338,1.2487,57000
1988-03-31,1.2487,1.2862,1.2487,1.2784,155600
1988-04-04,1.2636,1.2784,1.2564,1.2707,75000
1988-04-05,1.2707,1.2862,1.2636,1.2707,100600
1988-04-06,1.2707,1.2784,1.2636,1.2707,6600
1988-04-07,1.2636,1.2784,1.2564,1.2636,84000
1988-04-08,1.2636,1.2933,1.2636,1.2784,91800
1988-04-11,1.2636,1.2933,1.2636,1.2933,86600
1988-04-12,1.2933,1.3082,1.2784,1.2862,87400
1988-04-13,1.2784,1.2933,1.2636,1.2862,63800
1988-04-14,1.2784,1.2784,1.2487,1.2636,133000
1988-04-15,1.2564,1.2564,1.2338,1.2410,122400
1988-04-18,1.2487,1.2487,1.2338,1.2487,39000
1988-04-19,1.2487,1.2487,1.2190,1.2261,7400
1988-04-20,1.2261,1.2261,1.1964,1.2041,349200
1988-04-21,1.2041,1.2261,1.1964,1.2118,184200
1988-04-22,1.2041,1.2410,1.1964,1.2410,66600
1988-04-25,1.2487,1.2636,1.2410,1.2636,219000
1988-04-26,1.2487,1.2636,1.2190,1.2338,70000
1988-04-27,1.2410,1.2564,1.2261,1.2487,23000
1988-04-28,1.2338,1.2338,1.2118,1.2190,77200
1988-04-29,1.2338,1.2636,1.2190,1.2636,144800
1988-05-02,1.2636,1.2784,1.2410,1.2784,105400
1988-05-03,1.2784,1.2784,1.2487,1.2564,85400
1988-05-04,1.2487,1.2564,1.2338,1.2487,93400
1988-05-05,1.2487,1.2564,1.2190,1.2410,172600
1988-05-06,1.2564,1.2707,1.2261,1.2487,207600
1988-05-09,1.2338,1.2487,1.2190,1.2410,141800
1988-05-10,1.2487,1.2784,1.2487,1.2784,229000
1988-05-11,1.2636,1.2636,1.2261,1.2410,102600
1988-05-12,1.2261,1.2410,1.2261,1.2410,38200
1988-05-13,1.2338,1.2636,1.2338,1.2564,15800
1988-05-16,1.2487,1.2636,1.2487,1.2564,50800
1988-05-17,1.2564,1.2707,1.2564,1.2636,70200
1988-05-18,1.2487,1.2636,1.2190,1.2636,234400
1988-05-19,1.2707,1.2707,1.2338,1.2487,174200
1988-05-20,1.2564,1.2636,1.2487,1.2487,32000
