Date,Open,High,Low,Close,Volume
2015-07-06,47.1766,49.3627,47.1766,48.4790,3809713
2015-07-07,48.9906,49.6418,48.4790,49.5886,5794811
2015-07-08,49.3693,50.1667,49.1966,50.1002,4277461
2015-07-09,50.8112,51.2072,49.5022,49.7016,4267057
2015-07-10,49.8677,51.6949,49.8344,51.3694,4982979
2015-07-13,52.8245,52.9574,51.7680,52.3793,9078901
2015-07-14,52.7913,52.8245,51.5953,51.8278,18746119
2015-07-15,51.5953,51.9408,50.7647,50.9707,6330496
2015-07-16,51.1434,52.3860,51.1302,52.3262,5634050
2015-07-17,52.7780,52.9508,51.3361,52.9109,6100876
2015-07-20,53.1235,53.9541,52.5787,53.2298,10284545
2015-07-21,53.1368,53.6086,52.7581,53.3029,6123210
2015-07-22,53.7082,53.7548,52.2132,52.2531,5201248
2015-07-23,52.4804,52.5807,51.2891,51.3561,2975649
2015-07-24,51.4765,51.8178,50.8274,51.1352,3116008
2015-07-27,51.2824,52.1859,51.0549,51.7844,5774342
2015-07-28,52.4937,52.6343,51.8647,52.4134,1895916
2015-07-29,52.3733,52.4000,51.5301,52.1391,2278559
2015-07-30,52.3398,53.3303,51.9316,53.0090,3246987
2015-07-31,53.4976,53.4976,52.7782,53.1830,2685520
2015-08-03,53.5377,54.2270,53.4775,53.7853,2681801
2015-08-04,53.9192,54.2069,53.3169,53.4106,2429632
2015-08-05,53.5444,54.2069,53.4373,53.8589,2684886
2015-08-06,54.2404,54.3341,53.2098,53.3771,3708640
2015-08-07,52.9622,53.1228,51.7241,52.5071,3274134
2015-08-10,53.1563,53.4039,52.5807,52.7413,3252284
2015-08-11,51.9517,53.8589,51.5769,52.1792,3889072
2015-08-12,52.0855,52.4067,50.9211,51.3226,3688888
2015-08-13,51.5368,51.5769,50.7270,50.8541,2917485
2015-08-14,50.9077,51.3561,50.2699,51.1419,2573375
2015-08-17,50.7671,51.1352,50.5329,50.7270,2260346
2015-08-18,50.6735,50.8294,50.2318,50.3188,2009695
2015-08-19,50.1916,50.3857,49.4689,50.0444,3026467
2015-08-20,49.5358,50.0339,49.3752,49.6897,2206972
2015-08-21,49.0606,49.6897,48.3579,48.3646,5564549
2015-08-24,45.6677,48.3446,41.1036,47.4277,9844588
2015-08-25,47.8761,48.4516,46.8455,46.9860,4423354
2015-08-26,47.9966,49.5960,46.5310,49.4622,5356315
2015-08-27,48.9669,50.3589,48.9335,50.3121,5937763
2015-08-28,49.7901,50.3188,49.4019,49.9842,2150122
2015-08-31,49.6629,49.8102,48.5654,48.6256,2688401
2015-09-01,47.6687,48.5453,46.6046,46.9258,4671422
2015-09-02,47.4077,48.2308,47.0530,48.2308,2986466
2015-09-03,48.5587,49.4488,48.0434,48.2910,2595274
