Date,Open,High,Low,Close,Volume
1977-01-03,0.6434,0.6434,0.6364,0.6399,156800
1977-01-04,0.6399,0.6466,0.6364,0.6434,220800
1977-01-05,0.6466,0.6534,0.6466,0.6534,134400
1977-01-06,0.6534,0.6668,0.6534,0.6668,268800
1977-01-07,0.6601,0.6601,0.6569,0.6569,169600
1977-01-10,0.6569,0.6601,0.6466,0.6534,297600
1977-01-11,0.6534,0.6601,0.6499,0.6569,160000
1977-01-12,0.6534,0.6534,0.6499,0.6534,89600
1977-01-13,0.6534,0.6569,0.6499,0.6499,176000
1977-01-14,0.6499,0.6569,0.6466,0.6534,956800
1977-01-17,0.6534,0.6601,0.6534,0.6569,163200
1977-01-18,0.6569,0.6601,0.6499,0.6601,179200
1977-01-19,0.6534,0.6534,0.6466,0.6499,137600
1977-01-20,0.6499,0.6534,0.6434,0.6434,288000
1977-01-21,0.6434,0.6569,0.6434,0.6499,560000
1977-01-24,0.6499,0.6499,0.6434,0.6466,694400
1977-01-25,0.6466,0.6499,0.6434,0.6466,736000
1977-01-26,0.6466,0.6499,0.6466,0.6466,294400
1977-01-27,0.6466,0.6534,0.6466,0.6534,512000
1977-01-28,0.6499,0.6499,0.6466,0.6466,124800
1977-01-31,0.6466,0.6569,0.6466,0.6534,390400
1977-02-01,0.6534,0.6569,0.6534,0.6534,176000
1977-02-02,0.6534,0.6569,0.6534,0.6534,131200
1977-02-03,0.6534,0.6633,0.6499,0.6601,665600
1977-02-04,0.6601,0.6633,0.6569,0.6633,1564800
1977-02-07,0.6633,0.6633,0.6569,0.6601,134400
1977-02-08,0.6601,0.6601,0.6534,0.6534,124800
1977-02-09,0.6534,0.6569,0.6534,0.6569,163200
1977-02-10,0.6569,0.6668,0.6569,0.6633,428800
1977-02-11,0.6633,0.6736,0.6601,0.6703,1244800
1977-02-14,0.6703,0.6870,0.6703,0.6870,540800
1977-02-15,0.6870,0.6938,0.6803,0.6870,438400
1977-02-16,0.6870,0.6938,0.6838,0.6870,1881600
1977-02-17,0.6870,0.6870,0.6838,0.6870,150400
1977-02-18,0.6870,0.6938,0.6803,0.6938,396800
1977-02-22,0.6938,0.6973,0.6870,0.6903,553600
1977-02-23,0.6903,0.7072,0.6870,0.7005,1315200
1977-02-24,0.7005,0.7409,0.6973,0.7342,4403200
1977-02-25,0.7274,0.7274,0.7107,0.7172,435200
1977-02-28,0.7172,0.7172,0.7140,0.7140,528000
1977-03-01,0.7140,0.7207,0.7072,0.7207,998400
1977-03-02,0.7207,0.7207,0.7072,0.7072,240000
1977-03-03,0.7072,0.7140,0.7072,0.7072,281600
1977-03-04,0.7072,0.7140,0.7037,0.7107,377600
1977-03-07,0.7107,0.7172,0.7072,0.7072,185600
1977-03-08,0.7072,0.7140,0.7005,0.7072,188800
1977-03-09,0.7037,0.7037,0.6973,0.7037,1148800
1977-03-10,0.7037,0.7072,0.6938,0.7037,211200
1977-03-11,0.7037,0.7140,0.7037,0.7072,275200
1977-03-14,0.7072,0.7140,0.7005,0.7037,291200
1977-03-15,0.7037,0.7072,0.7005,0.7005,147200
1977-03-16,0.6973,0.6973,0.6870,0.6903,480000
1977-03-17,0.6903,0.6973,0.6870,0.6938,339200
1977-03-18,0.6938,0.7107,0.6938,0.7037,275200
1977-03-21,0.7037,0.7072,0.7005,0.7072,457600
1977-03-22,0.7072,0.7107,0.7005,0.7005,217600
1977-03-23,0.7005,0.7072,0.6938,0.6938,1177600
1977-03-24,0.6938,0.6973,0.6870,0.6870,172800
1977-03-25,0.6838,0.6838,0.6768,0.6838,172800
1977-03-28,0.6838,0.6903,0.6703,0.6736,188800
1977-03-29,0.6736,0.6838,0.6736,0.6838,358400
1977-03-30,0.6838,0.6838,0.6768,0.6803,131200
1977-03-31,0.6803,0.6838,0.6768,0.6768,115200
1977-04-01,0.6768,0.6803,0.6768,0.6803,96000
1977-04-04,0.6803,0.6838,0.6768,0.6768,112000
1977-04-05,0.6768,0.6803,0.6768,0.6768,134400
