Date,Open,High,Low,Close,Volume
2023-05-04,25.5300,26.9800,25.2500,26.9000,76985597
2023-05-05,26.6600,27.0300,26.2100,26.5000,11289303
2023-05-08,26.3300,26.8500,25.9100,26.5100,6304915
2023-05-09,26.5100,26.8400,26.0700,26.2800,4683988
2023-05-10,26.2800,26.7700,26.0100,26.2500,9602041
2023-05-11,26.0300,26.3300,26.0000,26.0000,5680818
2023-05-12,26.0200,26.6200,25.9000,26.5000,5433529
2023-05-15,26.5000,27.7950,26.5000,27.5000,7081957
2023-05-16,27.5400,27.7700,26.9900,27.0300,3818410
2023-05-17,27.3000,27.7000,26.6000,27.2200,3392223
2023-05-18,27.2200,27.3500,26.7000,27.0400,2647586
2023-05-19,27.0400,27.2586,26.6900,27.2300,1794403
2023-05-22,27.3300,27.4300,25.9600,26.0700,7509401
2023-05-23,26.0100,26.2599,25.8100,26.0000,2485013
2023-05-24,26.0100,26.5500,25.8600,26.4500,1953311
2023-05-25,26.5000,26.6400,25.9000,26.3300,2139355
2023-05-26,26.4300,26.4300,26.2000,26.3000,844117
2023-05-30,26.2800,26.5000,25.1300,25.7300,6339926
2023-05-31,25.6200,25.6200,24.9900,25.0900,6347500
2023-06-01,25.3000,25.6400,24.7500,25.2800,6072692
2023-06-02,25.2600,25.7000,24.9700,25.5500,2329437
2023-06-05,25.5800,25.7700,24.8300,25.1500,4737286
2023-06-06,25.0000,25.3900,24.9000,25.1700,1315049
2023-06-07,25.1000,25.2550,24.9100,25.0800,1626601
2023-06-08,24.9900,25.1600,24.8100,25.1100,2711830
2023-06-09,25.0500,25.1600,24.8500,25.1000,1874049
2023-06-12,25.0100,25.2000,24.7500,25.0200,2619827
2023-06-13,24.9900,25.2200,24.9600,25.1300,2039804
2023-06-14,25.1300,25.4900,25.1200,25.3400,2412012
2023-06-15,25.4000,25.9500,25.1800,25.7500,1442767
2023-06-16,25.8500,26.2600,25.7000,26.2500,2333000
2023-06-20,25.9500,26.3800,25.9400,26.0600,1487473
2023-06-21,26.1900,26.7000,25.7700,26.2000,3605871
2023-06-22,26.2000,26.6000,26.1985,26.5500,1130704
2023-06-23,26.5500,26.7400,26.2700,26.4800,2793352
2023-06-26,26.5900,26.6000,26.0200,26.1500,2507274
2023-06-27,26.0200,26.0700,25.1900,25.8900,2904634
2023-06-28,25.9000,26.0200,25.6700,25.8000,1807858
2023-06-29,25.7400,26.2200,25.7100,25.9900,1353576
2023-06-30,26.0400,26.6600,25.9700,26.4200,3936295
2023-07-03,26.3100,26.6000,25.8000,26.0400,7558590
2023-07-05,25.9100,26.2500,25.6200,25.7000,1990716
2023-07-06,25.5500,25.8050,25.3800,25.6200,4856942
2023-07-07,25.6200,25.6500,25.2100,25.2200,1793699
2023-07-10,25.3100,25.5250,25.1000,25.2500,2121159
2023-07-11,25.4800,25.5500,25.0050,25.0800,1942580
2023-07-12,25.2700,25.3700,24.9600,25.2500,2320850
2023-07-13,25.4200,25.5000,24.8800,25.4000,2477880
2023-07-14,25.5300,25.6100,24.7200,24.9400,3830075
2023-07-17,24.9000,25.0600,24.7400,24.8900,1709197
2023-07-18,24.7500,25.0300,24.7450,24.8100,1713493
2023-07-19,24.8800,25.0400,24.5000,25.0000,2870369
2023-07-20,23.9500,24.6157,22.4900,24.5100,36673435
2023-07-21,24.6500,24.8800,23.7801,24.0100,14585714
2023-07-24,23.1700,24.4100,23.1200,24.1600,22640509
