Date,Open,High,Low,Close,Volume
1987-07-10,4.1960,4.2118,4.1582,4.1808,957600
1987-07-13,4.1734,4.2039,4.1582,4.1887,1594800
1987-07-14,4.2039,4.2953,4.1887,4.2801,4358400
1987-07-15,4.2801,4.4019,4.2496,4.3258,2156400
1987-07-16,4.3258,4.4098,4.3258,4.3562,1923600
1987-07-17,4.3715,4.4019,4.3489,4.3562,2070000
1987-07-20,4.3489,4.3489,4.3105,4.3185,684000
1987-07-21,4.3105,4.3105,4.1887,4.2191,2196000
1987-07-22,4.2648,4.2648,4.2344,4.2648,614400
1987-07-23,4.2953,4.3105,4.2417,4.2575,2032800
1987-07-24,4.2496,4.2648,4.2417,4.2648,1882800
1987-07-27,4.2801,4.2953,4.2575,4.2648,696000
1987-07-28,4.2801,4.3032,4.2496,4.2496,1741200
1987-07-29,4.2417,4.2648,4.2118,4.2417,2161200
1987-07-30,4.2496,4.3715,4.2496,4.3105,3844800
1987-07-31,4.3105,4.3489,4.3032,4.3258,1734000
1987-08-03,4.2801,4.3185,4.2496,4.2496,1092000
1987-08-04,4.2575,4.3105,4.2575,4.3105,1263600
1987-08-05,4.3258,4.3562,4.2874,4.2953,909600
1987-08-06,4.3105,4.4628,4.3105,4.4549,2288400
1987-08-07,4.5238,4.5542,4.4476,4.5238,3746400
1987-08-10,4.5317,4.5774,4.5159,4.5695,1398000
1987-08-11,4.5390,4.5999,4.4702,4.5085,2870400
1987-08-12,4.5238,4.5695,4.5085,4.5463,2709600
1987-08-13,4.5695,4.6377,4.5615,4.6304,2834400
1987-08-14,4.5847,4.6152,4.5542,4.5774,1087200
1987-08-17,4.5695,4.6609,4.5695,4.6456,1090800
1987-08-18,4.6152,4.6231,4.4933,4.5317,2288400
1987-08-19,4.5085,4.5317,4.4860,4.5085,867600
1987-08-20,4.5085,4.6761,4.5085,4.6688,2577600
1987-08-21,4.6304,4.7979,4.6231,4.7979,3776400
1987-08-24,4.8132,4.8589,4.7443,4.7443,3210000
1987-08-25,4.7522,5.0112,4.7291,4.9046,10524000
1987-08-26,5.1787,5.3542,5.1026,5.3006,16680000
1987-08-27,5.2549,5.2774,5.1026,5.1026,8080800
1987-08-28,5.1330,5.1410,5.0496,5.0947,2193600
1987-08-31,5.0569,5.1940,4.9959,5.1714,3120000
1987-09-01,5.2701,5.2701,5.0496,5.0569,1722000
1987-09-02,4.9959,5.0185,4.8132,4.9046,8438400
1987-09-03,4.9271,4.9429,4.7979,4.8059,5149200
1987-09-04,4.8357,4.8357,4.7291,4.7291,2616000
1987-09-08,4.7443,4.8589,4.7291,4.8436,2473200
1987-09-09,4.8589,4.9886,4.8516,4.9350,4220400
1987-09-10,4.9807,4.9959,4.9429,4.9655,3552000
1987-09-11,4.9655,5.1635,4.9655,5.1410,4532400
1987-09-14,5.2397,5.2470,5.1635,5.2092,2685600
1987-09-15,5.2092,5.2092,5.1178,5.1330,2992800
1987-09-16,5.1178,5.1330,5.0496,5.0642,2104800
1987-09-17,5.1026,5.1330,5.0800,5.1257,1897200
1987-09-18,5.1860,5.2397,5.1635,5.1635,3620400
1987-09-21,5.2092,5.2323,5.0800,5.0873,2038800
1987-09-22,5.0873,5.2244,5.0264,5.1940,2112000
1987-09-23,5.2323,5.3542,5.2323,5.3542,3729600
1987-09-24,5.3384,5.4986,5.3085,5.4602,3472800
1987-09-25,5.4529,5.4754,5.4377,5.4377,2136000
1987-09-28,5.4834,5.5900,5.4834,5.5595,3129600
1987-09-29,5.5747,5.6284,5.5668,5.5979,4005600
1987-09-30,5.5827,5.8641,5.5595,5.8032,3945600
1987-10-01,5.7953,5.8258,5.6357,5.7039,7237200
1987-10-02,5.6966,5.7728,5.6814,5.7496,4032000
1987-10-05,5.7728,5.7728,5.7198,5.7423,2641200
1987-10-06,5.7271,5.7271,5.4529,5.4529,2926800
1987-10-07,5.3920,5.4754,5.3384,5.4754,4008000
1987-10-08,5.4602,5.5211,5.2470,5.3085,2802000
1987-10-09,5.3237,5.3463,5.2774,5.2774,1515600
1987-10-12,5.2628,5.3006,5.2323,5.3006,1520400
1987-10-13,5.3615,5.3688,5.2774,5.3615,4840800
1987-10-14,5.2701,5.3085,5.2092,5.2628,3177600
1987-10-15,5.1483,5.1635,5.0721,5.0800,3441600
1987-10-16,5.0264,5.0569,4.7522,4.9350,5534400
1987-10-19,4.7522,4.7602,4.2344,4.3032,8551200
1987-10-20,4.3410,4.5695,3.7622,4.1278,8745600
1987-10-21,4.4781,4.5085,4.3410,4.3867,8599200
1987-10-22,3.8688,4.2575,3.8688,4.2039,8056800
