Date,Open,High,Low,Close,Volume
1987-11-05,0.6249,0.6472,0.6249,0.6472,158400
1987-11-06,0.6696,0.7030,0.6642,0.6865,122400
1987-11-09,0.6977,0.6977,0.6472,0.6749,141000
1987-11-10,0.6642,0.6696,0.6414,0.6642,63600
1987-11-11,0.6642,0.6696,0.6584,0.6584,27600
1987-11-12,0.6749,0.6807,0.6642,0.6642,165000
1987-11-13,0.6584,0.6696,0.6584,0.6584,50400
1987-11-16,0.6696,0.6807,0.6696,0.6696,30000
1987-11-17,0.6696,0.6807,0.6526,0.6526,73200
1987-11-18,0.6584,0.6749,0.6472,0.6749,105600
1987-11-19,0.6696,0.6807,0.6584,0.6584,34200
1987-11-20,0.6526,0.6696,0.6472,0.6642,73800
1987-11-23,0.6749,0.6865,0.6749,0.6865,203400
1987-11-24,0.7030,0.7142,0.7030,0.7030,214800
1987-11-25,0.6919,0.6977,0.6749,0.6807,64200
1987-11-27,0.6807,0.6865,0.6696,0.6696,58200
1987-11-30,0.6696,0.6696,0.6526,0.6696,159000
1987-12-01,0.6584,0.6696,0.6584,0.6642,102600
1987-12-02,0.6642,0.6749,0.6526,0.6749,75600
1987-12-03,0.6749,0.6865,0.6749,0.6807,97800
1987-12-04,0.6696,0.6749,0.6696,0.6696,58800
1987-12-07,0.6642,0.6696,0.6526,0.6584,123600
1987-12-08,0.6696,0.6696,0.6642,0.6696,67800
1987-12-09,0.6696,0.6865,0.6696,0.6696,105000
1987-12-10,0.6696,0.6919,0.6696,0.6749,73800
1987-12-11,0.6749,0.6749,0.6696,0.6696,111000
1987-12-14,0.6642,0.6696,0.6584,0.6642,122400
1987-12-15,0.6584,0.6696,0.6584,0.6696,59400
1987-12-16,0.6642,0.6807,0.6584,0.6696,398400
1987-12-17,0.6807,0.7365,0.6807,0.7365,333000
1987-12-18,0.7253,0.7700,0.7253,0.7646,172800
1987-12-21,0.7700,0.7700,0.7312,0.7419,140400
1987-12-22,0.7365,0.7419,0.7142,0.7312,270600
1987-12-23,0.7365,0.7753,0.7365,0.7419,837600
1987-12-24,0.7535,0.7588,0.7477,0.7477,201600
1987-12-28,0.7365,0.7365,0.6865,0.6865,78000
1987-12-29,0.6749,0.6807,0.6526,0.6807,139200
1987-12-30,0.6749,0.7253,0.6749,0.7253,520200
1987-12-31,0.7253,0.7477,0.7195,0.7419,578400
1988-01-04,0.7253,0.7535,0.7253,0.7477,155400
1988-01-05,0.7588,0.7981,0.7588,0.7981,128400
1988-01-06,0.8035,0.8035,0.7811,0.7981,156600
1988-01-07,0.7923,0.8035,0.7753,0.8035,90000
1988-01-08,0.7923,0.7923,0.7195,0.7195,131400
1988-01-11,0.7084,0.7142,0.6807,0.7030,137400
1988-01-12,0.7084,0.7142,0.6807,0.6865,63600
1988-01-13,0.6919,0.7142,0.6919,0.7084,93600
1988-01-14,0.7142,0.7588,0.7142,0.7588,89400
1988-01-15,0.7700,0.7700,0.7535,0.7646,93000
1988-01-18,0.7700,0.7981,0.7700,0.7700,62400
1988-01-19,0.7700,0.7811,0.7700,0.7753,38400
1988-01-20,0.7646,0.7700,0.7535,0.7588,91200
1988-01-21,0.7588,0.7646,0.7535,0.7535,48000
1988-01-22,0.7588,0.7753,0.7588,0.7753,128400
1988-01-25,0.7811,0.7811,0.7646,0.7646,30000
1988-01-26,0.7646,0.7923,0.7646,0.7811,32400
1988-01-27,0.7700,0.7811,0.7646,0.7811,127800
1988-01-28,0.7753,0.8035,0.7753,0.8035,93600
1988-01-29,0.8258,0.8258,0.7981,0.7981,167400
1988-02-01,0.8115,0.8231,0.8115,0.8115,83400
1988-02-02,0.8115,0.8231,0.8007,0.8231,81600
1988-02-03,0.8231,0.8903,0.8173,0.8787,506400
1988-02-04,0.8621,0.8679,0.8509,0.8621,398400
1988-02-05,0.8563,0.8903,0.8563,0.8787,215400
1988-02-08,0.8733,0.8733,0.8397,0.8509,127800
1988-02-09,0.8509,0.8621,0.8509,0.8563,236400
1988-02-10,0.8509,0.8621,0.8509,0.8621,70800
1988-02-11,0.8509,0.8509,0.8397,0.8451,439200
1988-02-12,0.8397,0.8397,0.7837,0.8173,477600
1988-02-16,0.8231,0.8231,0.8061,0.8061,156000
1988-02-17,0.8173,0.8231,0.8061,0.8061,116400
1988-02-18,0.7949,0.8061,0.7891,0.8007,253800
1988-02-19,0.8007,0.8285,0.8007,0.8231,154200
1988-02-22,0.8115,0.8343,0.8061,0.8285,158400
1988-02-23,0.8231,0.8285,0.8115,0.8231,52200
1988-02-24,0.8173,0.8285,0.8173,0.8231,74400
1988-02-25,0.8115,0.8343,0.8115,0.8231,93600
1988-02-26,0.8173,0.8285,0.8115,0.8231,117000
1988-02-29,0.8231,0.8397,0.8231,0.8397,56400
1988-03-01,0.8285,0.8397,0.8231,0.8285,25200
1988-03-02,0.8509,0.8509,0.8343,0.8397,106200
1988-03-03,0.8343,0.8451,0.8343,0.8397,48600
1988-03-04,0.8397,0.8397,0.8115,0.8115,51600
1988-03-07,0.8115,0.8343,0.8115,0.8343,177000
1988-03-08,0.8343,0.8451,0.8285,0.8451,31200
1988-03-09,0.8343,0.8343,0.8173,0.8173,27000
1988-03-10,0.8173,0.8231,0.8115,0.8173,22800
1988-03-11,0.8173,0.8285,0.8173,0.8231,72000
1988-03-14,0.8115,0.8397,0.8115,0.8231,61800
1988-03-15,0.8173,0.8285,0.8173,0.8173,218400
1988-03-16,0.8173,0.8343,0.8173,0.8343,124200
1988-03-17,0.8285,0.8397,0.8231,0.8343,49800
1988-03-18,0.8285,0.8509,0.8285,0.8451,91800
1988-03-21,0.8397,0.8397,0.8343,0.8397,6000
1988-03-22,0.8343,0.8343,0.8115,0.8115,38400
1988-03-23,0.8173,0.8173,0.8115,0.8173,52800
1988-03-24,0.8115,0.8115,0.8115,0.8115,101400
1988-03-25,0.8061,0.8061,0.8061,0.8061,22200
1988-03-28,0.7949,0.8115,0.7949,0.8061,96600
1988-03-29,0.8173,0.8173,0.8115,0.8115,22800
1988-03-30,0.8115,0.8231,0.8115,0.8173,46200
1988-03-31,0.8115,0.8173,0.8115,0.8173,44400
1988-04-04,0.8115,0.8285,0.8115,0.8285,48000
1988-04-05,0.8231,0.8231,0.8231,0.8231,3000
1988-04-06,0.8173,0.8509,0.8173,0.8509,396600
1988-04-07,0.8451,0.8509,0.8397,0.8509,66000
1988-04-08,0.8451,0.8509,0.8285,0.8509,187800
1988-04-11,0.8397,0.8679,0.8397,0.8679,111600
1988-04-12,0.8621,0.8845,0.8451,0.8509,145200
1988-04-13,0.8563,0.8621,0.8509,0.8509,24600
1988-04-14,0.8343,0.8397,0.8231,0.8231,100800
1988-04-15,0.8115,0.8115,0.7891,0.7949,259800
1988-04-18,0.8061,0.8061,0.7891,0.8007,42600
1988-04-19,0.8007,0.8115,0.8007,0.8061,56400
1988-04-20,0.8061,0.8115,0.8061,0.8061,133800
1988-04-21,0.8061,0.8061,0.7949,0.8061,246600
1988-04-22,0.8061,0.8061,0.8007,0.8007,16200
1988-04-25,0.8007,0.8173,0.8007,0.8115,32400
1988-04-26,0.8115,0.8173,0.8115,0.8115,69000
1988-04-27,0.8115,0.8231,0.7949,0.8061,162000
1988-04-28,0.8007,0.8115,0.8007,0.8061,67200
1988-04-29,0.8087,0.8370,0.8087,0.8370,72600
1988-05-02,0.8258,0.8424,0.8258,0.8312,96600
1988-05-03,0.8200,0.8258,0.8200,0.8200,38400
1988-05-04,0.8141,0.8200,0.8087,0.8087,75600
1988-05-05,0.8087,0.8087,0.8033,0.8033,19200
1988-05-06,0.8033,0.8033,0.7804,0.7804,285000
1988-05-09,0.7804,0.7804,0.7696,0.7750,91800
1988-05-10,0.7696,0.7696,0.7584,0.7584,92400
1988-05-11,0.7526,0.7526,0.7526,0.7526,78000
1988-05-12,0.7526,0.7526,0.7526,0.7526,91800
1988-05-13,0.7526,0.7526,0.7467,0.7467,31200
1988-05-16,0.7526,0.7696,0.7526,0.7696,60000
1988-05-17,0.7696,0.7750,0.7696,0.7750,18600
1988-05-18,0.7696,0.7696,0.7413,0.7413,57600
1988-05-19,0.7467,0.7467,0.7413,0.7413,4800
1988-05-20,0.7413,0.7526,0.7413,0.7526,37800
1988-05-23,0.7584,0.7584,0.7526,0.7526,36600
1988-05-24,0.7467,0.7638,0.7413,0.7638,25200
1988-05-25,0.7584,0.7584,0.7467,0.7467,10200
1988-05-26,0.7467,0.7467,0.7359,0.7359,33600
1988-05-27,0.7359,0.7359,0.7359,0.7359,14400
1988-05-31,0.7359,0.7526,0.7359,0.7467,68400
1988-06-01,0.7467,0.7584,0.7467,0.7526,19200
1988-06-02,0.7526,0.7526,0.7467,0.7526,33000
1988-06-03,0.7584,0.7696,0.7584,0.7696,100200
1988-06-06,0.7638,0.7696,0.7638,0.7638,18000
1988-06-07,0.7696,0.7804,0.7696,0.7750,38400
1988-06-08,0.7750,0.7916,0.7750,0.7863,121800
1988-06-09,0.7916,0.8590,0.7916,0.8536,458400
1988-06-10,0.8536,0.8536,0.8424,0.8536,76200
1988-06-13,0.8478,0.8649,0.8424,0.8649,122400
1988-06-14,0.8590,0.8707,0.8590,0.8649,84000
1988-06-15,0.8649,0.8649,0.8478,0.8649,66000
1988-06-16,0.8707,0.8761,0.8536,0.8761,55200
1988-06-17,0.8761,0.8761,0.8707,0.8707,37200
1988-06-20,0.8649,0.8707,0.8649,0.8707,159000
1988-06-21,0.8707,0.8761,0.8649,0.8761,66000
1988-06-22,0.8761,0.9152,0.8761,0.9098,160800
1988-06-23,0.9210,0.9660,0.9210,0.9660,134400
1988-06-24,0.9547,0.9660,0.9435,0.9606,43800
1988-06-27,0.9489,0.9489,0.9323,0.9381,40800
1988-06-28,0.9323,0.9323,0.8761,0.8932,334200
1988-06-29,0.8873,0.8932,0.8761,0.8932,62400
1988-06-30,0.8932,0.8932,0.8707,0.8707,287400
1988-07-01,0.8761,0.8761,0.8536,0.8707,641400
1988-07-05,0.8761,0.8932,0.8707,0.8873,49200
1988-07-06,0.8761,0.8761,0.8590,0.8590,34800
1988-07-07,0.8536,0.8649,0.8200,0.8258,183000
1988-07-08,0.8258,0.8370,0.8258,0.8370,124800
1988-07-11,0.8424,0.8815,0.8424,0.8707,240600
1988-07-12,0.8761,0.8873,0.8707,0.8707,53400
