Date,Open,High,Low,Close,Volume
1999-07-29,12.3242,12.8073,12.0794,12.0794,4780800
1999-07-30,12.2404,12.3628,12.0021,12.3628,1036200
1999-08-02,12.2404,12.2404,12.0794,12.0794,168800
1999-08-03,12.0794,12.1180,11.7572,12.0794,246200
1999-08-04,12.0794,12.0794,11.6799,12.0021,178200
1999-08-05,12.0021,12.0021,11.5189,11.6799,67700
1999-08-06,11.6799,11.7186,11.1968,11.2741,103900
1999-08-09,11.2354,11.3127,11.0744,11.1968,75800
1999-08-10,11.1130,11.1130,10.7909,10.9520,81500
1999-08-11,10.9520,11.2354,10.9520,11.2354,18700
1999-08-12,11.7572,11.7572,11.3578,11.4351,63400
1999-08-13,11.5189,11.5575,11.0744,11.0744,62700
1999-08-16,10.9520,10.9520,10.4688,10.5912,72600
1999-08-17,10.5912,10.8746,10.5525,10.7136,37400
1999-08-18,10.7136,10.7522,10.5525,10.5525,36800
1999-08-19,10.5525,10.7136,10.5525,10.6685,32600
1999-08-20,10.5912,11.0744,10.5912,10.9520,136100
1999-08-23,11.5189,11.5575,11.1130,11.1968,193800
1999-08-24,11.0357,11.2354,10.8746,10.9520,126600
1999-08-25,10.9302,11.0079,10.6842,10.7683,125500
1999-08-26,10.7683,11.0079,10.7683,11.0079,32700
1999-08-27,11.1698,11.3317,11.0921,11.2928,34300
1999-08-30,11.2928,11.9015,11.1698,11.6943,136000
1999-08-31,11.6166,12.4649,11.4936,12.3030,309100
1999-09-01,12.3418,12.3418,11.8173,11.9015,49100
1999-09-02,11.9015,11.9015,11.4936,11.9015,50900
1999-09-03,11.9404,12.0181,11.7785,11.8562,52300
1999-09-07,11.6943,11.6943,11.5324,11.5324,12700
1999-09-08,11.5324,11.5324,10.7683,10.9691,54400
1999-09-09,10.8849,10.9691,10.7683,10.8461,28100
1999-09-10,10.9302,10.9302,10.5223,10.5223,91800
1999-09-13,10.6065,11.0468,10.6065,10.9691,33600
1999-09-14,11.0468,11.0921,10.6065,10.6842,18500
1999-09-15,10.6842,11.0079,10.5611,11.0079,69500
1999-09-16,11.1698,11.1698,10.8849,10.8849,84500
1999-09-17,11.0079,11.0921,10.9302,11.0921,22500
1999-09-20,11.0468,11.0468,10.8849,10.9691,18200
1999-09-21,10.8461,10.8849,10.6842,10.6842,23800
1999-09-22,10.6842,10.8849,10.6842,10.8461,19600
1999-09-23,10.8461,10.8461,9.9589,9.9589,55700
1999-09-24,9.9589,10.0366,9.3891,9.6740,80200
1999-09-27,9.7517,9.8748,9.5510,9.5899,69600
1999-09-28,9.5121,9.5510,9.3891,9.5121,37600
1999-09-29,9.4733,9.5510,9.4733,9.5510,114600
1999-09-30,10.0366,10.2827,9.8748,10.0366,83000
1999-10-01,9.7129,10.1985,9.7129,10.1985,65000
1999-10-04,10.1985,10.1985,9.9978,10.1208,107500
1999-10-05,9.9589,10.0755,9.7129,9.7129,83000
1999-10-06,9.7129,9.7517,9.4733,9.4733,58700
1999-10-07,9.4733,9.7129,9.4733,9.6740,68100
1999-10-08,9.5121,9.6352,9.3114,9.4280,60000
1999-10-11,9.4733,9.4733,9.2272,9.2661,40900
1999-10-12,9.2661,9.2661,8.5797,8.9423,177700
1999-10-13,8.8646,9.8359,8.8646,9.6740,75500
1999-10-14,9.6352,9.7971,9.4280,9.5510,50400
1999-10-15,9.4733,9.4733,9.2272,9.2272,15700
1999-10-18,9.2272,9.3503,8.9877,9.0654,29100
1999-10-19,8.9035,8.9035,8.6639,8.7416,36200
1999-10-20,8.7416,8.9035,8.5797,8.7416,25700
1999-10-21,8.7027,8.7416,8.5409,8.6639,15200
1999-10-22,8.6186,8.7416,8.5797,8.5797,17100
1999-10-25,8.5020,8.5020,8.3401,8.5020,38200
1999-10-26,8.5797,8.8646,8.5797,8.5797,319000
1999-10-27,8.5020,8.5020,6.3943,6.4753,991200
1999-10-28,6.4753,6.5983,5.9087,6.2324,958900
1999-10-29,6.2732,6.6371,6.2324,6.5983,553200
1999-11-01,6.9220,7.1228,6.4753,6.5594,218600
1999-11-02,6.7990,6.9609,6.6371,6.8379,365500
1999-11-03,6.8379,7.0451,6.7990,6.8379,157100
1999-11-04,6.7990,6.8832,6.7602,6.7602,81800
1999-11-05,6.7602,6.8832,6.6371,6.8379,226100
1999-11-08,6.9220,6.9997,6.7990,6.9997,125900
1999-11-09,6.9997,6.9997,6.8379,6.8832,79100
1999-11-10,6.8832,6.9997,6.7990,6.9997,124000
1999-11-11,7.0839,7.4077,6.9609,7.0451,271200
1999-11-12,6.9997,6.9997,6.7602,6.8832,262600
1999-11-15,6.9997,7.0451,6.7602,6.7990,92700
1999-11-16,6.7990,6.7990,6.5141,6.5983,353700
1999-11-17,6.5983,6.7213,6.5141,6.7213,204200
1999-11-18,6.7990,6.9609,6.7602,6.9220,162300
1999-11-19,6.9997,6.9997,6.7990,6.8832,480500
1999-11-22,7.0451,7.2847,6.9609,7.2458,254500
1999-11-23,7.3235,7.3688,7.2070,7.3235,134100
1999-11-24,7.3235,7.4465,7.2847,7.2847,126800
1999-11-26,7.3688,7.3688,7.2847,7.3235,40100
1999-11-29,7.3235,7.4077,7.3235,7.4077,81800
1999-11-30,7.4077,7.4465,7.3688,7.3688,179400
1999-12-01,7.3688,7.3688,7.2458,7.2847,143600
1999-12-02,7.2847,7.2847,7.1616,7.2458,114200
1999-12-03,7.2458,7.3688,7.2458,7.3688,244700
1999-12-06,7.2847,7.3688,7.1616,7.2070,154100
1999-12-07,6.9997,7.2458,6.9997,7.2458,220800
1999-12-08,7.2458,7.3235,7.2070,7.3235,248600
1999-12-09,7.2847,7.4077,7.2070,7.2070,351900
1999-12-10,6.7990,6.8379,6.5141,6.7213,440700
1999-12-13,6.7213,7.1228,6.7213,7.0451,216200
1999-12-14,6.9997,7.4077,6.9997,7.2847,698600
1999-12-15,7.3073,7.3465,7.2681,7.3073,316700
1999-12-16,7.3073,7.3073,7.0200,7.1049,108800
1999-12-17,6.9808,6.9808,6.9808,6.9808,67800
1999-12-20,6.8959,6.8959,6.4081,6.4897,316200
1999-12-21,6.4486,6.4897,6.3265,6.3265,185000
1999-12-22,6.3265,6.3670,6.1632,6.2449,215700
1999-12-23,6.1632,6.3265,6.1632,6.2853,137500
1999-12-27,6.3670,6.3670,5.7956,6.0405,256500
1999-12-28,6.1221,6.1221,5.9588,6.0405,165800
1999-12-29,6.0000,6.0405,5.9183,6.0405,117500
1999-12-30,6.0000,6.0405,5.9183,5.9183,142900
1999-12-31,5.8367,6.0405,5.7956,6.0000,144700
2000-01-03,6.2429,6.2429,6.0796,6.1645,102200
2000-01-04,6.0816,6.1221,5.8772,5.9588,97100
2000-01-05,5.9588,5.9588,5.8772,5.9588,101600
