Date,Open,High,Low,Close,Volume
1992-06-17,5.3851,5.5435,4.9099,5.0303,902000
1992-06-18,5.0303,5.0303,4.7515,4.9511,421400
1992-06-19,4.9511,5.0303,4.9099,4.9891,453400
1992-06-22,4.9891,4.9891,4.7927,4.8307,597200
1992-06-23,4.8307,4.9099,4.8307,4.8719,853800
1992-06-24,4.8719,4.9099,4.7515,4.7927,357600
1992-06-25,4.8719,4.9511,4.8719,4.8719,785000
1992-06-26,4.8719,4.9099,4.8307,4.9099,435000
1992-06-29,4.8719,4.9511,4.8307,4.9511,386600
1992-06-30,4.9511,5.1095,4.9511,5.1095,884400
1992-07-01,4.9891,5.0303,4.9511,4.9891,552600
1992-07-02,5.0303,5.1095,4.8719,5.1095,1788200
1992-07-06,5.0303,5.0303,4.8719,4.9099,580400
1992-07-07,4.9511,4.9511,4.5551,4.6343,1147000
1992-07-08,4.6724,4.6724,4.3176,4.3968,1192800
1992-07-09,4.3968,4.6343,4.3968,4.6343,2136600
1992-07-10,4.5551,4.5932,4.4760,4.5140,866200
1992-07-13,4.5140,4.5932,4.5140,4.5551,846600
1992-07-14,4.5140,4.5932,4.5140,4.5932,990000
1992-07-15,4.5932,4.6724,4.5932,4.6343,1080400
1992-07-16,4.5932,4.6343,4.5140,4.5551,2689000
1992-07-17,4.4760,4.6343,4.4760,4.6343,840400
1992-07-20,4.3968,4.5551,4.3556,4.5140,1228200
1992-07-21,4.4348,4.5932,4.4348,4.5140,1279600
1992-07-22,4.3968,4.5551,4.3968,4.5140,2743000
1992-07-23,4.6343,4.7515,4.6343,4.6343,2203800
1992-07-24,4.5932,4.7515,4.5932,4.7135,1404000
1992-07-27,4.7135,4.7927,4.6343,4.7515,1308000
1992-07-28,4.7135,4.7927,4.6724,4.7515,1134400
1992-07-29,4.7515,4.7927,4.5932,4.6724,1697600
1992-07-30,4.7135,4.7515,4.5932,4.7515,912800
1992-07-31,4.7135,4.7927,4.7135,4.7927,1303000
1992-08-03,4.7515,4.8719,4.7135,4.8719,1616800
1992-08-04,4.8719,4.9511,4.8719,4.9099,1457000
1992-08-05,4.9099,4.9511,4.9099,4.9099,492000
1992-08-06,4.8719,4.9099,4.7515,4.8307,1277800
1992-08-07,4.7135,4.7927,4.7135,4.7515,306200
1992-08-10,4.6343,4.7515,4.5932,4.7135,593000
1992-08-11,4.7135,4.7135,4.5932,4.5932,1804800
1992-08-12,4.7135,4.7515,4.5140,4.5932,1591600
1992-08-13,4.6343,4.7927,4.6343,4.7515,1100600
1992-08-14,4.7515,5.0303,4.7515,4.9891,1476600
1992-08-17,4.9099,5.0683,4.9099,5.0303,1461000
1992-08-18,5.0683,5.1887,5.0303,5.0683,1660200
1992-08-19,5.0683,5.1475,4.9891,5.0303,928000
1992-08-20,5.0683,5.1095,5.0683,5.1095,370400
1992-08-21,5.0683,5.2679,5.0683,5.2267,3771600
1992-08-24,5.0303,5.1887,5.0303,5.1095,2085000
1992-08-25,5.1475,5.1887,5.0303,5.1475,1168800
1992-08-26,5.1095,5.1887,5.0683,5.1887,1347000
1992-08-27,5.1887,5.2267,5.1475,5.1475,764400
1992-08-28,5.1095,5.1475,5.0683,5.1095,516800
1992-08-31,5.1475,5.1475,5.1095,5.1095,304000
1992-09-01,5.0883,5.1678,5.0501,5.0883,1067400
1992-09-02,5.0501,5.0883,4.9706,5.0088,1153600
1992-09-03,5.0088,5.0501,4.9706,4.9706,474800
1992-09-04,5.0088,5.0088,4.8911,4.8911,461600
1992-09-08,4.9293,4.9706,4.8911,4.8911,693800
1992-09-09,4.9293,5.0501,4.9293,5.0501,474200
1992-09-10,5.0883,5.1296,5.0088,5.0501,867200
1992-09-11,5.0883,5.1296,5.0088,5.0501,856600
1992-09-14,5.1296,5.2473,5.1296,5.2473,1092800
1992-09-15,5.1296,5.2091,5.1296,5.1296,1036400
1992-09-16,5.0883,5.1678,5.0088,5.1678,864000
1992-09-17,5.1678,5.1678,5.0883,5.1678,660000
1992-09-18,5.1678,5.2091,5.1296,5.2091,1351400
1992-09-21,5.1678,5.2091,5.1296,5.1678,491200
1992-09-22,5.1678,5.2091,5.1296,5.1296,1030000
1992-09-23,5.0883,5.1296,4.9706,5.0501,714800
1992-09-24,5.0501,5.2091,5.0501,5.1678,639400
1992-09-25,5.1678,5.1678,5.0883,5.1678,438800
1992-09-28,5.1296,5.2091,5.1296,5.2091,217600
1992-09-29,5.2091,5.2091,5.1296,5.1296,313000
1992-09-30,5.1678,5.1678,5.0501,5.0883,675200
