Date,Open,High,Low,Close,Volume
2003-10-06,1.7615,1.8451,1.7453,1.8335,3068800
2003-10-07,1.8172,1.9276,1.8172,1.8869,3391200
2003-10-08,1.8985,1.8985,1.8347,1.8695,3191200
2003-10-09,1.8474,1.8695,1.8114,1.8114,1222400
2003-10-10,1.8114,1.8508,1.7592,1.7905,2668000
2003-10-13,1.7975,1.7975,1.7708,1.7778,1512000
2003-10-14,1.7847,1.9334,1.7778,1.8927,2140000
2003-10-15,1.8939,1.9647,1.8579,1.8590,784800
2003-10-16,1.8741,1.8869,1.8579,1.8695,386400
2003-10-17,1.8590,1.8649,1.8405,1.8405,1601600
2003-10-20,1.8556,1.8602,1.8300,1.8521,1348000
2003-10-21,1.8451,1.8556,1.8416,1.8521,884800
2003-10-22,1.8579,1.8579,1.8347,1.8393,710400
2003-10-23,1.8300,1.8300,1.7824,1.7998,918400
2003-10-24,1.7952,1.8579,1.7952,1.8498,1616000
2003-10-27,1.8578,1.9276,1.8289,1.8579,799200
2003-10-28,1.9043,1.9276,1.8207,1.8381,1618400
2003-10-29,1.8313,1.8834,1.8172,1.8695,1645600
2003-10-30,1.8695,1.9670,1.8579,1.9276,1060000
2003-10-31,1.9334,2.0088,1.9276,2.0088,1458400
2003-11-03,2.0088,2.0750,1.9821,2.0332,762400
2003-11-04,2.0564,2.0564,1.9740,2.0007,804000
2003-11-05,1.9728,1.9798,1.9392,1.9740,64800
2003-11-06,1.9717,1.9740,1.9345,1.9601,384000
2003-11-07,1.9740,1.9740,1.9403,1.9740,218400
2003-11-10,1.9368,1.9856,1.9368,1.9682,494400
2003-11-11,1.9450,1.9740,1.9450,1.9740,916000
2003-11-12,1.9508,1.9961,1.9392,1.9728,598400
2003-11-13,1.9392,1.9739,1.9287,1.9299,120800
2003-11-14,1.9287,1.9508,1.9287,1.9438,1995200
2003-11-17,1.9450,1.9566,1.9043,1.9055,1855200
2003-11-18,1.9055,1.9159,1.8927,1.8927,97600
2003-11-19,1.8892,1.9322,1.8811,1.9159,354400
2003-11-20,1.9159,1.9274,1.8869,1.9101,862400
2003-11-21,1.8869,1.9276,1.8811,1.9276,199200
2003-11-24,1.9276,1.9392,1.9043,1.9392,208000
2003-11-25,1.9508,1.9972,1.9159,1.9450,309600
2003-11-26,1.9601,2.0843,1.9392,2.0669,590400
2003-11-28,2.0669,2.0727,2.0205,2.0553,41600
2003-12-01,2.0785,2.0901,2.0321,2.0901,233600
2003-12-02,2.0321,2.0901,2.0321,2.0495,300000
2003-12-03,2.0681,2.0727,2.0332,2.0715,182400
2003-12-04,2.0669,2.0866,2.0611,2.0866,1028800
2003-12-05,2.0611,2.1133,2.0611,2.0623,403200
2003-12-08,2.0843,2.0843,1.9624,1.9624,228000
2003-12-09,2.0379,2.0379,1.8149,1.8637,550400
2003-12-10,1.8649,1.9113,1.8579,1.8926,119200
2003-12-11,1.8869,1.9903,1.8579,1.9624,249600
2003-12-12,1.9519,2.0205,1.9496,2.0135,837600
2003-12-15,1.9519,2.0553,1.9519,2.0030,245600
2003-12-16,2.0042,2.0669,2.0042,2.0518,208000
2003-12-17,2.0088,2.1006,2.0088,2.0901,199200
2003-12-18,2.0959,2.0959,2.0692,2.0901,40800
2003-12-19,2.0518,2.0901,2.0518,2.0901,520000
2003-12-22,2.0332,2.0959,2.0332,2.0901,76800
2003-12-23,2.0901,2.1192,2.0855,2.1133,197600
2003-12-24,2.1250,2.1250,2.0855,2.1192,73600
2003-12-26,2.1133,2.1192,2.1133,2.1192,3200
2003-12-29,2.0843,2.1238,2.0843,2.1192,222400
2003-12-30,2.0866,2.1482,2.0762,2.0762,602400
2003-12-31,2.0913,2.1075,2.0588,2.0843,360000
2004-01-02,2.0564,2.0901,2.0472,2.0576,138400
2004-01-05,2.1074,2.1074,2.0437,2.0623,204000
2004-01-06,2.0344,2.1192,2.0344,2.0623,244800
2004-01-07,2.0901,2.0901,2.0669,2.0843,1112000
2004-01-08,2.0669,2.0866,2.0205,2.0820,1521600
2004-01-09,2.0901,2.0959,2.0750,2.0820,216800
2004-01-12,2.0692,2.0901,2.0460,2.0785,1169600
2004-01-13,2.0205,2.0843,2.0100,2.0495,859200
2004-01-14,2.0681,2.0774,2.0321,2.0495,1736800
2004-01-15,2.0715,2.1029,2.0553,2.1029,144000
2004-01-16,2.1029,2.1470,2.0820,2.1342,255200
2004-01-20,2.1145,2.1877,2.1110,2.1877,292000
2004-01-21,2.1993,2.3723,2.1064,2.2968,244000
2004-01-22,2.2991,2.2991,2.2573,2.2933,159200
2004-01-23,2.2991,2.3107,2.2226,2.2749,515200
2004-01-26,2.2851,2.3224,2.2666,2.2829,1143200
2004-01-27,2.3107,2.3107,2.1424,2.2086,233600
2004-01-28,2.2353,2.2353,2.1923,2.2062,429600
2004-01-29,2.2050,2.2097,2.1714,2.1737,172000
2004-01-30,2.1830,2.1830,2.1332,2.1691,285600
2004-02-02,2.1772,2.1772,2.1482,2.1772,482400
2004-02-03,2.1772,2.1772,2.1250,2.1354,475200
2004-02-04,2.1748,2.1772,2.0774,2.1006,988800
2004-02-05,2.1366,2.1376,2.0785,2.0785,391200
2004-02-06,2.0774,2.0890,1.9740,1.9856,1800000
2004-02-09,2.0657,2.0657,2.0054,2.0205,797600
2004-02-10,2.0611,2.0901,2.0321,2.0772,271200
2004-02-11,2.0321,2.0820,2.0321,2.0541,132000
2004-02-12,2.0611,2.0866,2.0321,2.0750,270400
2004-02-13,2.0744,2.0866,2.0437,2.0832,120000
2004-02-17,2.0437,2.0808,2.0437,2.0437,81600
2004-02-18,2.0784,2.0797,2.0495,2.0784,88000
2004-02-19,2.0785,2.0785,2.0425,2.0452,636000
2004-02-20,2.0205,2.0901,2.0205,2.0553,174400
2004-02-23,2.0321,2.0668,2.0088,2.0332,848800
2004-02-24,2.0472,2.0472,2.0146,2.0472,112000
2004-02-25,2.0379,2.3258,2.0379,2.3049,397600
2004-02-26,2.3107,2.3107,2.1505,2.2132,333600
2004-02-27,2.2062,2.2562,2.1586,2.1830,863200
2004-03-01,2.1598,2.2202,2.1354,2.1354,327200
2004-03-02,2.2004,2.2062,2.0843,2.0843,242400
2004-03-03,2.0820,2.1482,2.0785,2.1204,296800
2004-03-04,2.1482,2.1482,2.1192,2.1470,132800
2004-03-05,2.1366,2.1482,2.1319,2.1319,438400
2004-03-08,2.1424,2.1424,2.1017,2.1238,132000
2004-03-09,2.1366,2.1366,2.1168,2.1250,612800
2004-03-10,2.1133,2.1250,2.0669,2.1250,27200
2004-03-11,2.1296,2.1308,2.0855,2.1250,146400
