Date,Open,High,Low,Close,Volume
1977-01-03,1.8526,1.8787,1.8526,1.8787,165200
1977-01-04,1.8787,1.9027,1.7765,1.8787,179800
1977-01-05,1.8787,1.9267,1.8787,1.9267,189600
1977-01-06,1.9267,2.0289,1.9267,2.0289,384200
1977-01-07,2.0289,2.0529,2.0029,2.0529,345200
1977-01-10,2.0529,2.0790,2.0289,2.0529,311000
1977-01-11,2.0529,2.0529,2.0029,2.0029,155400
1977-01-12,1.9768,1.9768,1.9267,1.9528,198400
1977-01-13,1.9528,1.9528,1.9027,1.9267,155400
1977-01-14,1.9267,1.9528,1.9267,1.9267,116200
1977-01-17,1.9528,2.0289,1.9528,1.9768,222000
1977-01-18,2.0029,2.0289,2.0029,2.0289,112400
1977-01-19,2.0289,2.0529,2.0029,2.0029,149600
1977-01-20,2.0029,2.0289,1.9768,1.9768,179800
1977-01-21,1.9768,2.0029,1.9528,1.9528,185800
1977-01-24,2.0289,2.1270,2.0289,2.1270,850800
1977-01-25,2.1270,2.2031,2.1030,2.1270,502600
1977-01-26,2.1270,2.1270,2.0790,2.1030,263000
1977-01-27,2.1030,2.1270,2.0529,2.1030,258000
1977-01-28,2.1030,2.1270,2.0529,2.1030,122200
1977-01-31,2.0790,2.0790,2.0289,2.0529,114400
1977-02-01,2.0529,2.0529,2.0289,2.0529,81000
1977-02-02,2.0289,2.0289,1.9768,1.9768,112400
1977-02-03,1.9768,2.0029,1.9267,2.0029,153400
1977-02-04,2.0029,2.0289,2.0029,2.0029,121200
1977-02-07,2.0289,2.0790,2.0289,2.0289,82000
1977-02-08,2.0289,2.0289,2.0029,2.0029,115400
1977-02-09,2.0029,2.0529,2.0029,2.0029,283600
1977-02-10,2.0029,2.0029,1.9528,1.9768,74200
1977-02-11,1.9768,1.9768,1.9027,1.9027,152400
1977-02-14,1.8787,1.8787,1.8526,1.8526,143600
1977-02-15,1.8787,1.9267,1.8787,1.9267,175000
1977-02-16,1.9267,1.9528,1.9027,1.9267,225800
1977-02-17,1.9267,2.0289,1.9267,2.0029,1001400
1977-02-18,2.0029,2.0790,2.0029,2.0289,472200
1977-02-22,2.0529,2.0790,2.0529,2.0529,275600
1977-02-23,2.0529,2.0790,2.0289,2.0289,81000
1977-02-24,2.0289,2.0289,2.0029,2.0029,228800
1977-02-25,2.0029,2.0029,1.9768,1.9768,355000
1977-02-28,1.9768,2.0029,1.9768,2.0029,86000
1977-03-01,2.0029,2.0790,2.0029,2.0529,293400
1977-03-02,2.0529,2.0529,2.0029,2.0029,243400
1977-03-03,2.0029,2.0029,1.9768,1.9768,52800
1977-03-04,1.9768,2.0029,1.9768,2.0029,45800
1977-03-07,1.9768,1.9768,1.9267,1.9267,65400
1977-03-08,1.9267,1.9528,1.9267,1.9267,59600
1977-03-09,1.9267,1.9528,1.9267,1.9267,68400
1977-03-10,1.9267,2.0029,1.9267,1.9768,203400
1977-03-11,1.9768,2.0029,1.9768,1.9768,158400
1977-03-14,2.0029,2.0790,2.0029,2.0529,328600
