Date,Open,High,Low,Close,Volume
1988-01-05,1.7840,1.7940,1.7740,1.7740,12400
1988-01-06,1.7740,1.7740,1.7539,1.7639,52800
1988-01-07,1.7539,1.7740,1.7539,1.7639,17600
1988-01-08,1.7740,1.7740,1.7539,1.7539,23600
1988-01-11,1.7539,1.7740,1.7439,1.7539,24800
1988-01-12,1.7639,1.7688,1.7487,1.7639,20000
1988-01-13,1.7539,1.7940,1.7539,1.7940,16400
1988-01-14,1.8040,1.8141,1.7940,1.8040,25600
1988-01-15,1.8241,1.8341,1.8141,1.8141,24000
1988-01-18,1.8241,1.8441,1.8241,1.8289,41200
1988-01-19,1.8193,1.8341,1.8193,1.8341,28000
1988-01-20,1.8241,1.8341,1.8193,1.8289,13600
1988-01-21,1.8193,1.8341,1.8141,1.8193,50800
1988-01-22,1.8241,1.8289,1.8241,1.8289,44400
1988-01-25,1.8040,1.8341,1.8040,1.8241,24800
1988-01-26,1.8241,1.8289,1.8141,1.8193,88400
1988-01-27,1.8193,1.8241,1.8040,1.8088,14800
1988-01-28,1.8141,1.8193,1.8040,1.8088,67600
1988-01-29,1.8193,1.8341,1.8088,1.8341,21600
1988-02-01,1.8393,1.8441,1.8393,1.8441,32000
1988-02-02,1.8393,1.8690,1.8393,1.8642,77600
1988-02-03,1.8642,1.8642,1.8441,1.8441,53600
1988-02-04,1.8393,1.8594,1.8393,1.8594,18800
1988-02-05,1.8642,1.8642,1.8489,1.8642,15600
1988-02-08,1.8642,1.8642,1.8341,1.8341,6400
1988-02-09,1.8441,1.8441,1.8341,1.8441,15200
1988-02-10,1.8441,1.8642,1.8393,1.8541,24800
1988-02-11,1.8642,1.8642,1.8541,1.8541,15600
1988-02-12,1.8642,1.8794,1.8642,1.8642,174800
1988-02-16,1.8690,1.8690,1.8594,1.8594,27200
1988-02-17,1.8690,1.8690,1.8541,1.8541,12400
1988-02-18,1.8489,1.8594,1.8489,1.8594,56800
1988-02-19,1.8489,1.8642,1.8441,1.8541,22800
1988-02-22,1.8541,1.8642,1.8541,1.8642,22000
1988-02-23,1.8642,1.8794,1.8594,1.8690,35200
1988-02-24,1.8642,1.8890,1.8642,1.8742,26800
1988-02-25,1.8690,1.8742,1.8642,1.8742,22400
1988-02-26,1.8690,1.9143,1.8642,1.9043,132400
1988-02-29,1.8942,1.9043,1.8942,1.9043,31600
1988-03-01,1.8994,1.9091,1.8942,1.8942,142400
1988-03-02,1.9043,1.9043,1.8942,1.9043,14000
1988-03-03,1.8994,1.9091,1.8994,1.9091,29200
1988-03-04,1.9091,1.9143,1.8890,1.8994,15200
1988-03-07,1.8942,1.9043,1.8842,1.8842,27200
1988-03-08,1.8742,1.8942,1.8742,1.8794,29200
1988-03-09,1.8890,1.8890,1.8742,1.8842,22800
1988-03-10,1.8842,1.8842,1.8642,1.8642,44000
1988-03-11,1.8642,1.8794,1.8642,1.8690,22800
1988-03-14,1.8742,1.8794,1.8642,1.8690,35600
1988-03-15,1.8742,1.8742,1.8594,1.8642,18800
1988-03-16,1.8594,1.8642,1.8489,1.8594,34000
1988-03-17,1.8541,1.8594,1.8489,1.8594,32800
1988-03-18,1.8594,1.8594,1.8489,1.8594,14000
1988-03-21,1.8594,1.8594,1.8441,1.8489,15200
1988-03-22,1.8489,1.8541,1.8441,1.8441,24400
1988-03-23,1.8441,1.8441,1.8241,1.8393,23600
1988-03-24,1.8341,1.8341,1.7992,1.8193,22800
1988-03-25,1.8241,1.8241,1.7940,1.7940,34800
1988-03-28,1.8040,1.8088,1.7940,1.8040,15200
1988-03-29,1.8141,1.8141,1.8040,1.8141,31200
1988-03-30,1.8040,1.8193,1.7992,1.8088,40800
