Date,Open,High,Low,Close,Volume
1990-03-26,0.1313,0.1409,0.1264,0.1409,6561000
1990-03-27,0.1359,0.1454,0.1359,0.1409,6039000
1990-03-28,0.1384,0.1409,0.1359,0.1409,10098000
1990-03-29,0.1384,0.1432,0.1384,0.1384,3132000
1990-03-30,0.1384,0.1409,0.1384,0.1409,4536000
1990-04-02,0.1384,0.1384,0.1336,0.1336,1890000
1990-04-03,0.1384,0.1384,0.1336,0.1384,2637000
1990-04-04,0.1359,0.1384,0.1359,0.1359,1773000
1990-04-05,0.1359,0.1384,0.1336,0.1384,4422015
1990-04-06,0.1359,0.1409,0.1359,0.1359,2196000
1990-04-09,0.1384,0.1384,0.1359,0.1384,606015
1990-04-10,0.1359,0.1409,0.1359,0.1384,3762000
1990-04-11,0.1409,0.1454,0.1384,0.1384,9180000
1990-04-12,0.1384,0.1432,0.1384,0.1409,5391000
1990-04-16,0.1432,0.1432,0.1384,0.1409,1422000
1990-04-17,0.1432,0.1432,0.1336,0.1384,3330000
1990-04-18,0.1359,0.1384,0.1359,0.1384,1470015
1990-04-19,0.1359,0.1384,0.1336,0.1384,2712015
1990-04-20,0.1336,0.1359,0.1288,0.1313,948015
1990-04-23,0.1264,0.1313,0.1241,0.1264,2280015
1990-04-24,0.1264,0.1336,0.1264,0.1264,7938000
1990-04-25,0.1264,0.1288,0.1218,0.1264,3342015
1990-04-26,0.1288,0.1288,0.1264,0.1264,111015
1990-04-27,0.1288,0.1288,0.1241,0.1288,918000
1990-04-30,0.1288,0.1288,0.1241,0.1241,84015
1990-05-01,0.1241,0.1288,0.1241,0.1264,192015
1990-05-02,0.1288,0.1313,0.1241,0.1313,2142000
1990-05-03,0.1336,0.1336,0.1313,0.1313,336015
1990-05-04,0.1336,0.1359,0.1313,0.1336,534015
1990-05-07,0.1336,0.1384,0.1336,0.1359,1611000
1990-05-08,0.1359,0.1384,0.1336,0.1359,885015
1990-05-09,0.1359,0.1359,0.1359,0.1359,279000
1990-05-10,0.1384,0.1409,0.1359,0.1409,3603015
1990-05-11,0.1409,0.1504,0.1409,0.1454,6597000
1990-05-14,0.1454,0.1504,0.1432,0.1504,2808000
1990-05-15,0.1454,0.1504,0.1432,0.1454,4680000
1990-05-16,0.1504,0.1504,0.1454,0.1454,1728000
1990-05-17,0.1454,0.1552,0.1454,0.1552,4311000
1990-05-18,0.1527,0.1598,0.1504,0.1552,7005015
1990-05-21,0.1527,0.1552,0.1504,0.1527,10953000
1990-05-22,0.1552,0.1552,0.1479,0.1504,5301000
1990-05-23,0.1527,0.1622,0.1527,0.1622,15660000
1990-05-24,0.1622,0.1718,0.1622,0.1693,10215000
