Date,Open,High,Low,Close,Volume
1980-01-02,0.1785,0.1785,0.1726,0.1726,807951
1980-01-03,0.1726,0.1746,0.1706,0.1716,538848
1980-01-04,0.1716,0.1746,0.1706,0.1746,300606
1980-01-07,0.1726,0.1726,0.1676,0.1706,665070
1980-01-08,0.1706,0.1726,0.1607,0.1646,857821
1980-01-09,0.1646,0.1656,0.1607,0.1607,318653
1980-01-10,0.1607,0.1686,0.1567,0.1686,938445
1980-01-11,0.1686,0.1706,0.1646,0.1686,835182
1980-01-14,0.1676,0.1676,0.1597,0.1666,1279950
1980-01-15,0.1686,0.1736,0.1686,0.1686,1541152
1980-01-16,0.1686,0.1736,0.1686,0.1686,295800
1980-01-17,0.1686,0.1696,0.1656,0.1686,470718
1980-01-18,0.1686,0.1825,0.1646,0.1825,1321170
1980-01-21,0.1825,0.1865,0.1785,0.1785,1138885
1980-01-22,0.1785,0.1825,0.1766,0.1766,455447
1980-01-23,0.1766,0.1785,0.1686,0.1686,465912
1980-01-24,0.1706,0.1785,0.1706,0.1706,625559
1980-01-25,0.1706,0.1736,0.1706,0.1706,409849
1980-01-28,0.1706,0.1726,0.1666,0.1666,710668
1980-01-29,0.1676,0.1726,0.1676,0.1686,1062959
1980-01-30,0.1666,0.1666,0.1607,0.1607,979345
1980-01-31,0.1636,0.1716,0.1636,0.1666,1199753
1980-02-01,0.1676,0.1736,0.1676,0.1706,1116032
1980-02-04,0.1706,0.1746,0.1706,0.1746,869995
1980-02-05,0.1746,0.1795,0.1726,0.1795,493250
1980-02-06,0.1795,0.1815,0.1766,0.1805,812223
1980-02-07,0.1785,0.1785,0.1756,0.1756,660265
1980-02-08,0.1746,0.1746,0.1706,0.1706,238242
1980-02-11,0.1706,0.1746,0.1666,0.1696,660265
1980-02-12,0.1696,0.1746,0.1666,0.1716,1138885
1980-02-13,0.1716,0.1746,0.1696,0.1706,1040106
1980-02-14,0.1706,0.1716,0.1666,0.1666,602706
1980-02-15,0.1666,0.1686,0.1607,0.1636,830377
1980-02-19,0.1636,0.1646,0.1597,0.1636,261094
1980-02-20,0.1636,0.1636,0.1627,0.1627,938445
1980-02-21,0.1627,0.1627,0.1607,0.1607,2419155
1980-02-22,0.1607,0.1607,0.1558,0.1558,1279950
1980-02-25,0.1558,0.1567,0.1527,0.1547,880780
1980-02-26,0.1547,0.1567,0.1527,0.1567,938445
1980-02-27,0.1567,0.1587,0.1538,0.1538,215496
1980-02-28,0.1527,0.1527,0.1508,0.1517,346204
1980-02-29,0.1517,0.1538,0.1508,0.1538,807951
1980-03-03,0.1538,0.1587,0.1538,0.1567,432595
1980-03-04,0.1567,0.1587,0.1567,0.1577,124300
1980-03-05,0.1577,0.1577,0.1527,0.1527,698494
