Date,Open,High,Low,Close,Volume
2004-12-15,27.2999,32.2191,27.1370,30.3361,26246300
2004-12-16,31.3395,32.9684,31.2092,31.9976,7778200
2004-12-17,31.9976,34.6950,31.3460,34.5321,4755800
2004-12-20,34.3366,35.1706,31.4894,31.6653,6098000
2004-12-21,31.6653,32.0432,29.7106,30.8704,3209500
2004-12-22,30.7531,32.2842,30.5576,31.6066,1837400
2004-12-23,31.6718,32.1539,31.4698,31.6001,633500
2004-12-27,31.6066,31.9324,30.5642,31.0463,800700
2004-12-28,30.9160,31.4698,30.2970,31.3395,1169600
2004-12-29,31.3395,31.4047,30.9811,31.2027,566500
2004-12-30,31.3069,31.6978,30.9421,31.1766,758300
2004-12-31,31.2092,31.3395,30.9160,31.2743,645400
2005-01-03,32.1539,32.1865,30.9811,31.6066,1055900
2005-01-04,31.6066,32.3168,31.4698,32.2256,1660100
2005-01-05,32.3885,32.5123,31.7891,31.8282,697400
2005-01-06,31.7630,31.7891,30.9486,31.2678,1015300
2005-01-07,31.1766,31.1831,29.5217,29.6780,2178900
2005-01-10,29.3523,30.1667,29.1568,29.4044,1247300
2005-01-11,28.9939,29.8605,28.1925,29.1373,1503300
2005-01-12,29.2611,29.4500,27.9514,28.0818,1658100
2005-01-13,27.7886,28.0166,26.9806,27.6908,2414800
2005-01-14,27.8798,28.4010,27.4628,28.2772,992800
2005-01-18,28.2446,29.4565,27.8863,29.4565,879800
2005-01-19,29.5086,30.0820,28.7659,28.8962,864600
2005-01-20,28.8962,29.1242,28.3815,28.5118,453600
2005-01-21,28.2121,28.3359,27.2999,28.0492,1626200
2005-01-24,29.0786,29.1633,27.0393,27.3976,1875100
2005-01-25,27.5605,28.0818,27.3976,27.4302,613900
2005-01-26,27.5279,27.8537,27.3781,27.4041,365500
2005-01-27,27.4823,27.7560,27.2738,27.3976,646000
2005-01-28,27.4302,27.5605,27.2022,27.4954,400200
2005-01-31,27.8863,28.4010,27.7104,28.2772,621800
2005-02-01,28.6681,28.9939,28.0818,28.1730,780400
2005-02-02,28.5053,29.6455,28.2512,29.4174,899300
2005-02-03,29.5803,29.8996,29.0265,29.8084,731000
2005-02-04,30.0690,31.2743,29.9061,31.0268,1227400
2005-02-07,31.3069,32.2452,31.2743,31.8933,1102400
2005-02-08,31.8998,31.9910,30.4925,30.6293,773600
2005-02-09,30.9551,31.0789,30.3491,30.8248,368600
2005-02-10,31.4372,31.6001,30.6554,30.9811,549600
2005-02-11,31.1440,31.2418,30.5120,30.6554,725700
2005-02-14,30.8508,31.2939,30.5316,31.2809,287100
2005-02-15,31.6001,33.4896,31.3916,33.0922,2193400
2005-02-16,33.1638,33.1638,32.3494,32.3950,820600
2005-02-17,32.9032,33.4179,32.2842,32.6752,709400
2005-02-18,32.9032,32.9358,31.6653,31.9585,596300
2005-02-22,31.9259,31.9259,30.9486,31.0268,736800
2005-02-23,31.1896,31.7109,30.6684,30.8834,568000
2005-02-24,31.2092,31.2418,29.9387,30.8248,941700
2005-02-25,31.0463,31.6653,30.4925,31.6001,864700
2005-02-28,32.0562,32.0888,30.9486,31.2092,632400
2005-03-01,31.2613,32.6296,31.2548,32.5905,754100
2005-03-02,32.5709,33.2094,32.3689,32.5644,776000
2005-03-03,32.5644,32.8967,31.7630,32.3820,648600
2005-03-04,32.2842,32.3168,31.4698,31.4894,870800
2005-03-07,31.6978,32.5774,31.6718,32.4471,994300
2005-03-08,32.0888,32.4471,30.6893,30.8508,3714700
2005-03-09,30.6879,30.8183,28.8310,29.3849,2606600
2005-03-10,29.3849,29.9256,29.2220,29.7953,941300
2005-03-11,29.7953,30.6228,29.7953,29.9647,599100
2005-03-14,30.3948,30.9681,30.2319,30.9290,801200
2005-03-15,31.1115,32.4471,31.1115,32.1865,1970100
2005-03-16,32.1214,32.2321,31.1440,31.4763,1494300
2005-03-17,31.3134,31.8933,31.1701,31.6066,920200
2005-03-18,31.6066,32.1539,31.1440,31.7565,642100
2005-03-21,31.7565,32.0236,31.2092,31.4763,1169200
2005-03-22,31.4763,31.6131,30.1993,30.2905,1027900
2005-03-23,30.0690,30.2253,29.6585,29.8149,929600
2005-03-24,29.8735,30.1993,29.6520,29.9712,555300
2005-03-28,29.8409,30.2319,29.6520,29.9582,373700
2005-03-29,29.6455,29.7432,28.6030,28.6681,1626300
2005-03-30,28.6681,29.7171,28.6681,29.7171,957400
2005-03-31,29.4500,29.7758,29.0265,29.3197,971300
2005-04-01,29.3262,29.3849,28.3880,28.8376,1117600
2005-04-04,28.6030,28.6030,27.9189,27.9254,1358200
2005-04-05,27.9384,28.1339,27.4302,27.4367,1222800
2005-04-06,27.4628,28.7333,27.4628,28.5378,1093500
2005-04-07,28.9613,29.5412,28.7333,28.7659,1174000
2005-04-08,28.8636,29.0070,28.1795,28.2968,701400
2005-04-11,28.4075,28.7333,27.9840,28.3489,415600
2005-04-12,28.3489,28.6681,28.1078,28.6356,785000
2005-04-13,28.6356,29.2220,28.5053,28.6681,701000
2005-04-14,28.6747,28.8115,27.8276,28.2121,1177400
