Date,Open,High,Low,Close,Volume
2016-11-10,28.6722,28.9496,26.6855,27.1419,35019076
2016-11-11,26.6676,26.9272,25.8175,26.7482,6020148
2016-11-14,26.2560,27.2314,25.7280,27.0166,4481917
2016-11-15,26.5245,27.4726,26.5066,27.2314,3667256
2016-11-16,27.5357,28.6722,27.3925,28.3679,4342310
2016-11-17,28.0995,29.5894,27.4149,29.0928,5252133
2016-11-18,28.7617,29.6208,28.4485,29.2449,4253380
2016-11-21,28.8691,29.0838,28.0010,28.4037,5036677
2016-11-22,28.2068,29.6655,27.2314,29.2628,5601830
2016-11-23,29.2628,29.9519,29.0838,29.5492,3620409
2016-11-25,29.3165,29.3344,28.8780,29.1644,827809
2016-11-28,28.8780,29.9787,28.7885,29.2986,1929250
2016-11-29,29.5760,29.8534,29.2807,29.7013,2139479
2016-11-30,29.7639,30.6946,29.5313,29.9608,2764920
2016-12-01,29.5671,29.7639,28.8019,29.0928,2914939
2016-12-02,28.7796,29.7192,28.6453,29.5223,1213120
2016-12-05,29.4149,30.2109,29.3076,30.1130,2004735
2016-12-06,29.9340,30.3009,29.7192,30.2651,1622915
2016-12-07,30.4888,31.3032,30.4262,31.0973,3809431
2016-12-08,31.2405,32.2159,30.9720,32.1533,2602986
2016-12-09,32.0549,32.6723,31.8580,32.5560,1993074
2016-12-12,32.5560,33.3032,32.4934,32.8692,1258339
2016-12-13,33.0840,33.1914,31.9206,32.7350,1814756
2016-12-14,32.7708,33.1108,31.2942,31.4553,3886277
2016-12-15,31.3747,31.5573,30.5604,30.7662,1555074
2016-12-16,30.7304,31.7416,30.6767,31.5537,3783968
2016-12-19,31.5985,32.0728,30.6678,30.8557,1983266
2016-12-20,30.6230,31.4195,30.6051,31.2763,944998
2016-12-21,30.9989,31.5179,30.8378,31.3389,703934
2016-12-22,31.3211,32.7708,31.1421,32.5113,1438479
2016-12-23,32.5828,33.1735,32.1891,32.9766,888289
2016-12-27,32.7976,33.5493,32.7618,33.4151,822236
2016-12-28,33.3345,33.7015,33.1198,33.3166,534220
2016-12-29,33.4419,33.9699,33.2388,33.7999,658516
2016-12-30,33.7730,34.4711,33.7149,33.8715,773230
2017-01-03,33.7462,34.5426,33.4330,33.5493,2006963
2017-01-04,33.7104,34.3726,32.5961,33.0929,1712669
2017-01-05,33.0929,33.7462,32.6455,32.7708,1099591
2017-01-06,32.5918,33.0750,32.2696,32.9587,1367990
2017-01-09,32.9408,33.1914,32.3054,33.0124,1333756
2017-01-10,34.7127,34.8648,32.3860,32.9676,3712586
2017-01-11,32.8424,33.2898,32.2338,33.0124,2185874
2017-01-12,32.8334,33.1198,32.3234,33.0750,1235201
2017-01-13,33.0124,33.3793,32.7081,33.3077,1010164
2017-01-17,33.2361,33.3077,32.8871,33.0124,1907181
2017-01-18,32.8871,33.0034,32.5828,32.7887,1214200
2017-01-19,32.9229,33.1108,32.5113,33.0750,890406
2017-01-20,33.0661,33.6120,32.9050,33.2093,1337042
2017-01-23,33.0929,33.4867,32.6330,32.9050,2035285
2017-01-24,32.8066,33.7104,32.7439,33.5493,1199629
2017-01-25,33.5135,33.8266,32.6097,32.8155,1183305
2017-01-26,32.7330,33.1648,32.6071,32.6790,1015269
2017-01-27,32.7420,32.8679,32.2113,32.7780,1088390
2017-01-30,32.5621,33.2187,32.5621,33.0838,912896
2017-01-31,32.9939,33.7764,32.9939,33.6055,1625296
2017-02-01,33.8034,34.1542,33.4256,33.9743,2212174
2017-02-02,33.9114,34.9098,33.8304,34.5590,2496332
2017-02-03,34.6220,35.5035,34.5951,34.9908,1495201
2017-02-06,35.1977,35.3955,34.8298,35.2966,1097753
2017-02-07,35.3056,35.8003,35.0627,35.4495,1362245
2017-02-08,35.3326,35.7014,34.7029,35.2246,1575213
2017-02-09,35.1347,35.5485,34.8019,35.1527,1138886
2017-02-10,35.0807,35.5934,34.7209,35.3236,868909
2017-02-13,35.2966,35.7194,34.9278,35.4675,1128260
2017-02-14,35.3776,35.7464,35.3056,35.6654,1098381
2017-02-15,35.5305,35.7554,35.2606,35.6474,1387718
2017-02-16,35.5934,36.1241,35.5844,35.8903,1034842
2017-02-17,35.7733,35.9353,35.3506,35.6384,1487957
2017-02-21,35.5844,36.0972,35.3506,35.6384,1295408
2017-02-22,35.4495,35.9802,35.4495,35.8453,800763
2017-02-23,35.9353,35.9353,35.3236,35.5305,564214
2017-02-24,35.5305,35.6744,35.3699,35.6024,374959
2017-02-27,35.7104,35.7104,35.1527,35.5125,603491
2017-02-28,35.4765,35.7913,35.2516,35.2516,653900
2017-03-01,35.1707,36.0162,35.1437,35.9353,734412
2017-03-02,35.7104,36.3310,35.5817,36.1781,818892
2017-03-03,36.0522,36.4003,35.5575,36.3400,1254144
2017-03-06,36.3130,36.5289,36.0342,36.3580,1784398
2017-03-07,36.2141,36.9247,36.0207,36.6459,1684017
2017-03-08,36.5649,36.9517,36.3580,36.6279,1926522
2017-03-09,36.6908,36.9697,36.4660,36.8617,1533904
2017-03-10,36.8977,37.4194,36.7578,37.2395,1544140
2017-03-13,37.2305,37.4284,37.1586,37.3565,1383880
2017-03-14,37.3295,38.0041,37.1705,37.9681,992609
2017-03-15,38.1750,39.1015,38.0311,38.1031,2309856
2017-03-16,38.0311,38.2290,37.5544,37.7702,1065257
2017-03-17,37.7253,38.1300,37.4820,38.0041,1608966
2017-03-20,38.0581,38.3459,37.8611,38.2110,1693155
2017-03-21,38.3099,38.7912,38.2650,38.5618,1640736
2017-03-22,38.6967,39.1105,38.1660,38.1750,1391719
2017-03-23,38.1390,38.9306,37.9771,38.6877,1135576
2017-03-24,38.6787,38.8901,38.3819,38.3819,1338311
2017-03-27,38.2560,38.6967,37.9771,38.6428,812738
2017-03-28,38.5528,38.8586,38.3729,38.6068,901945
2017-03-29,38.5708,38.6338,38.2470,38.3549,704039
2017-03-30,38.4089,38.4089,37.8332,37.8602,641004
2017-03-31,37.8422,37.9097,37.6083,37.8332,1003812
2017-04-03,37.7882,38.0041,37.5544,37.7792,914679
2017-04-04,37.8512,37.9771,37.3655,37.9501,1297662
2017-04-05,37.8962,38.2290,37.5094,37.5454,816318
2017-04-06,38.7867,39.0385,36.5289,38.8047,2956532
2017-04-07,37.8962,38.9126,37.5544,38.6698,2618197
2017-04-10,38.6248,38.6877,37.9412,38.4629,1236697
2017-04-11,38.4809,38.5798,37.8641,38.5708,1170516
2017-04-12,38.5888,38.6337,37.8512,37.9232,717625
2017-04-13,37.9412,38.0851,37.6623,37.6623,531793
2017-04-17,37.6803,38.0131,37.5589,37.9861,508809
2017-04-18,38.0221,38.1750,37.7702,38.1211,812945
2017-04-19,38.0401,38.1300,37.7882,37.9591,526314
2017-04-20,38.0581,38.4449,37.7972,38.3189,415618
2017-04-21,38.2920,38.2920,37.8152,38.0131,1035046
2017-04-24,38.2560,38.4179,37.9591,38.3819,555585
2017-04-25,38.5348,38.6158,38.0311,38.1930,840056
2017-04-26,38.2451,38.2903,37.9108,38.1638,901229
2017-04-27,38.0734,38.7149,38.0644,38.5252,991385
