Date,Open,High,Low,Close,Volume
2010-04-28,8.5297,8.5297,8.3189,8.4339,5244400
2010-04-29,8.4339,8.9131,8.3955,8.8172,8773600
2010-04-30,8.7980,8.8172,8.5297,8.5489,1644400
2010-05-03,8.7214,8.7980,8.6830,8.7405,3302700
2010-05-04,8.7405,8.7405,8.2422,8.2422,2276500
2010-05-05,8.4339,8.4339,7.6671,7.8933,6999200
2010-05-06,7.8588,7.8780,7.0729,7.4563,8029400
2010-05-07,7.4755,7.4946,6.8621,7.1304,3881500
2010-05-10,7.5713,7.6096,7.1688,7.2876,3861100
2010-05-11,7.1879,7.3911,7.1879,7.2455,2626900
2010-05-12,7.3605,7.6825,7.3605,7.5905,5714300
2010-05-13,7.6096,7.7055,7.5138,7.5330,2475900
2010-05-14,7.3988,7.4371,7.1879,7.1879,3133400
2010-05-17,7.2838,7.3605,7.1688,7.2263,10117000
2010-05-18,7.3030,7.4065,6.9963,7.2033,6219800
2010-05-19,7.2455,7.2570,6.7279,6.7854,6227700
2010-05-20,6.5707,6.5707,6.2104,6.4787,10248400
2010-05-21,6.2679,6.5631,6.2296,6.3446,4560800
2010-05-24,6.4021,6.5746,6.3944,6.4787,1761300
2010-05-25,6.4366,6.4366,6.2104,6.3522,4649600
2010-05-26,6.5132,6.6704,6.4404,6.5746,2079300
2010-05-27,6.7663,6.9004,6.7663,6.8621,3156100
2010-05-28,6.8621,6.8621,6.2296,6.8123,222200
2010-06-01,6.7663,6.8238,6.5937,6.7088,900800
2010-06-02,6.7509,6.7701,6.6014,6.6436,829900
2010-06-03,6.6896,6.7088,6.5746,6.6436,2173600
2010-06-04,6.5362,6.5554,6.4212,6.5362,3147200
2010-06-07,6.5746,6.5937,6.4174,6.4749,2826800
2010-06-08,6.5286,6.5286,6.3254,6.4212,2037700
2010-06-09,6.4366,6.5554,6.4021,6.4366,1410200
2010-06-10,6.5056,6.5439,6.4596,6.5056,1401000
2010-06-11,6.4941,6.5899,6.4941,6.5707,452500
2010-06-14,6.5899,6.7394,6.5899,6.7049,1008500
2010-06-15,6.7011,6.9004,6.6512,6.8889,1974300
2010-06-16,6.8736,6.8889,6.7586,6.7624,1041500
2010-06-17,6.7778,6.8046,6.5707,6.6321,1090600
2010-06-18,6.6435,6.6512,6.5746,6.5976,1373700
2010-06-21,6.6896,6.7203,6.5516,6.5554,514100
2010-06-22,6.5516,6.5554,6.4404,6.4557,1502900
2010-06-23,6.4787,6.4979,6.3637,6.3829,1125700
2010-06-24,6.3982,6.4864,6.2679,6.4404,2151600
2010-06-25,6.4787,6.4864,6.4021,6.4481,612000
2010-06-28,6.4672,6.4672,6.4021,6.4672,355800
2010-06-29,6.4174,6.4174,6.2296,6.2296,2561000
2010-06-30,6.2372,6.3254,6.1912,6.1912,1534100
2010-07-01,6.2257,6.2487,5.9037,5.9612,4006100
2010-07-02,5.9727,6.0149,5.9037,5.9344,231700
2010-07-06,5.9420,5.9765,5.7120,5.7734,833700
2010-07-07,5.7695,5.8079,5.6967,5.7504,2137200
2010-07-08,5.7312,5.8079,5.7312,5.7695,2422200
2010-07-09,5.7887,6.1414,5.7504,6.0570,1478700
2010-07-12,6.0647,6.1414,6.0570,6.0647,786100
2010-07-13,6.0685,6.3254,6.0685,6.2871,1647300
2010-07-14,6.2871,6.3062,6.2296,6.2871,1537200
2010-07-15,6.2986,6.2986,6.1337,6.2756,905900
2010-07-16,6.2487,6.2487,6.1337,6.2104,624700
2010-07-19,6.2008,6.4021,6.1759,6.3062,497300
2010-07-20,6.3024,6.3024,6.1912,6.2066,1244700
