Date,Open,High,Low,Close,Volume
1993-10-13,3.5107,3.5256,3.4600,3.4928,553600
1993-10-14,3.4796,3.4796,3.3659,3.4138,812000
1993-10-15,3.4138,3.4317,3.3809,3.3988,615300
1993-10-18,3.3988,3.4796,3.3988,3.4646,1029201
1993-10-19,3.4138,3.5963,3.4138,3.5634,849001
1993-10-20,3.5634,3.5634,3.5125,3.5305,678500
1993-10-21,3.5305,3.5454,3.5125,3.5305,567800
1993-10-22,3.5305,3.5305,3.4138,3.4138,806501
1993-10-25,3.3809,3.3988,3.3659,3.3659,1183500
1993-10-26,3.3809,3.4138,3.3659,3.3809,921900
1993-10-27,3.3809,3.4646,3.3809,3.4646,494501
1993-10-28,3.4646,3.5305,3.4317,3.4976,1411299
1993-10-29,3.4976,3.4976,3.4317,3.4467,1052699
1993-11-01,3.4138,3.4976,3.4138,3.4976,453200
1993-11-02,3.4796,3.4796,3.4317,3.4467,394800
1993-11-03,3.4467,3.4796,3.3809,3.3988,838400
1993-11-04,3.3809,3.3809,3.2492,3.2672,487400
1993-11-05,3.2343,3.2672,3.2014,3.2672,693300
1993-11-08,3.2672,3.2672,3.2163,3.2163,312900
1993-11-09,3.2492,3.2821,3.2163,3.2343,443301
1993-11-10,3.2492,3.3809,3.2492,3.3480,884301
1993-11-11,3.3150,3.3330,3.2821,3.3150,643200
1993-11-12,3.3150,3.3480,3.3001,3.3330,617601
1993-11-15,3.3001,3.3150,3.2343,3.2672,531499
1993-11-16,3.2492,3.2672,3.2163,3.2492,303599
1993-11-17,3.2343,3.2343,3.1355,3.1684,785601
1993-11-18,3.1684,3.1684,3.0877,3.1026,1038000
1993-11-19,3.1026,3.1026,3.0548,3.0877,652501
1993-11-22,3.0548,3.0697,2.9889,3.0218,546099
1993-11-23,3.0218,3.1834,3.0039,3.1206,1059199
1993-11-24,3.1355,3.1684,3.1206,3.1206,863700
1993-11-26,3.1355,3.1505,3.1206,3.1505,209899
1993-11-29,3.1505,3.1684,3.0218,3.0218,537799
1993-11-30,3.0368,3.1834,3.0218,3.1834,482301
1993-12-01,3.2672,3.3330,3.2014,3.2821,688300
1993-12-02,3.3150,3.3988,3.3001,3.3988,1442400
1993-12-03,3.3988,3.3988,3.3480,3.3809,1172900
1993-12-06,3.3480,3.3480,3.2492,3.2672,605500
1993-12-07,3.2492,3.2821,3.2163,3.2821,1014801
1993-12-08,3.4317,3.5454,3.4317,3.5305,2686799
1993-12-09,3.5125,3.7100,3.5125,3.6442,1005300
1993-12-10,3.6112,3.6442,3.5454,3.6442,1508600
1993-12-13,3.6292,3.6950,3.6112,3.6950,1091200
1993-12-14,3.6950,3.7579,3.6771,3.7579,983799
1993-12-15,3.7429,3.7429,3.6292,3.6292,747501
1993-12-16,3.6442,3.6950,3.6442,3.6621,524900
1993-12-17,3.6771,3.6950,3.6442,3.6442,617799
1993-12-20,3.6490,3.6640,3.5170,3.5320,482800
1993-12-21,3.5650,3.6820,3.4990,3.6640,433100
1993-12-22,3.6490,3.6970,3.6310,3.6970,594301
1993-12-23,3.6820,3.7480,3.6640,3.7150,742800
1993-12-27,3.7150,3.7480,3.6970,3.7480,249201
1993-12-28,3.7300,3.8290,3.7300,3.7960,779800
1993-12-29,3.7960,3.8140,3.7480,3.7630,483401
1993-12-30,3.7630,3.8140,3.7300,3.7960,1262000
1993-12-31,3.8140,3.8290,3.7480,3.8290,290499
1994-01-03,3.7630,3.7960,3.7150,3.7630,804801
