Date,Open,High,Low,Close,Volume
1983-06-10,2.8956,2.9559,2.8829,2.9199,465600
1983-06-13,2.8956,2.9199,2.8469,2.9199,494400
1983-06-14,2.9442,2.9686,2.9199,2.9559,463600
1983-06-15,2.9316,2.9929,2.9199,2.9803,399200
1983-06-16,2.9803,3.1516,2.9803,3.1389,903200
1983-06-17,3.1632,3.3579,3.1632,3.3579,1201200
1983-06-20,3.3336,3.4679,3.3336,3.4192,555200
1983-06-21,3.4066,3.4552,3.4066,3.4309,513600
1983-06-22,3.5039,3.5526,3.4552,3.5526,608400
1983-06-23,3.6012,3.6012,3.5282,3.5409,414400
1983-06-24,3.5282,3.5409,3.4309,3.4552,288000
1983-06-27,3.4309,3.4435,3.3579,3.3822,206800
1983-06-28,3.3579,3.3822,3.2849,3.3092,310400
1983-06-29,3.2849,3.3092,3.2119,3.2362,243600
1983-06-30,3.2606,3.2606,3.1516,3.1759,338000
1983-07-01,3.2002,3.2362,3.1632,3.2119,94800
1983-07-05,3.1876,3.2002,3.1389,3.2002,74800
1983-07-06,3.2002,3.2246,3.1019,3.1146,118000
1983-07-07,3.1272,3.2002,3.1146,3.1389,710000
1983-07-08,3.1516,3.1516,3.0902,3.1272,98800
1983-07-11,3.1389,3.1389,3.0902,3.1272,140000
1983-07-12,3.1389,3.2002,2.9929,2.9929,406000
1983-07-13,2.9686,2.9686,2.9199,2.9686,535200
1983-07-14,3.0776,3.1146,2.9442,3.1146,151600
1983-07-15,3.1146,3.1389,3.0776,3.1389,96400
1983-07-18,3.1389,3.1759,3.1146,3.1516,174800
1983-07-19,3.1272,3.1759,3.1272,3.1516,214400
1983-07-20,3.2002,3.2489,3.1632,3.2246,346800
1983-07-21,3.2246,3.2976,3.1759,3.1759,260800
1983-07-22,3.1516,3.1876,3.1272,3.1759,254000
1983-07-25,3.1759,3.1876,3.1516,3.1759,68000
1983-07-26,3.1759,3.1876,3.1389,3.1876,332800
1983-07-27,3.1632,3.1876,3.1516,3.1632,172800
1983-07-28,3.1146,3.1389,2.9686,2.9929,534400
1983-07-29,2.9199,3.0046,2.9199,3.0046,409600
1983-08-01,2.9803,3.0046,2.8343,2.8343,325200
1983-08-02,2.8586,2.9199,2.8469,2.8712,835200
1983-08-03,2.8712,2.8829,2.8343,2.8469,466800
1983-08-04,2.7739,2.8343,2.7252,2.8099,1443600
1983-08-05,2.8099,2.8829,2.7982,2.7982,428800
1983-08-08,2.7496,2.7856,2.7252,2.7369,594800
1983-08-09,2.7369,2.7496,2.6766,2.7252,344000
1983-08-10,2.7252,2.7496,2.7252,2.7369,153200
1983-08-11,2.7496,2.8226,2.7496,2.8226,398400
1983-08-12,2.8469,2.8956,2.8469,2.8712,322400
1983-08-15,2.8712,2.9442,2.8586,2.9316,485200
1983-08-16,2.9442,2.9559,2.8829,2.9316,87200
1983-08-17,2.9073,3.0902,2.8829,3.0659,114000
1983-08-18,3.1632,3.1759,2.9929,3.0289,154800
1983-08-19,3.0659,3.0659,3.0289,3.0289,63200
1983-08-22,3.0659,3.1389,3.0659,3.1389,173600
1983-08-23,3.1516,3.1876,3.1019,3.1632,184800
1983-08-24,3.1389,3.1389,3.0289,3.0289,210400
1983-08-25,3.0172,3.0289,2.9442,2.9803,119600
1983-08-26,2.9803,2.9803,2.9199,2.9442,115600
1983-08-29,2.9316,2.9803,2.9199,2.9442,69200
1983-08-30,2.9199,2.9686,2.9199,2.9316,126800
1983-08-31,2.9559,3.1146,2.9559,3.1146,455200
1983-09-01,3.1146,3.1146,3.0416,3.1146,92400
1983-09-02,3.1389,3.1759,3.1389,3.1759,128000
1983-09-06,3.1632,3.2002,3.0902,3.1146,200000
1983-09-07,3.2119,3.2362,3.1876,3.2002,445200
1983-09-08,3.2119,3.2606,3.1876,3.2489,307600
1983-09-09,3.2246,3.2606,3.2246,3.2606,218400
1983-09-12,3.2849,3.3462,3.2732,3.2732,240400
1983-09-13,3.2849,3.3336,3.2362,3.3092,426800
1983-09-14,3.2849,3.2849,3.2489,3.2606,1098000
1983-09-15,3.2606,3.2606,3.2119,3.2119,132400
1983-09-16,3.2119,3.2732,3.2119,3.2732,111200
1983-09-19,3.2849,3.3092,3.2732,3.2976,227600
1983-09-20,3.3092,3.3949,3.3092,3.3579,526400
1983-09-21,3.3705,3.4435,3.3705,3.3949,769600
1983-09-22,3.3949,3.4066,3.3705,3.3705,277200
1983-09-23,3.3579,3.3579,3.3336,3.3579,180000
1983-09-26,3.3705,3.4435,3.3579,3.4435,338800
1983-09-27,3.4435,3.4435,3.3822,3.3949,241200
1983-09-28,3.4066,3.4066,3.3705,3.4066,85600
1983-09-29,3.4066,3.4066,3.2732,3.2849,148800
1983-09-30,3.2849,3.3462,3.2606,3.3462,104800
1983-10-03,3.3092,3.3219,3.2002,3.2119,247600
1983-10-04,3.1876,3.2362,3.1876,3.2119,1076000
1983-10-05,3.2362,3.2489,3.1389,3.2002,1281600
1983-10-06,3.1876,3.2606,3.1876,3.2606,310000
1983-10-07,3.3092,3.4066,3.3092,3.4066,214800
1983-10-10,3.4309,3.4796,3.4309,3.4796,78800
1983-10-11,3.5039,3.5409,3.3336,3.4066,429200
1983-10-12,3.3822,3.4066,3.3462,3.3462,130800
1983-10-13,3.3219,3.4192,3.3092,3.4066,85600
1983-10-14,3.4066,3.4066,3.2246,3.2362,146800
1983-10-17,3.2119,3.2489,3.2002,3.2246,145600
1983-10-18,3.2002,3.2002,3.0902,3.1019,273200
1983-10-19,3.0172,3.0902,3.0172,3.0902,126000
1983-10-20,3.1019,3.1632,3.0902,3.1632,184400
1983-10-21,3.1632,3.1632,3.0659,3.1019,162400
1983-10-24,3.0776,3.1019,3.0659,3.1019,110000
1983-10-25,3.1272,3.1632,3.0902,3.1632,443600
1983-10-26,3.1516,3.1516,3.0902,3.1272,84400
1983-10-27,3.1272,3.1389,3.0776,3.0902,54400
1983-10-28,3.0659,3.0776,2.9559,2.9803,347200
1983-10-31,2.9929,3.0046,2.9559,2.9686,120800
1983-11-01,2.9686,2.9929,2.9442,2.9559,134400
1983-11-02,2.9559,2.9929,2.9442,2.9929,183200
1983-11-03,2.9199,2.9686,2.8956,2.9316,508000
1983-11-04,2.9316,2.9442,2.9073,2.9199,107200
1983-11-07,2.9199,2.9199,2.8586,2.8956,316000
1983-11-08,2.8712,2.8956,2.8343,2.8712,297600
1983-11-09,2.8712,3.0289,2.8712,3.0172,946000
1983-11-10,3.0172,3.0416,2.9929,3.0172,742400
1983-11-11,3.0046,3.0046,2.9073,2.9929,642800
1983-11-14,3.0046,3.0902,3.0046,3.0776,428000
1983-11-15,3.0533,3.0902,3.0289,3.0659,356000
1983-11-16,3.0902,3.2606,3.0902,3.2489,261200
1983-11-17,3.2362,3.3822,3.2362,3.3579,347200
1983-11-18,3.3579,3.3949,3.2976,3.3219,292800
1983-11-21,3.3092,3.3092,3.2606,3.2849,131200
1983-11-22,3.2606,3.2606,3.1876,3.2246,306400
1983-11-23,3.2489,3.2849,3.2119,3.2732,410400
1983-11-25,3.2976,3.3092,3.2976,3.3092,260800
1983-11-28,3.3092,3.3219,3.2732,3.2849,128800
1983-11-29,3.2849,3.4309,3.2732,3.4192,502800
1983-11-30,3.4309,3.4435,3.4066,3.4192,135600
1983-12-01,3.3822,3.4192,3.3822,3.3822,122800
1983-12-02,3.4066,3.4435,3.3705,3.4066,174400
1983-12-05,3.3822,3.3949,3.2362,3.2606,217600
1983-12-06,3.2849,3.3219,3.2732,3.3219,120400
1983-12-07,3.2976,3.3219,3.2489,3.2849,77600
1983-12-08,3.2976,3.4066,3.2849,3.4066,200800
1983-12-09,3.4066,3.4066,3.3579,3.3579,115600
1983-12-12,3.3579,3.3705,3.3092,3.3092,168000
1983-12-13,3.3092,3.3462,3.3092,3.3336,60400
1983-12-14,3.3092,3.3462,3.2606,3.3219,288800
1983-12-15,3.3092,3.3092,3.2119,3.2362,182400
1983-12-16,3.2362,3.2976,3.2246,3.2732,135600
1983-12-19,3.2606,3.2732,3.2002,3.2606,175200
1983-12-20,3.2849,3.3092,3.2732,3.2976,408400
1983-12-21,3.2976,3.3336,3.2732,3.2849,470800
1983-12-22,3.2976,3.3336,3.2849,3.2849,196400
1983-12-23,3.3092,3.3092,3.2606,3.2976,75200
1983-12-27,3.2732,3.3219,3.2606,3.3219,259200
1983-12-28,3.2976,3.2976,3.2362,3.2489,343600
1983-12-29,3.2489,3.2732,3.2362,3.2732,154400
1983-12-30,3.2606,3.2849,3.2606,3.2849,36000
1984-01-03,3.2732,3.2976,3.2119,3.2489,722800
1984-01-04,3.2246,3.2489,3.2119,3.2246,118000
1984-01-05,3.2489,3.2849,3.1876,3.2849,590400
1984-01-06,3.2849,3.2849,3.2246,3.2606,339200
1984-01-09,3.2732,3.2849,3.2489,3.2849,256800
1984-01-10,3.2732,3.2976,3.2246,3.2732,557200
1984-01-11,3.2849,3.2976,3.2489,3.2606,360800
1984-01-12,3.2489,3.2606,3.2119,3.2606,668400
1984-01-13,3.2606,3.2849,3.2362,3.2362,242800
1984-01-16,3.2246,3.2606,3.2119,3.2119,134000
1984-01-17,3.1876,3.2362,3.1632,3.2246,547200
1984-01-18,3.2362,3.2362,3.1632,3.2002,1074800
1984-01-19,3.1876,3.2119,3.0659,3.0776,356000
1984-01-20,3.0902,3.1632,3.0902,3.1632,558000
1984-01-23,3.1272,3.1389,3.0902,3.1019,242000
1984-01-24,3.1019,3.1019,3.0659,3.0659,214800
1984-01-25,3.0902,3.1146,3.0776,3.1019,264800
1984-01-26,3.0776,3.1019,3.0659,3.0902,342800
1984-01-27,3.0902,3.0902,3.0172,3.0533,561600
1984-01-30,3.0776,3.1019,3.0289,3.0416,122800
1984-01-31,3.0289,3.1272,3.0046,3.0659,260800
1984-02-01,3.0659,3.1146,3.0659,3.1019,581600
1984-02-02,3.1019,3.1019,3.0416,3.0416,382800
1984-02-03,3.0659,3.0776,2.9073,2.9442,191200
1984-02-06,2.8956,2.9442,2.8712,2.8712,612000
1984-02-07,2.7856,2.8586,2.7252,2.8343,394800
1984-02-08,2.8226,2.9199,2.7739,2.8829,489200
1984-02-09,2.8829,2.8829,2.7252,2.7369,566000
1984-02-10,2.7856,2.8469,2.7369,2.7369,265600
1984-02-13,2.7496,2.7496,2.7252,2.7369,341600
1984-02-14,2.7496,2.7856,2.7369,2.7739,552800
1984-02-15,2.7856,2.7856,2.7252,2.7613,755200
1984-02-16,2.7613,2.8099,2.7369,2.7982,517200
1984-02-17,2.7856,2.7856,2.6396,2.6523,631600
1984-02-21,2.6036,2.6153,2.5063,2.5306,562800
1984-02-22,2.5063,2.5306,2.4819,2.5179,668400
1984-02-23,2.5063,2.5306,2.5063,2.5063,272000
1984-02-24,2.5306,2.7496,2.5306,2.7496,241600
1984-02-27,2.7496,2.7856,2.7126,2.7252,508000
1984-02-28,2.7369,2.7496,2.6523,2.6523,368800
1984-02-29,2.6523,2.6523,2.5666,2.6036,223200
1984-03-01,2.6279,2.6396,2.5666,2.6396,172400
1984-03-02,2.6396,2.7009,2.6396,2.6639,253600
1984-03-05,2.6639,2.7369,2.6396,2.7369,170800
1984-03-06,2.7126,2.7252,2.7009,2.7009,300000
1984-03-07,2.7009,2.7126,2.6279,2.7126,382800
1984-03-08,2.6883,2.6883,2.6639,2.6766,570400
1984-03-09,2.8226,2.8712,2.7982,2.7982,268000
1984-03-12,2.8099,2.8099,2.6883,2.7126,164000
1984-03-13,2.7496,2.7739,2.7252,2.7369,554800
1984-03-14,2.7252,2.7252,2.6639,2.7009,394000
1984-03-15,2.6883,2.7009,2.6883,2.7009,218400
1984-03-16,2.7252,2.8829,2.7252,2.8099,856800
1984-03-19,2.8099,2.8226,2.7739,2.7856,232800
1984-03-20,2.8226,2.9073,2.8099,2.9073,362800
1984-03-21,2.8829,2.8956,2.8343,2.8469,313600
1984-03-22,2.8469,2.8829,2.8099,2.8469,480800
1984-03-23,2.8586,2.8586,2.8099,2.8226,278400
1984-03-26,2.8099,2.8586,2.7982,2.8586,341200
1984-03-27,2.8586,2.8712,2.7856,2.8099,474800
1984-03-28,2.7982,2.8226,2.7856,2.7856,314000
1984-03-29,2.8099,2.8586,2.7982,2.8343,226800
1984-03-30,2.8099,2.8226,2.7739,2.7982,262400
1984-04-02,2.8469,2.9073,2.8226,2.8226,255200
1984-04-03,2.8226,2.8226,2.7126,2.7613,192800
1984-04-04,2.7252,2.7613,2.7252,2.7613,908000
1984-04-05,2.7613,2.7739,2.7252,2.7613,95600
1984-04-06,2.7856,2.7982,2.7496,2.7739,370000
1984-04-09,2.7856,2.7982,2.7252,2.7252,119200
1984-04-10,2.7739,2.7856,2.7252,2.7496,323200
1984-04-11,2.7613,2.7613,2.7369,2.7369,268000
1984-04-12,2.7496,2.7496,2.6766,2.7369,136400
1984-04-13,2.7369,2.7369,2.6883,2.6883,322400
1984-04-16,2.6883,2.7369,2.6766,2.7009,142400
