Date,Open,High,Low,Close,Volume
1993-03-19,0.1879,0.2002,0.1786,0.1833,90043984
1993-03-22,0.1786,0.1802,0.1741,0.1756,13599814
1993-03-23,0.1756,0.1786,0.1741,0.1756,8300986
1993-03-24,0.1786,0.1802,0.1741,0.1786,3662997
1993-03-25,0.1817,0.1879,0.1802,0.1863,4249979
1993-03-26,0.1879,0.1987,0.1863,0.1924,8314382
1993-03-29,0.1955,0.1955,0.1924,0.1940,7362809
1993-03-30,0.1940,0.1987,0.1910,0.1971,3808797
1993-03-31,0.2002,0.2002,0.1940,0.1987,3321005
1993-04-01,0.1955,0.2002,0.1940,0.1971,1421413
1993-04-02,0.2002,0.2002,0.1940,0.2002,1903784
1993-04-05,0.2002,0.2002,0.1940,0.1987,441182
1993-04-06,0.1971,0.1987,0.1940,0.1940,874800
1993-04-07,0.1987,0.1987,0.1940,0.1987,1366419
1993-04-08,0.1987,0.2002,0.1940,0.2002,947609
1993-04-12,0.2002,0.2002,0.1955,0.1955,186214
1993-04-13,0.2002,0.2094,0.1971,0.2033,2022611
1993-04-14,0.2033,0.2203,0.2033,0.2109,6186795
1993-04-15,0.2125,0.2125,0.2002,0.2033,3544216
1993-04-16,0.2064,0.2078,0.2033,0.2064,2062979
1993-04-19,0.2064,0.2064,0.1987,0.2002,1671187
1993-04-20,0.2002,0.2002,0.1940,0.2002,2359819
1993-04-21,0.1971,0.2125,0.1940,0.2078,3165591
1993-04-22,0.2094,0.2248,0.2064,0.2187,2983387
1993-04-23,0.2248,0.2310,0.2187,0.2310,1867379
1993-04-26,0.2279,0.2372,0.2218,0.2325,3520979
1993-04-27,0.2325,0.2433,0.2295,0.2433,2916000
1993-04-28,0.2433,0.2618,0.2433,0.2587,7900219
1993-04-29,0.2587,0.2618,0.2341,0.2464,8213597
1993-04-30,0.2526,0.2618,0.2464,0.2618,5216405
1993-05-03,0.2587,0.2649,0.2587,0.2649,1794616
1993-05-04,0.2618,0.2649,0.2526,0.2526,1612184
1993-05-05,0.2526,0.2618,0.2526,0.2556,1024382
1993-05-06,0.2618,0.2618,0.2556,0.2618,154184
1993-05-07,0.2618,0.2772,0.2618,0.2741,1895400
1993-05-10,0.2741,0.2895,0.2741,0.2895,5899387
1993-05-11,0.2895,0.2895,0.2803,0.2895,2847018
1993-05-12,0.2895,0.2895,0.2833,0.2895,1853391
1993-05-13,0.2895,0.2895,0.2741,0.2741,2573416
1993-05-14,0.2741,0.2833,0.2741,0.2772,2327378
1993-05-17,0.2772,0.2895,0.2772,0.2864,595821
1993-05-18,0.2895,0.2987,0.2895,0.2987,1931622
1993-05-19,0.2987,0.2987,0.2926,0.2926,2008805
1993-05-20,0.3018,0.3018,0.2926,0.2957,984013
1993-05-21,0.3018,0.3018,0.2926,0.3018,368418
1993-05-24,0.2987,0.2987,0.2772,0.2819,1589402
1993-05-25,0.2803,0.2833,0.2803,0.2833,1170182
1993-05-26,0.2803,0.2895,0.2803,0.2895,405005
1993-05-27,0.2850,0.2895,0.2803,0.2864,1603800
1993-05-28,0.2803,0.2864,0.2803,0.2864,222618
1993-06-01,0.2803,0.2864,0.2803,0.2803,437400
1993-06-02,0.2864,0.2864,0.2803,0.2803,131402
1993-06-03,0.2803,0.2864,0.2803,0.2803,418811
1993-06-04,0.2803,0.2864,0.2587,0.2649,2715206
1993-06-07,0.2649,0.2710,0.2618,0.2710,2354579
1993-06-08,0.2649,0.2649,0.2402,0.2495,5038392
1993-06-09,0.2587,0.2649,0.2495,0.2587,2268192
1993-06-10,0.2587,0.2679,0.2587,0.2649,405005
1993-06-11,0.2741,0.2895,0.2710,0.2895,1343000
1993-06-14,0.2895,0.3018,0.2833,0.2987,7175000
1993-06-15,0.3018,0.3049,0.2957,0.3018,2114009
1993-06-16,0.3049,0.3295,0.3018,0.3265,4947586
1993-06-17,0.3234,0.3265,0.3203,0.3265,5835782
1993-06-18,0.3203,0.3265,0.3203,0.3249,883184
1993-06-21,0.3326,0.3511,0.3234,0.3449,1917179
1993-06-22,0.3511,0.3757,0.3388,0.3419,4446809
1993-06-23,0.3573,0.3573,0.3480,0.3573,4355411
1993-06-24,0.3573,0.3788,0.3449,0.3696,1621797
1993-06-25,0.3757,0.3757,0.3665,0.3665,2788197
1993-06-28,0.3681,0.3727,0.3665,0.3665,765222
1993-06-29,0.3727,0.3727,0.3573,0.3573,696605
1993-06-30,0.3511,0.3603,0.3511,0.3603,208995
1993-07-01,0.3511,0.3573,0.3511,0.3511,249591
1993-07-02,0.3603,0.3603,0.3480,0.3573,1521195
1993-07-06,0.3480,0.3573,0.3480,0.3480,327822
1993-07-07,0.3573,0.3573,0.3449,0.3449,746997
1993-07-08,0.3449,0.3542,0.3449,0.3542,892797
1993-07-09,0.3542,0.3542,0.3449,0.3511,865186
1993-07-12,0.3573,0.3573,0.3449,0.3542,1385009
1993-07-13,0.3542,0.3542,0.3449,0.3449,1634600
1993-07-14,0.3665,0.3819,0.3558,0.3727,23564606
1993-07-15,0.3727,0.3757,0.3573,0.3634,5088602
1993-07-16,0.3573,0.3634,0.3357,0.3388,5576622
1993-07-19,0.3388,0.3449,0.3295,0.3295,1812795
1993-07-20,0.3388,0.3388,0.3265,0.3265,15467421
1993-07-21,0.3265,0.3388,0.3265,0.3388,628216
1993-07-22,0.3388,0.3449,0.3295,0.3449,4942802
1993-07-23,0.3449,0.3449,0.3388,0.3388,15372195
