Date,Open,High,Low,Close,Volume
1994-11-15,12.3132,12.3132,12.2192,12.2192,114800
1994-11-16,12.2681,12.3132,12.2192,12.2192,751200
1994-11-17,12.2681,12.2681,12.1252,12.1741,603600
1994-11-18,12.1741,12.2192,12.0801,12.1741,543600
1994-11-21,12.2192,12.2681,12.2192,12.2681,266800
1994-11-22,12.3132,12.3132,11.9861,11.9861,649800
1994-11-23,11.8921,11.8921,11.6553,11.8432,796400
1994-11-25,11.9999,12.0951,11.9999,12.0951,62800
1994-11-28,12.0951,12.0951,11.9999,11.9999,131400
1994-11-29,11.9999,12.0494,11.6685,11.7637,427200
1994-11-30,11.8094,11.9542,11.7637,11.9542,1915200
1994-12-01,11.9047,12.2856,11.9047,12.1904,752800
1994-12-02,12.1904,12.3351,12.1447,12.3351,437000
1994-12-05,12.3809,12.3809,12.0951,12.0951,636000
1994-12-06,12.0951,12.0951,11.9999,12.0494,390000
1994-12-07,12.0494,12.0494,11.9047,11.9542,260200
1994-12-08,11.9047,11.9999,11.6190,11.6685,546400
1994-12-09,11.6178,11.7637,11.5717,11.7637,279000
1994-12-12,11.7637,11.7637,11.5717,11.7138,331600
1994-12-13,11.7637,12.0018,11.7637,11.9558,962200
1994-12-14,12.0518,12.2899,12.0518,12.1939,651200
1994-12-15,12.1939,12.1939,12.0018,12.0979,324200
1994-12-16,12.1478,12.2899,12.0518,12.2438,538600
1994-12-19,12.2899,12.2899,12.1478,12.1939,344800
1994-12-20,12.1939,12.2438,12.1478,12.1939,513400
1994-12-21,12.2438,12.4358,12.2438,12.3398,460800
1994-12-22,12.4819,12.5318,12.3398,12.3859,555200
1994-12-23,12.5318,12.5318,12.4358,12.4819,86600
1994-12-27,12.4819,12.5318,12.4358,12.5318,119000
1994-12-28,12.4819,12.5318,12.4358,12.4819,280600
1994-12-29,12.4819,12.6279,12.4819,12.5779,215000
1994-12-30,12.5779,12.6739,12.5318,12.5318,300400
1995-01-03,12.5779,12.7700,12.5779,12.6739,436000
1995-01-04,12.7239,12.7700,12.5318,12.6279,378600
1995-01-05,12.6279,12.7239,12.5779,12.6739,180000
1995-01-06,12.6739,12.7700,12.5779,12.6739,427800
1995-01-09,12.6739,12.6739,12.5318,12.6279,263400
1995-01-10,12.5779,12.5779,12.4819,12.4819,376000
1995-01-11,12.5318,12.5318,12.2438,12.2899,289800
1995-01-12,12.3859,12.4358,12.2899,12.4358,258600
1995-01-13,12.4358,12.6279,12.4358,12.6279,200600
1995-01-16,12.4819,12.7239,12.4819,12.6279,399600
1995-01-17,12.6279,12.6739,12.5779,12.5779,107600
1995-01-18,12.7239,13.0580,12.6739,13.0580,1093000
1995-01-19,13.0580,13.3000,13.0580,13.1540,893600
1995-01-20,13.2039,13.2500,13.0580,13.0580,218600
1995-01-23,13.0580,13.2039,12.9620,13.2039,892000
1995-01-24,13.2039,13.3960,12.9620,13.2039,2862600
1995-01-25,13.1079,13.5381,13.0580,13.4421,1194400
1995-01-26,13.4421,13.6840,13.4421,13.5880,500200
1995-01-27,13.6840,13.7301,13.5880,13.7301,257600
1995-01-30,13.6341,13.7301,13.5880,13.7301,279200
1995-01-31,13.7301,14.1641,13.7301,14.1641,1417000
1995-02-01,14.2102,14.2563,14.0181,14.1142,939000
1995-02-02,14.0181,14.2102,14.0181,14.1641,2699800
1995-02-03,14.1641,14.2563,14.1641,14.2102,356200
1995-02-06,14.1142,14.2102,14.1142,14.1641,291800
1995-02-07,14.1641,14.2102,14.1142,14.1641,95200
1995-02-08,14.1641,14.2563,14.1641,14.2563,321800
1995-02-09,14.2563,14.3561,14.1142,14.1641,293800
1995-02-10,14.1641,14.3561,14.1641,14.3561,425000
1995-02-13,14.3561,14.4483,14.3062,14.4483,319000
1995-02-14,14.4483,14.4982,14.4483,14.4982,582800
1995-02-15,14.5481,14.6903,14.5481,14.6403,639000
1995-02-16,14.6903,14.6903,14.6403,14.6903,415400
1995-02-17,14.6403,14.6403,14.4022,14.4022,496200
1995-02-21,14.3561,14.3561,14.2563,14.2563,336400
1995-02-22,14.3062,14.3561,14.3062,14.3561,339200
1995-02-23,14.3516,14.4985,14.3516,14.4521,554800
1995-02-24,14.4521,14.4521,14.4019,14.4019,157800
1995-02-27,14.3516,14.3516,14.2086,14.2086,222400
1995-02-28,14.2086,14.2588,14.1119,14.2588,1304600
