Date,Open,High,Low,Close,Volume
1994-10-31,4.1223,4.1827,4.1223,4.1827,1984200
1994-11-01,4.1827,4.1827,4.1223,4.1525,2176400
1994-11-02,4.1525,4.1525,4.1223,4.1223,2348200
1994-11-03,4.1223,4.1525,4.0896,4.1223,2060800
1994-11-04,4.1223,4.1525,4.0896,4.0896,2663800
1994-11-07,4.0569,4.0569,4.0267,4.0569,1049400
1994-11-08,4.0569,4.0569,3.9638,3.9638,5761000
1994-11-09,3.9965,4.0569,3.9965,4.0267,2480000
1994-11-10,4.0267,4.0569,4.0267,4.0569,1956000
1994-11-11,4.0569,4.0569,4.0267,4.0267,1300200
1994-11-14,4.1601,4.1601,4.1260,4.1601,1419200
1994-11-15,4.1601,4.1601,4.1260,4.1260,3118800
1994-11-16,4.1260,4.1601,4.1260,4.1260,813400
1994-11-17,4.1260,4.1260,4.0605,4.0919,1477600
1994-11-18,4.0919,4.0919,4.0291,4.0605,2452600
1994-11-21,4.0605,4.0605,3.9610,3.9610,3276000
1994-11-22,3.9610,3.9950,3.8981,3.8981,2725000
1994-11-23,3.8981,3.9295,3.8300,3.9295,2634200
1994-11-25,3.9295,3.9295,3.9295,3.9295,640800
1994-11-28,3.9295,3.9610,3.8981,3.9610,1583400
1994-11-29,3.9610,3.9610,3.8981,3.9295,1056400
1994-11-30,3.9295,3.9295,3.8981,3.9295,1086800
1994-12-01,3.9295,3.9295,3.8981,3.8981,979000
1994-12-02,3.8981,3.9295,3.8640,3.9295,1257200
1994-12-05,3.9295,3.9610,3.8981,3.8981,1071200
1994-12-06,3.8981,3.8981,3.8640,3.8981,1819200
1994-12-07,3.8981,3.8981,3.8300,3.8640,1223400
1994-12-08,3.8640,3.8981,3.8640,3.8640,1178400
1994-12-09,3.8640,3.8640,3.8300,3.8640,1682000
1994-12-12,3.8640,3.8981,3.8300,3.8640,1011400
1994-12-13,3.8640,3.9295,3.8640,3.8981,1555200
1994-12-14,3.8981,3.9295,3.8981,3.9295,1351600
1994-12-15,3.9295,3.9610,3.8640,3.9295,2600400
1994-12-16,3.9295,3.9610,3.8981,3.9295,3428800
1994-12-19,3.9295,3.9950,3.8640,3.9610,3590000
1994-12-20,3.9610,3.9950,3.9610,3.9950,1464200
1994-12-21,3.9950,4.0291,3.9950,3.9950,3717600
1994-12-22,3.9950,4.0605,3.9950,4.0605,1467200
1994-12-23,4.0605,4.0605,3.9950,3.9950,1012000
1994-12-27,3.9950,4.0605,3.9950,4.0605,3242800
1994-12-28,4.0605,4.0605,3.9950,4.0605,1814400
1994-12-29,4.0605,4.0919,4.0605,4.0919,1436200
1994-12-30,4.0919,4.0919,4.0291,4.0919,1365600
1995-01-03,4.0919,4.0919,4.0291,4.0605,1064200
1995-01-04,4.0605,4.0919,3.9950,4.0291,1751600
1995-01-05,4.0291,4.0605,3.9950,4.0605,1600200
1995-01-06,4.0605,4.0919,4.0291,4.0291,2230600
1995-01-09,4.0291,4.0605,3.9950,4.0291,2108800
1995-01-10,4.0291,4.0605,4.0291,4.0291,1580600
1995-01-11,4.0291,4.0291,3.9610,3.9950,3488600
1995-01-12,3.9610,3.9610,3.9295,3.9295,1875600
1995-01-13,3.9610,3.9610,3.9610,3.9610,2206600
1995-01-16,3.9610,3.9950,3.9610,3.9950,3502000
1995-01-17,3.9950,4.0291,3.9950,3.9950,1322800
1995-01-18,3.9950,3.9950,3.9610,3.9610,2150400
1995-01-19,3.9295,3.9295,3.8981,3.9295,3214600
1995-01-20,3.9295,3.9610,3.8981,3.9295,2263800
1995-01-23,3.9295,3.9610,3.8981,3.9610,4176200
1995-01-24,3.9610,3.9950,3.9295,3.9610,1362800
1995-01-25,3.9610,3.9950,3.9610,3.9950,2840000
1995-01-26,3.7330,3.7330,3.6021,3.6990,14524000
1995-01-27,3.6990,3.7330,3.6361,3.6361,7288800
1995-01-30,3.6361,3.6676,3.6361,3.6676,3881000
1995-01-31,3.6676,3.6990,3.6676,3.6990,2975200
1995-02-01,3.6990,3.6990,3.6021,3.6361,2668000
1995-02-02,3.6361,3.6676,3.6021,3.6361,1846800
1995-02-03,3.6361,3.6990,3.6361,3.6990,3790800
1995-02-06,3.6990,3.7330,3.6676,3.6990,2963200
1995-02-07,3.7330,3.7671,3.7330,3.7671,2994800
1995-02-08,3.7671,3.8300,3.7330,3.7671,3764800
1995-02-09,3.7671,3.7985,3.6990,3.7985,1978400
1995-02-10,3.7985,3.7985,3.7671,3.7671,1724200
1995-02-13,3.9389,3.9389,3.9033,3.9033,1560000
1995-02-14,3.9033,3.9389,3.8677,3.9033,1967200
1995-02-15,3.9033,3.9389,3.9033,3.9389,1822800
1995-02-16,3.9389,3.9389,3.9033,3.9389,1477000
1995-02-17,3.9389,4.0047,3.9389,3.9718,3836600
1995-02-21,3.9718,4.0047,3.9389,3.9389,2169400
1995-02-22,3.9389,3.9389,3.9033,3.9389,1879800
1995-02-23,3.9389,3.9718,3.9033,3.9389,1599600
1995-02-24,3.9389,3.9718,3.9389,3.9718,1129800
1995-02-27,3.9718,3.9718,3.9389,3.9718,910000
1995-02-28,3.9718,4.0047,3.9389,4.0047,2920200
1995-03-01,4.0047,4.0759,4.0047,4.0759,8590400
1995-03-02,4.0759,4.1088,4.0403,4.1088,2482800
1995-03-03,4.1088,4.1416,4.0759,4.1088,3257600
1995-03-06,4.1088,4.1088,4.0759,4.0759,1734000
1995-03-07,4.0759,4.0759,3.9718,4.0759,1985600
1995-03-08,4.0759,4.1088,4.0759,4.0759,882400
1995-03-09,4.0759,4.0759,4.0403,4.0759,817000
1995-03-10,4.0759,4.1088,4.0403,4.1088,3922600
1995-03-13,4.1088,4.1416,4.0759,4.1416,2940000
1995-03-14,4.1416,4.1772,4.1416,4.1772,4782600
1995-03-15,4.1772,4.1772,4.1088,4.1416,1994000
