Date,Open,High,Low,Close,Volume
2001-06-13,11.6115,11.7958,11.4603,11.5193,69567200
2001-06-14,11.2428,11.4271,10.8742,11.1138,31979800
2001-06-15,11.0585,11.3350,11.0401,11.2797,14369300
2001-06-18,11.2428,11.2797,11.0806,11.1765,4019800
2001-06-19,11.2797,11.3202,11.1359,11.2060,5690300
2001-06-20,11.2060,11.2760,11.1249,11.1691,3791600
2001-06-21,11.1875,11.1875,11.0585,11.0585,6027200
2001-06-22,11.0585,11.0659,10.9701,11.0585,4847700
2001-06-25,11.0585,11.1138,11.0032,11.1138,2420300
2001-06-26,11.0585,11.0880,10.9885,11.0733,3333300
2001-06-27,11.0401,11.0585,10.9885,11.0364,3182300
2001-06-28,11.0512,11.2207,11.0475,11.2097,2778100
2001-06-29,11.2428,11.4271,11.1802,11.4271,5777800
2001-07-02,11.3166,11.3166,11.2133,11.2318,3167600
2001-07-03,11.2281,11.2944,11.2133,11.2650,608700
2001-07-05,11.3350,11.4382,11.2908,11.4013,2085500
2001-07-06,11.4198,11.4198,11.2428,11.2981,945300
2001-07-09,11.2797,11.3313,11.1507,11.1986,2295300
2001-07-10,11.2244,11.3718,11.1617,11.1875,3301300
2001-07-11,11.1912,11.1912,11.0585,11.1691,2023000
2001-07-12,11.2981,11.3903,11.1322,11.3903,1912500
2001-07-13,11.3903,11.4198,11.2281,11.3276,995400
2001-07-16,11.3276,11.4308,11.2981,11.3202,1198100
2001-07-17,11.3866,11.5930,11.3718,11.5930,3792700
2001-07-18,11.5930,11.6115,11.3534,11.6078,5645100
2001-07-19,11.6999,11.6999,11.1286,11.5451,3326000
2001-07-20,11.5193,11.5525,11.4308,11.5009,1390900
2001-07-23,11.4640,11.4972,11.3977,11.4271,1756000
2001-07-24,11.4935,11.4972,11.3903,11.4529,1146500
2001-07-25,11.4271,11.4271,11.2465,11.3166,860600
2001-07-26,11.4087,11.4972,11.2871,11.4714,1901900
2001-07-27,11.5009,11.5009,11.3571,11.3940,1541800
2001-07-30,11.4603,11.4640,11.2428,11.2797,1233900
2001-07-31,11.2428,11.4861,11.2428,11.4087,2020200
2001-08-01,11.3903,11.4308,11.2723,11.3460,2302200
2001-08-02,11.3166,11.4898,11.2981,11.4087,2700000
2001-08-03,11.3755,11.4198,11.2428,11.3166,456800
2001-08-06,11.3202,11.3682,11.1507,11.1875,847600
2001-08-07,11.2244,11.2576,11.1617,11.2428,991400
2001-08-08,11.3166,11.3166,11.0585,11.0622,1517200
2001-08-09,11.0770,11.1949,11.0585,11.1949,752900
2001-08-10,11.1507,11.4714,11.1138,11.3534,1119700
2001-08-13,11.4124,11.4972,11.3977,11.4640,1749200
2001-08-14,11.5009,11.5193,11.4271,11.4640,1365300
