Date,Open,High,Low,Close,Volume
2000-04-05,7.3457,7.9789,7.2494,7.8523,68703000
2000-04-06,7.7915,8.0448,7.7256,7.8827,15301000
2000-04-07,7.7915,7.8827,7.6648,7.7560,13486200
2000-04-10,7.8219,7.8523,7.7256,7.7560,5637200
2000-04-11,7.7560,7.7915,7.6294,7.6648,5425900
2000-04-12,7.7256,8.4855,7.6648,8.2018,10846600
2000-04-13,8.2322,8.7388,8.0752,8.6122,10626100
2000-04-14,8.5818,8.6122,8.0093,8.0448,9500300
2000-04-17,8.1056,8.3285,8.1056,8.1714,3522200
2000-04-18,8.2018,8.2626,7.8523,8.1714,5422400
2000-04-19,8.2018,8.2018,7.9789,8.1056,5348800
2000-04-20,7.9789,8.0752,7.7915,7.8523,6912000
2000-04-24,7.8523,8.1056,7.8219,8.0752,3114800
2000-04-25,8.0752,8.2018,8.0448,8.1056,7407400
2000-04-26,8.0752,8.1360,8.0448,8.1360,5941700
2000-04-27,8.0752,8.1056,7.8523,8.0752,2484900
2000-04-28,8.0752,8.5514,7.7915,8.3893,6218800
2000-05-01,8.6780,9.1188,8.5514,9.1188,5887100
2000-05-02,8.9313,9.0884,8.8047,9.0225,3132600
2000-05-03,8.9921,9.0225,8.7388,8.8655,1981800
2000-05-04,8.8047,8.8655,8.2018,8.8655,3429800
2000-05-05,8.7388,9.0225,8.6426,8.8959,1821500
2000-05-08,9.0580,9.4025,9.0225,9.1188,2897500
2000-05-09,9.2150,9.3113,8.4855,8.7084,4234300
2000-05-10,8.6122,9.0225,8.6122,8.8959,3283500
2000-05-11,8.9313,9.2758,8.8047,9.1188,2997400
2000-05-12,9.1846,9.4025,9.1492,9.3417,1927200
2000-05-15,9.6254,9.7520,9.4379,9.5950,2696800
2000-05-16,9.6254,9.9091,9.5291,9.6558,4982700
2000-05-17,9.6558,9.9749,9.3113,9.6558,1577200
2000-05-18,9.6254,9.6912,9.4683,9.5950,2858600
2000-05-19,9.3721,9.6912,9.0884,9.2150,3832600
2000-05-22,9.2454,9.6912,8.8047,9.2454,1712700
2000-05-23,9.2454,9.6254,9.2454,9.5646,2093900
2000-05-24,9.5646,9.8787,9.4379,9.8179,1573100
2000-05-25,9.7824,9.8179,9.4987,9.7216,1732700
2000-05-26,9.6912,10.0357,9.5950,10.0053,2644600
2000-05-30,10.1016,10.1978,9.8787,10.0712,3229000
2000-05-31,10.0712,10.3853,9.8179,10.3853,3549600
2000-06-01,10.3549,10.3853,10.1016,10.1320,2878400
2000-06-02,10.6386,10.6690,10.3245,10.6386,3446100
2000-06-05,10.3853,10.5778,10.3245,10.4157,2376300
2000-06-06,10.5778,10.5778,10.3245,10.3549,2953900
2000-06-07,10.3853,10.4815,10.2890,10.4815,922400
2000-06-08,10.4157,10.4511,10.2586,10.3549,965300
2000-06-09,10.3853,10.6386,10.3853,10.6386,1196800
2000-06-12,10.5119,10.5423,9.9749,10.3549,1072600
2000-06-13,10.4815,10.5423,10.2282,10.5423,974900
2000-06-14,10.4157,10.4511,10.0357,10.1320,2310400
2000-06-15,10.1320,10.2586,10.0712,10.1320,2504400
2000-06-16,10.2282,10.2586,10.0053,10.1624,3202100
2000-06-19,10.1320,10.1978,10.0053,10.1320,1275500
2000-06-20,10.0712,10.1624,9.4025,9.5291,2922100
2000-06-21,9.5291,9.6912,9.1846,9.3721,2443500
2000-06-22,9.4683,9.8787,9.3721,9.7216,1963300
2000-06-23,9.6254,9.8787,9.4987,9.7824,2161600
2000-06-26,10.1320,10.1978,9.6912,9.7216,1691700
2000-06-27,9.8483,10.3853,9.7216,10.0712,2042300
2000-06-28,10.2586,10.3549,9.8179,9.9445,3522900
2000-06-29,10.0712,10.9223,9.9445,10.7956,4914700
2000-06-30,11.0185,11.1148,9.6254,10.6690,4415400
2000-07-03,10.5119,10.8919,10.4815,10.8311,822000
2000-07-05,10.7652,10.7652,10.3853,10.7044,2048000
2000-07-06,10.4511,11.1452,10.4157,11.0844,1572300
2000-07-07,11.0185,11.1756,10.9881,11.0844,1490500
2000-07-10,11.0185,11.0844,10.8615,10.8615,822700
2000-07-11,10.7956,10.8311,10.3853,10.5423,1453500
2000-07-12,10.5119,10.5778,10.1624,10.3549,1984300
2000-07-13,10.3549,10.3549,10.0357,10.0357,1893400
2000-07-14,10.0357,10.7044,10.0357,10.5778,1291500
2000-07-17,10.5119,10.5119,10.2282,10.2890,558300
2000-07-18,10.1624,10.3549,10.1624,10.3245,2396300
2000-07-19,10.3549,10.5423,10.1978,10.3549,1351900
2000-07-20,10.4157,10.7348,10.4157,10.4157,2199800
2000-07-21,10.5119,10.6386,10.4157,10.5119,793500
2000-07-24,10.2890,10.3853,10.1320,10.3853,766500
2000-07-25,10.3245,10.7348,10.2586,10.6386,1307300
2000-07-26,10.6386,10.7652,10.4815,10.5423,1239700
2000-07-27,10.5423,10.7652,10.3549,10.3549,1393200
2000-07-28,10.1624,10.3549,10.1320,10.2890,812800
2000-07-31,10.3853,10.7044,10.2282,10.6386,2433200
2000-08-01,10.6082,10.7652,10.5119,10.7044,2038800
2000-08-02,10.6386,10.7044,10.4815,10.5778,1364300
2000-08-03,10.5778,10.6082,10.0357,10.2586,3358100
2000-08-04,10.1978,10.2890,9.8179,10.2890,4205200
2000-08-07,10.4815,11.3377,10.4511,11.3377,3796400
2000-08-08,12.0976,12.3509,11.7784,11.8088,10165000
2000-08-09,11.7784,12.0317,11.4643,11.5555,3494400
2000-08-10,11.6518,12.1584,11.5251,12.1584,4341200
2000-08-11,12.1584,12.2850,11.8747,12.1584,2278400
2000-08-14,12.1584,12.2242,11.6518,11.6518,1313700
2000-08-15,12.1280,12.1888,11.9355,12.0621,1556700
2000-08-16,12.1280,12.1584,11.7480,11.9051,808500
2000-08-17,12.0976,12.2242,11.9051,12.1280,939400
2000-08-18,11.9355,12.1888,11.9051,12.0621,1061700
2000-08-21,12.0621,12.1888,11.9051,12.0317,918600
2000-08-22,12.0976,12.2546,11.8443,12.1584,1839100
2000-08-23,12.0317,12.6650,12.0013,12.6042,1360600
2000-08-24,12.6042,12.7308,12.2242,12.2850,1484000
2000-08-25,12.3154,12.3154,11.9355,11.9709,720600
2000-08-28,11.9709,12.0317,11.9051,11.9051,908800
2000-08-29,11.9709,12.2850,11.9051,12.2850,1240200
2000-08-30,12.1584,12.6042,12.1280,12.5687,1845700
2000-08-31,12.5687,12.6346,12.2546,12.3154,1176800
2000-09-01,12.4117,12.7612,12.1584,12.6042,1658600
2000-09-05,12.3509,12.6346,12.0317,12.2850,1913700
2000-09-06,12.4117,12.5383,12.3813,12.4117,1245000
2000-09-07,12.5383,12.6346,12.3509,12.4775,1393900
2000-09-08,12.5079,12.8220,12.4421,12.6954,428000
2000-09-11,12.7916,12.8879,12.2850,12.5687,1526700
2000-09-12,12.6346,12.6346,12.0976,12.4775,1965600
2000-09-13,12.4775,13.1412,12.2850,12.9183,2426700
2000-09-14,12.7916,12.7916,12.4421,12.6650,1826800
2000-09-15,12.6346,12.6650,12.3813,12.4421,924600
2000-09-18,12.5383,12.5687,12.1584,12.2850,1357300
2000-09-19,12.3509,12.6346,12.0621,12.5028,1371100
2000-09-20,12.5687,12.6650,11.8443,12.2850,2080100
2000-09-21,12.2546,12.2546,12.0013,12.1888,1942200
2000-09-22,12.0976,12.6346,12.0317,12.5383,944000
2000-09-25,12.8879,13.0145,12.4421,12.4421,2317500
2000-09-26,12.6042,12.8575,12.5383,12.8220,1278900
2000-09-27,12.9487,13.5515,12.6650,13.3641,3770600
2000-09-28,13.4249,13.9973,13.3641,13.7744,1946400
2000-09-29,13.6782,13.8707,13.2678,13.2982,1419700
2000-10-02,12.9183,13.5515,12.7308,13.3641,1665800
2000-10-03,13.3641,13.4553,12.9183,12.9183,1185400
2000-10-04,12.9841,13.0145,12.5383,12.6042,1486200
2000-10-05,12.5079,13.3945,12.4775,13.2678,2225600
2000-10-06,13.5211,13.5515,12.6650,13.2678,1450500
2000-10-09,13.2374,13.4249,13.0449,13.1716,454200
2000-10-10,13.1108,13.2020,12.7612,12.9841,982700
2000-10-11,12.9487,13.1412,12.7612,12.7916,1349300
2000-10-12,12.9183,12.9487,12.2242,12.2546,2150100
2000-10-13,12.3509,12.6650,12.3154,12.6650,1727700
2000-10-16,12.8575,13.1716,12.6042,12.8575,1232100
2000-10-17,12.9183,13.1716,12.8879,13.0449,682900
2000-10-18,12.9183,13.0449,12.3509,13.0449,3042700
2000-10-19,12.9841,13.1716,12.5687,12.6042,2009100
2000-10-20,12.5383,12.6954,12.1584,12.2242,1304600
2000-10-23,12.1584,12.2546,11.8443,12.0317,2005900
2000-10-24,11.9709,12.5383,11.9355,12.4117,1337200
2000-10-25,12.3813,13.1412,12.3509,12.5383,1445900
