Date,Open,High,Low,Close,Volume
2012-05-18,41.8906,44.8295,37.8560,38.0869,573576400
2012-05-21,36.3916,36.5211,32.8749,33.9010,168192700
2012-05-22,32.4864,33.4627,30.8227,30.8825,101786600
2012-05-23,31.2511,32.3768,31.2412,31.8787,73600000
2012-05-24,32.8251,33.0841,31.6496,32.9048,50237200
2012-05-25,32.7753,32.8251,30.9921,31.7891,37149800
2012-05-29,31.3607,31.5699,28.5414,28.7307,78063400
2012-05-30,28.5863,29.4380,27.7544,28.0832,57267900
2012-05-31,28.4368,29.5576,26.7283,29.4878,111639200
2012-06-01,28.7825,29.0395,27.2862,27.6150,41855500
2012-06-04,27.0969,27.5452,26.3398,26.7981,35230300
2012-06-05,26.5988,27.6548,25.6524,25.7710,42473400
2012-06-06,25.9712,27.0670,25.4233,26.7084,61489200
2012-06-07,26.8977,27.2464,26.0509,26.2103,26159500
2012-06-08,26.4494,27.6548,26.3398,26.9973,38034000
2012-06-11,27.0770,27.9636,26.7333,26.9027,28219600
2012-06-12,27.3759,27.6648,26.8578,27.2962,15816800
2012-06-13,27.5552,27.9935,26.9973,27.1667,17102800
2012-06-14,27.5452,28.2127,27.2762,28.1828,16855000
2012-06-15,28.3970,29.9859,28.2426,29.9003,43563800
2012-06-18,29.8415,31.9584,29.2985,31.2910,42978900
2012-06-19,31.4155,32.0581,30.5837,31.7901,30849000
2012-06-20,31.7990,31.8078,31.0320,31.4802,15553600
2012-06-21,31.5500,32.3768,31.3906,31.7193,21875300
2012-06-22,32.2872,33.3232,31.9385,32.9248,74834000
2012-06-25,32.7355,32.8949,31.4304,31.9385,24352900
2012-06-26,32.5661,33.3133,32.3768,32.9746,24858700
2012-06-27,32.3370,32.7753,31.7791,32.1079,28568000
2012-06-28,31.8389,32.0680,30.7829,31.2412,17713300
2012-06-29,31.7990,31.8688,30.6434,30.9772,19526900
2012-07-02,31.1316,31.6098,30.4342,30.6544,14122000
2012-07-03,30.7929,31.3209,30.6833,31.0818,8763600
2012-07-05,31.2013,31.5052,30.9024,31.3507,10032100
2012-07-06,31.3209,31.7791,31.1415,31.6098,10945600
2012-07-09,31.9784,32.7554,31.8688,32.0481,17785200
2012-07-10,32.3071,32.3569,31.0418,31.3507,14269500
2012-07-11,31.3607,31.4404,30.4342,30.8526,13030300
2012-07-12,30.5837,31.2810,30.4840,30.6932,11300700
2012-07-13,30.9224,30.9523,30.4442,30.6036,8108300
2012-07-16,30.3844,30.3844,28.1031,28.1380,24672100
2012-07-17,28.3721,28.4817,27.0471,27.9836,30438600
2012-07-18,28.2027,29.1790,28.0433,28.9997,16841800
2012-07-19,29.2985,29.3882,28.5215,28.8901,13685100
2012-07-20,28.8901,29.3583,28.6112,28.6510,11869100
2012-07-23,28.0134,28.8901,27.9039,28.6410,12390700
2012-07-24,28.7108,29.3384,27.9935,28.3422,11539800
2012-07-25,28.2824,29.3782,27.9736,29.2288,17230200
2012-07-26,27.6448,28.1230,26.6287,26.7433,64597400
2012-07-27,23.1021,24.4470,22.1956,23.6152,123102300
2012-07-30,23.9041,23.9489,22.9427,23.0623,29285900
2012-07-31,23.2814,23.2814,21.5281,21.6277,56179400
2012-08-01,21.4185,21.4982,20.7610,20.8009,44604400
2012-08-02,20.6913,20.7610,19.7449,19.9641,56374500
2012-08-03,20.2828,22.0760,19.8246,21.0101,80647000
2012-08-06,21.3089,22.0661,21.2193,21.8369,27778900
2012-08-07,22.1159,22.3649,20.4223,20.6415,36782900
2012-08-08,20.6315,21.0698,20.1434,20.6415,29537400
2012-08-09,20.6714,21.0898,20.5319,20.9304,15610700
2012-08-10,21.3289,21.7373,21.0499,21.7244,25794700
2012-08-13,22.0661,22.3649,21.3189,21.5181,24973100
2012-08-14,21.3289,21.5181,20.1733,20.3028,39308800
2012-08-15,20.5618,21.3289,20.3227,21.1197,47861100
2012-08-16,20.3625,20.4024,19.6154,19.7947,157565300
2012-08-17,19.9292,20.0039,18.9280,18.9778,129293400
2012-08-20,18.9778,20.0537,18.6789,19.9352,101186600
2012-08-21,19.5058,19.9043,19.0177,19.0864,70640600
2012-08-22,19.2866,19.4560,18.8881,19.3653,49892200
2012-08-23,19.4261,19.6552,19.2866,19.3663,32813700
2012-08-24,19.4460,19.6054,19.1771,19.3354,29622200
2012-08-27,19.4161,19.4560,19.0276,19.0774,20704000
2012-08-28,19.0276,19.3066,18.8782,19.2667,25417000
2012-08-29,19.2468,19.3066,18.9977,19.0276,16124700
2012-08-30,19.1970,19.3763,18.9878,19.0162,30647500
2012-08-31,18.6092,18.6291,17.9617,17.9896,58764200
2012-09-04,18.0115,18.2008,17.4835,17.6618,46622400
2012-09-05,18.2008,18.6789,18.1111,18.5096,60781800
2012-09-06,18.6690,19.1887,18.6491,18.8881,46066500
2012-09-07,19.0276,19.3464,18.7088,18.9081,36371700
2012-09-10,18.9878,19.1272,18.4797,18.7387,24797800
2012-09-11,18.8483,19.5068,18.7786,19.3564,50508200
2012-09-12,20.6813,21.0798,20.2031,20.8517,121584000
2012-09-13,20.8756,21.3986,20.5319,20.6345,65041600
2012-09-14,21.0499,21.9963,20.8208,21.9166,72819800
2012-09-17,22.5841,22.6638,21.4185,21.4384,50667600
2012-09-18,21.5181,21.8967,21.2890,21.7871,36760500
2012-09-19,21.9067,23.2814,21.6875,23.2017,78782800
2012-09-20,22.9328,23.1519,22.4546,22.5044,57248900
2012-09-21,22.8830,23.1519,22.5144,22.7734,51218100
2012-09-24,21.6975,21.8967,20.2853,20.7112,79106500
2012-09-25,21.1197,21.1296,20.1434,20.2031,46291700
2012-09-26,20.0687,20.7013,19.7250,20.5419,38271900
2012-09-27,20.9105,20.9204,20.0836,20.2430,30215900
2012-09-28,20.4920,21.8668,20.4223,21.5779,65486000
2012-10-01,21.9963,22.5044,21.6477,21.9067,51262700
2012-10-02,21.9963,22.4048,21.7373,22.1856,29341400
2012-10-03,22.2105,22.4048,21.7174,21.7473,32000100
2012-10-04,22.2354,22.3151,21.3289,21.8643,46892100
2012-10-05,21.4086,21.5480,20.8009,20.8308,40529300
2012-10-08,20.3227,20.6714,20.0786,20.3227,32236700
2012-10-09,20.3127,20.4721,19.8943,20.1503,27161800
2012-10-10,19.8545,19.8644,19.3763,19.5656,39321800
2012-10-11,19.8047,19.8844,19.5357,19.6752,21817300
2012-10-12,19.6752,19.7250,19.4062,19.4441,18809400
2012-10-15,19.6054,19.8047,19.4161,19.4460,20189700
2012-10-16,19.6054,19.6154,19.2269,19.4062,21834700
2012-10-17,19.4261,20.4024,19.2984,19.8047,44074500
2012-10-18,19.6253,19.7150,18.8184,18.9031,52157400
2012-10-19,18.9280,18.9878,18.7288,18.9280,34835000
2012-10-22,19.1771,19.3564,18.9778,19.2478,32447300
2012-10-23,19.1771,19.7250,19.0276,19.4261,78381200
2012-10-24,24.0386,24.1581,22.7634,23.1419,228949900
2012-10-25,23.2017,23.2217,22.3848,22.4745,76142000
