Date,Open,High,Low,Close,Volume
1990-03-26,1.2782,1.2782,1.2474,1.2782,116000
1990-03-27,1.2696,1.2696,1.2541,1.2696,642400
1990-03-28,1.2696,1.2696,1.2541,1.2696,291200
1990-03-29,1.2696,1.2851,1.2541,1.2696,1314400
1990-03-30,1.3005,1.3625,1.2541,1.3625,984800
1990-04-02,1.3160,1.3625,1.3160,1.3315,249600
1990-04-03,1.3625,1.4554,1.3625,1.4244,674400
1990-04-04,1.4554,1.4554,1.4089,1.4089,231200
1990-04-05,1.4399,1.4473,1.4089,1.4399,256800
1990-04-06,1.4554,1.4709,1.4244,1.4399,213600
1990-04-09,1.4399,1.4863,1.4399,1.4554,405600
1990-04-10,1.4554,1.4863,1.4089,1.4089,1288800
1990-04-11,1.4399,1.4399,1.4089,1.4399,503200
1990-04-12,1.4089,1.4709,1.3934,1.4089,772800
1990-04-16,1.3780,1.4089,1.3470,1.3625,956800
1990-04-17,1.3470,1.3625,1.3080,1.3470,1268800
1990-04-18,1.3470,1.3625,1.3160,1.3160,1003200
1990-04-19,1.3470,1.3470,1.3160,1.3315,1481600
1990-04-20,1.3160,1.3470,1.3160,1.3389,1586400
1990-04-23,1.3160,1.3470,1.3160,1.3470,360000
1990-04-24,1.3160,1.3934,1.3160,1.3780,401600
1990-04-25,1.3625,1.3780,1.3080,1.3160,1365600
1990-04-26,1.3160,1.3315,1.3080,1.3315,720000
1990-04-27,1.3315,1.3470,1.3160,1.3470,84000
1990-04-30,1.3160,1.3315,1.2541,1.2770,811200
1990-05-01,1.3160,1.3315,1.3005,1.3005,1284000
1990-05-02,1.3315,1.3315,1.3005,1.3315,84800
1990-05-03,1.3315,1.3780,1.3005,1.3625,1129600
1990-05-04,1.3625,1.4089,1.3625,1.3780,1254400
1990-05-07,1.3625,1.4089,1.3625,1.3780,1332800
1990-05-08,1.3780,1.3934,1.3780,1.3780,659200
1990-05-09,1.3780,1.3934,1.3780,1.3780,235200
1990-05-10,1.3934,1.3934,1.3625,1.3780,1502400
1990-05-11,1.3780,1.4863,1.3780,1.4863,2388800
1990-05-14,1.4863,1.4863,1.4554,1.4554,1055200
1990-05-15,1.4554,1.4863,1.4554,1.4554,2167200
1990-05-16,1.4709,1.4709,1.4399,1.4709,1140800
1990-05-17,1.4709,1.4709,1.4399,1.4399,1189600
1990-05-18,1.4709,1.4709,1.4399,1.4554,236800
1990-05-21,1.4399,1.4709,1.4399,1.4399,1284000
1990-05-22,1.4709,1.4709,1.4244,1.4554,318400
1990-05-23,1.4554,1.4554,1.4244,1.4244,285600
1990-05-24,1.4399,1.4399,1.3780,1.3780,406400
1990-05-25,1.4089,1.4089,1.3625,1.3625,71200
1990-05-29,1.3625,1.3934,1.3470,1.3780,908800
1990-05-30,1.3625,1.3934,1.3625,1.3780,932800
1990-05-31,1.3780,1.4554,1.3780,1.4399,1857600
1990-06-01,1.4554,1.4554,1.4244,1.4244,2089600
1990-06-04,1.4554,1.4709,1.4089,1.4709,412000
1990-06-05,1.4554,1.5018,1.4399,1.4863,1700000
1990-06-06,1.4709,1.5173,1.4709,1.4783,1254400
1990-06-07,1.5018,1.5018,1.4709,1.4709,653600
1990-06-08,1.4709,1.5018,1.4709,1.4709,769600
1990-06-11,1.4554,1.5018,1.4554,1.4863,347200
1990-06-12,1.5018,1.5328,1.4863,1.5173,859200
1990-06-13,1.5483,1.6412,1.5483,1.5637,2042400
1990-06-14,1.5637,1.6102,1.5637,1.6021,736000
1990-06-15,1.5792,1.6021,1.5792,1.5792,784800
1990-06-18,1.5792,1.6102,1.5792,1.5792,442400
1990-06-19,1.5637,1.5947,1.5637,1.5947,1520000
1990-06-20,1.6102,1.6102,1.5483,1.5637,392800
1990-06-21,1.5483,1.5792,1.5483,1.5637,451200
1990-06-22,1.5483,1.5947,1.5483,1.5792,384000
1990-06-25,1.5711,1.6022,1.5555,1.5867,1469600
1990-06-26,1.6022,1.6178,1.5711,1.6022,752000
1990-06-27,1.5711,1.6022,1.5711,1.6022,400800
1990-06-28,1.5867,1.6178,1.5867,1.6178,340800
1990-06-29,1.6178,1.6178,1.5711,1.5711,293600
1990-07-02,1.6022,1.6022,1.5711,1.5711,330400
1990-07-03,1.5711,1.5867,1.5555,1.5630,514400
1990-07-05,1.5630,1.5867,1.5555,1.5711,376000
1990-07-06,1.5400,1.5711,1.5244,1.5400,612800
1990-07-09,1.5400,1.6022,1.5400,1.5786,414400
1990-07-10,1.6022,1.6022,1.5711,1.5711,497600
1990-07-11,1.5555,1.5711,1.5400,1.5711,232000
1990-07-12,1.5711,1.5867,1.5400,1.5555,81600
1990-07-13,1.5867,1.5867,1.5089,1.5400,620000
1990-07-16,1.5400,1.6022,1.5244,1.6022,1778400
1990-07-17,1.5711,1.6022,1.5711,1.5711,368000
1990-07-18,1.5555,1.5867,1.5555,1.5786,496800
1990-07-19,1.5867,1.5867,1.5400,1.5867,167200
1990-07-20,1.5867,1.5867,1.5555,1.5555,48000
1990-07-23,1.5555,1.5711,1.5244,1.5244,403200
1990-07-24,1.5244,1.5555,1.5244,1.5400,364000
1990-07-25,1.5244,1.5555,1.5244,1.5400,51200
1990-07-26,1.5244,1.5555,1.5244,1.5244,36000
1990-07-27,1.5244,1.5867,1.5244,1.5711,1166400
1990-07-30,1.5400,1.5711,1.5400,1.5400,100800
1990-07-31,1.5711,1.5711,1.5400,1.5711,286400
1990-08-01,1.5711,1.5711,1.5400,1.5711,284800
1990-08-02,1.5711,1.5711,1.5400,1.5400,928800
1990-08-03,1.5400,1.5555,1.4311,1.4933,1438400
1990-08-06,1.4467,1.4467,1.3764,1.3764,572000
1990-08-07,1.4156,1.4156,1.3689,1.3689,2053600
1990-08-08,1.4000,1.4156,1.3689,1.4156,433600
1990-08-09,1.4311,1.4311,1.3844,1.4000,350400
1990-08-10,1.4156,1.4156,1.3844,1.4075,730400
1990-08-13,1.4000,1.4000,1.3689,1.3844,187200
1990-08-14,1.4156,1.4311,1.3919,1.4156,780000
1990-08-15,1.4311,1.4311,1.4000,1.4000,166400
1990-08-16,1.4311,1.4311,1.3689,1.4000,77600
1990-08-17,1.3689,1.3689,1.3378,1.3533,681600
1990-08-20,1.3222,1.3533,1.2911,1.3067,484000
1990-08-21,1.2756,1.2911,1.2444,1.2756,750400
1990-08-22,1.2444,1.2756,1.1978,1.2133,318400
1990-08-23,1.1667,1.1978,1.1200,1.1356,488000
1990-08-24,1.1822,1.2444,1.1667,1.1822,5359200
1990-08-27,1.2133,1.2444,1.1822,1.2289,393600
1990-08-28,1.2289,1.2600,1.2133,1.2600,502400
1990-08-29,1.2289,1.2911,1.2289,1.2911,182400
1990-08-30,1.2911,1.2911,1.2600,1.2600,86400
1990-08-31,1.2756,1.2756,1.2444,1.2444,236000
1990-09-04,1.2444,1.2600,1.2289,1.2600,893600
1990-09-05,1.2756,1.3378,1.2600,1.3378,427200
1990-09-06,1.3067,1.3378,1.2911,1.3222,348000
1990-09-07,1.2911,1.3378,1.2911,1.3067,133600
1990-09-10,1.3222,1.3533,1.3067,1.3067,571200
1990-09-11,1.3378,1.3378,1.3378,1.3378,8000
1990-09-12,1.3378,1.3608,1.3067,1.3222,304800
1990-09-13,1.3067,1.3222,1.2911,1.3141,355200
1990-09-14,1.2911,1.3222,1.2911,1.3067,344800
1990-09-17,1.3222,1.3533,1.2911,1.3378,318400
1990-09-18,1.3378,1.3533,1.3067,1.3452,242400
1990-09-19,1.3378,1.3533,1.3222,1.3222,249600
1990-09-20,1.3222,1.3689,1.3222,1.3378,600000
1990-09-21,1.3378,1.3689,1.3378,1.3452,768000
1990-09-24,1.3452,1.3527,1.3296,1.3452,411200
1990-09-25,1.3452,1.3609,1.3140,1.3215,1742400
1990-09-26,1.3452,1.3452,1.3058,1.3140,772800
1990-09-27,1.3140,1.3296,1.2983,1.3058,784800
1990-09-28,1.2983,1.3452,1.2827,1.3215,2209600
1990-10-01,1.3296,1.3609,1.3296,1.3296,115200
1990-10-02,1.3296,1.4078,1.3296,1.3765,404800
1990-10-03,1.3922,1.4078,1.3609,1.3922,545600
1990-10-04,1.3765,1.3922,1.3765,1.3840,184800
1990-10-05,1.3684,1.3922,1.3609,1.3609,150400
1990-10-08,1.3922,1.3922,1.3609,1.3609,352800
1990-10-09,1.3765,1.4078,1.3609,1.4078,484800
1990-10-10,1.3765,1.4078,1.3765,1.4078,658400
1990-10-11,1.3922,1.4235,1.3922,1.3922,593600
1990-10-12,1.3922,1.4078,1.3609,1.3684,4264800
1990-10-15,1.3765,1.3765,1.3296,1.3296,238400
1990-10-16,1.3452,1.3452,1.2983,1.3140,1968000
1990-10-17,1.2983,1.3140,1.2983,1.2983,984000
1990-10-18,1.2983,1.3296,1.2983,1.3140,1397600
1990-10-19,1.3371,1.3609,1.3140,1.3452,1149600
1990-10-22,1.3452,1.4078,1.3296,1.4078,2284000
