Date,Open,High,Low,Close,Volume
1994-02-17,17.0101,17.2635,16.3430,16.4297,4478600
1994-02-18,16.5098,16.6765,16.1762,16.4297,777900
1994-02-22,16.1762,16.3430,16.0095,16.2629,361900
1994-02-23,16.2629,16.3430,15.5092,15.5092,284500
1994-02-24,15.4291,15.5092,15.1756,15.3424,494600
1994-02-25,15.3424,15.9294,15.3424,15.8427,102000
1994-02-28,15.9294,16.0095,15.8427,15.9294,115200
1994-03-01,15.8427,16.0095,15.4291,15.5092,246600
1994-03-02,15.1756,15.2624,15.0956,15.1756,355900
1994-03-03,15.1756,15.3424,15.1756,15.2624,51500
1994-03-04,15.3424,15.5959,15.1756,15.4291,145500
1994-03-07,15.4291,15.5092,15.3424,15.3424,102200
1994-03-08,15.3424,15.4291,15.2624,15.3424,34700
1994-03-09,15.4291,15.4291,15.2624,15.2624,101100
1994-03-10,15.2624,15.3424,14.7621,14.8421,220400
1994-03-11,14.7621,14.9288,14.6753,14.9288,42100
1994-03-14,14.8421,15.0089,14.7621,14.8421,11900
1994-03-15,15.1756,15.3424,15.0089,15.1756,128500
1994-03-16,15.1756,15.2624,15.0089,15.1756,93800
1994-03-17,15.2624,15.2624,15.0089,15.0956,43700
1994-03-18,15.0089,15.2624,15.0089,15.2624,125000
1994-03-21,15.1756,15.4291,15.1756,15.4291,81100
1994-03-22,15.3424,15.7627,15.3424,15.6759,91800
1994-03-23,16.1762,16.5965,16.1762,16.1762,332700
1994-03-24,16.2629,16.2629,16.0095,16.0095,113300
1994-03-25,16.0095,16.1762,16.0095,16.0095,54700
1994-03-28,16.1762,16.1762,15.8427,16.0095,67900
1994-03-29,15.9294,16.0095,15.0089,15.0089,174400
1994-03-30,14.8421,14.8421,14.6753,14.7621,198000
1994-03-31,14.8421,14.9288,14.3418,14.6753,201000
1994-04-04,14.4285,14.4285,14.0083,14.3418,206600
1994-04-05,14.3418,15.1756,14.3418,15.1756,40500
1994-04-06,15.1756,15.2624,15.0089,15.2624,31700
1994-04-07,15.2624,15.2624,15.0956,15.2624,14500
1994-04-08,15.2624,15.2624,14.7621,15.0089,29900
1994-04-11,15.1756,15.1756,14.8421,15.0956,28900
1994-04-12,15.0089,15.0089,14.6753,14.7621,56200
1994-04-13,14.8421,14.9288,14.1750,14.5086,48100
1994-04-14,14.3418,14.3418,14.1750,14.2618,81800
1994-04-15,14.2618,14.2618,14.1750,14.2618,23400
1994-04-18,14.2618,14.2618,13.6748,13.6748,119100
1994-04-19,13.6748,13.6748,13.3412,13.4279,23100
1994-04-20,13.4279,13.4279,13.0077,13.1745,72900
1994-04-21,13.0944,13.2612,13.0077,13.1745,67100
1994-04-22,13.0077,13.1745,13.0077,13.1745,8000
1994-04-25,13.0077,13.0944,12.1739,13.0944,130900
1994-04-26,13.0944,14.0083,13.0944,13.8415,172800
1994-04-28,14.0083,14.0950,13.8415,13.9282,73900
1994-04-29,14.0083,15.3424,14.0083,15.3424,166100
1994-05-02,15.1756,15.8427,15.0956,15.8427,87800
1994-05-03,15.6759,15.8427,15.5092,15.5959,55000
1994-05-04,15.6759,16.0095,15.5959,15.6759,81500
1994-05-05,15.5092,15.6759,15.5092,15.5959,14200
1994-05-06,15.4291,15.5092,14.9288,15.0089,67900
1994-05-09,14.8421,15.0089,14.5086,14.6753,65200
1994-05-10,14.6753,14.6753,14.5086,14.5953,18000
1994-05-11,14.5953,14.5953,14.2618,14.2618,24200
1994-05-12,14.3418,14.3418,14.1750,14.1750,18400
1994-05-13,14.1750,14.1750,13.9282,13.9282,68700
1994-05-16,13.8415,13.8415,13.3412,13.4279,13800
1994-05-17,13.4279,13.4279,13.2612,13.2612,18300
1994-05-18,13.2612,13.2612,13.0077,13.1745,40900
1994-05-19,13.0077,13.0944,12.0071,12.6742,772400
1994-05-20,12.5941,13.3412,12.5941,13.2612,58400
1994-05-23,13.3412,13.5080,13.3412,13.4279,12600
1994-05-24,13.5080,13.5080,13.2612,13.3412,92000
1994-05-25,13.1745,13.3412,13.1745,13.3412,36600
