Date,Open,High,Low,Close,Volume
1987-12-30,3.0538,3.1416,3.0379,3.0856,1246200
1987-12-31,3.0538,3.1492,3.0379,3.1492,1126800
1988-01-04,3.1652,3.2370,3.1652,3.2129,1923600
1988-01-05,3.2189,3.2756,3.2189,3.2434,753600
1988-01-06,3.2273,3.2434,3.1868,3.2112,1681800
1988-01-07,3.1951,3.2028,3.1307,3.2028,780600
1988-01-08,3.1868,3.1868,2.9292,2.9292,726600
1988-01-11,2.9614,2.9936,2.9292,2.9936,891600
1988-01-12,3.0097,3.0258,2.9131,3.0258,651000
1988-01-13,3.0741,3.1385,3.0097,3.0825,572400
1988-01-14,3.1147,3.1147,3.0503,3.0580,607200
1988-01-15,3.1385,3.2028,3.1063,3.1063,572400
1988-01-18,3.1063,3.1707,3.0986,3.1707,470400
1988-01-19,3.1546,3.1790,3.1063,3.1063,787200
1988-01-20,3.0902,3.1385,3.0902,3.1307,742200
1988-01-21,3.1546,3.3155,3.0902,3.2028,1084200
1988-01-22,3.2028,3.2511,3.1790,3.2511,434400
1988-01-25,3.2189,3.2350,3.1790,3.2028,773400
1988-01-26,3.2189,3.2189,3.2028,3.2189,366000
1988-01-27,3.2028,3.2028,3.1546,3.1868,888600
1988-01-28,3.2028,3.2028,3.1707,3.1951,2572200
1988-01-29,3.2028,3.2112,3.1707,3.1951,1088400
1988-02-01,3.2189,3.2672,3.2189,3.2350,966600
1988-02-02,3.2350,3.2350,3.1951,3.2273,379800
1988-02-03,3.2511,3.2672,3.2112,3.2434,669000
1988-02-04,3.2994,3.2994,3.1951,3.2028,918600
1988-02-05,3.1951,3.2028,3.1546,3.1546,619200
1988-02-08,3.1385,3.2112,3.1385,3.1790,402000
1988-02-09,3.1868,3.2112,3.1385,3.1868,480600
1988-02-10,3.2112,3.2434,3.1546,3.2434,1228200
1988-02-11,3.2511,3.2672,3.1868,3.2028,1212600
1988-02-12,3.1868,3.2434,3.1868,3.2189,634200
1988-02-16,3.1868,3.2112,3.1868,3.2028,496200
1988-02-17,3.1951,3.2112,3.1707,3.1707,504000
1988-02-18,3.1629,3.2028,3.1629,3.1629,331800
1988-02-19,3.1868,3.2511,3.1790,3.2511,975600
1988-02-22,3.2434,3.3638,3.2434,3.3477,741000
1988-02-23,3.4282,3.4765,3.3477,3.3960,844800
1988-02-24,3.3638,3.4044,3.3477,3.3638,215400
1988-02-25,3.3722,3.4044,3.2511,3.2672,515400
1988-02-26,3.2672,3.2917,3.2350,3.2833,728400
1988-02-29,3.2833,3.3960,3.2833,3.3799,811800
1988-03-01,3.3960,3.3960,3.3078,3.3477,1147200
1988-03-02,3.3638,3.3722,3.3155,3.3561,790800
1988-03-03,3.3638,3.3722,3.3477,3.3561,973200
1988-03-04,3.3561,3.4365,3.3155,3.4205,1816800
1988-03-07,3.4765,3.5408,3.4526,3.5009,1008000
1988-03-08,3.5086,3.5408,3.4765,3.5247,418800
1988-03-09,3.5730,3.5814,3.5247,3.5408,756000
1988-03-10,3.5653,3.5653,3.4926,3.4926,1129200
1988-03-11,3.5086,3.5408,3.4604,3.5170,1597200
1988-03-14,3.5331,3.5730,3.5170,3.5569,474600
1988-03-15,3.5569,3.5653,3.5247,3.5408,376800
1988-03-16,3.5492,3.5492,3.4926,3.5247,614400
1988-03-17,3.5408,3.5408,3.5009,3.5247,1140000
1988-03-18,3.5247,3.5247,3.3960,3.4687,1327200
1988-03-21,3.4121,3.4205,3.3638,3.3960,801000
1988-03-22,3.4121,3.4121,3.3638,3.3799,367800
1988-03-23,3.3638,3.3638,3.2917,3.3400,1316400
1988-03-24,3.3239,3.3239,3.2112,3.2511,929400
1988-03-25,3.2756,3.2994,3.2350,3.2434,759000
1988-03-28,3.2511,3.2672,3.2189,3.2189,3017400
1988-03-29,3.2350,3.2350,3.1951,3.2112,1801800
1988-03-30,3.2112,3.2189,3.1546,3.1629,1850400
1988-03-31,3.1546,3.2112,3.1468,3.2028,2053200
1988-04-04,3.2028,3.2511,3.1868,3.2112,793800
1988-04-05,3.2083,3.2898,3.2083,3.2898,504000
1988-04-06,3.2735,3.3223,3.2083,3.3223,2434800
1988-04-07,3.3223,3.3634,3.2982,3.3386,1263000
1988-04-08,3.3634,3.4038,3.3549,3.4038,757200
1988-04-11,3.3875,3.3875,3.3308,3.3471,420600
1988-04-12,3.3471,3.3549,3.3386,3.3471,346800
1988-04-13,3.3471,3.3471,3.2898,3.3223,598200
1988-04-14,3.2572,3.2898,3.1920,3.2168,405600
1988-04-15,3.2083,3.2083,3.1595,3.1920,630000
1988-04-18,3.2083,3.2083,3.1920,3.1920,291600
1988-04-19,3.1920,3.2409,3.1758,3.2005,736800
1988-04-20,3.1920,3.2083,3.1595,3.1595,532800
1988-04-21,3.1758,3.2168,3.1432,3.1842,1366200
1988-04-22,3.1920,3.2735,3.1920,3.2572,638400
1988-04-25,3.2657,3.3223,3.2494,3.2982,334800
1988-04-26,3.3060,3.3797,3.2898,3.2982,861600
1988-04-27,3.2982,3.2982,3.2657,3.2657,221400
1988-04-28,3.2572,3.2735,3.2409,3.2409,708000
1988-04-29,3.2494,3.2898,3.2409,3.2735,616800
1988-05-02,3.2735,3.3471,3.2657,3.3471,460200
1988-05-03,3.3386,3.3875,3.3386,3.3634,466200
1988-05-04,3.3634,3.3712,3.3471,3.3471,325200
1988-05-05,3.3549,3.3549,3.2735,3.3060,833400
1988-05-06,3.2819,3.3223,3.2494,3.2494,429600
1988-05-09,3.2657,3.2735,3.2494,3.2735,398400
1988-05-10,3.2735,3.3308,3.2735,3.3223,490200
1988-05-11,3.2898,3.2898,3.2246,3.2572,1081200
1988-05-12,3.2409,3.2572,3.2409,3.2572,306000
1988-05-13,3.2572,3.2898,3.2331,3.2572,321600
1988-05-16,3.2494,3.2898,3.2331,3.2819,491400
1988-05-17,3.2982,3.3060,3.2246,3.2572,670800
1988-05-18,3.2409,3.2494,3.2083,3.2246,477600
1988-05-19,3.2331,3.2409,3.1920,3.2409,811200
1988-05-20,3.2657,3.2735,3.2331,3.2494,249000
1988-05-23,3.2331,3.2898,3.2331,3.2898,319800
1988-05-24,3.2819,3.4200,3.2819,3.3959,499800
1988-05-25,3.5015,3.5178,3.4689,3.4689,701400
1988-05-26,3.4852,3.4852,3.4611,3.4852,672600
1988-05-27,3.4526,3.4774,3.4526,3.4611,437400
1988-05-31,3.4526,3.5099,3.4526,3.5015,424200
1988-06-01,3.5015,3.5178,3.4689,3.5178,1314000
1988-06-02,3.5099,3.5178,3.4611,3.4689,535200
1988-06-03,3.4611,3.4689,3.4200,3.4363,490200
