Date,Open,High,Low,Close,Volume
1995-08-18,0.0124,0.0124,0.0124,0.0124,76800
1995-08-21,0.0130,0.0143,0.0130,0.0130,1958400
1995-08-22,0.0124,0.0143,0.0124,0.0143,163200
1995-08-23,0.0143,0.0143,0.0124,0.0143,163200
1995-08-24,0.0143,0.0143,0.0124,0.0130,1296000
1995-08-25,0.0124,0.0124,0.0124,0.0124,192000
1995-08-28,0.0124,0.0124,0.0124,0.0124,19200
1995-08-29,0.0124,0.0124,0.0124,0.0124,38400
1995-08-30,0.0130,0.0137,0.0130,0.0137,1920000
1995-08-31,0.0124,0.0143,0.0124,0.0143,1641600
1995-09-01,0.0144,0.0144,0.0144,0.0144,0
1995-09-05,0.0150,0.0156,0.0150,0.0150,393600
1995-09-06,0.0156,0.0156,0.0140,0.0140,124800
1995-09-07,0.0143,0.0156,0.0137,0.0137,4012800
1995-09-08,0.0137,0.0150,0.0137,0.0150,153600
1995-09-11,0.0153,0.0153,0.0153,0.0153,96000
1995-09-12,0.0153,0.0153,0.0153,0.0153,96000
1995-09-13,0.0143,0.0143,0.0143,0.0143,48000
1995-09-14,0.0143,0.0153,0.0143,0.0153,220800
1995-09-15,0.0153,0.0153,0.0153,0.0153,192000
1995-09-18,0.0153,0.0153,0.0153,0.0153,0
1995-09-19,0.0146,0.0146,0.0146,0.0146,230400
1995-09-20,0.0146,0.0153,0.0146,0.0153,499200
1995-09-21,0.0146,0.0156,0.0143,0.0143,1200000
1995-09-22,0.0143,0.0143,0.0130,0.0143,1161600
1995-09-25,0.0156,0.0156,0.0132,0.0150,172800
1995-09-26,0.0130,0.0130,0.0130,0.0130,96000
1995-09-27,0.0130,0.0143,0.0130,0.0143,115200
1995-09-28,0.0130,0.0143,0.0117,0.0117,1084800
1995-09-29,0.0150,0.0150,0.0120,0.0120,134400
1995-10-02,0.0150,0.0150,0.0130,0.0130,585600
1995-10-03,0.0130,0.0130,0.0130,0.0130,0
1995-10-04,0.0130,0.0130,0.0130,0.0130,0
1995-10-05,0.0117,0.0130,0.0104,0.0130,883200
1995-10-06,0.0117,0.0137,0.0111,0.0124,624000
1995-10-09,0.0111,0.0124,0.0111,0.0111,182400
1995-10-10,0.0111,0.0124,0.0104,0.0104,595200
1995-10-11,0.0104,0.0117,0.0104,0.0111,604800
1995-10-12,0.0110,0.0110,0.0110,0.0110,0
1995-10-13,0.0117,0.0130,0.0117,0.0130,2880000
1995-10-16,0.0117,0.0117,0.0117,0.0117,940800
1995-10-17,0.0117,0.0137,0.0117,0.0117,307200
1995-10-18,0.0124,0.0124,0.0124,0.0124,19200
1995-10-19,0.0111,0.0111,0.0098,0.0104,2822400
1995-10-20,0.0104,0.0104,0.0104,0.0104,0
1995-10-23,0.0104,0.0104,0.0104,0.0104,288000
1995-10-24,0.0117,0.0117,0.0104,0.0111,2169600
1995-10-25,0.0098,0.0114,0.0091,0.0114,1776000
1995-10-26,0.0091,0.0104,0.0091,0.0104,384000
1995-10-27,0.0091,0.0117,0.0091,0.0117,739200
1995-10-30,0.0098,0.0104,0.0098,0.0104,192000
1995-10-31,0.0098,0.0104,0.0098,0.0098,643200
1995-11-01,0.0117,0.0117,0.0098,0.0117,134400
1995-11-02,0.0117,0.0117,0.0106,0.0106,460800
1995-11-03,0.0117,0.0117,0.0117,0.0117,28800
1995-11-06,0.0098,0.0104,0.0098,0.0104,38400
1995-11-07,0.0098,0.0111,0.0098,0.0104,355200
1995-11-08,0.0098,0.0104,0.0098,0.0104,259200
1995-11-09,0.0098,0.0104,0.0098,0.0098,230400
1995-11-10,0.0098,0.0098,0.0098,0.0098,480000
1995-11-13,0.0098,0.0104,0.0098,0.0104,1584000
1995-11-14,0.0104,0.0104,0.0091,0.0104,5798400
1995-11-15,0.0098,0.0098,0.0091,0.0091,768000
1995-11-16,0.0104,0.0104,0.0091,0.0091,969600
1995-11-17,0.0091,0.0091,0.0091,0.0091,249600
1995-11-20,0.0091,0.0091,0.0091,0.0091,19200
1995-11-21,0.0104,0.0104,0.0091,0.0091,259200
1995-11-22,0.0104,0.0104,0.0104,0.0104,48000
1995-11-24,0.0104,0.0104,0.0104,0.0104,0
1995-11-27,0.0091,0.0104,0.0091,0.0104,144000
1995-11-28,0.0091,0.0101,0.0091,0.0101,633600
1995-11-29,0.0101,0.0101,0.0091,0.0091,480000
1995-11-30,0.0091,0.0091,0.0091,0.0091,720000
1995-12-01,0.0091,0.0091,0.0091,0.0091,19200
1995-12-04,0.0101,0.0101,0.0091,0.0101,921600
1995-12-05,0.0085,0.0101,0.0085,0.0085,364800
1995-12-06,0.0085,0.0085,0.0078,0.0078,2208000
1995-12-07,0.0078,0.0091,0.0078,0.0085,2409600
1995-12-08,0.0075,0.0091,0.0075,0.0091,220800
1995-12-11,0.0091,0.0091,0.0072,0.0088,720000
1995-12-12,0.0072,0.0072,0.0072,0.0072,144000
1995-12-13,0.0072,0.0072,0.0072,0.0072,384000
1995-12-14,0.0065,0.0065,0.0062,0.0065,3100800
1995-12-15,0.0065,0.0078,0.0065,0.0065,1200000
1995-12-18,0.0065,0.0078,0.0065,0.0078,691200
1995-12-19,0.0065,0.0078,0.0065,0.0078,489600
1995-12-20,0.0067,0.0067,0.0065,0.0065,297600
1995-12-21,0.0065,0.0065,0.0065,0.0065,153600
1995-12-22,0.0065,0.0078,0.0065,0.0078,729600
1995-12-26,0.0078,0.0078,0.0078,0.0078,0
1995-12-27,0.0065,0.0065,0.0065,0.0065,144000
1995-12-28,0.0065,0.0078,0.0065,0.0072,3081600
1995-12-29,0.0072,0.0078,0.0072,0.0072,7276800
1996-01-02,0.0072,0.0072,0.0072,0.0072,0
1996-01-03,0.0078,0.0078,0.0078,0.0078,1344000
1996-01-04,0.0084,0.0092,0.0084,0.0092,1142400
1996-01-05,0.0078,0.0078,0.0078,0.0078,192000
1996-01-08,0.0092,0.0092,0.0092,0.0092,1161600
1996-01-09,0.0098,0.0101,0.0078,0.0101,1545600
1996-01-10,0.0091,0.0091,0.0091,0.0091,0
1996-01-11,0.0098,0.0101,0.0078,0.0101,15916800
1996-01-12,0.0078,0.0078,0.0065,0.0065,844800
1996-01-15,0.0069,0.0069,0.0069,0.0069,96000
1996-01-16,0.0065,0.0065,0.0065,0.0065,249600
1996-01-17,0.0068,0.0068,0.0068,0.0068,2265600
1996-01-18,0.0065,0.0065,0.0065,0.0065,96000
1996-01-19,0.0078,0.0078,0.0065,0.0073,13612800
1996-01-22,0.0084,0.0084,0.0084,0.0084,96000
1996-01-23,0.0075,0.0084,0.0075,0.0084,1152000
1996-01-24,0.0085,0.0085,0.0085,0.0085,672000
1996-01-25,0.0075,0.0085,0.0075,0.0085,288000
1996-01-26,0.0085,0.0085,0.0085,0.0085,144000
1996-01-29,0.0084,0.0084,0.0084,0.0084,240000
1996-01-30,0.0069,0.0084,0.0069,0.0084,297600
1996-01-31,0.0085,0.0085,0.0085,0.0085,624000
1996-02-01,0.0068,0.0085,0.0068,0.0085,19200
1996-02-02,0.0085,0.0085,0.0078,0.0078,768000
1996-02-05,0.0072,0.0085,0.0068,0.0068,3292800
1996-02-06,0.0068,0.0075,0.0068,0.0068,2400000
1996-02-07,0.0068,0.0068,0.0068,0.0068,57600
1996-02-08,0.0069,0.0069,0.0069,0.0069,0
1996-02-09,0.0075,0.0075,0.0068,0.0072,3168000
1996-02-12,0.0075,0.0075,0.0068,0.0075,1968000
1996-02-13,0.0075,0.0075,0.0075,0.0075,48000
1996-02-14,0.0072,0.0075,0.0072,0.0072,1084800
1996-02-15,0.0091,0.0091,0.0078,0.0085,3964800
1996-02-16,0.0078,0.0085,0.0078,0.0085,2304000
1996-02-20,0.0078,0.0078,0.0078,0.0078,192000
1996-02-21,0.0078,0.0085,0.0078,0.0078,1276800
1996-02-22,0.0078,0.0078,0.0072,0.0078,1296000
1996-02-23,0.0068,0.0078,0.0068,0.0078,1152000
1996-02-26,0.0073,0.0078,0.0073,0.0078,864000
1996-02-27,0.0078,0.0078,0.0078,0.0078,0
1996-02-28,0.0078,0.0078,0.0078,0.0078,96000
1996-02-29,0.0078,0.0078,0.0078,0.0078,48000
1996-03-01,0.0069,0.0069,0.0065,0.0065,480000
1996-03-04,0.0072,0.0078,0.0065,0.0065,1680000
1996-03-05,0.0065,0.0078,0.0065,0.0069,3657600
1996-03-06,0.0072,0.0078,0.0065,0.0065,0
1996-03-07,0.0065,0.0078,0.0065,0.0068,2803200
1996-03-08,0.0078,0.0078,0.0078,0.0078,0
1996-03-11,0.0078,0.0078,0.0078,0.0078,0
1996-03-12,0.0072,0.0072,0.0072,0.0072,230400
1996-03-13,0.0072,0.0072,0.0065,0.0065,576000
1996-03-14,0.0072,0.0072,0.0072,0.0072,259200
1996-03-15,0.0072,0.0072,0.0065,0.0065,0
1996-03-18,0.0075,0.0075,0.0075,0.0075,480000
1996-03-19,0.0075,0.0075,0.0075,0.0075,0
1996-03-20,0.0075,0.0075,0.0075,0.0075,3120000
1996-03-21,0.0072,0.0072,0.0072,0.0072,0
1996-03-22,0.0072,0.0072,0.0072,0.0072,0
1996-03-25,0.0075,0.0075,0.0075,0.0075,211200
1996-03-26,0.0075,0.0075,0.0075,0.0075,0
1996-03-27,0.0075,0.0075,0.0075,0.0075,19200
1996-03-28,0.0075,0.0075,0.0075,0.0075,288000
