Date,Open,High,Low,Close,Volume
1988-01-26,8.6902,8.8791,8.5012,8.6902,7244600
1988-01-27,8.7355,9.3514,8.6448,9.3514,3652400
1988-01-28,9.2569,9.4912,9.1624,9.4912,2180000
1988-01-29,9.4005,9.4912,8.9735,9.2569,1335400
1988-02-01,9.1624,9.2569,9.0227,9.0680,488800
1988-02-02,9.0680,9.0680,8.9244,9.0680,476800
1988-02-03,9.0680,9.5403,9.0680,9.1624,1284600
1988-02-04,9.1624,9.3022,9.1133,9.3022,328000
1988-02-05,9.2569,9.4005,9.2569,9.3514,403600
1988-02-08,9.1624,9.1624,8.9735,9.0680,143400
1988-02-09,9.1624,9.1624,8.9735,8.9735,157000
1988-02-10,9.0680,9.3022,9.0680,9.2569,456400
1988-02-11,9.3514,9.4912,9.3514,9.3514,484000
1988-02-12,9.4458,9.6801,9.4458,9.6347,222600
1988-02-16,9.6801,10.0126,9.6801,10.0126,838000
1988-02-17,10.0126,10.1562,9.7292,9.8690,642400
1988-02-18,9.8237,10.0579,9.7783,10.0126,516000
1988-02-19,10.0126,11.0516,10.0126,10.7682,1103400
1988-02-22,10.6738,10.7682,10.5793,10.7229,326600
1988-02-23,10.6738,10.6738,10.4357,10.5793,245000
1988-02-24,10.5340,10.5340,10.3904,10.4849,271600
1988-02-25,10.4849,10.7682,10.4849,10.6247,948000
1988-02-26,10.6247,10.6738,10.5793,10.6738,256000
1988-02-29,10.7682,11.4786,10.7229,11.4294,647800
1988-03-01,11.4786,11.6184,11.2405,11.2405,587200
1988-03-02,11.1914,11.4786,11.1914,11.4786,192000
1988-03-03,11.5692,11.5692,11.3350,11.3350,232800
1988-03-04,11.2405,11.7128,11.2405,11.7128,426000
1988-03-07,11.5239,12.1360,11.5239,12.0453,463400
1988-03-08,11.9962,12.1360,11.9471,12.0453,494800
1988-03-09,12.0907,12.0907,11.9471,11.9962,205400
1988-03-10,12.0453,12.0453,11.0025,11.0025,414200
1988-03-11,10.9572,11.1007,10.5793,10.9572,223400
1988-03-14,11.0516,11.4294,11.0025,11.3803,144800
1988-03-15,11.5239,12.0453,11.5239,12.0453,673200
1988-03-16,12.0907,12.1851,11.7582,11.8564,202800
1988-03-17,11.9962,11.9962,11.7128,11.9017,146600
1988-03-18,11.9471,11.9471,11.6675,11.6675,166800
1988-03-21,11.6184,11.6184,11.2896,11.3350,254400
1988-03-22,11.3350,11.5239,11.1914,11.2405,515000
1988-03-23,11.2896,11.3350,11.2405,11.3350,27600
1988-03-24,10.9572,10.9572,10.5793,10.8627,699200
1988-03-25,10.9572,11.1007,10.7229,10.7229,152800
1988-03-28,10.4357,10.7682,10.4357,10.7682,137000
1988-03-29,10.8627,11.4294,10.8627,11.3803,186000
1988-03-30,11.3803,11.4294,11.2405,11.2896,125000
1988-03-31,11.1461,11.3803,11.1461,11.3803,294400
1988-04-04,11.3350,11.3350,11.3350,11.3350,148200
1988-04-05,11.2896,11.5239,11.2896,11.4294,219600
1988-04-06,11.4294,12.0907,11.4294,11.9471,125200
1988-04-07,11.9962,12.0907,11.9017,12.0907,165400
1988-04-08,12.0453,12.0907,11.9471,12.0907,182400
1988-04-11,12.0453,12.0907,11.8564,11.9017,85400
1988-04-12,11.8564,11.8564,11.6184,11.6675,419000
1988-04-13,11.6184,11.7582,11.6184,11.6675,208000
1988-04-14,11.5239,11.5239,11.1461,11.1461,167000
1988-04-15,11.0516,11.1461,10.8627,11.1461,102800
1988-04-18,11.1461,11.4294,10.5793,10.8627,807000
1988-04-19,10.8136,11.1461,10.8136,10.9118,442200
1988-04-20,10.9118,11.0516,10.9118,11.0025,68000
1988-04-21,11.0516,11.2405,11.0516,11.1461,44800
1988-04-22,11.1461,11.2405,11.1461,11.2405,1800
1988-04-25,11.3350,11.5239,11.2405,11.5239,204000
1988-04-26,11.6675,11.8073,11.6675,11.8073,150000
1988-04-27,11.7582,11.7582,11.5692,11.5692,86200
1988-04-28,11.4786,11.4786,11.3803,11.4294,103400
1988-04-29,11.3350,11.3350,10.9572,11.1461,89800
1988-05-02,11.1007,11.2405,11.1007,11.2405,142400
1988-05-03,11.2405,11.3350,11.2405,11.3350,313000
1988-05-04,11.3803,11.3803,11.1461,11.1461,141600
1988-05-05,11.1914,11.1914,10.9572,11.0516,369800
1988-05-06,11.1007,11.1007,10.9572,10.9572,89400
1988-05-09,11.0516,11.0516,10.5793,10.6738,169200
1988-05-10,10.5793,10.6738,10.5793,10.6247,215000
1988-05-11,10.5340,10.5340,10.0126,10.0579,93800
1988-05-12,10.1070,10.4357,10.1070,10.4357,226400
1988-05-13,10.5793,10.9572,10.5793,10.9572,119600
