Date,Open,High,Low,Close,Volume
2011-06-24,12.9935,13.1276,12.3530,12.4905,1675400
2011-06-27,12.3027,12.7252,12.2692,12.6246,895200
2011-06-28,12.8560,13.4093,12.6414,12.9767,4151800
2011-06-29,13.0773,13.7379,12.9767,13.4361,3695200
2011-06-30,13.6373,14.0832,13.4713,13.8821,3025600
2011-07-01,13.8150,15.9040,13.7479,14.1503,8334200
2011-07-05,14.1537,14.4186,13.9659,14.1537,11823000
2011-07-06,13.9491,14.1671,13.7513,14.0464,10983000
2011-07-07,14.1470,14.5057,13.9843,14.0095,16707600
2011-07-08,13.6809,14.2844,13.5870,13.8854,16417000
2011-07-11,13.6775,13.6775,13.2483,13.4461,9495200
2011-07-12,13.3657,13.7446,13.2248,13.5736,8011200
2011-07-13,13.5870,13.8284,13.1578,13.3992,11642800
2011-07-14,13.4026,13.4193,12.8124,12.9566,11528400
2011-07-15,13.0773,13.2349,12.7755,13.1309,9938400
2011-07-18,12.9868,13.2751,12.6582,13.1175,8311600
2011-07-19,13.1645,13.3925,13.1209,13.3254,6423000
2011-07-20,13.3422,13.3925,13.2114,13.2550,5449000
2011-07-21,13.2550,13.4931,13.1142,13.4461,7249200
2011-07-22,13.5065,13.6876,13.3824,13.6037,6645600
2011-07-25,13.8318,14.1235,13.6306,13.8720,8898600
2011-07-26,13.8787,14.6600,13.8385,14.4353,11324200
2011-07-27,14.4253,14.5192,14.0732,14.1034,6998400
2011-07-28,14.2274,14.3984,14.1470,14.3448,6654600
2011-07-29,14.2006,14.9584,14.0745,14.6835,10709600
2011-08-01,15.1026,15.2166,14.7505,15.0791,11518400
2011-08-02,14.9316,15.0557,14.1671,14.1939,10995600
2011-08-03,14.5124,15.2233,13.0840,13.8921,13413800
2011-08-04,13.6507,13.6507,12.4838,12.8828,15377800
2011-08-05,13.0471,13.1511,11.2129,12.5106,12348600
2011-08-08,11.8165,12.0714,9.8851,10.8407,16543000
2011-08-09,11.0889,12.2088,10.8709,12.1049,12054200
2011-08-10,11.9205,12.3530,11.4410,11.7763,9682600
2011-08-11,12.0378,12.9432,11.8802,12.5207,8756400
2011-08-12,12.6045,13.1175,12.3748,12.5441,5906800
2011-08-15,12.7701,13.3633,12.7701,13.1779,5365400
2011-08-16,12.9285,13.2925,12.8476,13.0970,6532400
2011-08-17,13.3565,13.4677,13.0802,13.1779,5627600
2011-08-18,12.8442,12.9785,11.9343,12.3387,7501400
2011-08-19,12.0590,12.3589,11.6747,11.7927,9878600
2011-08-22,12.0724,12.1331,10.9029,10.9771,10774000
2011-08-23,10.9973,11.6950,10.8018,11.5433,10360000
2011-08-24,11.5938,12.1432,11.3613,12.0758,6723400
2011-08-25,12.1971,12.4347,11.4309,11.5871,6376000
2011-08-26,11.5938,12.3892,11.4826,11.7523,5880400
2011-08-29,11.8871,12.2531,11.8095,12.1331,4175000
2011-08-30,12.0960,12.2612,11.7118,12.1432,4385200
2011-08-31,12.3050,12.6218,12.3050,12.4904,5731000
2011-09-01,12.6151,12.8813,12.4398,12.4735,4515400
2011-09-02,12.0758,12.4668,11.8365,11.9376,3594200
2011-09-06,11.5366,11.9309,11.2197,11.7961,5723400
2011-09-07,11.9915,12.4465,11.8803,12.2308,5212200
2011-09-08,12.1870,12.8577,11.9882,12.7162,4086600
2011-09-09,12.3421,12.7330,12.1095,12.2511,5889000
2011-09-12,12.1735,12.4297,11.7590,12.3555,3919200
2011-09-13,12.2679,12.3454,11.6073,11.9107,7147000
2011-09-14,11.8770,11.9005,11.6141,11.8062,7640600
2011-09-15,12.0927,12.4566,11.8736,11.9376,6081400
2011-09-16,11.9747,12.0219,11.7489,11.8298,7195400
2011-09-19,11.5197,11.6478,11.1557,11.3074,5096200
2011-09-20,11.3141,11.5366,11.2905,11.3546,3859200
2011-09-21,11.2400,11.6141,10.8996,10.9198,4013000
2011-09-22,10.5019,10.5828,9.7200,9.9323,11073600
2011-09-23,9.8345,10.2188,9.7941,9.9525,6768000
2011-09-26,10.0772,10.2322,9.9424,10.1446,7971000
2011-09-27,10.3907,10.7243,10.0098,10.0536,9412400
2011-09-28,10.1008,10.3266,9.7469,9.7671,8844400
2011-09-29,9.9997,10.0604,8.8808,9.3829,10516800
2011-09-30,9.2245,9.4133,9.0425,9.1200,9626800
2011-10-03,9.0695,9.3694,8.9684,9.1504,8648200
2011-10-04,9.0324,9.7098,8.9886,9.6930,10200000
2011-10-05,9.7975,10.7108,9.6155,10.6097,10463800
2011-10-06,10.6232,11.2400,10.4816,11.2197,7978400
2011-10-07,11.3647,11.4523,10.5322,10.6502,8532800
2011-10-10,10.8793,11.2804,10.8119,11.1119,5005200
2011-10-11,11.0142,11.3276,10.9299,11.1726,6615000
2011-10-12,11.2636,11.5029,11.2164,11.3141,7544200
2011-10-13,11.2332,11.4220,11.0647,11.3815,6341200
2011-10-14,11.6040,12.2005,11.5770,12.1803,6739600
2011-10-17,12.1466,12.2949,11.7455,11.7758,4717600
2011-10-18,11.7118,12.3151,11.5163,12.1971,4533600
2011-10-19,12.1971,12.4904,11.9477,11.9983,6033800
2011-10-20,11.9983,12.3555,11.8938,12.2982,4675400
2011-10-21,12.4364,12.6993,12.3016,12.5881,6436200
2011-10-24,12.6555,12.9656,11.9781,12.0825,6574200
2011-10-25,11.6781,11.6781,10.5861,11.1119,18550600
2011-10-26,11.3984,11.7792,11.1894,11.7051,7477000
2011-10-27,11.8871,12.7128,11.8871,12.5813,7724200
2011-10-28,12.5308,12.6791,12.2207,12.5780,7260000
2011-10-31,12.4735,12.4735,11.9376,12.0994,6581200
2011-11-01,11.9646,12.8476,11.5575,12.1331,13188600
2011-11-02,12.4364,12.9521,12.3859,12.9184,9171400
2011-11-03,13.1442,13.3296,12.8409,13.0330,7802600
2011-11-04,12.8746,13.0498,12.6353,13.0161,5657600
2011-11-07,12.8510,13.1610,12.8510,13.1172,4111000
2011-11-08,13.1543,13.2925,12.7128,12.8442,5019200
2011-11-09,12.4769,13.1408,12.3151,12.4769,6974000
2011-11-10,12.7027,12.7701,12.1331,12.7060,6920800
2011-11-11,12.8982,13.2049,12.6858,12.7296,8037200
2011-11-14,12.7010,12.7688,12.0020,12.4566,8146400
2011-11-15,12.3888,12.6636,12.2978,12.5483,5613800
2011-11-16,11.7882,11.8968,10.9263,11.0756,24769400
2011-11-17,11.1027,11.3097,10.6005,10.7295,15642000
2011-11-18,10.8075,11.1808,10.7261,11.1367,6335800
2011-11-21,10.9704,11.3012,10.6209,11.1435,6564600
2011-11-22,11.2283,11.3844,10.9365,11.3742,6095600
2011-11-23,11.1910,11.3437,11.0247,11.1401,8240200
2011-11-25,11.0756,11.1027,10.9229,10.9500,2732200
2011-11-28,11.4081,11.6015,11.0858,11.2928,7631000
2011-11-29,11.3708,11.4047,11.1231,11.2554,7627400
2011-11-30,11.5744,11.7169,11.0111,11.3301,12317400
2011-12-01,11.5099,11.6491,11.3182,11.5201,5997200
2011-12-02,11.6796,11.7984,11.2402,11.3029,7471200
2011-12-05,11.5473,12.0291,11.4896,11.6728,9112200
2011-12-06,11.7305,11.8017,11.5371,11.7542,5930600
2011-12-07,11.6932,11.7390,11.4726,11.7067,8031400
2011-12-08,11.6491,11.7305,11.3640,11.5439,9874800
2011-12-09,11.5473,11.8459,11.4692,11.8357,6378600
2011-12-12,11.6796,11.7373,11.5031,11.7373,10916400
2011-12-13,11.5744,11.8391,11.3504,11.5201,7383400
2011-12-14,11.4251,11.4828,10.8686,11.0892,7003800
2011-12-15,11.2011,11.2894,10.9704,11.0383,3495800
2011-12-16,11.1468,11.2826,10.7872,10.8449,8456800
2011-12-19,10.8584,11.1363,10.7634,10.8381,6274600
2011-12-20,11.0858,11.1842,10.7940,10.9263,6291000
2011-12-21,10.8754,11.1452,10.8584,11.0858,4308800
2011-12-22,11.1740,11.3369,11.0858,11.3029,3693000
2011-12-23,11.3063,11.3946,11.2690,11.3776,1841000
2011-12-27,11.3844,11.5303,11.3301,11.4183,1539800
2011-12-28,11.3980,11.4828,11.1112,11.2453,3285000
2011-12-29,11.3165,11.3199,11.1502,11.2928,2127000
2011-12-30,11.3097,11.3674,11.2011,11.2962,2165600
2012-01-03,11.7237,11.8594,11.3199,11.3369,5043200
2012-01-04,11.2995,11.4997,11.2690,11.4556,5791400
2012-01-05,11.2181,11.2419,10.5191,10.8313,12392000
2012-01-06,10.8482,10.8686,10.5632,10.7431,7554600
2012-01-09,10.7329,10.7566,10.2612,10.5055,9679000
2012-01-10,10.6922,10.8177,10.5089,10.8007,6008800
2012-01-11,10.7125,11.2249,10.5429,11.1604,11263400
2012-01-12,11.1808,11.3097,11.0281,11.0756,5585800
2012-01-13,11.0281,11.2995,10.9704,11.2079,6199600
2012-01-17,11.3437,11.5201,11.1774,11.3810,4440600
2012-01-18,11.3471,12.1631,11.2656,12.0325,7981200
2012-01-19,12.1037,12.2463,11.9035,12.1648,6292800
2012-01-20,12.6433,12.8197,12.4736,12.6127,9676800
2012-01-23,12.6127,12.8978,12.5584,12.8503,5406600
2012-01-24,12.7179,13.2473,12.5958,13.2473,7422000
2012-01-25,13.1523,13.1828,12.8740,13.1523,10327400
2012-01-26,13.2269,13.2303,12.6738,12.7281,6187600
2012-01-27,12.6908,12.9147,12.6263,12.7349,6156600
2012-01-30,12.5483,12.7722,12.5211,12.7179,3700400
2012-01-31,13.1489,13.1489,12.6501,12.9690,10394400
2012-02-01,14.1499,14.7539,13.8004,14.2110,22295000
2012-02-02,14.0651,14.5876,13.9157,14.4417,7455400
2012-02-03,14.6283,15.0236,14.5910,14.9235,10732600
2012-02-06,15.0016,15.2832,14.8489,15.0728,10961600
2012-02-07,15.0321,15.2663,14.6589,14.9032,11722200
2012-02-08,14.9812,15.4122,14.9677,15.2527,15936400
2012-02-09,15.1882,15.3511,14.8726,15.2154,7108000
2012-02-10,15.0559,15.1916,14.8591,14.9575,7004800
2012-02-13,15.0016,15.1407,14.6351,14.7539,8935200
2012-02-14,14.7080,15.2438,14.6978,15.0219,1749600
2012-02-15,15.1550,15.3598,14.8274,14.9127,8360600
2012-02-16,14.8854,15.1823,14.8650,15.0458,6863600
2012-02-17,15.1175,15.1858,14.7626,14.8240,7105000
2012-02-21,14.8377,15.0322,14.7694,14.9503,6473600
2012-02-22,14.9742,15.1585,14.8377,14.8513,7642400
2012-02-23,14.8104,15.1312,14.7762,14.9093,5967200
2012-02-24,14.9708,15.0151,14.6022,14.6261,5858400
2012-02-27,14.5442,14.7216,14.3940,14.5408,9289800
2012-02-28,14.5169,14.5340,14.0972,14.2200,15318400
2012-02-29,14.2302,14.4828,14.1415,14.1791,10255600
2012-03-01,14.1859,14.6124,14.1859,14.5783,10728800
2012-03-02,14.5135,14.7114,14.3224,14.3940,5396600
2012-03-05,14.4248,14.6329,14.2302,14.5886,4690800
2012-03-06,14.4213,14.5783,14.2592,14.3292,5533200
2012-03-07,14.2712,14.7626,14.2712,14.5203,5973600
2012-03-08,14.7080,14.9571,14.5203,14.8923,11870200
2012-03-09,14.9025,15.0151,14.7216,14.9810,5795400
2012-03-12,14.9298,14.9776,14.6909,14.9400,6024400
2012-03-13,14.9844,15.1243,14.8889,15.0288,8265600
2012-03-14,15.0527,15.1414,14.9093,14.9844,5444800
2012-03-15,15.0288,15.1585,14.8445,14.9810,5544400
2012-03-16,15.0970,15.1516,14.8820,15.0800,7662200
2012-03-19,15.0527,15.3393,15.0458,15.2028,3862800
2012-03-20,15.1277,15.1277,14.9025,14.9435,4488800
2012-03-21,14.9366,15.0202,14.7592,14.9059,5243400
2012-03-22,14.7251,14.9127,14.6466,14.8001,6900000
2012-03-23,14.7626,15.1380,14.7421,15.0151,4814800
2012-03-26,15.2745,15.4758,15.1653,15.4280,8456000
2012-03-27,15.4588,15.4895,15.0049,15.0151,6284800
2012-03-28,14.9298,14.9878,14.7216,14.8650,7307800
2012-03-29,14.7285,14.8377,14.6397,14.7558,5025000
2012-03-30,14.8547,15.0117,14.7660,14.7967,7078400
2012-04-02,14.8070,14.9093,14.6773,14.8240,9149800
2012-04-03,14.8343,14.8650,14.3360,14.4691,12358200
2012-04-04,14.3702,14.5578,14.2507,14.5340,7821400
2012-04-05,14.4248,14.6500,14.2610,14.3770,5284800
2012-04-09,14.1995,14.5988,14.1995,14.4896,5659000
2012-04-10,14.4521,14.5476,14.2575,14.2746,7827800
2012-04-11,14.4316,14.4418,14.1057,14.1654,6066800
2012-04-12,14.1347,14.5391,14.0664,14.2507,12313400
2012-04-13,14.2302,14.3838,14.1518,14.2029,5088600
2012-04-16,13.9163,14.0460,13.6399,13.6535,11498000
2012-04-17,13.7286,13.9402,13.6467,13.6467,7423000
2012-04-18,13.5819,13.6450,13.4556,13.6023,6830800
2012-04-19,13.6433,13.8020,13.5068,13.5614,4941600
2012-04-20,13.5989,13.7218,13.5358,13.6160,5271400
2012-04-23,13.3805,13.7150,13.3635,13.6501,4998800
2012-04-24,13.6774,13.7866,13.6126,13.7388,3121800
2012-04-25,13.8412,13.9129,13.5512,13.6877,3938400
2012-04-26,13.6501,13.9129,13.6296,13.8719,3327400
2012-04-27,13.9982,14.2132,13.9880,14.0903,5680200
2012-04-30,14.1483,14.3292,14.0972,14.1995,6763600
2012-05-01,14.5817,14.6295,14.0050,14.0630,9434200
2012-05-02,14.0391,14.2883,13.9743,14.1586,5194600
2012-05-03,14.1518,14.1620,13.6945,13.7730,6800000
2012-05-04,13.6808,13.7661,13.4283,13.5614,7031600
2012-05-07,13.4556,13.6331,13.4010,13.5341,7366600
2012-05-08,13.5102,13.5102,13.0359,13.1451,7880800
2012-05-09,12.9710,13.1758,12.9437,13.0393,7387800
2012-05-10,13.0256,13.3089,12.9676,13.0359,6077600
2012-05-11,12.9813,12.9881,12.6707,12.6980,7818600
2012-05-14,12.6251,12.6286,12.2678,12.3090,8644800
2012-05-15,12.3193,12.4361,12.0924,12.1303,7119800
2012-05-16,12.1922,12.4430,11.9825,12.1200,7299800
2012-05-17,12.1234,12.2918,11.9825,11.9825,6667800
2012-05-18,12.0444,12.2300,11.8355,11.9997,10113000
2012-05-21,12.0100,12.4052,11.9791,12.3571,4373200
2012-05-22,12.4052,12.5495,12.0822,12.1612,5883600
2012-05-23,12.0719,12.1922,11.8210,12.1715,5765600
2012-05-24,12.2368,12.3021,12.0959,12.3021,5162200
2012-05-25,12.2437,12.7282,12.2437,12.6732,6079000
2012-05-29,12.7626,12.8451,12.6561,12.7935,6731200
2012-05-30,12.6595,12.6973,12.4739,12.5702,5839000
2012-05-31,12.6114,12.6217,12.1234,12.3949,7846000
2012-06-01,12.1509,12.2781,12.0410,12.1097,5773800
2012-06-04,12.1028,12.1887,11.5650,11.7798,6215600
2012-06-05,11.7798,12.1475,11.7729,12.0959,5363600
2012-06-06,12.2403,12.7351,12.2093,12.4808,5932000
2012-06-07,12.7454,13.0753,12.6423,12.7970,7936800
2012-06-08,12.6939,12.8519,12.5839,12.8382,4541400
2012-06-11,13.0306,13.1818,12.8313,13.0169,6475000
2012-06-12,13.0169,13.5117,13.0134,13.4258,8485400
2012-06-13,13.3330,13.3880,13.1595,13.3193,5741000
2012-06-14,13.3571,13.6217,13.2952,13.5392,3945000
2012-06-15,13.3914,13.8107,13.3914,13.7969,8010400
2012-06-18,13.7076,13.7523,13.4224,13.6904,7128800
2012-06-19,13.8107,14.1560,13.6595,14.0443,7763600
2012-06-20,14.3261,14.7247,14.2333,14.7076,13889400
2012-06-21,14.7419,14.7694,14.1337,14.2024,8412800
2012-06-22,14.3330,14.4052,14.0478,14.3605,13357400
2012-06-25,14.2505,14.2505,13.8588,14.2059,5611200
2012-06-26,14.2059,14.7110,14.1990,14.6217,7313200
2012-06-27,14.6904,14.7213,14.4120,14.6113,5665600
2012-06-28,14.5220,15.2058,14.4498,15.1852,8631800
2012-06-29,15.4326,15.5838,15.1302,15.4361,10990000
2012-07-02,15.6697,15.9859,15.4223,15.8312,7390600
2012-07-03,15.9309,15.9309,15.4636,15.5873,7438000
2012-07-05,15.4636,15.4979,15.1612,15.1886,8391200
