Date,Open,High,Low,Close,Volume
1970-01-02,0.4830,0.4830,0.4755,0.4765,475200
1970-01-05,0.4765,0.4798,0.4723,0.4739,669600
1970-01-06,0.4739,0.4776,0.4712,0.4776,568800
1970-01-07,0.4776,0.4819,0.4723,0.4733,892800
1970-01-08,0.4744,0.4798,0.4744,0.4765,496800
1970-01-09,0.4765,0.4808,0.4712,0.4755,1634400
1970-01-12,0.4755,0.4782,0.4733,0.4755,648000
1970-01-13,0.4755,0.4765,0.4690,0.4744,1159200
1970-01-14,0.4733,0.4733,0.4680,0.4733,525600
1970-01-15,0.4733,0.4776,0.4690,0.4712,1058400
1970-01-16,0.4712,0.4765,0.4669,0.4712,1720800
1970-01-19,0.4690,0.4690,0.4626,0.4648,3110400
1970-01-20,0.4648,0.4680,0.4637,0.4680,871200
1970-01-21,0.4680,0.4728,0.4669,0.4712,1044000
1970-01-22,0.4690,0.4690,0.4648,0.4690,792000
1970-01-23,0.4690,0.4728,0.4648,0.4669,972000
1970-01-26,0.4626,0.4626,0.4476,0.4476,1252800
1970-01-27,0.4476,0.4519,0.4423,0.4498,1605600
1970-01-28,0.4476,0.4476,0.4412,0.4423,914400
1970-01-29,0.4423,0.4444,0.4241,0.4369,1216800
1970-01-30,0.4369,0.4487,0.4326,0.4326,1454400
1970-02-02,0.4369,0.4407,0.4369,0.4391,813600
1970-02-03,0.4444,0.4690,0.4444,0.4690,2181600
1970-02-04,0.4669,0.4669,0.4498,0.4562,1476000
1970-02-05,0.4583,0.4621,0.4583,0.4616,489600
1970-02-06,0.4616,0.4621,0.4530,0.4562,302400
1970-02-09,0.4594,0.4648,0.4594,0.4626,784800
1970-02-10,0.4626,0.4669,0.4594,0.4605,439200
1970-02-11,0.4605,0.4626,0.4583,0.4626,367200
1970-02-12,0.4648,0.4701,0.4648,0.4658,590400
1970-02-13,0.4680,0.4712,0.4680,0.4701,597600
1970-02-16,0.4701,0.4765,0.4701,0.4728,698400
1970-02-17,0.4728,0.4749,0.4696,0.4717,1641600
1970-02-18,0.4690,0.4690,0.4616,0.4643,1713600
1970-02-19,0.4643,0.4658,0.4610,0.4648,921600
1970-02-20,0.4648,0.4712,0.4626,0.4701,1274400
1970-02-24,0.4723,0.4798,0.4723,0.4782,770400
1970-02-25,0.4782,0.4808,0.4733,0.4808,1346400
1970-02-26,0.4808,0.4813,0.4690,0.4690,2030400
1970-02-27,0.4690,0.4690,0.4573,0.4669,1447200
1970-03-02,0.4669,0.4701,0.4573,0.4605,583200
1970-03-03,0.4605,0.4637,0.4562,0.4616,1288800
1970-03-04,0.4616,0.4648,0.4594,0.4594,792000
1970-03-05,0.4594,0.4626,0.4551,0.4551,532800
1970-03-06,0.4562,0.4583,0.4562,0.4567,432000
1970-03-09,0.4551,0.4551,0.4508,0.4530,669600
1970-03-10,0.4530,0.4562,0.4369,0.4476,1195200
1970-03-11,0.4476,0.4476,0.4412,0.4455,979200
1970-03-12,0.4433,0.4433,0.4305,0.4369,1339200
1970-03-13,0.4267,0.4267,0.4182,0.4219,3304800
1970-03-16,0.4209,0.4209,0.4161,0.4166,1706400
1970-03-17,0.4166,0.4198,0.4161,0.4198,1094400
1970-03-18,0.4230,0.4337,0.4230,0.4337,1461600
1970-03-19,0.4337,0.4391,0.4284,0.4337,1216800
1970-03-20,0.4337,0.4364,0.4161,0.4230,1274400
1970-03-23,0.4230,0.4257,0.4166,0.4257,482400
1970-03-24,0.4294,0.4391,0.4294,0.4326,1519200
1970-03-25,0.4359,0.4519,0.4359,0.4455,1087200
1970-03-26,0.4455,0.4471,0.4423,0.4455,1051200
1970-03-30,0.4455,0.4498,0.4423,0.4439,540000
1970-03-31,0.4401,0.4401,0.4343,0.4369,1137600
1970-04-01,0.4369,0.4433,0.4369,0.4380,957600
1970-04-02,0.4380,0.4385,0.4348,0.4364,504000
1970-04-03,0.4364,0.4364,0.4273,0.4284,1087200
1970-04-06,0.4284,0.4326,0.4262,0.4262,712800
1970-04-07,0.4262,0.4278,0.4230,0.4278,705600
1970-04-08,0.4278,0.4380,0.4278,0.4380,684000
1970-04-09,0.4380,0.4455,0.4284,0.4294,2959200
1970-04-10,0.4294,0.4316,0.4278,0.4289,871200
1970-04-13,0.4289,0.4294,0.4198,0.4230,986400
1970-04-14,0.4230,0.4262,0.4144,0.4241,1576800
1970-04-15,0.4241,0.4380,0.4241,0.4262,799200
1970-04-16,0.4262,0.4284,0.4182,0.4198,1274400
1970-04-17,0.4171,0.4171,0.4101,0.4134,1591200
1970-04-20,0.4134,0.4198,0.4112,0.4155,763200
1970-04-21,0.4155,0.4262,0.4080,0.4134,1101600
1970-04-22,0.4134,0.4176,0.4069,0.4091,1044000
1970-04-23,0.4069,0.4069,0.3946,0.3968,1663200
1970-04-24,0.3984,0.4021,0.3984,0.4000,1166400
1970-04-27,0.4000,0.4048,0.4000,0.4027,669600
1970-04-28,0.4027,0.4064,0.3984,0.3994,1620000
1970-04-29,0.3994,0.4101,0.3962,0.4069,2188800
1970-04-30,0.4069,0.4085,0.4016,0.4037,1656000
1970-05-01,0.4037,0.4048,0.4005,0.4032,1080000
1970-05-04,0.4005,0.4005,0.3898,0.3952,2692800
1970-05-05,0.3952,0.3962,0.3882,0.3935,1836000
1970-05-06,0.3935,0.4016,0.3909,0.3941,1324800
1970-05-07,0.3941,0.3989,0.3898,0.3941,705600
1970-05-08,0.3941,0.3978,0.3903,0.3919,1195200
1970-05-11,0.3919,0.3957,0.3919,0.3925,554400
1970-05-12,0.3925,0.3984,0.3925,0.3930,1353600
1970-05-13,0.3887,0.3887,0.3855,0.3887,1872000
1970-05-14,0.3887,0.3898,0.3780,0.3850,1303200
1970-05-15,0.3850,0.3892,0.3812,0.3892,1641600
1970-05-18,0.3892,0.3892,0.3866,0.3887,2030400
1970-05-19,0.3887,0.3914,0.3818,0.3818,633600
1970-05-20,0.3812,0.3812,0.3727,0.3727,813600
1970-05-21,0.3727,0.3727,0.3555,0.3577,3830400
1970-05-22,0.3577,0.3630,0.3523,0.3566,2008800
1970-05-25,0.3566,0.3587,0.3513,0.3539,1065600
1970-05-26,0.3529,0.3529,0.3373,0.3373,5824800
1970-05-27,0.3373,0.3513,0.3373,0.3513,2347200
1970-05-28,0.3534,0.3625,0.3534,0.3609,1684800
1970-05-29,0.3609,0.3641,0.3582,0.3598,2476800
1970-06-01,0.3620,0.3679,0.3620,0.3673,1072800
1970-06-02,0.3684,0.3727,0.3684,0.3727,1101600
1970-06-03,0.3727,0.3785,0.3727,0.3785,972000
1970-06-04,0.3785,0.3812,0.3727,0.3727,1850400
1970-06-05,0.3727,0.3743,0.3641,0.3710,1670400
1970-06-08,0.3710,0.3791,0.3684,0.3770,957600
1970-06-09,0.3770,0.3823,0.3770,0.3812,756000
1970-06-10,0.3812,0.3834,0.3748,0.3785,972000
1970-06-11,0.3785,0.3785,0.3695,0.3700,964800
1970-06-12,0.3700,0.3722,0.3684,0.3700,878400
1970-06-15,0.3700,0.3780,0.3689,0.3753,748800
1970-06-16,0.3759,0.3871,0.3759,0.3871,864000
1970-06-17,0.3871,0.3919,0.3866,0.3882,1692000
1970-06-18,0.3882,0.3935,0.3866,0.3930,633600
1970-06-19,0.3930,0.3957,0.3919,0.3957,1065600
1970-06-22,0.3957,0.3962,0.3935,0.3962,705600
1970-06-23,0.3946,0.3946,0.3770,0.3785,842400
1970-06-24,0.3785,0.3785,0.3753,0.3764,1814400
1970-06-25,0.3764,0.3780,0.3753,0.3764,640800
1970-06-26,0.3764,0.3764,0.3705,0.3705,914400
1970-06-29,0.3705,0.3705,0.3652,0.3673,813600
1970-06-30,0.3695,0.3748,0.3695,0.3732,712800
1970-07-01,0.3732,0.3770,0.3716,0.3770,748800
1970-07-02,0.3770,0.3834,0.3727,0.3727,1778400
1970-07-06,0.3727,0.3759,0.3673,0.3679,957600
1970-07-07,0.3679,0.3722,0.3636,0.3705,1324800
1970-07-08,0.3705,0.3753,0.3673,0.3737,1339200
1970-07-09,0.3759,0.3791,0.3759,0.3775,1756800
1970-07-10,0.3775,0.3829,0.3759,0.3807,1087200
1970-07-13,0.3807,0.3823,0.3791,0.3812,1353600
1970-07-14,0.3812,0.3834,0.3791,0.3812,1663200
1970-07-15,0.3812,0.3829,0.3802,0.3823,770400
1970-07-16,0.3823,0.3855,0.3823,0.3855,489600
1970-07-17,0.3855,0.3978,0.3850,0.3978,1029600
1970-07-20,0.3978,0.4048,0.3973,0.3984,511200
1970-07-21,0.3984,0.4005,0.3946,0.3962,820800
1970-07-22,0.3957,0.3957,0.3898,0.3919,1058400
1970-07-23,0.3919,0.3952,0.3855,0.3919,1360800
1970-07-24,0.3919,0.3941,0.3909,0.3941,396000
1970-07-27,0.3941,0.3957,0.3919,0.3941,417600
1970-07-28,0.3930,0.3930,0.3898,0.3903,410400
1970-07-29,0.3855,0.3855,0.3555,0.3577,9187200
1970-07-30,0.3577,0.3587,0.3390,0.3529,14076000
1970-07-31,0.3529,0.3555,0.3448,0.3470,3895200
1970-08-03,0.3470,0.3523,0.3427,0.3438,4960800
1970-08-04,0.3539,0.3598,0.3539,0.3572,6703200
1970-08-05,0.3572,0.3598,0.3555,0.3566,2671200
1970-08-06,0.3566,0.3577,0.3545,0.3555,2030400
1970-08-07,0.3555,0.3566,0.3470,0.3470,1346400
1970-08-10,0.3470,0.3491,0.3427,0.3443,684000
1970-08-11,0.3443,0.3453,0.3384,0.3384,1972800
1970-08-12,0.3384,0.3384,0.3320,0.3320,2181600
1970-08-13,0.3320,0.3320,0.3148,0.3175,3045600
1970-08-14,0.3175,0.3234,0.3175,0.3207,1087200
1970-08-17,0.3213,0.3314,0.3213,0.3314,1116000
1970-08-18,0.3341,0.3405,0.3341,0.3363,741600
1970-08-19,0.3363,0.3416,0.3320,0.3330,1008000
1970-08-20,0.3325,0.3325,0.3240,0.3325,878400
1970-08-21,0.3325,0.3373,0.3277,0.3373,1440000
1970-08-24,0.3373,0.3416,0.3352,0.3395,1857600
1970-08-25,0.3395,0.3448,0.3395,0.3427,1274400
1970-08-26,0.3427,0.3448,0.3427,0.3427,950400
1970-08-27,0.3427,0.3448,0.3405,0.3416,1483200
1970-08-28,0.3416,0.3422,0.3373,0.3379,482400
1970-08-31,0.3379,0.3427,0.3368,0.3427,914400
1970-09-01,0.3427,0.3427,0.3395,0.3405,957600
1970-09-02,0.3405,0.3438,0.3400,0.3438,568800
1970-09-03,0.3448,0.3545,0.3448,0.3534,1411200
1970-09-04,0.3534,0.3587,0.3513,0.3577,2606400
1970-09-08,0.3577,0.3598,0.3560,0.3577,828000
1970-09-09,0.3577,0.3593,0.3513,0.3513,1562400
1970-09-10,0.3513,0.3555,0.3496,0.3550,1029600
1970-09-11,0.3560,0.3582,0.3560,0.3572,676800
1970-09-14,0.3572,0.3593,0.3555,0.3577,806400
1970-09-15,0.3577,0.3577,0.3502,0.3502,2865600
1970-09-16,0.3502,0.3598,0.3496,0.3598,856800
1970-09-17,0.3603,0.3636,0.3603,0.3614,1533600
1970-09-18,0.3614,0.3641,0.3603,0.3641,1188000
1970-09-21,0.3641,0.3646,0.3587,0.3625,842400
1970-09-22,0.3625,0.3679,0.3625,0.3673,856800
1970-09-23,0.3673,0.3770,0.3652,0.3759,1101600
1970-09-24,0.3759,0.3834,0.3673,0.3743,1735200
1970-09-25,0.3743,0.3770,0.3695,0.3737,1353600
1970-09-28,0.3737,0.3753,0.3727,0.3748,813600
1970-09-29,0.3748,0.3780,0.3705,0.3722,3981600
1970-09-30,0.3748,0.3791,0.3748,0.3791,1526400
1970-10-01,0.3791,0.3796,0.3727,0.3748,1468800
1970-10-02,0.3753,0.3802,0.3753,0.3802,1778400
1970-10-05,0.3802,0.3829,0.3791,0.3829,1987200
1970-10-06,0.3844,0.3898,0.3844,0.3887,1641600
1970-10-07,0.3887,0.3892,0.3834,0.3887,1332000
1970-10-08,0.3882,0.3882,0.3850,0.3855,1173600
1970-10-09,0.3855,0.3855,0.3812,0.3855,727200
1970-10-12,0.3839,0.3839,0.3727,0.3748,1144800
1970-10-13,0.3748,0.3764,0.3743,0.3753,576000
1970-10-14,0.3753,0.3759,0.3705,0.3727,734400
1970-10-15,0.3727,0.3759,0.3727,0.3737,820800
1970-10-16,0.3722,0.3722,0.3684,0.3684,633600
1970-10-19,0.3684,0.3705,0.3679,0.3705,2116800
1970-10-20,0.3705,0.3716,0.3684,0.3710,878400
1970-10-21,0.3748,0.3812,0.3748,0.3791,1224000
1970-10-22,0.3791,0.3807,0.3684,0.3716,3204000
1970-10-23,0.3716,0.3759,0.3716,0.3759,446400
1970-10-26,0.3759,0.3770,0.3737,0.3737,1072800
1970-10-27,0.3722,0.3722,0.3684,0.3710,1008000
1970-10-28,0.3710,0.3727,0.3673,0.3710,684000
1970-10-29,0.3710,0.3748,0.3700,0.3732,1137600
1970-10-30,0.3732,0.3748,0.3722,0.3748,849600
1970-11-02,0.3748,0.3791,0.3748,0.3770,561600
1970-11-03,0.3780,0.3823,0.3780,0.3812,244800
1970-11-04,0.3812,0.3855,0.3812,0.3834,1144800
1970-11-05,0.3834,0.3877,0.3807,0.3855,907200
1970-11-06,0.3855,0.3877,0.3850,0.3866,777600
1970-11-09,0.3866,0.3887,0.3834,0.3877,993600
1970-11-10,0.3855,0.3855,0.3812,0.3855,1692000
1970-11-11,0.3855,0.3861,0.3812,0.3834,331200
1970-11-12,0.3834,0.3850,0.3802,0.3812,756000
1970-11-13,0.3807,0.3807,0.3759,0.3785,1130400
1970-11-16,0.3785,0.3802,0.3775,0.3802,864000
1970-11-17,0.3802,0.3823,0.3796,0.3802,590400
1970-11-18,0.3802,0.3812,0.3780,0.3785,1008000
1970-11-19,0.3785,0.3785,0.3759,0.3785,943200
1970-11-20,0.3775,0.3775,0.3716,0.3770,993600
1970-11-23,0.3770,0.3775,0.3737,0.3770,655200
1970-11-24,0.3770,0.3791,0.3748,0.3780,1022400
1970-11-25,0.3780,0.3785,0.3759,0.3770,1180800
1970-11-27,0.3770,0.3770,0.3753,0.3770,568800
1970-11-30,0.3770,0.3802,0.3770,0.3791,979200
1970-12-01,0.3791,0.3802,0.3764,0.3775,1130400
1970-12-02,0.3775,0.3791,0.3764,0.3791,1382400
1970-12-03,0.3812,0.3871,0.3812,0.3871,2152800
1970-12-04,0.3871,0.3952,0.3871,0.3935,2966400
1970-12-07,0.3935,0.3978,0.3930,0.3930,1792800
1970-12-08,0.3930,0.4027,0.3925,0.4027,2253600
1970-12-09,0.4027,0.4069,0.3994,0.4032,1072800
1970-12-10,0.4027,0.4027,0.4000,0.4011,525600
1970-12-11,0.4011,0.4048,0.4011,0.4027,1188000
1970-12-14,0.4027,0.4027,0.3973,0.3989,1425600
1970-12-15,0.3989,0.4005,0.3973,0.3984,1022400
1970-12-16,0.3984,0.3989,0.3962,0.3978,849600
1970-12-17,0.3978,0.4016,0.3973,0.4016,676800
1970-12-18,0.4016,0.4064,0.3973,0.3984,1382400
1970-12-21,0.3984,0.4000,0.3962,0.3984,727200
1970-12-22,0.3984,0.4005,0.3952,0.3978,1418400
1970-12-23,0.3978,0.4000,0.3973,0.3984,1173600
1970-12-24,0.3984,0.4016,0.3984,0.3989,748800
1970-12-28,0.3989,0.4027,0.3989,0.4021,1166400
1970-12-29,0.4048,0.4096,0.4048,0.4080,676800
1970-12-30,0.4080,0.4171,0.4080,0.4171,871200
1970-12-31,0.4171,0.4241,0.4166,0.4241,950400
1971-01-04,0.4155,0.4155,0.4059,0.4069,1267200
1971-01-05,0.4069,0.4085,0.4059,0.4069,424800
1971-01-06,0.4069,0.4075,0.4059,0.4069,1029600
1971-01-07,0.4069,0.4085,0.4048,0.4075,698400
1971-01-08,0.4075,0.4075,0.4042,0.4069,1476000
1971-01-11,0.4069,0.4075,0.4048,0.4075,633600
1971-01-12,0.4075,0.4101,0.4075,0.4101,1166400
1971-01-13,0.4101,0.4112,0.4091,0.4101,1000800
1971-01-14,0.4101,0.4123,0.4080,0.4123,482400
1971-01-15,0.4128,0.4198,0.4128,0.4171,1188000
1971-01-18,0.4171,0.4187,0.4118,0.4118,4118400
1971-01-19,0.4118,0.4155,0.4085,0.4134,712800
1971-01-20,0.4134,0.4166,0.4128,0.4166,432000
1971-01-21,0.4166,0.4209,0.4161,0.4198,1188000
1971-01-22,0.4209,0.4235,0.4209,0.4219,1288800
1971-01-25,0.4219,0.4235,0.4166,0.4187,1504800
1971-01-26,0.4187,0.4198,0.4155,0.4187,3765600
1971-01-27,0.4155,0.4155,0.4080,0.4123,1411200
1971-01-28,0.4123,0.4166,0.4101,0.4112,756000
1971-01-29,0.4107,0.4107,0.4048,0.4080,1411200
1971-02-01,0.4080,0.4112,0.4059,0.4069,2304000
1971-02-02,0.4091,0.4144,0.4091,0.4134,820800
1971-02-03,0.4123,0.4123,0.4096,0.4112,741600
1971-02-04,0.4112,0.4166,0.4112,0.4166,1180800
1971-02-05,0.4166,0.4209,0.4155,0.4187,1339200
1971-02-08,0.4187,0.4193,0.4155,0.4176,777600
1971-02-09,0.4176,0.4219,0.4171,0.4198,2318400
1971-02-10,0.4209,0.4289,0.4209,0.4289,1245600
1971-02-11,0.4289,0.4311,0.4262,0.4284,849600
1971-02-12,0.4284,0.4284,0.4219,0.4241,568800
1971-02-16,0.4241,0.4273,0.4176,0.4198,1310400
1971-02-17,0.4198,0.4235,0.4198,0.4209,734400
1971-02-18,0.4209,0.4230,0.4193,0.4214,3016800
1971-02-19,0.4214,0.4214,0.4155,0.4161,518400
1971-02-22,0.4161,0.4161,0.4085,0.4085,1404000
1971-02-23,0.4085,0.4123,0.4059,0.4123,1209600
1971-02-24,0.4123,0.4128,0.4048,0.4080,1461600
1971-02-25,0.4080,0.4123,0.4069,0.4123,1886400
1971-02-26,0.4123,0.4123,0.4091,0.4123,1432800
1971-03-01,0.4123,0.4139,0.4101,0.4128,1000800
1971-03-02,0.4128,0.4128,0.4080,0.4091,1008000
1971-03-03,0.4091,0.4112,0.4069,0.4080,1958400
1971-03-04,0.4085,0.4101,0.4085,0.4101,1231200
1971-03-05,0.4101,0.4123,0.4091,0.4091,2044800
1971-03-08,0.4091,0.4139,0.4069,0.4085,2541600
1971-03-09,0.4085,0.4091,0.4069,0.4069,1497600
1971-03-10,0.4069,0.4101,0.4069,0.4069,914400
1971-03-11,0.4069,0.4107,0.4048,0.4080,1634400
1971-03-12,0.4085,0.4107,0.4085,0.4107,928800
1971-03-15,0.4107,0.4176,0.4107,0.4176,2469600
1971-03-16,0.4209,0.4278,0.4209,0.4241,2628000
1971-03-17,0.4241,0.4273,0.4230,0.4251,748800
1971-03-18,0.4251,0.4273,0.4230,0.4273,1036800
1971-03-19,0.4273,0.4278,0.4241,0.4257,1317600
1971-03-22,0.4257,0.4289,0.4257,0.4289,720000
1971-03-23,0.4289,0.4311,0.4267,0.4284,1303200
1971-03-24,0.4284,0.4284,0.4219,0.4251,1382400
1971-03-25,0.4251,0.4262,0.4209,0.4235,1382400
1971-03-26,0.4235,0.4241,0.4155,0.4198,1000800
1971-03-29,0.4198,0.4224,0.4198,0.4224,1216800
1971-03-30,0.4235,0.4337,0.4235,0.4326,1144800
1971-03-31,0.4326,0.4348,0.4284,0.4289,1000800
1971-04-01,0.4289,0.4326,0.4278,0.4311,770400
1971-04-02,0.4311,0.4348,0.4305,0.4348,4989600
1971-04-05,0.4348,0.4423,0.4311,0.4326,1360800
1971-04-06,0.4326,0.4369,0.4294,0.4337,727200
1971-04-07,0.4337,0.4359,0.4284,0.4300,2023200
1971-04-08,0.4289,0.4289,0.4198,0.4251,972000
1971-04-12,0.4251,0.4294,0.4251,0.4284,1188000
1971-04-13,0.4284,0.4321,0.4284,0.4321,655200
