Date,Open,High,Low,Close,Volume
2007-11-15,20.5504,25.4200,19.7105,23.3203,11770500
2007-11-16,22.6055,23.2131,20.9972,22.3017,1242900
2007-11-19,21.9711,23.0075,21.9175,23.0075,469500
2007-11-20,23.2309,26.0982,22.5697,24.4103,522200
2007-11-21,23.8206,24.2406,23.1773,23.8117,167500
2007-11-23,24.7409,25.3128,23.9636,24.4818,100700
2007-11-26,24.8750,26.3492,24.5980,24.8392,438300
2007-11-27,25.3038,25.6880,23.4811,24.1065,305800
2007-11-28,24.2584,24.6784,23.8385,24.3925,273600
2007-11-29,24.0083,25.0090,23.7670,24.3925,110600
2007-11-30,24.7052,25.6434,24.2138,24.7052,524000
2007-12-03,24.7052,25.1966,24.4818,24.9911,83600
2007-12-04,24.3389,26.5815,24.3389,26.2241,387400
2007-12-05,29.1995,29.1995,25.8131,26.1616,207200
2007-12-06,25.9114,26.2867,25.4111,25.8310,97700
2007-12-07,25.8310,26.0008,25.4647,25.8042,82500
2007-12-10,25.5451,26.7602,25.5451,25.9114,177900
2007-12-11,25.6880,26.2688,25.2413,25.9114,236200
2007-12-12,25.8935,26.2331,25.2860,25.4468,64700
2007-12-13,24.9554,25.9114,24.9554,25.8578,78000
2007-12-14,25.6702,25.8578,25.3128,25.6612,118200
2007-12-17,24.9643,25.9650,24.7231,25.0000,128600
2007-12-18,25.0983,25.7327,25.0179,25.4647,132400
2007-12-19,25.9025,26.2241,25.5183,25.8667,197600
2007-12-20,25.8935,25.9203,25.8131,25.8131,197800
2007-12-21,26.3403,30.6738,26.2688,30.1287,498600
2007-12-24,29.6284,30.7363,29.0833,30.3074,142000
2007-12-26,31.2903,32.1659,30.2002,30.6916,228300
2007-12-27,30.3789,33.2269,30.2002,32.6573,194600
2007-12-28,33.1755,34.1941,32.1660,33.3453,165900
2007-12-31,33.4168,34.3103,32.1659,34.3103,136200
2008-01-02,32.9968,33.9082,29.5882,30.2449,442900
2008-01-03,30.2449,30.2449,27.3053,27.5108,395900
2008-01-04,25.6791,27.6984,25.1162,26.9389,354100
2008-01-07,26.5369,26.5815,24.7945,25.1430,383000
2008-01-08,24.8482,25.1519,23.2399,23.7938,183900
2008-01-09,24.3925,26.5815,22.1052,24.8035,383400
2008-01-10,25.7506,28.0558,23.9457,26.4833,531500
2008-01-11,26.4386,29.2799,26.0990,27.1891,121900
2008-01-14,26.9300,27.2517,26.5815,27.2517,198300
2008-01-15,27.2695,27.6359,26.5547,27.4393,74200
2008-01-16,27.3410,27.4840,25.4647,26.1795,123700
2008-01-17,25.9114,26.3135,25.6009,25.9025,122400
2008-01-18,26.3492,26.5815,25.9114,26.1973,238900
2008-01-22,24.8839,26.0901,24.4193,25.8221,193000
2008-01-23,25.9025,29.0118,25.3574,27.8414,193100
2008-01-24,27.6984,29.4854,27.0193,28.7438,305000
2008-01-25,28.9493,29.1101,27.8146,28.3953,148700
2008-01-28,27.7073,30.3789,26.8317,29.5390,222500
2008-01-29,29.1369,29.8964,28.9046,29.2888,142600
2008-01-30,29.1459,29.4854,27.6984,29.2174,117300
2008-01-31,28.9582,29.4854,28.6813,29.4586,114800
2008-02-01,29.0387,32.1391,28.9493,30.9150,134600
2008-02-04,31.0580,31.1830,29.4854,29.9143,75300
2008-02-05,29.1101,29.9143,28.5740,29.3692,109100
2008-02-06,28.6544,29.2352,27.7788,28.0290,146000
2008-02-07,28.1452,28.5919,26.3760,26.5458,128000
2008-02-08,26.9389,27.9933,26.9300,27.9933,103400
2008-02-11,28.1183,28.5472,27.6984,28.0826,94600
2008-02-12,28.0022,28.5383,27.1891,27.9665,147800
2008-02-13,27.9575,30.2627,27.8771,30.2270,114200
2008-02-14,29.9500,30.2002,28.7259,29.7356,103100
2008-02-15,28.8957,29.7713,27.0998,28.3596,142700
2008-02-19,28.6455,28.9850,27.1239,28.6813,183500
2008-02-20,28.6366,30.6827,27.6448,28.7795,181300
2008-02-21,28.8242,30.3700,28.2345,30.0215,207100
2008-02-22,30.4236,30.5129,29.0208,30.1377,123500
2008-02-25,30.4682,30.5308,29.3514,29.5658,158500
2008-02-26,29.6998,31.5941,29.1459,30.3074,186100
2008-02-27,30.0662,30.6380,27.9843,28.5919,220300
2008-02-28,29.0833,29.0833,26.0722,27.7788,344100
2008-02-29,28.9136,28.9136,26.2063,26.5637,216900
2008-03-03,26.5815,27.1176,25.2770,25.9740,188100
2008-03-04,24.8571,26.6888,24.2942,26.2331,177400
2008-03-05,26.7334,28.6813,26.5547,28.2792,221400
2008-03-06,28.2702,28.4489,26.4118,26.6798,214800
2008-03-07,26.5905,26.9925,23.6509,25.2502,268800
2008-03-10,25.3664,25.3664,23.9815,24.1334,85800
2008-03-11,24.5622,27.1087,24.3478,27.0640,166300
2008-03-12,26.8585,27.6984,26.4475,26.6530,194800
2008-03-13,26.4475,27.1266,25.6970,26.7513,176700
2008-03-14,26.7513,26.7513,23.4543,23.9993,306100
2008-03-17,23.5258,23.7134,20.8095,21.0597,367900
2008-03-18,23.0344,24.6069,21.2027,24.1244,563900
2008-03-19,23.7849,24.7945,23.1416,23.8474,275700
2008-03-20,23.6241,25.2055,23.1416,25.2055,171400
2008-03-24,25.3396,27.6180,25.2145,26.8675,219600
2008-03-25,26.5726,27.6091,25.5719,27.1534,163400
2008-03-26,27.2427,27.5108,26.2688,26.2777,242400
2008-03-27,26.5369,27.5644,26.2063,26.5369,173700
2008-03-28,26.4475,28.1452,26.2509,27.9218,137600
2008-03-31,27.6180,27.6180,25.0805,26.5815,230600
2008-04-01,26.6441,28.1541,26.5011,27.6001,116300
2008-04-02,27.6984,28.8153,26.5190,28.3864,128100
2008-04-03,28.2345,29.4318,27.4304,28.6187,108400
