Date,Open,High,Low,Close,Volume
1989-05-16,2.3574,2.3699,2.2496,2.2727,13134800
1989-05-17,2.2977,2.3930,2.2727,2.3333,8472000
1989-05-18,2.3574,2.3574,2.3092,2.3208,4792800
1989-05-19,2.3333,2.3930,2.3208,2.3208,6996800
1989-05-22,2.3458,2.4411,2.3333,2.4180,9036800
1989-05-23,2.4295,2.4411,2.3930,2.4180,9790800
1989-05-24,2.4055,2.4180,2.3699,2.3930,3296800
1989-05-25,2.3814,2.4180,2.2977,2.3208,4442800
1989-05-26,2.3208,2.4055,2.2977,2.3930,4432800
1989-05-30,2.4055,2.4180,2.3208,2.3333,2760000
1989-05-31,2.3333,2.3814,2.3208,2.3574,2776000
1989-06-01,2.3574,2.4180,2.3574,2.4055,2788800
1989-06-02,2.4055,2.4180,2.3333,2.3458,3970800
1989-06-05,2.3458,2.3574,2.2611,2.2611,3878800
1989-06-06,2.2496,2.2852,2.1890,2.2130,6526000
1989-06-07,2.2371,2.2611,2.2246,2.2496,4446000
1989-06-08,2.2496,2.3574,2.2496,2.3208,5568000
1989-06-09,2.2977,2.4295,2.2977,2.4180,9040800
1989-06-12,2.4295,2.4776,2.4180,2.4536,7034800
1989-06-13,2.3930,2.4055,2.3458,2.3814,3244000
1989-06-14,2.4055,2.4295,2.3574,2.3699,2004800
1989-06-15,2.3930,2.3930,2.2371,2.2496,5796000
1989-06-16,2.2005,2.2977,2.1649,2.2246,5288800
1989-06-19,2.2246,2.2246,2.1053,2.1524,9342800
1989-06-20,2.1524,2.1774,2.0206,2.0206,4832800
1989-06-21,2.0090,2.1168,1.9965,2.0572,4722000
1989-06-22,2.0572,2.0928,2.0321,2.0572,1516800
1989-06-23,2.0928,2.1409,2.0928,2.1293,4204000
1989-06-26,2.1409,2.1649,2.1293,2.1409,3200000
1989-06-27,2.1524,2.1890,2.0446,2.0572,3488800
1989-06-28,2.0090,2.0206,1.9119,1.9244,11654800
1989-06-29,1.9119,1.9244,1.7800,1.8041,12000800
1989-06-30,1.7800,1.8041,1.6838,1.7800,9602000
1989-07-03,1.7800,1.7916,1.7319,1.7800,2114800
