Date,Open,High,Low,Close,Volume
2002-07-01,4.0397,4.0397,4.0397,4.0397,3900
2002-07-02,4.1743,4.4436,4.0397,4.0747,21000
2002-07-03,3.7703,4.3090,3.7703,4.0397,30600
2002-07-05,4.0397,4.0397,4.0397,4.0397,1500
2002-07-08,3.7703,3.7703,3.7703,3.7703,900
2002-07-09,3.7703,4.1743,3.7703,4.1743,6900
2002-07-10,3.7030,4.1743,3.7030,4.1743,1500
2002-07-11,4.1743,4.1743,4.1743,4.1743,0
2002-07-12,4.0397,4.0397,4.0397,4.0397,300
2002-07-15,3.9723,3.9723,3.3664,3.4337,128100
2002-07-16,3.4337,3.4337,3.3664,3.3664,17700
2002-07-17,3.3664,3.3664,3.2990,3.3664,7200
2002-07-18,3.3125,3.3125,3.1644,3.1644,4200
2002-07-19,3.1240,3.1240,2.7066,2.8278,32100
2002-07-22,2.8278,2.8278,2.6931,2.7470,13800
2002-07-23,2.7470,2.7470,2.7470,2.7470,300
2002-07-24,2.7470,2.8278,2.7470,2.8278,6600
2002-07-25,2.7335,2.8278,2.7335,2.7335,3900
2002-07-26,2.7335,2.7335,2.7335,2.7335,0
2002-07-29,2.8278,2.9893,2.8143,2.9893,12300
2002-07-30,3.0297,3.1913,3.0297,3.0971,26700
2002-07-31,3.2048,3.2317,3.1644,3.2317,15000
2002-08-01,3.1779,3.2048,3.1779,3.1779,12900
2002-08-02,3.1779,3.1779,3.1779,3.1779,0
2002-08-05,3.2048,3.2317,3.1913,3.1913,85800
2002-08-06,3.2317,3.2317,3.2317,3.2317,30000
2002-08-07,3.2263,3.2452,3.2183,3.2452,13200
2002-08-08,3.2587,3.2587,3.2452,3.2587,36900
2002-08-09,3.2721,3.2721,3.2721,3.2721,10200
2002-08-12,3.2721,3.2721,3.2587,3.2721,73200
2002-08-13,3.2856,3.2856,3.2587,3.2856,11700
2002-08-14,3.2721,3.2856,3.2721,3.2856,11100
2002-08-15,3.2721,3.2721,3.2587,3.2587,2100
2002-08-16,3.2317,3.2721,3.2317,3.2721,25800
2002-08-19,3.2721,3.2721,3.1375,3.1375,26100
2002-08-20,3.1240,3.1240,3.1240,3.1240,300
2002-08-21,3.2048,3.2317,3.1644,3.1644,49200
2002-08-22,3.1644,3.1644,2.9624,2.9624,106500
2002-08-23,2.9624,2.9893,2.9624,2.9893,11100
2002-08-26,2.9624,2.9624,2.9220,2.9274,35700
2002-08-27,2.9220,2.9624,2.8304,2.8304,71700
2002-08-28,2.8278,2.8278,2.6931,2.7200,74100
2002-08-29,2.7470,2.7470,2.7200,2.7470,25500
2002-08-30,2.7739,2.7739,2.6931,2.6931,12600
2002-09-03,2.6796,2.6931,2.5046,2.6662,24000
2002-09-04,2.5180,2.5584,2.3969,2.5046,267300
2002-09-05,2.5046,2.5046,2.5046,2.5046,9300
2002-09-06,2.5046,2.6123,2.5046,2.6123,91200
2002-09-09,2.6258,2.6662,2.6123,2.6392,78000
2002-09-10,2.6662,2.6796,2.6446,2.6662,108600
2002-09-11,2.6931,2.7066,2.6662,2.7066,7200
2002-09-12,2.7200,2.7200,2.6662,2.6662,12000
2002-09-13,2.6662,2.6769,2.6662,2.6769,8400
2002-09-16,2.6769,2.6931,2.6527,2.6931,30900
2002-09-17,2.6258,2.6662,2.6258,2.6662,14400
2002-09-18,2.6581,2.6581,2.6581,2.6581,4500
2002-09-19,2.6392,2.6392,2.6392,2.6392,18600
2002-09-20,2.5988,2.5988,2.5315,2.5315,8100
2002-09-23,2.6258,2.6258,2.6123,2.6123,3600
2002-09-24,2.5315,2.5315,2.5315,2.5315,6000
2002-09-25,2.5854,2.6123,2.5584,2.5854,21000
2002-09-26,2.6123,2.6123,2.6123,2.6123,3000
2002-09-27,2.5854,2.5854,2.5046,2.5558,18600
2002-09-30,2.5046,2.5180,2.5046,2.5180,9300
2002-10-01,2.5584,2.5584,2.5584,2.5584,6000
2002-10-02,2.5584,2.5584,2.5046,2.5504,26100
2002-10-03,2.5719,2.5719,2.5719,2.5719,300
2002-10-04,2.5719,2.5719,2.5719,2.5719,1500
2002-10-07,2.5315,2.5584,2.5315,2.5584,3000
2002-10-08,2.5046,2.5046,2.4911,2.4911,9600
2002-10-09,2.4911,2.5046,2.4238,2.4238,57300
2002-10-10,2.4238,2.4238,2.4238,2.4238,9000
2002-10-11,2.4507,2.4507,2.4103,2.4238,59700
2002-10-14,2.4103,2.4238,2.3969,2.4211,40500
2002-10-15,2.3699,2.3699,2.2757,2.3295,70800
2002-10-16,2.2757,2.2891,2.2218,2.2487,44100
