Date,Open,High,Low,Close,Volume
1990-03-26,3.8515,3.8515,3.8515,3.8515,2400
1990-03-27,3.9293,3.9293,3.8515,3.9293,4800
1990-03-28,3.9293,3.9293,3.8515,3.9293,32800
1990-03-29,3.8710,3.8710,3.8710,3.8710,800
1990-03-30,3.8904,3.9682,3.8904,3.9293,118400
1990-04-02,3.8904,3.8904,3.8515,3.8904,55200
1990-04-03,3.9099,3.9293,3.8515,3.8515,2400
1990-04-04,3.8515,3.8811,3.8126,3.8515,207200
1990-04-05,3.8126,3.8126,3.7737,3.7737,103200
1990-04-06,3.7737,3.8710,3.7737,3.8710,20000
1990-04-09,3.7737,3.8515,3.7737,3.8515,28000
1990-04-10,3.7737,3.8515,3.7737,3.8515,4000
1990-04-11,3.7737,3.7737,3.7737,3.7737,15200
1990-04-12,3.7737,3.8321,3.7737,3.7931,118400
1990-04-16,3.7737,3.8515,3.7737,3.7737,11200
1990-04-17,3.7737,3.7737,3.7737,3.7737,10400
1990-04-18,3.8515,3.8515,3.7348,3.7348,59200
1990-04-19,3.7737,3.7737,3.6959,3.6959,56000
1990-04-20,3.6959,3.7348,3.6959,3.7348,418400
1990-04-23,3.6959,3.6959,3.6959,3.6959,12000
1990-04-24,3.6959,3.7737,3.6959,3.6959,25600
1990-04-25,3.6959,3.7737,3.6959,3.7348,51200
1990-04-26,3.6959,3.7348,3.6959,3.6959,46400
1990-04-27,3.6959,3.6959,3.6959,3.6959,2400
1990-04-30,3.6181,3.6959,3.6181,3.6866,14400
1990-05-01,3.6181,3.6959,3.6181,3.6959,80800
1990-05-02,3.6570,3.7348,3.6570,3.6959,458400
1990-05-03,3.6570,3.6959,3.6570,3.6570,23200
1990-05-04,3.7348,3.7348,3.6570,3.6959,33600
1990-05-07,3.6570,3.6959,3.6181,3.6959,10400
1990-05-08,3.6570,3.7348,3.6570,3.7348,5600
1990-05-09,3.7348,3.7348,3.6570,3.6663,27200
1990-05-10,3.6570,3.6959,3.6181,3.6959,104000
1990-05-11,3.7348,3.7348,3.6375,3.7348,500000
1990-05-14,3.6570,3.7348,3.6570,3.6959,16000
1990-05-15,3.6570,3.6570,3.6570,3.6570,2400
1990-05-16,3.6570,3.7153,3.6181,3.6375,150400
1990-05-17,3.5885,3.6274,3.5792,3.5792,163200
1990-05-18,3.5792,3.6570,3.5403,3.6570,137600
1990-05-21,3.5403,3.6570,3.5403,3.5792,208000
1990-05-22,3.6570,3.6570,3.5792,3.5986,202400
1990-05-23,3.5792,3.6570,3.5792,3.6570,138400
1990-05-24,3.5152,3.5933,3.4762,3.5543,312000
1990-05-25,3.5347,3.5347,3.3980,3.3980,152000
1990-05-29,3.3980,3.3980,3.3590,3.3590,36000
1990-05-30,3.3980,3.3980,3.3199,3.3199,261600
1990-05-31,3.3199,3.3590,3.3199,3.3199,308000
1990-06-01,3.3590,3.3590,3.3199,3.3199,344800
1990-06-04,3.3199,3.3590,3.3199,3.3199,113600
1990-06-05,3.3590,3.3980,3.3395,3.3395,184800
1990-06-06,3.3199,3.3199,3.3199,3.3199,1600
1990-06-07,3.3980,3.3980,3.3590,3.3590,149600
1990-06-08,3.3785,3.3785,3.2809,3.3590,28800
1990-06-11,3.2809,3.3590,3.2809,3.2809,86400
1990-06-12,3.2809,3.3199,3.2809,3.3199,33600
1990-06-13,3.2809,3.3395,3.2809,3.3004,139200
1990-06-14,3.2809,3.3590,3.2809,3.2809,105600
1990-06-15,3.2809,3.3590,3.2809,3.2809,8800
1990-06-18,3.3590,3.3590,3.2809,3.3590,24800
1990-06-19,3.3590,3.3590,3.3590,3.3590,1600
1990-06-20,3.3590,3.3590,3.2809,3.2809,19200
1990-06-21,3.2809,3.2809,3.2809,3.2809,15200
1990-06-22,3.2809,3.3590,3.2809,3.2809,237600
1990-06-25,3.3590,3.3590,3.2809,3.2809,429600
1990-06-26,3.3590,3.3590,3.2809,3.2809,224000
1990-06-27,3.3293,3.3293,3.2809,3.2809,306400
1990-06-28,3.3199,3.3199,3.3199,3.3199,142400
1990-06-29,3.2809,3.2809,3.2418,3.2809,82400
1990-07-02,3.2809,3.2809,3.1637,3.1832,58400
1990-07-03,3.1637,3.1637,3.0856,3.0950,94400
1990-07-05,3.1246,3.1637,3.0856,3.1051,336000
1990-07-06,3.1153,3.1246,3.1051,3.1051,82400
1990-07-09,3.1637,3.1637,3.1051,3.1246,55200
1990-07-10,3.1637,3.2418,3.1442,3.1637,55200
1990-07-11,3.1637,3.3004,3.1637,3.3004,41600
1990-07-12,3.3004,3.3004,3.2028,3.3004,35200
1990-07-13,3.3004,3.3004,3.2223,3.2418,12800
1990-07-16,3.2418,3.3004,3.2418,3.2418,17600
1990-07-17,3.2418,3.3199,3.2418,3.2418,94400
1990-07-18,3.3199,3.4762,3.2809,3.3590,65600
1990-07-19,3.3590,3.3590,3.3590,3.3590,2400
1990-07-20,3.3590,3.3590,3.3590,3.3590,4800
1990-07-23,3.3590,3.3590,3.2809,3.2809,36800
1990-07-24,3.2809,3.3590,3.2809,3.3590,29600
1990-07-25,3.3590,3.3590,3.3199,3.3590,8000
1990-07-26,3.3590,3.3590,3.2809,3.2809,12000
1990-07-27,3.2809,3.3199,3.2809,3.3199,21600
1990-07-30,3.3199,3.3199,3.2809,3.3199,8800
1990-07-31,3.3199,3.3199,3.2809,3.2809,26400
1990-08-01,3.3199,3.3199,3.2809,3.2809,81600
1990-08-02,3.2809,3.2809,3.2028,3.2418,58400
1990-08-03,3.2028,3.2028,3.1246,3.1442,269600
1990-08-06,3.1442,3.1543,3.0856,3.0856,43200
1990-08-07,3.0856,3.1246,3.0465,3.0465,88000
1990-08-08,3.1153,3.1637,3.0856,3.1051,180000
1990-08-09,3.1832,3.1832,3.1246,3.1246,32000
1990-08-10,3.1246,3.1246,3.0856,3.1246,60000
1990-08-13,3.0270,3.1246,3.0270,3.0270,25600
1990-08-14,3.1051,3.1051,3.0270,3.0270,24000
1990-08-15,3.0270,3.0270,3.0270,3.0270,2400
1990-08-16,3.0856,3.1051,3.0270,3.0270,81600
1990-08-17,3.0075,3.0465,2.9684,2.9684,102400
1990-08-20,2.9489,2.9489,2.9293,2.9293,52800
1990-08-21,2.8903,2.9293,2.6950,2.7341,204000
1990-08-22,2.7731,2.7731,2.7145,2.7145,10400
1990-08-23,2.7145,2.7926,2.7145,2.7145,226400
1990-08-24,2.6755,2.7926,2.6263,2.6950,542400
1990-08-27,2.7676,2.7676,2.6499,2.7676,56800
1990-08-28,2.7676,2.8069,2.7088,2.7088,98400
1990-08-29,2.7088,2.7088,2.7088,2.7088,800
1990-08-30,2.7088,2.7779,2.7088,2.7386,172000
1990-08-31,2.8069,2.8069,2.8069,2.8069,8800
1990-09-04,2.7386,2.8069,2.7284,2.7284,32800
