Date,Open,High,Low,Close,Volume
1983-06-10,0.5024,0.5042,0.5007,0.5042,4800000
1983-06-13,0.5059,0.5059,0.5024,0.5059,3688000
1983-06-14,0.5059,0.5130,0.5059,0.5113,2220800
1983-06-15,0.5113,0.5165,0.5094,0.5165,1755200
1983-06-16,0.5165,0.5184,0.5130,0.5130,7256000
1983-06-17,0.5148,0.5148,0.5094,0.5148,1731200
1983-06-20,0.5148,0.5148,0.5094,0.5113,5244800
1983-06-21,0.5094,0.5094,0.5042,0.5077,6344000
1983-06-22,0.5077,0.5094,0.5059,0.5077,3273600
1983-06-23,0.5077,0.5077,0.5042,0.5059,931200
1983-06-24,0.5042,0.5077,0.5042,0.5059,852800
1983-06-27,0.5059,0.5113,0.5042,0.5077,830400
1983-06-28,0.5077,0.5077,0.5024,0.5042,3817600
1983-06-29,0.5024,0.5042,0.5024,0.5042,1097600
1983-06-30,0.5059,0.5077,0.5024,0.5059,3769600
1983-07-01,0.5059,0.5059,0.5024,0.5059,3136000
1983-07-05,0.5024,0.5024,0.4988,0.5007,1369600
1983-07-06,0.4988,0.5024,0.4988,0.5024,2697600
1983-07-07,0.5024,0.5024,0.5007,0.5007,859200
1983-07-08,0.5024,0.5059,0.4953,0.5042,5185600
1983-07-11,0.5059,0.5077,0.5024,0.5024,1008000
1983-07-12,0.5042,0.5077,0.5042,0.5077,2424000
1983-07-13,0.5094,0.5130,0.5094,0.5113,2524800
1983-07-14,0.5113,0.5165,0.5113,0.5148,2827200
1983-07-15,0.5148,0.5165,0.5130,0.5130,542400
1983-07-18,0.5148,0.5165,0.5130,0.5165,2467200
1983-07-19,0.5165,0.5184,0.5148,0.5184,4742400
1983-07-20,0.5219,0.5307,0.5219,0.5271,6601600
1983-07-21,0.5290,0.5290,0.5271,0.5290,1854400
1983-07-22,0.5271,0.5290,0.5236,0.5271,1403200
1983-07-25,0.5271,0.5290,0.5254,0.5271,740800
1983-07-26,0.5271,0.5290,0.5254,0.5290,2251200
1983-07-27,0.5271,0.5290,0.5271,0.5290,1907200
1983-07-28,0.5325,0.5360,0.5271,0.5290,2409600
1983-07-29,0.5307,0.5307,0.5219,0.5271,1264000
1983-08-01,0.5271,0.5307,0.5254,0.5307,2619200
1983-08-02,0.5307,0.5342,0.5271,0.5342,686400
1983-08-03,0.5342,0.5342,0.5290,0.5325,473600
1983-08-04,0.5325,0.5342,0.5271,0.5290,1960000
1983-08-05,0.5271,0.5290,0.5236,0.5254,616000
