Date,Open,High,Low,Close,Volume
1983-04-06,12.4888,12.5167,12.3428,12.4309,94100
1983-04-07,12.4309,12.5167,12.2849,12.5167,42800
1983-04-08,12.2849,12.4888,12.1991,12.4587,161900
1983-04-11,12.5167,12.7484,12.4888,12.7206,274700
1983-04-12,12.8064,12.8643,12.7484,12.7484,117600
1983-04-13,12.8365,12.8945,12.6325,12.6905,202500
1983-04-14,12.7484,12.9223,12.5167,12.9223,247200
1983-04-15,12.9524,12.9524,12.5746,12.6325,413200
1983-04-18,12.8064,12.8643,12.7484,12.7484,129500
1983-04-19,12.7484,12.8064,12.4309,12.4309,264700
1983-04-20,12.5167,12.6905,12.4587,12.6325,63200
1983-04-21,12.7206,12.7206,12.2849,12.5167,312700
1983-04-22,12.5167,12.5167,12.2269,12.3729,133600
1983-04-25,12.6047,12.7484,12.4587,12.5167,118700
1983-04-26,12.6047,12.7484,12.4587,12.7484,62500
1983-04-27,12.6627,12.8064,12.5167,12.6325,898700
1983-04-28,12.6047,12.6905,12.5167,12.6325,166000
1983-04-29,12.4888,12.5167,12.4587,12.5167,135800
1983-05-02,12.4008,12.6047,12.1690,12.4008,464600
1983-05-03,12.5167,12.5746,12.4587,12.5746,108700
1983-05-04,12.7206,12.8643,12.5746,12.7206,483900
1983-05-05,12.6905,12.7484,12.6325,12.6325,748600
1983-05-06,12.5746,12.8643,12.5468,12.8365,282500
1983-05-09,12.7484,13.1541,12.7206,12.9223,497700
1983-05-10,13.0382,13.3859,13.0104,13.3859,528600
1983-05-11,13.3279,13.3859,13.0961,13.0961,256100
1983-05-12,13.2120,13.2120,12.7484,12.9223,919200
1983-05-13,12.8643,13.0382,12.8643,12.9524,168200
1983-05-16,13.0104,13.0104,12.8064,12.8643,110500
1983-05-17,13.0104,13.1541,12.8643,13.1541,225200
1983-05-18,13.2120,13.5319,13.1541,13.3279,394600
1983-05-19,13.5018,13.5319,13.0961,13.3859,221500
1983-05-20,13.2700,13.3580,13.0961,13.1541,215500
1983-05-23,13.2120,13.4438,13.0683,13.3580,127600
1983-05-24,13.3859,13.7915,13.3279,13.7637,277700
1983-05-25,13.9074,13.9074,13.6756,13.7637,276900
1983-05-26,13.8494,13.8796,13.6177,13.6177,217000
1983-05-27,13.6756,13.6756,13.2700,13.2700,168200
1983-05-31,13.3279,13.7335,13.2120,13.2120,123900
1983-06-01,12.8064,13.0961,12.8064,13.0961,352900
1983-06-02,13.2120,13.2120,13.0104,13.0961,69600
1983-06-03,13.1842,13.4438,13.1263,13.3279,194300
1983-06-06,13.2422,13.2422,13.0104,13.0961,56500
1983-06-07,13.0382,13.0382,12.8945,12.9223,87400
1983-06-08,12.9802,12.9802,12.8643,12.9802,148500
1983-06-09,13.0382,13.3859,13.0104,13.3859,168200
1983-06-10,13.3279,13.3859,13.3001,13.3279,78100
1983-06-13,13.3580,13.5018,13.3279,13.4739,69200
1983-06-14,13.4160,13.5319,13.2700,13.2700,167900
1983-06-15,13.2120,13.2700,13.1263,13.2700,65500
1983-06-16,13.2120,13.4160,12.9223,12.9524,333500
1983-06-17,12.9802,12.9802,12.7484,12.7786,107900
1983-06-20,12.8365,12.8365,12.5167,12.7484,168600
1983-06-21,12.8064,12.9223,12.7484,12.9223,152600
1983-06-22,12.9223,13.0382,12.7786,12.9802,66600
1983-06-23,12.9223,12.9524,12.8064,12.8945,131700
1983-06-24,12.8945,12.8945,12.7786,12.8643,73300
1983-06-27,12.7484,12.8365,12.4587,12.6325,112000
1983-06-28,12.6905,12.6905,12.2849,12.3150,66600
1983-06-29,12.2269,12.2849,12.1110,12.2570,67700
1983-06-30,12.1991,12.4008,12.0531,12.1690,92300
1983-07-01,12.2849,12.5468,12.2269,12.5468,117200
1983-07-05,12.4888,12.5468,12.4008,12.4008,111600
1983-07-06,12.4008,12.5746,12.4008,12.5746,43900
1983-07-07,12.7206,13.1541,12.6905,12.9802,131000
1983-07-08,13.0382,13.0683,12.8064,12.8064,299300
1983-07-11,12.9802,13.1842,12.9223,13.0961,66200
1983-07-12,13.0961,13.0961,12.9223,12.9223,58400
1983-07-13,12.9802,12.9802,12.8064,12.9802,108700
1983-07-14,12.9802,13.0382,12.8064,12.8064,47200
1983-07-15,12.7484,12.9223,12.5167,12.5167,157100
1983-07-18,12.5746,12.6047,12.2269,12.3428,263500
1983-07-19,12.4008,12.5746,12.4008,12.5167,88200
1983-07-20,12.6905,12.9802,12.6905,12.9802,263900
1983-07-21,12.9802,13.3001,12.9802,13.0961,137300
1983-07-22,13.0961,13.2120,12.9802,13.1263,93000
1983-07-25,13.0683,13.3279,13.0382,13.3279,43900
1983-07-26,13.4438,13.6177,13.4438,13.5319,160000
1983-07-27,13.6177,13.7637,13.5597,13.5597,367400
1983-07-28,13.6177,13.6177,13.4739,13.5018,43900
1983-07-29,13.5018,13.5018,13.3279,13.4160,110900
1983-08-01,13.2700,13.4160,13.2700,13.3279,42000
1983-08-02,13.3279,13.5018,13.3001,13.4739,107900
1983-08-03,13.3859,13.6177,13.3580,13.4438,115000
1983-08-04,13.3859,13.4438,13.2422,13.2700,73300
1983-08-05,13.3279,13.3859,13.3279,13.3859,92700
1983-08-08,13.3279,13.3859,13.1842,13.2422,78900
1983-08-09,13.2120,13.2120,13.0961,13.2120,207300
1983-08-10,13.2120,13.2700,13.0961,13.2700,70700
1983-08-11,13.2422,13.3001,13.0382,13.1842,58800
1983-08-12,13.1263,13.2422,13.0683,13.2120,51000
1983-08-15,13.2120,13.5018,13.2120,13.4438,76600
1983-08-16,13.5018,13.6177,13.3859,13.5319,70300
1983-08-17,13.6177,13.6756,13.5018,13.6177,120900
1983-08-18,13.6177,13.6756,13.2422,13.3859,100100
1983-08-19,13.2700,13.3279,13.0961,13.3001,56500
1983-08-22,13.4438,13.6177,13.3580,13.3580,105700
1983-08-23,13.2700,13.5597,13.2700,13.3859,120900
1983-08-24,13.3001,13.5018,13.2422,13.2700,65500
1983-08-25,13.2700,13.3279,13.2120,13.3279,46500
1983-08-26,13.3859,13.6177,13.3859,13.6177,41300
1983-08-29,13.6478,14.1114,13.6478,14.1114,290000
1983-08-30,13.9955,14.0812,13.9074,13.9375,85600
1983-08-31,13.8796,13.8796,13.7637,13.7637,142900
1983-09-01,13.8216,13.8494,13.5898,13.5898,161900
1983-09-02,13.5898,13.7915,13.5597,13.7335,83300
1983-09-06,13.7915,14.0233,13.7915,13.9955,119100
1983-09-07,13.8796,13.9375,13.5018,13.5597,227100
1983-09-08,13.5597,13.6177,13.3859,13.5018,131700
1983-09-09,13.5597,13.6756,13.4438,13.6177,53200
1983-09-12,13.6756,13.9074,13.3859,13.3859,316400
1983-09-13,13.4160,13.4160,12.8365,12.9524,456000
1983-09-14,12.8643,12.9524,12.6325,12.8064,320900
1983-09-15,12.7484,12.7484,12.4587,12.5167,163400
1983-09-16,12.1110,12.4008,12.1110,12.4008,150700
1983-09-19,12.2849,12.6047,12.2849,12.5468,86700
1983-09-20,12.6047,12.7206,12.5746,12.6047,153000
1983-09-21,12.4008,12.5746,12.4008,12.4008,142900
1983-09-22,12.3428,12.4008,12.1690,12.1991,105300
1983-09-23,12.3428,12.4309,12.1412,12.2570,122400
1983-09-26,12.3150,12.4587,12.2269,12.4008,169300
1983-09-27,12.4309,12.4888,12.2269,12.2849,64700
1983-09-28,12.3428,12.3729,12.2269,12.2269,83700
1983-09-29,12.2269,12.2849,11.5315,11.5895,468300
1983-09-30,11.5315,11.5895,11.1259,11.1839,185400
1983-10-03,10.7782,10.8941,10.5464,10.8362,192800
1983-10-04,10.8941,11.0100,10.8362,10.8640,142500
1983-10-05,10.8060,10.9521,10.7203,10.9521,593800
1983-10-06,10.9521,10.9521,10.7782,10.8941,278100
1983-10-07,10.8941,11.4157,10.8941,11.3577,227800
1983-10-10,11.2998,11.5014,11.2418,11.5014,58400
1983-10-11,11.5014,11.5895,11.3577,11.4435,97100
1983-10-12,11.3855,11.5895,11.3577,11.4736,46900
1983-10-13,11.5594,11.6474,11.5315,11.6173,89300
1983-10-14,11.5594,11.7332,11.5594,11.7054,112000
1983-10-17,11.7054,11.7054,11.5014,11.5014,141400
1983-10-18,11.3855,11.4435,11.2998,11.3577,74400
1983-10-19,11.3577,11.4736,11.2418,11.4435,176400
1983-10-20,11.2998,11.3577,10.9219,11.0378,95300
1983-10-21,11.0378,11.0680,10.6623,10.8941,139900
1983-10-24,10.8941,11.6753,10.7782,11.6753,526400
1983-10-25,11.6173,11.7633,11.3855,11.4736,191300
1983-10-26,11.4435,11.5594,11.1537,11.3855,135500
1983-10-27,11.1839,11.1839,10.9219,11.1259,205500
1983-10-28,11.0680,11.1839,10.9521,11.1259,82200
1983-10-31,11.0100,11.0680,10.9219,10.9219,99700
1983-11-01,10.8640,10.9521,10.7203,10.8060,142900
1983-11-02,10.9521,11.0100,10.8941,10.8941,232300
1983-11-03,10.9219,10.9219,10.7203,10.7782,161900
1983-11-04,10.8362,10.8640,10.8060,10.8362,69200
1983-11-07,10.8362,10.8362,10.6901,10.6901,94100
1983-11-08,10.6901,10.8362,10.6901,10.7782,96700
1983-11-09,10.8362,11.0958,10.7782,10.8941,126500
1983-11-10,11.0100,11.3577,11.0100,11.3577,90000
1983-11-11,11.2418,11.4736,11.2418,11.4157,158900
1983-11-14,11.5895,11.8213,11.5895,11.7332,52100
1983-11-15,11.8792,11.8792,11.8213,11.8792,95600
1983-11-16,12.0531,12.0531,11.5014,11.6474,170500
1983-11-17,11.5895,11.7332,11.4736,11.5895,107900
1983-11-18,11.4736,11.5895,11.3577,11.5315,74000
1983-11-21,11.2998,11.7332,11.2998,11.5895,329800
1983-11-22,11.6173,11.7935,11.5895,11.7332,63200
1983-11-23,11.8213,11.8792,11.7054,11.7633,150400
1983-11-25,11.5895,11.8792,11.5895,11.8213,98200
1983-11-28,12.0531,12.2849,12.0531,12.1412,175700
1983-11-29,12.2269,12.2849,12.1110,12.2849,264300
1983-11-30,12.3428,12.6325,12.3428,12.6047,350700
1983-12-01,12.4587,12.6627,12.4587,12.6325,185400
1983-12-02,12.8064,12.8643,12.5167,12.5167,70700
1983-12-05,12.5746,12.6905,12.5468,12.6905,102300
1983-12-06,12.5746,12.6047,12.5167,12.5468,157800
1983-12-07,12.6047,12.6325,12.5167,12.6047,552800
1983-12-08,12.6325,12.7484,12.5167,12.5167,311900
1983-12-09,12.4309,12.4587,12.2269,12.2269,567000
1983-12-12,12.2570,12.2570,12.0531,12.0832,147000
1983-12-13,12.0531,12.1991,11.9673,12.1110,114600
1983-12-14,12.2269,12.4008,12.2269,12.2269,90800
1983-12-15,12.0531,12.1110,11.9372,11.9673,152200
1983-12-16,11.9673,12.1110,11.9673,11.9951,64700
1983-12-19,11.9951,11.9951,11.8213,11.8792,96700
1983-12-20,11.9372,11.9372,11.7935,11.7935,165600
1983-12-21,11.8213,11.8213,11.6753,11.6753,104600
1983-12-22,11.6753,11.9372,11.6474,11.8792,145500
1983-12-23,11.8213,11.8792,11.7633,11.7633,135100
1983-12-27,11.8792,11.8792,11.7633,11.7633,82200
1983-12-28,11.8213,11.8792,11.7633,11.7633,151500
1983-12-29,11.8213,11.8792,11.7633,11.7633,64000
1983-12-30,11.8213,11.8213,11.7633,11.7633,147400
1984-01-03,11.7054,11.7054,11.6474,11.7054,171600
1984-01-04,11.7633,11.8213,11.6474,11.6474,281000
1984-01-05,11.6474,11.6753,11.5594,11.6474,214400
1984-01-06,11.5315,11.5315,11.1259,11.2418,165300
1984-01-09,11.1259,11.2418,11.0378,11.1839,400900
1984-01-10,11.2418,11.2418,11.0100,11.0680,247900
1984-01-11,11.1259,11.1259,11.0100,11.0680,128800
1984-01-12,11.0100,11.0958,11.0100,11.0680,113100
1984-01-13,11.0680,11.0958,10.9521,11.0100,106400
1984-01-16,10.9521,10.9799,10.8640,10.9799,83300
1984-01-17,10.9521,11.0680,10.9521,11.0100,45400
1984-01-18,11.0100,11.0680,10.9799,10.9799,136200
1984-01-19,10.9521,11.0680,10.9521,11.0680,115700
1984-01-20,11.0680,11.1259,10.9799,11.0100,123900
1984-01-23,11.0680,11.0680,10.9521,10.9521,87800
1984-01-24,11.0100,11.0378,10.9521,10.9521,118000
1984-01-25,10.9521,11.0680,10.8362,10.8362,204300
1984-01-26,10.8941,11.2418,10.8362,11.2418,359600
1984-01-27,11.1839,11.1839,10.7782,10.8640,291100
1984-01-30,10.9219,10.9219,10.6901,10.6901,262800
1984-01-31,10.8941,10.9521,10.7481,10.8941,651800
1984-02-01,11.0100,11.2418,11.0100,11.2117,573300
1984-02-02,11.5895,11.6474,11.5315,11.5895,542800
1984-02-03,11.5895,11.7054,11.5895,11.6173,725200
1984-02-06,11.5594,11.5594,11.3577,11.5014,205800
1984-02-07,11.3577,11.4736,11.2418,11.3276,122800
1984-02-08,11.2998,11.2998,10.9521,11.0100,199100
1984-02-09,11.0100,11.0100,10.6623,10.7782,141400
1984-02-10,10.7203,10.8362,10.6044,10.7203,56200
1984-02-13,10.6623,10.7782,10.6623,10.6623,67000
1984-02-14,10.6901,10.8640,10.6623,10.7203,80400
1984-02-15,10.7203,10.9521,10.7203,10.8362,437000
1984-02-16,10.7782,10.9521,10.7782,10.8362,188700
1984-02-17,10.8640,10.8640,10.7203,10.7782,80000
1984-02-21,11.0680,11.1839,10.9799,11.0958,249000
1984-02-22,11.3577,11.6474,11.2998,11.6474,422900
1984-02-23,11.6474,12.1110,11.6173,12.1110,727400
1984-02-24,12.0531,12.5746,12.0531,12.3428,376000
1984-02-27,12.3150,12.7206,12.3150,12.6325,319400
1984-02-28,12.5167,12.6047,12.4008,12.4587,205500
1984-02-29,12.4587,12.4587,12.1991,12.3428,87100
1984-03-01,12.2849,12.3428,12.1110,12.1110,125000
1984-03-02,12.2269,12.4587,12.2269,12.4587,172700
1984-03-05,12.6325,12.6627,12.5167,12.5746,459400
1984-03-06,12.5167,12.6325,12.3428,12.5468,235200
1984-03-07,12.5468,12.5468,12.2849,12.3428,450400
1984-03-08,12.0531,12.4587,12.0253,12.4008,217000
1984-03-09,12.3428,12.4008,12.2849,12.4008,445200
1984-03-12,12.4587,12.4587,12.3428,12.3729,59500
1984-03-13,12.4309,12.6047,12.4008,12.5167,612000
1984-03-14,12.5746,12.6047,12.2269,12.2269,412100
1984-03-15,12.1690,12.2269,12.1110,12.1690,99000
1984-03-16,12.2849,12.2849,11.9372,12.0531,87100
1984-03-19,12.1110,12.1110,11.8213,11.8792,58000
1984-03-20,11.9372,11.9372,11.6474,11.7633,282900
1984-03-21,11.7935,11.8792,11.7935,11.8213,72200
1984-03-22,11.8792,12.0531,11.8514,11.9372,134000
1984-03-23,11.9372,11.9372,11.8213,11.9372,321600
1984-03-26,11.8792,11.9372,11.8213,11.8213,221500
1984-03-27,11.8213,11.8792,11.8213,11.8213,43100
1984-03-28,11.8213,12.0531,11.7935,12.0531,157800
1984-03-29,12.0531,12.0531,11.9951,12.0253,47600
1984-03-30,11.9951,12.0253,11.8792,11.8792,57700
1984-04-02,11.8213,11.9951,11.8213,11.9951,82600
1984-04-03,11.9372,11.9372,11.8213,11.8514,32300
1984-04-04,11.7935,11.9094,11.7935,11.8514,24100
1984-04-05,11.8213,11.8213,11.6753,11.6753,69200
1984-04-06,11.6474,11.7935,11.5895,11.7332,37200
1984-04-09,11.8792,12.0253,11.8213,11.9094,151500
1984-04-10,11.9673,11.9673,11.8213,11.8514,51000
1984-04-11,11.8792,11.9951,11.8213,11.9372,324200
1984-04-12,11.8792,12.0253,11.8213,12.0253,88900
1984-04-13,12.0253,12.0253,11.7054,11.7054,52800
1984-04-16,11.6474,11.7054,11.5315,11.7054,113100
1984-04-17,11.6474,11.6474,11.5315,11.6474,29400
1984-04-18,11.6474,11.8792,11.5594,11.6173,244900
1984-04-19,11.6474,11.6474,11.4736,11.4736,59900
1984-04-23,11.5315,11.6474,11.5014,11.5895,123900
1984-04-24,11.5895,11.5895,11.4435,11.4736,97100
1984-04-25,11.4736,11.5315,11.3577,11.3577,83000
1984-04-26,11.2998,11.2998,11.2117,11.2117,104600
1984-04-27,11.2117,11.2696,11.2117,11.2418,101200
1984-04-30,11.1839,11.2418,11.0100,11.0958,116500
1984-05-01,11.1259,11.2998,11.1259,11.1259,120600
1984-05-02,11.2117,11.2998,11.1537,11.1537,17800
1984-05-03,11.2117,11.2418,11.1537,11.2418,20100
1984-05-04,11.2998,11.2998,11.1537,11.1839,53600
1984-05-07,11.2117,11.2998,11.1537,11.2117,59500
1984-05-08,11.1839,11.2696,11.1839,11.2117,91500
1984-05-09,11.2696,11.2696,11.0100,11.0680,96400
1984-05-10,11.0100,11.0958,10.9799,11.0378,121300
1984-05-11,11.0958,11.0958,10.7203,10.7782,191300
1984-05-14,10.7203,10.7203,10.3726,10.5464,214400
1984-05-15,10.5464,10.5743,10.3146,10.3726,161200
1984-05-16,10.4004,10.4004,10.1988,10.2266,138400
1984-05-17,10.3146,10.5464,10.3146,10.4885,110900
1984-05-18,10.3726,10.4004,10.3146,10.3726,113100
1984-05-21,10.4305,10.6044,10.4004,10.4004,42000
1984-05-22,10.3425,10.5464,10.3425,10.4885,101600
1984-05-23,10.4885,10.4885,10.4305,10.4885,33100
1984-05-24,10.4584,10.4885,10.2567,10.2845,296700
1984-05-25,10.3726,10.4305,10.2567,10.2567,310800
1984-05-29,10.2266,10.2266,10.1107,10.1686,60300
1984-05-30,10.0829,10.0829,9.8511,9.8511,162600
1984-05-31,9.7931,9.7931,9.3295,9.3597,178300
1984-06-01,9.6193,10.0249,9.6193,9.8511,387900
1984-06-04,9.8511,9.8511,9.6193,9.6772,405400
1984-06-05,9.7074,9.7074,9.6193,9.6494,105700
1984-06-06,9.6193,9.7074,9.5034,9.7074,34600
1984-06-07,9.6772,9.6772,9.5613,9.6193,29400
1984-06-08,9.6193,9.6193,9.3295,9.3875,99400
1984-06-11,9.3017,9.3597,9.0398,9.0699,193200
1984-06-12,9.1279,9.1557,8.9819,9.0398,162300
1984-06-13,8.9819,9.0398,8.9239,8.9540,217000
1984-06-14,8.9819,9.0699,8.9239,8.9239,55100
1984-06-15,8.9239,8.9239,8.6064,8.6643,97900
1984-06-18,8.6064,8.9239,8.6064,8.8660,99000
1984-06-19,8.8961,8.9239,8.8080,8.8381,135800
1984-06-20,8.6921,8.7501,8.6643,8.6921,77800
1984-06-21,8.6064,8.6342,8.5762,8.6064,113900
1984-06-22,8.6064,8.6064,8.4905,8.5484,23800
1984-06-25,8.5762,8.5762,8.4325,8.5183,129900
1984-06-26,8.4603,8.4905,8.3444,8.4603,30100
1984-06-27,8.4603,8.5183,8.4325,8.4603,74400
1984-06-28,8.4603,8.5183,8.4024,8.4603,71400
1984-06-29,8.5183,8.6064,8.4325,8.5762,312300
1984-07-02,8.6064,8.6342,8.5484,8.6342,74400
1984-07-03,8.5762,8.5762,8.4603,8.4905,194300
1984-07-05,8.3444,8.3444,7.8229,7.8809,1103800
1984-07-06,7.7650,7.9388,7.5332,7.8809,262800
1984-07-09,7.9388,7.9388,7.7928,7.8809,235600
1984-07-10,7.9388,8.1126,7.8809,7.8809,130600
1984-07-11,7.8809,8.0547,7.8229,7.8809,74000
1984-07-12,7.8229,7.8229,7.6491,7.6491,319400
1984-07-13,7.7070,8.0547,7.7070,8.0547,99700
1984-07-16,8.1126,8.1706,7.8809,8.1706,129900
1984-07-17,8.2285,8.2865,8.0547,8.2007,162600
1984-07-18,8.1706,8.1706,7.8809,7.9388,140300
1984-07-19,7.9968,7.9968,7.8229,7.8809,43100
1984-07-20,7.8809,7.8809,7.6491,7.6491,282900
1984-07-23,7.5332,7.7070,7.2434,7.5911,205800
1984-07-24,7.5911,7.5911,7.4173,7.4173,112400
1984-07-25,7.3593,7.4173,7.2434,7.4173,208800
1984-07-26,7.4173,7.4752,7.2434,7.3014,75900
1984-07-27,7.2434,7.5332,7.1855,7.5332,120200
1984-07-30,7.4752,7.4752,7.3593,7.3871,83300
1984-07-31,7.3871,7.4752,7.3871,7.4752,232600
1984-08-01,7.4173,7.4451,7.3292,7.4451,195400
1984-08-02,7.4752,7.9388,7.4173,7.8809,1425500
1984-08-03,7.9968,8.7501,7.9968,8.5183,661200
1984-08-06,8.5183,8.8660,8.1706,8.1706,284800
1984-08-07,8.0547,8.2285,7.9388,7.9968,106400
1984-08-08,8.0269,8.0848,7.5911,7.5911,94500
1984-08-09,7.5911,7.8229,7.5332,7.7650,344700
1984-08-10,8.1126,8.5183,8.1126,8.4024,1377100
1984-08-13,8.3444,8.6921,8.3444,8.6342,138400
1984-08-14,8.8080,8.9819,8.8080,8.8961,276600
1984-08-15,8.7501,9.0699,8.7501,9.0398,381900
1984-08-16,9.0398,9.0398,8.7501,8.8660,775100
1984-08-17,8.9239,8.9239,8.7802,8.8080,85200
1984-08-20,8.8080,8.8660,8.7501,8.8080,90800
1984-08-21,8.7223,8.8080,8.4024,8.4603,161200
1984-08-22,8.4024,8.5183,8.1706,8.5183,129900
1984-08-23,8.5762,8.6921,8.4024,8.5183,202500
1984-08-24,8.5762,8.5762,8.4024,8.4905,370400
1984-08-27,8.5183,8.5183,8.2865,8.3166,35700
1984-08-28,8.4024,8.5183,8.3444,8.5183,97900
1984-08-29,8.5762,8.8961,8.5762,8.8080,486200
1984-08-30,8.8080,8.8080,8.7501,8.7802,66600
1984-08-31,8.8080,8.9239,8.8080,8.9239,26000
1984-09-04,8.7501,8.8080,8.7223,8.7802,233400
1984-09-05,8.7802,8.8660,8.7802,8.8080,148500
1984-09-06,8.8080,8.9540,8.8080,8.9540,128000
1984-09-07,8.9239,8.9540,8.7223,8.7501,419200
1984-09-10,8.7501,8.7802,8.5183,8.6643,108300
1984-09-11,8.7501,8.8080,8.5762,8.5762,42800
1984-09-12,8.5183,8.5762,8.4603,8.5183,61800
1984-09-13,8.4603,8.4603,8.4024,8.4325,48000
1984-09-14,8.4905,8.5762,8.2285,8.2285,190900
1984-09-17,8.2285,8.2285,7.9968,8.0547,92300
1984-09-18,8.0547,8.1126,8.0269,8.1126,161200
1984-09-19,8.1126,8.1126,7.9968,7.9968,160000
1984-09-20,7.9388,8.1706,7.9388,8.1706,174600
1984-09-21,8.2865,8.5183,8.2587,8.4024,346900
1984-09-24,8.4603,8.5183,8.4024,8.4024,44300
1984-09-25,8.3444,8.4024,8.2285,8.3444,66200
1984-09-26,8.4024,8.5183,8.1706,8.2865,143300
1984-09-27,8.3166,8.4024,8.3166,8.3166,46900
1984-09-28,8.2865,8.2865,8.1126,8.2285,128000
1984-10-01,8.2285,8.4603,8.2285,8.3444,76300
1984-10-02,8.4024,8.4325,8.2865,8.3444,64400
1984-10-03,8.4024,8.6643,8.4024,8.5183,200600
1984-10-04,8.4905,8.6921,8.4905,8.6064,87400
1984-10-05,8.6064,8.6643,8.4905,8.5762,160800
1984-10-08,8.5484,8.5484,8.4603,8.5183,49500
1984-10-09,8.4905,8.5484,8.4325,8.4325,78500
1984-10-10,8.3746,8.4024,8.1706,8.2007,135800
1984-10-11,8.2285,8.2587,8.1428,8.1428,122100
1984-10-12,8.1428,8.2587,8.0547,8.1126,149600
1984-10-15,8.1126,8.1706,8.0547,8.1126,282900
1984-10-16,8.1126,8.1706,8.1126,8.1126,31600
1984-10-17,8.0848,8.1706,8.0848,8.0848,82200
1984-10-18,8.0547,8.2007,7.9968,8.1706,96000
1984-10-19,8.2285,8.3166,8.1706,8.2007,134700
1984-10-22,8.2007,8.2007,8.1126,8.1126,44300
1984-10-23,8.1126,8.3444,8.1126,8.2865,80000
1984-10-24,8.2285,8.2865,8.1706,8.1706,165300
1984-10-25,8.1706,8.3166,8.1126,8.2285,244600
1984-10-26,8.1706,8.2285,8.1126,8.1706,169000
1984-10-29,8.1126,8.2587,8.1126,8.2587,123600
1984-10-30,8.2285,8.3166,8.2285,8.3166,45400
1984-10-31,8.3444,8.3746,8.2587,8.2587,23000
1984-11-01,8.2587,8.5183,8.2587,8.4603,172300
1984-11-02,8.7501,8.9819,8.7223,8.9819,376000
1984-11-05,9.0398,9.3295,9.0398,9.2716,256500
1984-11-06,9.3295,9.3597,9.2438,9.3295,403900
1984-11-07,9.3017,9.4176,9.3017,9.3875,116100
1984-11-08,9.2716,9.4454,9.2716,9.3875,299700
1984-11-09,9.4176,9.5034,9.3875,9.3875,359200
1984-11-12,9.3875,9.4454,9.3875,9.4454,110200
1984-11-13,9.5034,9.5915,9.5034,9.5034,216300
1984-11-14,9.5034,9.5335,9.4176,9.4176,166400
1984-11-15,9.3875,9.4176,9.3597,9.3875,131400
1984-11-16,9.3597,9.3875,9.3295,9.3875,262800
1984-11-19,9.3295,9.3597,9.3017,9.3017,134700
1984-11-20,9.3017,9.3295,9.3017,9.3295,37200
1984-11-21,9.3017,9.3017,9.1279,9.2136,94900
1984-11-23,9.1557,9.2716,9.1557,9.2136,92700
1984-11-26,9.2438,9.2438,9.0398,9.0699,96700
1984-11-27,9.0120,9.0120,8.6643,8.6921,227400
1984-11-28,8.5762,8.6342,8.3444,8.3444,354000
1984-11-29,8.3444,8.4603,8.2865,8.2865,85200
1984-11-30,8.3444,8.4024,8.2865,8.4024,97500
1984-12-03,8.3444,8.4024,8.2865,8.3166,74800
1984-12-04,8.3444,8.4325,8.3444,8.3746,90000
1984-12-05,8.3444,8.4325,8.3444,8.4024,72200
1984-12-06,8.4024,8.5183,8.4024,8.4325,113100
1984-12-07,8.4325,8.5183,8.4325,8.4603,102000
1984-12-10,8.4024,8.4325,8.3444,8.3444,84500
1984-12-11,8.3444,8.4024,8.3444,8.4024,36400
1984-12-12,8.4325,8.4603,8.3746,8.4024,46500
1984-12-13,8.3444,8.3444,8.2007,8.2285,268400
1984-12-14,8.2587,8.3166,8.1706,8.2587,352900
1984-12-17,8.1428,8.3166,8.1428,8.3166,231500
1984-12-18,8.2285,8.3166,8.2285,8.3166,679800
1984-12-19,8.2865,8.2865,8.0848,8.1428,471700
1984-12-20,8.0848,8.1126,7.9689,8.0269,204300
1984-12-21,7.9968,8.0269,7.9388,7.9689,179800
1984-12-24,7.9968,8.1706,7.9689,8.1428,505200
1984-12-26,8.1126,8.2285,8.1126,8.2007,78900
1984-12-27,8.2007,8.2285,8.0848,8.0848,1050200
1984-12-28,8.2007,8.2007,8.1428,8.2007,134700
1984-12-31,8.1706,8.3166,8.1706,8.3166,95300
1985-01-02,8.2865,8.3746,8.2865,8.3166,114600
1985-01-03,8.2865,8.4325,8.2285,8.4325,127600
1985-01-04,8.4325,8.4325,8.3444,8.4024,134400
1985-01-07,8.3444,8.4905,8.3444,8.4603,147800
1985-01-08,8.4603,8.4905,8.4603,8.4905,80000
1985-01-09,8.4325,8.5762,8.4325,8.4905,138400
