Date,Open,High,Low,Close,Volume
1981-12-31,2.9234,2.9306,2.9167,2.9234,33798
1982-01-04,2.9167,2.9234,2.9100,2.9100,64998
1982-01-05,2.9167,2.9234,2.9100,2.9100,318000
1982-01-06,2.8402,2.8955,2.7771,2.8123,369198
1982-01-07,2.7425,2.7632,2.7140,2.7632,151398
1982-01-08,2.8190,2.8748,2.7632,2.8608,305400
1982-01-11,2.7073,2.8469,2.5605,2.5605,687300
1982-01-12,2.5399,2.5678,2.5053,2.5053,238398
1982-01-13,2.4355,2.4840,2.3864,2.3864,478098
1982-01-14,2.4143,2.4282,2.4003,2.4003,130098
1982-01-15,2.4422,2.4701,2.4143,2.4701,564402
1982-01-18,2.4355,2.4489,2.4143,2.4210,813498
1982-01-19,2.4282,2.4422,2.4076,2.4282,345300
1982-01-20,2.4628,2.5053,2.4210,2.4907,763002
1982-01-21,2.5466,2.5750,2.5120,2.5678,56400
1982-01-22,2.6096,2.6376,2.5817,2.6376,82302
1982-01-25,2.6934,2.7073,2.6794,2.6934,70302
1982-01-26,2.7140,2.7352,2.6934,2.7140,292800
1982-01-27,2.7140,2.7140,2.7073,2.7140,95598
1982-01-28,2.7140,2.7213,2.7073,2.7213,67002
1982-01-29,2.7425,2.7632,2.7140,2.7425,115500
1982-02-01,2.7632,2.7911,2.7352,2.7632,320700
1982-02-02,2.7771,2.8050,2.7492,2.8050,79602
1982-02-03,2.8536,2.9585,2.7492,2.7771,929700
1982-02-04,2.7771,2.8190,2.7352,2.7559,195198
1982-02-05,2.7771,2.8050,2.7425,2.7911,132798
1982-02-08,2.7559,2.7911,2.7140,2.7140,70998
1982-02-09,2.6794,2.7073,2.6448,2.6582,156702
1982-02-10,2.6029,2.6376,2.5678,2.5678,39102
1982-02-11,2.5538,2.5678,2.5399,2.5605,61002
1982-02-12,2.5466,2.5605,2.5259,2.5259,51102
1982-02-16,2.5466,2.5817,2.5120,2.5817,70998
1982-02-17,2.6096,2.6163,2.5957,2.5957,35100
1982-02-18,2.6163,2.6448,2.5884,2.6376,161298
1982-02-19,2.6303,2.6376,2.6236,2.6303,94200
1982-02-22,2.6096,2.6515,2.5678,2.5678,146700
1982-02-23,2.5399,2.5538,2.5259,2.5326,71700
1982-02-24,2.5466,2.5605,2.5326,2.5399,67698
1982-02-25,2.5605,2.5678,2.5466,2.5538,70998
1982-02-26,2.5538,2.5538,2.5538,2.5538,4602
1982-03-01,2.5538,2.5538,2.5538,2.5538,17898
1982-03-02,2.5605,2.5678,2.5538,2.5538,19200
1982-03-03,2.5750,2.5957,2.5538,2.5750,108900
1982-03-04,2.5750,2.5817,2.5678,2.5750,182598
1982-03-05,2.5750,2.5817,2.5678,2.5678,102198
1982-03-08,2.5259,2.5817,2.4701,2.4701,222402
1982-03-09,2.3791,2.4355,2.3166,2.3864,230400
1982-03-10,2.4003,2.4143,2.3864,2.4003,183198
1982-03-11,2.3585,2.4143,2.2954,2.2954,389802
1982-03-12,2.2256,2.2608,2.1910,2.2189,312102
1982-03-15,2.2189,2.2256,2.2049,2.2189,303402
1982-03-16,2.2189,2.2256,2.2116,2.2189,309402
1982-03-17,2.2329,2.2401,2.2189,2.2401,250302
1982-03-18,2.2954,2.3166,2.2680,2.3166,261600
1982-03-19,2.3585,2.3657,2.3445,2.3657,87600
1982-03-22,2.4210,2.4355,2.4003,2.4355,29202
1982-03-23,2.4701,2.5120,2.4282,2.5120,102900
1982-03-24,2.5187,2.5259,2.5120,2.5259,34500
1982-03-25,2.5605,2.5957,2.5259,2.5678,110202
1982-03-26,2.5750,2.5957,2.5538,2.5817,115500
1982-03-29,2.5884,2.5957,2.5817,2.5957,117498
1982-03-30,2.6163,2.6236,2.6029,2.6236,33198
1982-03-31,2.6163,2.6376,2.5957,2.5957,141402
1982-04-01,2.5817,2.5957,2.5678,2.5750,140100
1982-04-02,2.6303,2.6794,2.5750,2.6515,624900
1982-04-05,2.5750,2.6376,2.5120,2.5187,454200
1982-04-06,2.5326,2.5399,2.5187,2.5399,154002
1982-04-07,2.5538,2.5678,2.5399,2.5466,238398
1982-04-08,2.5466,2.5538,2.5399,2.5466,75000
1982-04-12,2.6163,2.6515,2.5817,2.6376,253002
1982-04-13,2.7559,2.7911,2.7213,2.7213,272202
1982-04-14,2.7140,2.7280,2.6934,2.7073,118200
1982-04-15,2.7073,2.7213,2.6934,2.7073,164598
1982-04-16,2.7140,2.7280,2.6934,2.7073,178602
1982-04-19,2.7140,2.7213,2.7073,2.7073,27798
1982-04-20,2.7006,2.7073,2.6934,2.7006,65700
1982-04-21,2.6727,2.6794,2.6582,2.6727,67002
1982-04-22,2.6727,2.6934,2.6515,2.6794,278202
1982-04-23,2.6934,2.7006,2.6794,2.6861,74298
