Date,Open,High,Low,Close,Volume
2003-12-02,7.2202,7.3152,7.2202,7.3152,160000
2003-12-03,7.4102,7.4102,7.4102,7.4102,300000
2003-12-04,7.6952,7.6952,7.6952,7.6952,50000
2003-12-05,7.6952,7.6952,7.6952,7.6952,0
2003-12-08,7.9802,8.2842,7.9802,8.2842,954000
2003-12-09,8.2842,8.6453,8.2842,8.4077,3014200
2003-12-10,8.4552,8.7403,8.4552,8.5502,2994600
2003-12-11,8.6453,8.7403,8.5978,8.7023,2203200
2003-12-12,8.7403,8.7593,8.7099,8.7213,709000
2003-12-15,8.7023,8.7023,8.5122,8.5122,1287000
2003-12-16,8.4932,8.4932,8.2842,8.3412,885600
2003-12-17,8.3222,8.3222,8.1322,8.1512,1150800
2003-12-18,8.1512,8.1892,8.1512,8.1892,2425200
2003-12-19,8.1892,8.2842,8.1892,8.2842,1421800
2003-12-22,8.2272,8.2842,8.2272,8.2272,5200
2003-12-23,8.2462,8.3032,8.2462,8.2842,133800
2003-12-24,8.2842,8.3032,8.2842,8.3032,20200
2003-12-26,8.3032,8.3032,8.3032,8.3032,1000
2003-12-29,8.2842,8.2842,8.2842,8.2842,1200
2003-12-30,8.3032,8.3222,8.3032,8.3222,31600
2003-12-31,8.3222,8.3602,8.3222,8.3222,14200
2004-01-02,8.3602,8.5312,8.3412,8.5312,557600
2004-01-05,8.5312,8.5502,8.4742,8.5122,136000
2004-01-06,8.5122,8.5502,8.5084,8.5312,160600
2004-01-07,8.5122,8.5122,8.3602,8.4552,283400
2004-01-08,8.4932,8.4932,8.4362,8.4590,385200
2004-01-09,8.4742,8.4742,8.0372,8.0372,3456200
2004-01-12,8.0752,8.0752,8.0562,8.0562,17800
2004-01-13,8.0752,8.1132,7.9650,7.9802,1069600
2004-01-14,7.9992,8.0182,7.9802,7.9802,208600
2004-01-15,7.9802,7.9802,7.8852,7.9232,54200
2004-01-16,7.8852,7.9422,7.8852,7.9042,493800
2004-01-20,7.9802,7.9992,7.9688,7.9802,856600
2004-01-21,7.9992,8.0372,7.9802,7.9802,969600
2004-01-22,8.0182,8.2082,8.0182,8.1702,863600
2004-01-23,8.1702,8.1702,8.0182,8.0562,748400
2004-01-26,8.0562,8.0562,7.9232,7.9232,291600
2004-01-27,7.9232,7.9232,7.8662,7.8776,994600
2004-01-28,7.8852,7.8852,7.7712,7.7902,100000
2004-01-29,7.7902,7.7902,7.5052,7.6002,1169000
