Date,Open,High,Low,Close,Volume
1982-06-02,1.8914,1.9189,1.8638,1.8752,1081800
1982-06-03,1.8638,1.8752,1.8477,1.8477,672300
1982-06-04,1.8258,1.8424,1.8039,1.8092,828900
1982-06-07,1.8258,1.8477,1.8039,1.8367,287100
1982-06-08,1.8258,1.8424,1.8092,1.8092,330300
1982-06-09,1.8149,1.8258,1.8039,1.8092,841500
1982-06-10,1.8092,1.8149,1.8039,1.8092,591300
1982-06-11,1.8258,1.8424,1.8039,1.8201,1161000
1982-06-14,1.8149,1.8201,1.8039,1.8039,498600
1982-06-15,1.8149,1.8258,1.8039,1.8149,666900
1982-06-16,1.8149,1.8258,1.8039,1.8149,239400
1982-06-17,1.7930,1.8149,1.7654,1.7768,937800
1982-06-18,1.7768,1.7930,1.7602,1.7768,1577700
1982-06-21,1.7877,1.7982,1.7768,1.7982,1314000
1982-06-22,1.8258,1.8586,1.7930,1.8586,702000
1982-06-23,1.9189,1.9679,1.8638,1.9679,765000
1982-06-24,1.9351,1.9570,1.9132,1.9351,720900
1982-06-25,1.9408,1.9460,1.9299,1.9408,189000
1982-06-28,1.9513,1.9679,1.9351,1.9460,223200
1982-06-29,1.9736,1.9898,1.9513,1.9788,670500
1982-06-30,1.9898,1.9950,1.9788,1.9898,1296000
1982-07-01,1.9898,2.0007,1.9736,1.9898,903600
1982-07-02,2.0116,2.0392,1.9788,2.0335,378900
1982-07-06,2.0335,2.0497,2.0169,2.0335,527400
1982-07-07,2.0116,2.0283,1.9898,2.0169,566100
1982-07-08,1.9845,2.0226,1.9460,1.9845,641700
1982-07-09,1.9736,1.9898,1.9513,1.9679,361800
1982-07-12,1.9570,1.9679,1.9460,1.9622,921600
1982-07-13,1.9622,1.9788,1.9460,1.9679,1000800
1982-07-14,1.9513,1.9679,1.9460,1.9622,921600
1982-07-15,1.9408,1.9788,1.8966,1.8966,684000
1982-07-16,1.8966,1.9242,1.8695,1.8914,2254500
1982-07-19,1.8805,1.9023,1.8586,1.8695,1497600
1982-07-20,1.8966,1.9242,1.8695,1.9189,427500
1982-07-21,1.9460,1.9679,1.9189,1.9408,549000
1982-07-22,1.9513,1.9679,1.9299,1.9570,973800
1982-07-23,2.0060,2.0335,1.9788,2.0169,341100
1982-07-26,1.9898,1.9950,1.9788,1.9845,411300
1982-07-27,1.9898,1.9950,1.9788,1.9845,1046700
1982-07-28,1.9845,1.9950,1.9736,1.9788,781200
1982-07-29,1.9845,1.9898,1.9736,1.9788,727200
1982-07-30,1.9736,1.9898,1.9570,1.9845,1313100
1982-08-02,1.9788,2.0060,1.9513,1.9950,1115100
1982-08-03,1.9950,2.0060,1.9845,1.9898,1321200
1982-08-04,1.9679,1.9788,1.9513,1.9622,638100
1982-08-05,1.9189,1.9570,1.8752,1.8966,819900
1982-08-06,1.9076,1.9189,1.8966,1.9023,691200
1982-08-09,1.9023,1.9132,1.8914,1.9132,567000
1982-08-10,1.9132,1.9242,1.9023,1.9189,463500
1982-08-11,1.9242,1.9351,1.9132,1.9299,248400
1982-08-12,1.9242,1.9351,1.9132,1.9242,338400
1982-08-13,1.9513,1.9788,1.9189,1.9788,688500
1982-08-16,1.9898,2.0007,1.9736,1.9898,940500
1982-08-17,2.0335,2.0663,1.9950,2.0663,1505700
1982-08-18,2.0991,2.1319,2.0663,2.0720,2105100
1982-08-19,2.0934,2.1100,2.0772,2.0882,1035000
1982-08-20,2.0934,2.1044,2.0829,2.1044,1650600
1982-08-23,2.1647,2.2303,2.0991,2.1975,1472400
1982-08-24,2.2251,2.2465,2.2028,2.2137,1353600
1982-08-25,2.2574,2.3011,2.2084,2.3011,688500
1982-08-26,2.3449,2.3672,2.3234,2.3287,2550600
1982-08-27,2.3178,2.3344,2.2959,2.3011,792000
1982-08-30,2.2902,2.3178,2.2574,2.3011,1009800
1982-08-31,2.3449,2.3834,2.3068,2.3724,932400
1982-09-01,2.3781,2.3995,2.3506,2.3886,919800
1982-09-02,2.4105,2.4490,2.3724,2.4271,1198800
1982-09-03,2.4218,2.4542,2.3834,2.4052,1855800
1982-09-07,2.3344,2.3615,2.3011,2.3287,1188000
1982-09-08,2.3068,2.3234,2.2850,2.3125,1027800
1982-09-09,2.3234,2.3449,2.2959,2.3068,1611900
1982-09-10,2.3011,2.3125,2.2850,2.3068,1086300
1982-09-13,2.3234,2.3558,2.2850,2.3506,1084500
1982-09-14,2.3995,2.4162,2.3834,2.4105,1207800
1982-09-15,2.3886,2.4052,2.3672,2.3995,1224900
1982-09-16,2.3724,2.4052,2.3396,2.3396,1817100
1982-09-17,2.3344,2.3506,2.3125,2.3125,1534500
1982-09-20,2.3178,2.3449,2.2902,2.3396,963900
1982-09-21,2.3834,2.4052,2.3558,2.4052,1336500
1982-09-22,2.4218,2.4490,2.3886,2.3886,2179800
1982-09-23,2.3615,2.3781,2.3449,2.3724,893700
1982-09-24,2.3724,2.3834,2.3615,2.3615,669600
1982-09-27,2.3724,2.3886,2.3558,2.3834,340200
1982-09-28,2.4328,2.4542,2.4052,2.4271,1337400
1982-09-29,2.4708,2.5146,2.4218,2.4599,1468800
1982-09-30,2.4380,2.4542,2.4218,2.4271,897300
1982-10-01,2.4328,2.4490,2.4162,2.4490,738000
1982-10-04,2.4380,2.4490,2.4271,2.4328,866700
1982-10-05,2.4433,2.4490,2.4328,2.4380,413100
1982-10-06,2.4490,2.4656,2.4328,2.4542,906300
1982-10-07,2.5093,2.5364,2.4818,2.5093,1595700
1982-10-08,2.5093,2.5202,2.4927,2.5093,933300
1982-10-11,2.4656,2.4765,2.4542,2.4656,1193400
1982-10-12,2.4162,2.4490,2.3834,2.4328,3811500
1982-10-13,2.4765,2.5093,2.4380,2.4927,1512000
1982-10-14,2.5146,2.5312,2.4927,2.4979,1131300
1982-10-15,2.5417,2.5802,2.4979,2.5692,877500
1982-10-18,2.5802,2.6785,2.5526,2.6785,944100
1982-10-19,2.6895,2.7004,2.6733,2.6785,534600
1982-10-20,2.6676,2.7004,2.6348,2.6567,730800
1982-10-21,2.7223,2.7769,2.6676,2.7660,985500
1982-10-22,2.8097,2.8425,2.7717,2.8154,1147500
1982-10-25,2.7608,2.7879,2.7280,2.7332,1245600
1982-10-26,2.6239,2.6733,2.5692,2.6296,2535300
1982-10-27,2.4979,2.5364,2.4542,2.5202,4216500
1982-10-28,2.5146,2.5640,2.4656,2.4765,1994400
1982-10-29,2.4656,2.4870,2.4433,2.4542,2260800
1982-11-01,2.4328,2.4542,2.4105,2.4542,1285200
1982-11-02,2.5146,2.5526,2.4708,2.5202,1403100
1982-11-03,2.6073,2.6457,2.5640,2.6401,2160900
1982-11-04,2.6624,2.7170,2.6020,2.6130,1599300
1982-11-05,2.5749,2.5911,2.5583,2.5802,2504700
1982-11-08,2.5749,2.5911,2.5583,2.5640,641700
1982-11-09,2.5963,2.6130,2.5749,2.6073,1701900
1982-11-10,2.6239,2.6457,2.6020,2.6130,1550700
1982-11-11,2.6020,2.6186,2.5802,2.5911,1210500
1982-11-12,2.5911,2.6186,2.5583,2.5749,1927800
1982-11-15,2.5312,2.5526,2.5036,2.5146,561600
1982-11-16,2.4218,2.4380,2.4052,2.4328,1605600
1982-11-17,2.4490,2.4656,2.4271,2.4380,2406600
1982-11-18,2.4433,2.4490,2.4328,2.4433,1740600
