Date,Open,High,Low,Close,Volume
1990-03-26,2.5423,2.5423,2.5119,2.5119,139200
1990-03-27,2.5119,2.5322,2.4916,2.5119,471600
1990-03-28,2.5119,2.5119,2.4916,2.5119,15600
1990-03-29,2.5119,2.5220,2.4714,2.4916,787200
1990-03-30,2.4916,2.4916,2.4714,2.4916,906000
1990-04-02,2.4815,2.4815,2.4613,2.4613,362400
1990-04-03,2.4815,2.4815,2.4613,2.4815,123600
1990-04-04,2.4815,2.4815,2.4511,2.4511,496800
1990-04-05,2.4613,2.4815,2.4511,2.4714,712800
1990-04-06,2.4613,2.4815,2.4613,2.4613,630000
1990-04-09,2.4714,2.4714,2.4410,2.4714,330000
1990-04-10,2.4714,2.4714,2.4511,2.4613,210000
1990-04-11,2.4714,2.4714,2.4511,2.4511,43200
1990-04-12,2.4511,2.4714,2.4511,2.4714,93600
1990-04-16,2.4511,2.4815,2.4511,2.4815,478800
1990-04-17,2.4916,2.5018,2.4613,2.5018,140400
1990-04-18,2.4916,2.5119,2.4815,2.5018,555600
1990-04-19,2.5119,2.5119,2.4916,2.4916,1048800
1990-04-20,2.4916,2.5119,2.4916,2.5018,81600
1990-04-23,2.5119,2.5119,2.4916,2.5119,56400
1990-04-24,2.4916,2.5119,2.4916,2.5119,70800
1990-04-25,2.5119,2.5119,2.4916,2.4916,76800
1990-04-26,2.4815,2.5119,2.4815,2.4815,273600
1990-04-27,2.4815,2.5018,2.4714,2.4714,442800
1990-04-30,2.4714,2.4916,2.4613,2.4714,1083600
1990-05-01,2.4916,2.4916,2.4714,2.4916,82998
1990-05-02,2.4916,2.4916,2.4511,2.4511,106800
1990-05-03,2.4916,2.4916,2.4511,2.4511,242400
1990-05-04,2.4714,2.4714,2.4309,2.4617,348402
1990-05-07,2.4714,2.4714,2.4309,2.4714,1182402
1990-05-08,2.4309,2.4714,2.4309,2.4714,895200
1990-05-09,2.4916,2.5322,2.4511,2.5119,415602
1990-05-10,2.5322,2.5727,2.5119,2.5727,126402
1990-05-11,2.5727,2.6334,2.5727,2.6334,247602
1990-05-14,2.6334,2.6537,2.5929,2.5929,174402
1990-05-15,2.6334,2.7145,2.5929,2.6942,377202
1990-05-16,2.6942,2.6942,2.6537,2.6837,168000
1990-05-17,2.6942,2.6942,2.6537,2.6537,68802
1990-05-18,2.6537,2.6837,2.6334,2.6740,53202
1990-05-21,2.6942,2.7347,2.6537,2.7145,131202
1990-05-22,2.7145,2.7347,2.6942,2.6942,193602
1990-05-23,2.6942,2.7347,2.6740,2.6942,1092000
1990-05-24,2.6740,2.6942,2.6537,2.6537,31602
1990-05-25,2.6537,2.6942,2.6334,2.6334,34002
1990-05-29,2.6740,2.6740,2.6334,2.6334,117600
1990-05-30,2.6334,2.6537,2.6334,2.6537,338802
1990-05-31,2.6334,2.6334,2.5524,2.5727,667200
1990-06-01,2.5727,2.5929,2.5524,2.5621,437202
