Date,Open,High,Low,Close,Volume
1983-09-01,0.6699,0.6797,0.6625,0.6649,672000
1983-09-02,0.6613,0.6649,0.6600,0.6625,552000
1983-09-06,0.6699,0.6748,0.6649,0.6748,374400
1983-09-07,0.6748,0.6761,0.6625,0.6625,854400
1983-09-08,0.6699,0.6797,0.6638,0.6797,1257600
1983-09-09,0.6797,0.6846,0.6625,0.6649,902400
1983-09-12,0.6748,0.6797,0.6699,0.6772,513600
1983-09-13,0.6871,0.6945,0.6797,0.6896,5289600
1983-09-14,0.6994,0.7093,0.6920,0.7093,129600
1983-09-15,0.7191,0.7339,0.7093,0.7339,129600
1983-09-16,0.7388,0.7511,0.7339,0.7487,2587200
1983-09-19,0.7782,0.8078,0.7634,0.7979,2587200
1983-09-20,0.7979,0.7979,0.7585,0.7782,1118400
1983-09-21,0.7684,0.7979,0.7611,0.7684,502392
1983-09-22,0.7684,0.7979,0.7684,0.7954,230400
1983-09-23,0.8028,0.8052,0.7979,0.7979,393600
1983-09-26,0.7881,0.7930,0.7733,0.7930,528000
1983-09-27,0.7684,0.7881,0.7585,0.7658,782400
1983-09-28,0.7658,0.7782,0.7658,0.7782,222408
1983-09-29,0.7782,0.7831,0.7684,0.7684,201600
1983-09-30,0.7684,0.7782,0.7487,0.7487,1139208
1983-10-03,0.7388,0.7487,0.7290,0.7388,158400
1983-10-04,0.7585,0.7684,0.7487,0.7634,707208
1983-10-05,0.7634,0.7684,0.7634,0.7684,2049600
1983-10-06,0.7684,0.7733,0.7536,0.7634,385608
1983-10-07,0.7634,0.7658,0.7611,0.7658,163200
1983-10-10,0.7611,0.7634,0.7585,0.7634,96000
1983-10-11,0.7634,0.7634,0.7585,0.7634,86400
1983-10-12,0.7634,0.7634,0.7585,0.7585,240000
1983-10-13,0.7585,0.7658,0.7536,0.7611,62400
1983-10-14,0.7611,0.7634,0.7536,0.7585,140808
1983-10-17,0.7585,0.7634,0.7585,0.7585,116808
1983-10-18,0.7585,0.7585,0.7536,0.7536,120000
1983-10-19,0.7536,0.7536,0.7487,0.7487,153600
1983-10-20,0.7487,0.7562,0.7461,0.7487,155208
1983-10-21,0.7487,0.7536,0.7388,0.7536,278400
1983-10-24,0.7414,0.7487,0.7339,0.7339,38400
1983-10-25,0.7339,0.7339,0.7240,0.7290,390408
1983-10-26,0.7290,0.7585,0.7266,0.7585,768000
1983-10-27,0.7510,0.7510,0.7437,0.7437,155208
1983-10-28,0.7388,0.7487,0.7388,0.7437,984000
1983-10-31,0.7414,0.7414,0.7388,0.7388,217608
1983-11-01,0.7414,0.7414,0.7290,0.7339,587208
1983-11-02,0.7290,0.7290,0.7191,0.7191,78408
1983-11-03,0.7191,0.7191,0.6896,0.7093,625608
1983-11-04,0.7093,0.7191,0.7093,0.7142,419208
1983-11-07,0.7166,0.7166,0.7020,0.7043,201600
1983-11-08,0.7043,0.7191,0.7043,0.7191,366408
1983-11-09,0.7118,0.7142,0.7093,0.7118,92808
1983-11-10,0.7191,0.7290,0.7191,0.7191,230400
1983-11-11,0.7191,0.7290,0.7191,0.7215,187200
1983-11-14,0.7266,0.7290,0.7240,0.7240,121608
1983-11-15,0.7240,0.7290,0.7142,0.7290,1532808
1983-11-16,0.7339,0.7437,0.7315,0.7339,97608
1983-11-17,0.7585,0.7782,0.7388,0.7634,240000
1983-11-18,0.7684,0.7733,0.7611,0.7634,198408
1983-11-21,0.7684,0.7757,0.7562,0.7562,443208
1983-11-22,0.7634,0.7684,0.7487,0.7658,566400
1983-11-23,0.7658,0.7684,0.7585,0.7658,155208
1983-11-25,0.7658,0.7658,0.7536,0.7585,78408
1983-11-28,0.7634,0.7634,0.7437,0.7487,331200
1983-11-29,0.7437,0.7658,0.7437,0.7658,4108800
1983-11-30,0.7684,0.7831,0.7684,0.7806,883200
1983-12-01,0.7831,0.7831,0.7634,0.7733,476808
1983-12-02,0.7782,0.7857,0.7733,0.7782,385608
1983-12-05,0.7782,0.7857,0.7733,0.7733,64008
1983-12-06,0.7757,0.7757,0.7658,0.7733,409608
1983-12-07,0.7782,0.7831,0.7709,0.7806,331200
1983-12-08,0.7782,0.7857,0.7684,0.7757,283200
1983-12-09,0.7733,0.7782,0.7709,0.7709,249600
1983-12-12,0.7782,0.7831,0.7684,0.7709,539208
1983-12-13,0.7709,0.7757,0.7709,0.7709,163200
1983-12-14,0.7733,0.7733,0.7684,0.7684,380808
1983-12-15,0.7634,0.7757,0.7634,0.7658,174408
1983-12-16,0.7658,0.7733,0.7658,0.7733,91200
1983-12-19,0.7782,0.7782,0.7658,0.7658,120000
1983-12-20,0.7709,0.7831,0.7709,0.7757,302400
1983-12-21,0.7733,0.7930,0.7733,0.7930,609600
1983-12-22,0.7881,0.7881,0.7782,0.7831,1316808
1983-12-23,0.7857,0.7857,0.7806,0.7857,96000
1983-12-27,0.7831,0.7881,0.7782,0.7857,254400
1983-12-28,0.7881,0.7906,0.7831,0.7881,160008
1983-12-29,0.7881,0.8226,0.7881,0.8226,472008
1983-12-30,0.8275,0.8423,0.8275,0.8423,1377600
1984-01-03,0.8472,0.8718,0.8373,0.8472,753600
1984-01-04,0.8423,0.8423,0.8226,0.8275,347208
1984-01-05,0.8324,0.8423,0.8275,0.8324,422400
1984-01-06,0.8275,0.8570,0.8275,0.8570,1358400
1984-01-09,0.8620,0.8620,0.8472,0.8472,340800
1984-01-10,0.8521,0.8596,0.8472,0.8521,328008
1984-01-11,0.8472,0.8472,0.8348,0.8348,43200
1984-01-12,0.8397,0.8472,0.8324,0.8397,308808
1984-01-13,0.8472,0.8472,0.8348,0.8397,121608
1984-01-16,0.8300,0.8448,0.8226,0.8226,371208
1984-01-17,0.8275,0.8275,0.8176,0.8226,83208
1984-01-18,0.8176,0.8176,0.7831,0.7857,299208
1984-01-19,0.7881,0.7881,0.7733,0.7831,422400
1984-01-20,0.7782,0.7881,0.7782,0.7881,268800
1984-01-23,0.7906,0.7930,0.7782,0.7831,672000
1984-01-24,0.7806,0.7857,0.7782,0.7806,168000
1984-01-25,0.7782,0.7806,0.7757,0.7806,131208
1984-01-26,0.7782,0.7782,0.7658,0.7757,456000
1984-01-27,0.7757,0.7757,0.7585,0.7585,259200
1984-01-30,0.7634,0.7733,0.7191,0.7191,552000
1984-01-31,0.7290,0.7339,0.7240,0.7339,288000
1984-02-01,0.7339,0.7363,0.6896,0.6896,611208
1984-02-02,0.6896,0.7093,0.6896,0.7067,264000
