Date,Open,High,Low,Close,Volume
2013-06-19,13.6385,14.5043,13.5671,14.1026,31981500
2013-06-20,14.6114,14.6114,13.6117,13.6563,9274200
2013-06-21,14.0134,14.1026,13.7456,13.9419,8323500
2013-06-24,13.9598,14.1383,13.5671,13.8616,4279700
2013-06-25,13.8795,14.0491,13.7010,14.0312,3577300
2013-06-26,14.0044,14.0044,13.5492,13.7456,14755100
2013-06-27,13.6920,14.1651,13.2547,13.8348,12121700
2013-06-28,13.8348,14.0758,13.6117,13.6117,16988100
2013-07-01,13.9152,13.9152,13.1654,13.2011,25839400
2013-07-02,13.1119,13.4957,13.1119,13.3886,30520100
2013-07-03,13.3439,13.4689,13.1476,13.2725,8542600
2013-07-05,13.3439,14.2365,13.2904,13.9776,12427000
2013-07-08,13.9509,14.3168,13.8304,14.2410,15345100
2013-07-09,14.0937,14.2543,13.8348,14.0223,9936400
2013-07-10,13.8348,13.8973,13.5180,13.7367,16327000
2013-07-11,13.9241,13.9241,13.3528,13.5046,17029600
2013-07-12,13.4510,13.4957,13.2993,13.3261,10426300
2013-07-15,13.3261,13.4153,12.8441,13.0940,20636400
2013-07-16,13.0047,13.6920,13.0047,13.6385,9328500
2013-07-17,13.7099,14.2454,13.6474,14.1829,13411100
2013-07-18,14.2276,14.3704,13.6831,13.8081,10825700
2013-07-19,13.7010,14.3525,13.6206,14.2543,11658700
2013-07-22,14.3615,14.3927,13.9330,14.0401,6141600
2013-07-23,14.0044,14.1606,13.8705,13.9687,9298400
2013-07-24,13.9687,14.1785,13.7634,14.0223,6205200
2013-07-25,13.9776,14.1651,13.7902,13.8973,7069700
2013-07-26,13.8705,14.2543,13.6652,14.1829,5884800
2013-07-29,14.1651,14.1651,13.7456,13.8438,9020200
2013-07-30,13.9241,14.2410,13.7991,14.2365,12798200
2013-07-31,14.2811,14.4686,14.1294,14.2186,7681500
2013-08-01,14.2276,14.5310,14.2276,14.4730,10303300
2013-08-02,14.4150,14.7006,14.3882,14.5846,8258600
2013-08-05,14.5757,14.5757,14.1829,14.2811,8754100
2013-08-06,14.2722,14.5043,14.1205,14.4418,6232000
2013-08-07,14.4150,14.4150,14.1472,14.2365,4755000
2013-08-08,14.3436,14.5578,14.2008,14.3972,7110400
2013-08-09,14.3615,14.4239,14.2454,14.2633,4293800
2013-08-12,14.1740,14.3347,14.0491,14.2097,4882400
2013-08-13,14.2008,14.2365,14.1026,14.1294,3615400
2013-08-14,14.1294,14.2900,13.9776,14.1919,3940500
2013-08-15,14.0937,14.4507,14.0134,14.3704,5160000
2013-08-16,14.3168,14.5043,14.2454,14.2633,6373200
2013-08-19,14.3257,14.3347,14.0044,14.0134,6123600
2013-08-20,14.1294,14.1294,13.8527,14.0134,4265600
2013-08-21,13.9330,14.0848,13.8259,14.0669,5040000
2013-08-22,14.0669,14.1249,13.9509,14.0223,3731700
2013-08-23,14.0223,14.0937,13.8973,14.0580,3981300
2013-08-26,14.0937,14.1919,14.0223,14.1562,4125000
2013-08-27,14.0580,14.2811,14.0044,14.0392,9059500
2013-08-28,14.0669,14.1115,13.9955,14.0669,11099300
2013-08-29,14.0401,14.1829,13.9598,14.0758,2795500
2013-08-30,14.0580,14.0848,13.9152,14.0134,5386300
2013-09-03,14.1829,14.3079,14.0044,14.0848,3783600
2013-09-04,14.0937,14.3525,14.0669,14.3079,4992000
2013-09-05,14.2543,14.5266,14.1740,14.4953,3521200
2013-09-06,14.5578,14.5846,14.3525,14.4507,3358700
2013-09-09,14.4239,14.5846,14.4239,14.5801,3668900
2013-09-10,14.6203,14.7899,14.5043,14.7765,4292100
2013-09-11,14.8613,15.2272,14.7274,15.2183,7562700
2013-09-12,15.2808,15.4058,15.1201,15.2674,4836500
2013-09-13,15.2272,15.2451,14.9684,15.0755,2717700
2013-09-16,15.2808,15.3521,14.9773,15.1380,5758300
2013-09-17,15.2005,15.3254,15.0755,15.1692,2538500
2013-09-18,15.1648,15.3344,15.0309,15.2139,3862600
2013-09-19,15.2629,15.2629,14.8702,15.0585,3286100
2013-09-20,15.1023,15.1737,14.7006,14.8479,4594000
2013-09-23,14.8345,14.8524,14.6114,14.7542,2360000
2013-09-24,14.7542,15.3522,14.7319,15.2094,5611800
2013-09-25,15.2005,15.2094,14.8881,14.9952,4389700
2013-09-26,14.9684,15.0577,14.3704,14.5400,12737900
2013-09-27,14.3704,14.5043,14.2722,14.4329,7098300
2013-09-30,14.4596,14.5132,14.2008,14.3347,6237900
2013-10-01,14.3257,14.4061,14.1026,14.2008,8815300
2013-10-02,14.1472,14.5221,14.0134,14.4061,17758200
2013-10-03,14.4061,14.5042,14.0937,14.1651,17833500
2013-10-04,14.1383,14.2900,14.0937,14.1383,13660000
2013-10-07,14.0134,14.2633,14.0044,14.2008,8663200
2013-10-08,13.8444,14.2588,13.8444,14.1026,4825300
2013-10-09,14.1026,14.2365,14.0580,14.1740,4210300
2013-10-10,14.2633,14.5043,14.2276,14.4775,5506700
2013-10-11,14.4239,14.8167,14.4061,14.6471,5085700
