Date,Open,High,Low,Close,Volume
2010-08-06,11.7738,12.7519,11.7647,12.6795,10678500
2010-08-09,12.6795,12.6795,12.4078,12.6795,1819500
2010-08-10,12.4712,12.5346,12.2991,12.3172,1579300
2010-08-11,12.0002,12.1179,11.2757,11.5474,2588200
2010-08-12,11.1036,11.3300,10.9587,11.2213,1780300
2010-08-13,11.0945,11.3481,10.7323,10.8681,957600
2010-08-16,10.6779,11.0764,10.5873,10.6689,551600
2010-08-17,10.7413,11.1398,10.6417,11.0674,1086700
2010-08-18,10.9406,11.4115,10.8681,10.8681,1010600
2010-08-19,10.8228,10.9587,10.2436,10.4606,746000
2010-08-20,10.3700,10.4153,9.9896,10.0983,450600
2010-08-23,10.2160,10.4153,9.4734,9.9443,761800
2010-08-24,9.7451,10.2341,9.5096,9.6726,746700
2010-08-25,9.5096,10.0802,9.2651,9.7360,1112200
2010-08-26,9.9081,10.0983,9.7813,9.9624,581400
2010-08-27,10.0983,10.4062,9.9534,10.0621,370900
2010-08-30,9.9715,10.2070,9.9715,10.0485,226900
2010-08-31,9.9715,10.1707,9.8447,10.0304,236000
2010-09-01,10.0349,10.8228,9.7451,10.6236,412800
2010-09-02,10.0349,10.7866,10.0349,10.7504,98500
2010-09-03,10.7775,11.1579,10.4877,10.7685,231400
2010-09-07,10.8681,11.1942,10.6689,10.8953,468400
2010-09-08,10.4062,11.0311,10.3428,11.0130,1483700
2010-09-09,11.0583,11.4342,10.4243,10.7775,235600
2010-09-10,10.8500,10.9813,10.6960,10.8500,362900
2010-09-13,10.9496,11.0855,10.7233,10.8138,303900
2010-09-14,10.7323,11.0945,10.7323,11.0855,250600
2010-09-15,11.3391,11.7013,11.1852,11.2938,561100
2010-09-16,11.2847,11.4477,10.8772,10.8862,323300
2010-09-17,10.8772,11.0945,10.7051,10.9406,252300
2010-09-20,11.0583,11.7466,10.9587,11.4930,404100
2010-09-21,11.4206,11.6379,11.1942,11.3300,178800
2010-09-22,11.2304,11.4115,10.8772,11.0311,184600
2010-09-23,10.8681,11.3119,10.7685,10.8681,320800
2010-09-24,10.9587,11.2032,10.7051,11.0674,146900
2010-09-27,11.0221,11.2213,10.8862,11.0945,186600
2010-09-28,11.0583,11.4296,10.9677,11.4206,168800
2010-09-29,11.4387,11.6651,11.3119,11.3662,238500
2010-09-30,11.4296,11.7285,11.1036,11.2213,196800
2010-10-01,11.2938,11.5655,11.1036,11.1942,170500
2010-10-04,11.2123,11.5110,11.0945,11.1851,140700
2010-10-05,11.2575,11.4930,11.0674,11.1851,256900
2010-10-06,11.1579,11.3119,10.9858,11.2938,90400
2010-10-07,11.3209,11.3209,10.5149,10.7323,252800
2010-10-08,10.6870,10.9677,10.6145,10.8500,251900
2010-10-11,10.8228,11.0040,10.7866,10.9134,63700
2010-10-12,10.8772,11.1398,10.7882,11.1398,59600
2010-10-13,11.1489,11.1670,10.8862,10.9315,222000
2010-10-14,10.9315,11.0764,10.8681,11.0040,223700
2010-10-15,11.1851,11.1851,10.7368,10.8138,396200
2010-10-18,10.8319,11.1308,10.5511,11.0855,53500
2010-10-19,10.9224,11.0945,10.8772,10.9677,130100
2010-10-20,11.0221,11.2757,10.4334,11.0492,124800
2010-10-21,10.9677,11.2304,10.9677,11.0945,58800
2010-10-22,11.0492,11.4206,11.0311,11.1670,94200
2010-10-25,11.0501,11.4025,11.0501,11.2032,128300
2010-10-26,11.0945,11.3119,10.7866,11.1217,186100
2010-10-27,11.1217,11.5926,11.1217,11.5655,263800
2010-10-28,11.6108,12.0908,11.4115,11.9459,409900
2010-10-29,11.9187,12.1995,11.6651,11.9459,434600
2010-11-01,12.0183,12.2266,11.3753,11.4930,432100
2010-11-02,11.6832,12.1632,11.2938,12.0183,300900
2010-11-03,11.9640,12.4983,11.8734,12.3494,359900
2010-11-04,12.4440,12.6795,12.2542,12.6523,274600
2010-11-05,12.5889,12.6795,12.3534,12.6523,175600
2010-11-08,12.6795,12.6795,12.3262,12.4712,179900
2010-11-09,12.4259,12.6342,11.9549,12.3444,269800
2010-11-10,12.3172,12.4349,11.8191,12.0636,172300
