Date,Open,High,Low,Close,Volume
1994-10-18,1.2899,1.3003,1.2697,1.2899,405200
1994-10-19,1.3003,1.4108,1.3003,1.4011,242200
1994-10-20,1.4213,1.4616,1.4108,1.4108,137200
1994-10-21,1.4108,1.4213,1.3810,1.3906,66600
1994-10-24,1.3906,1.4213,1.3608,1.3608,73400
1994-10-25,1.3503,1.3906,1.3302,1.3810,63200
1994-10-26,1.3729,1.3932,1.3729,1.3729,46200
1994-10-27,1.3729,1.3932,1.3729,1.3729,33800
1994-10-28,1.3729,1.3827,1.3526,1.3526,40000
1994-10-31,1.3623,1.3729,1.3526,1.3526,32800
1994-11-01,1.3526,1.3623,1.3420,1.3526,33000
1994-11-02,1.3526,1.3623,1.3119,1.3420,73200
1994-11-03,1.3526,1.3623,1.3322,1.3322,54800
1994-11-04,1.3322,1.3420,1.3013,1.3013,65600
1994-11-07,1.3013,1.3217,1.3013,1.3013,71200
1994-11-08,1.3013,1.3217,1.3013,1.3217,103000
1994-11-09,1.3119,1.3322,1.3119,1.3119,60000
1994-11-10,1.3013,1.3322,1.2712,1.2810,74200
1994-11-11,1.2916,1.2916,1.2403,1.2712,78400
1994-11-14,1.2607,1.2916,1.2403,1.2810,63800
1994-11-15,1.2509,1.2810,1.2403,1.2509,68200
1994-11-16,1.2509,1.2712,1.2403,1.2607,83200
1994-11-17,1.2403,1.2712,1.2403,1.2712,96400
1994-11-18,1.2607,1.2607,1.2403,1.2403,110400
1994-11-21,1.2607,1.2810,1.2403,1.2607,132600
1994-11-22,1.2509,1.2712,1.2509,1.2607,90200
1994-11-23,1.2509,1.2712,1.2509,1.2712,47000
1994-11-25,1.2522,1.2834,1.2522,1.2834,32800
1994-11-28,1.2834,1.3040,1.2728,1.3040,66400
1994-11-29,1.3040,1.3138,1.2933,1.2933,46600
1994-11-30,1.3040,1.3245,1.2933,1.3138,70400
1994-12-01,1.3138,1.3245,1.3040,1.3245,66600
1994-12-02,1.3138,1.3245,1.3040,1.3040,30600
1994-12-05,1.2933,1.3138,1.2933,1.3040,44200
1994-12-06,1.2933,1.3040,1.2834,1.3040,42000
1994-12-07,1.2834,1.3040,1.2834,1.3040,33000
1994-12-08,1.2933,1.3138,1.2933,1.2933,37400
1994-12-09,1.2834,1.3040,1.2834,1.2933,70400
1994-12-12,1.3040,1.3138,1.2933,1.2933,31000
1994-12-13,1.3040,1.3040,1.2933,1.2933,67200
