Date,Open,High,Low,Close,Volume
1991-10-24,0.5737,0.5737,0.5474,0.5525,43039203
1991-10-25,0.5525,0.5686,0.5525,0.5686,4228496
1991-10-28,0.5631,0.6111,0.5631,0.6111,5321700
1991-10-29,0.6056,0.6162,0.6056,0.6111,5021990
1991-10-30,0.6111,0.6375,0.6111,0.6268,5230211
1991-10-31,0.6430,0.6430,0.6162,0.6162,2201694
1991-11-01,0.6162,0.6268,0.6056,0.6111,1406993
1991-11-04,0.6111,0.6217,0.6005,0.6005,1217703
1991-11-05,0.6162,0.6162,0.6005,0.6111,773993
1991-11-06,0.6056,0.6111,0.6005,0.6111,1509303
1991-11-07,0.6111,0.6111,0.6005,0.6111,528297
1991-11-08,0.6005,0.6111,0.6005,0.6005,641702
1991-11-11,0.6005,0.6162,0.6005,0.6056,374410
1991-11-12,0.6217,0.6217,0.6056,0.6162,1233901
1991-11-13,0.6056,0.6162,0.6056,0.6111,105591
1991-11-14,0.6217,0.6217,0.6056,0.6217,419699
1991-11-15,0.6056,0.6268,0.6056,0.6056,441296
1991-11-18,0.6056,0.6111,0.5899,0.5899,683096
1991-11-19,0.6005,0.6005,0.4994,0.5261,1786506
1991-11-20,0.5261,0.5686,0.5261,0.5580,911091
1991-11-21,0.5737,0.5950,0.5580,0.5950,259205
1991-11-22,0.5950,0.6005,0.5844,0.5844,315908
1991-11-25,0.5844,0.5950,0.5737,0.5737,561603
1991-11-26,0.5737,0.5737,0.5686,0.5737,115205
1991-11-27,0.5686,0.5737,0.5580,0.5580,379194
1991-11-29,0.5525,0.5737,0.5525,0.5525,28203
1991-12-02,0.5737,0.5793,0.5580,0.5793,486311
1991-12-03,0.5580,0.5580,0.5580,0.5580,3896
1991-12-04,0.5737,0.5950,0.5580,0.5950,641702
1991-12-05,0.5950,0.5950,0.5844,0.5844,48911
1991-12-06,0.5737,0.5950,0.5737,0.5899,137690
1991-12-09,0.5737,0.5950,0.5737,0.5793,64790
1991-12-10,0.5844,0.6111,0.5844,0.5950,437696
1991-12-11,0.5899,0.6111,0.5899,0.5950,575090
1991-12-12,0.5950,0.6111,0.5950,0.5950,304198
1991-12-13,0.5950,0.6056,0.5899,0.6056,333905
1991-12-16,0.6056,0.6056,0.5899,0.5950,136209
1991-12-17,0.5950,0.6111,0.5950,0.6005,445806
1991-12-18,0.6005,0.6056,0.5950,0.5950,755996
1991-12-19,0.5950,0.5950,0.5899,0.5950,243008
1991-12-20,0.6111,0.6111,0.5899,0.5899,12598
1991-12-23,0.5899,0.6111,0.5899,0.5950,515995
1991-12-24,0.5950,0.6375,0.5950,0.6217,413411
1991-12-26,0.6375,0.6375,0.6268,0.6375,231298
1991-12-27,0.6375,0.6536,0.6324,0.6481,720890
1991-12-30,0.6430,0.6800,0.6324,0.6800,550805
1991-12-31,0.7067,0.7225,0.6961,0.7012,1042493
1992-01-02,0.7012,0.7012,0.6749,0.6961,611403
1992-01-03,0.6855,0.7012,0.6855,0.7012,32691
1992-01-06,0.6961,0.7118,0.6961,0.6961,309597
1992-01-07,0.6961,0.7386,0.6961,0.7225,1436403
1992-01-08,0.7386,0.7386,0.7225,0.7225,188105
1992-01-09,0.7437,0.7437,0.7225,0.7225,787502
1992-01-10,0.7225,0.7280,0.7174,0.7174,204302
1992-01-13,0.7225,0.7331,0.7067,0.7118,224395
