Date,Open,High,Low,Close,Volume
1985-07-01,0.5741,0.5832,0.5741,0.5741,110504
1985-07-02,0.5763,0.5853,0.5763,0.5853,86800
1985-07-03,0.5853,0.5899,0.5853,0.5877,74904
1985-07-05,0.5877,0.5899,0.5763,0.5763,141600
1985-07-08,0.5763,0.5786,0.5651,0.5763,69400
1985-07-09,0.5763,0.5832,0.5741,0.5763,146200
1985-07-10,0.5763,0.5808,0.5741,0.5763,145200
1985-07-11,0.5763,0.5832,0.5718,0.5786,210104
1985-07-12,0.5786,0.5832,0.5763,0.5832,97704
1985-07-15,0.5832,0.5832,0.5763,0.5832,103200
1985-07-16,0.5832,0.5877,0.5808,0.5877,133400
1985-07-17,0.5877,0.5922,0.5853,0.5853,339000
1985-07-18,0.5853,0.5899,0.5808,0.5877,118704
1985-07-19,0.5877,0.5877,0.5786,0.5832,227504
1985-07-22,0.5832,0.5832,0.5786,0.5808,3675104
1985-07-23,0.5808,0.5808,0.5741,0.5786,146200
1985-07-24,0.5786,0.5786,0.5718,0.5786,106904
1985-07-25,0.5629,0.5629,0.5560,0.5606,103200
1985-07-26,0.5606,0.5673,0.5560,0.5673,74904
1985-07-29,0.5673,0.5673,0.5584,0.5584,77600
1985-07-30,0.5584,0.5606,0.5560,0.5584,32800
1985-07-31,0.5584,0.5606,0.5515,0.5584,93200
1985-08-01,0.5584,0.5629,0.5560,0.5606,116000
1985-08-02,0.5560,0.5560,0.5470,0.5494,62104
1985-08-05,0.5494,0.5515,0.5199,0.5220,176304
1985-08-06,0.5220,0.5267,0.5175,0.5175,262200
1985-08-07,0.5175,0.5289,0.5108,0.5244,190000
1985-08-08,0.5244,0.5267,0.5199,0.5199,88600
1985-08-09,0.5199,0.5244,0.5199,0.5199,63904
1985-08-12,0.5199,0.5244,0.5199,0.5220,182704
1985-08-13,0.5220,0.5267,0.5220,0.5220,87704
1985-08-14,0.5220,0.5358,0.5220,0.5289,197304
1985-08-15,0.5289,0.5358,0.5267,0.5358,257600
1985-08-16,0.5358,0.5358,0.5267,0.5289,53904
1985-08-19,0.5289,0.5358,0.5267,0.5313,71200
1985-08-20,0.5313,0.5403,0.5289,0.5380,52904
1985-08-21,0.5380,0.5403,0.5380,0.5403,58400
1985-08-22,0.5403,0.5403,0.5289,0.5358,93200
1985-08-23,0.5358,0.5425,0.5358,0.5425,59304
1985-08-26,0.5425,0.5425,0.5425,0.5425,14600
1985-08-27,0.5425,0.5425,0.5380,0.5380,26400
1985-08-28,0.5425,0.5494,0.5425,0.5448,69400
1985-08-29,0.5448,0.5448,0.5380,0.5403,68504
1985-08-30,0.5403,0.5448,0.5380,0.5448,64800
1985-09-03,0.5448,0.5448,0.5380,0.5380,74904
1985-09-04,0.5380,0.5425,0.5380,0.5425,49304
1985-09-05,0.5425,0.5470,0.5425,0.5448,53904
1985-09-06,0.5448,0.5515,0.5448,0.5494,52904
1985-09-09,0.5494,0.5515,0.5470,0.5515,99504
1985-09-10,0.5515,0.5515,0.5448,0.5448,113304
1985-09-11,0.5448,0.5494,0.5448,0.5448,41104
1985-09-12,0.5448,0.5448,0.5380,0.5403,70304
1985-09-13,0.5403,0.5494,0.5380,0.5425,107800
1985-09-16,0.5425,0.5448,0.5380,0.5403,67600
1985-09-17,0.5403,0.5403,0.5358,0.5380,73104
1985-09-18,0.5380,0.5403,0.5334,0.5358,174504
1985-09-19,0.5334,0.5334,0.5313,0.5334,813200
1985-09-20,0.5334,0.5380,0.5289,0.5289,115104
1985-09-23,0.5289,0.5289,0.5267,0.5289,139800
1985-09-24,0.5289,0.5289,0.5244,0.5244,26400
1985-09-25,0.5244,0.5244,0.5199,0.5199,55704
1985-09-26,0.5199,0.5199,0.5063,0.5063,237504
1985-09-30,0.5063,0.5108,0.5040,0.5085,263104
1985-10-01,0.5085,0.5085,0.5063,0.5063,385600
1985-10-02,0.5063,0.5108,0.5063,0.5108,81304
1985-10-03,0.5108,0.5175,0.5085,0.5175,58400
1985-10-04,0.5175,0.5199,0.5130,0.5154,42904
1985-10-07,0.5154,0.5244,0.5130,0.5244,52904
1985-10-08,0.5244,0.5244,0.5108,0.5244,183600
1985-10-09,0.5244,0.5313,0.5244,0.5289,62104
1985-10-10,0.5289,0.5313,0.5244,0.5244,59304
1985-10-11,0.5244,0.5289,0.5199,0.5220,52904
1985-10-14,0.5220,0.5403,0.5175,0.5220,32800
1985-10-15,0.5220,0.5220,0.5175,0.5199,104104
1985-10-16,0.5199,0.5220,0.5175,0.5199,36504
1985-10-17,0.5199,0.5220,0.5175,0.5175,90400
1985-10-18,0.5175,0.5199,0.5154,0.5175,50200
1985-10-21,0.5175,0.5289,0.5175,0.5289,65704
1985-10-22,0.5289,0.5313,0.5220,0.5244,51104
1985-10-23,0.5244,0.5244,0.5175,0.5244,12928704
1985-10-24,0.5267,0.5334,0.5267,0.5334,1477504
1985-10-25,0.5220,0.5220,0.5175,0.5199,62104
1985-10-28,0.5199,0.5220,0.5154,0.5154,471504
1985-10-29,0.5175,0.5199,0.5175,0.5199,1464704
1985-10-30,0.5244,0.5289,0.5244,0.5244,74000
1985-10-31,0.5289,0.5289,0.5244,0.5244,74000
1985-11-01,0.5244,0.5289,0.5220,0.5267,169000
1985-11-04,0.5267,0.5313,0.5244,0.5267,74904
1985-11-05,0.5267,0.5334,0.5244,0.5334,80400
1985-11-06,0.5334,0.5334,0.5244,0.5289,183600
1985-11-07,0.5289,0.5313,0.5244,0.5289,512600
1985-11-08,0.5289,0.5313,0.5220,0.5313,101400
1985-11-11,0.5313,0.5358,0.5289,0.5358,148904
1985-11-12,0.5380,0.5560,0.5380,0.5515,280504
1985-11-13,0.5539,0.5629,0.5539,0.5584,283200
1985-11-14,0.5584,0.5584,0.5539,0.5584,120600
1985-11-15,0.5539,0.5539,0.5515,0.5539,132400
1985-11-18,0.5539,0.5584,0.5539,0.5584,124200
1985-11-19,0.5584,0.5651,0.5560,0.5606,169904
1985-11-20,0.5606,0.5606,0.5560,0.5560,47504
1985-11-21,0.5584,0.5673,0.5584,0.5651,213800
1985-11-22,0.5651,0.5741,0.5651,0.5696,134304
1985-11-25,0.5696,0.5741,0.5696,0.5718,78504
1985-11-26,0.5718,0.5763,0.5696,0.5763,99504
1985-11-27,0.5763,0.5808,0.5718,0.5763,139800
1985-11-29,0.5763,0.5786,0.5718,0.5741,74000
1985-12-02,0.5741,0.5786,0.5673,0.5696,132400
1985-12-03,0.5696,0.5741,0.5629,0.5718,116000
1985-12-04,0.5718,0.5741,0.5651,0.5741,186400
1985-12-05,0.5741,0.5763,0.5696,0.5696,181800
1985-12-06,0.5696,0.5696,0.5629,0.5651,183600
1985-12-09,0.5651,0.5651,0.5539,0.5629,130600
1985-12-10,0.5629,0.5673,0.5470,0.5494,105000
1985-12-11,0.5470,0.5470,0.5358,0.5358,127904
1985-12-12,0.5358,0.5425,0.5358,0.5358,134304
1985-12-13,0.5358,0.5606,0.5358,0.5606,229304
1985-12-16,0.5606,0.5696,0.5560,0.5651,198200
1985-12-17,0.5651,0.5696,0.5629,0.5696,142504
1985-12-18,0.5696,0.5696,0.5606,0.5629,108704
1985-12-19,0.5629,0.5696,0.5560,0.5651,85800
1985-12-20,0.5651,0.5763,0.5494,0.5763,283200
1985-12-23,0.5763,0.5786,0.5741,0.5763,47504
1985-12-24,0.5763,0.5763,0.5718,0.5741,87704
1985-12-26,0.5741,0.5763,0.5673,0.5696,42904
1985-12-27,0.5696,0.5763,0.5629,0.5696,124200
1985-12-30,0.5696,0.5741,0.5606,0.5741,88600
1985-12-31,0.5741,0.5763,0.5718,0.5763,135200
1986-01-02,0.5763,0.5786,0.5741,0.5786,56600
1986-01-03,0.5786,0.5853,0.5741,0.5853,1557904
1986-01-06,0.5853,0.5853,0.5763,0.5763,1475704
1986-01-07,0.5763,0.5877,0.5763,0.5853,141600
1986-01-08,0.5853,0.5853,0.5718,0.5741,90400
1986-01-09,0.5741,0.5786,0.5718,0.5718,288704
1986-01-10,0.5718,0.5786,0.5718,0.5786,145200
1986-01-13,0.5786,0.5832,0.5741,0.5808,151600
1986-01-14,0.5808,0.5853,0.5741,0.5741,107800
1986-01-15,0.5741,0.5786,0.5741,0.5741,84000
1986-01-16,0.5741,0.5808,0.5741,0.5763,100504
1986-01-17,0.5763,0.5808,0.5741,0.5741,150704
1986-01-20,0.5741,0.5763,0.5718,0.5741,46600
1986-01-21,0.5741,0.5786,0.5718,0.5741,74904
1986-01-22,0.5741,0.5786,0.5718,0.5741,239400
1986-01-23,0.5741,0.5786,0.5718,0.5763,126000
1986-01-24,0.5763,0.5808,0.5651,0.5741,7932304
1986-01-27,0.5629,0.5629,0.5584,0.5606,1221600
1986-01-28,0.5606,0.5606,0.5515,0.5560,834200
1986-01-29,0.5560,0.5584,0.5448,0.5448,177200
1986-01-30,0.5448,0.5494,0.5313,0.5313,148000
1986-01-31,0.5313,0.5425,0.5313,0.5425,74000
1986-02-03,0.5425,0.5494,0.5425,0.5470,86800
1986-02-04,0.5470,0.5539,0.5470,0.5515,229304
1986-02-05,0.5515,0.5539,0.5334,0.5334,63904
1986-02-06,0.5334,0.5358,0.5267,0.5267,350800
1986-02-07,0.5220,0.5220,0.5040,0.5040,211000
1986-02-10,0.5040,0.5063,0.4928,0.4973,196400
1986-02-11,0.4973,0.4994,0.4949,0.4994,153504
1986-02-12,0.4994,0.5085,0.4973,0.4994,243000
1986-02-13,0.4994,0.5063,0.4994,0.4994,95000
1986-02-14,0.4994,0.5154,0.4994,0.5154,128800
1986-02-18,0.5154,0.5334,0.5130,0.5313,159904
1986-02-19,0.5313,0.5313,0.5018,0.5063,245800
1986-02-20,0.5063,0.5130,0.5040,0.5130,280504
1986-02-21,0.5130,0.5154,0.5108,0.5154,178104
1986-02-24,0.5154,0.5175,0.5063,0.5108,232000
1986-02-25,0.5108,0.5130,0.5085,0.5130,96800
1986-02-26,0.5130,0.5130,0.5063,0.5063,197304
1986-02-27,0.5085,0.5175,0.5085,0.5175,122400
1986-02-28,0.5175,0.5244,0.5130,0.5175,193704
1986-03-03,0.5175,0.5313,0.5175,0.5244,127904
1986-03-04,0.5289,0.5380,0.5289,0.5334,327104
1986-03-05,0.5334,0.5334,0.5267,0.5313,127904
1986-03-06,0.5313,0.5334,0.5199,0.5267,201000
1986-03-07,0.5267,0.5313,0.5175,0.5244,180000
1986-03-10,0.5244,0.5244,0.5154,0.5199,319800
1986-03-11,0.5199,0.5244,0.5199,0.5244,127000
1986-03-12,0.5244,0.5334,0.5199,0.5313,236600
1986-03-13,0.5313,0.5358,0.5220,0.5358,477800
1986-03-14,0.5358,0.5380,0.5244,0.5358,281400
1986-03-17,0.5358,0.5358,0.5244,0.5244,156200
1986-03-18,0.5244,0.5358,0.5199,0.5358,138800
1986-03-19,0.5358,0.5358,0.5267,0.5358,74000
1986-03-20,0.5358,0.5358,0.5289,0.5334,44704
1986-03-21,0.5334,0.5515,0.5334,0.5515,420304
1986-03-24,0.5515,0.5560,0.5403,0.5560,200104
1986-03-25,0.5560,0.5696,0.5494,0.5696,261304
1986-03-26,0.5696,0.5696,0.5515,0.5584,1631000
1986-03-27,0.5584,0.5606,0.5494,0.5539,98600
1986-03-31,0.5515,0.5515,0.5358,0.5448,2941304
1986-04-01,0.5494,0.5494,0.5358,0.5380,70304
1986-04-02,0.5380,0.5560,0.5358,0.5515,163504
1986-04-03,0.5515,0.5606,0.5515,0.5584,126000
1986-04-04,0.5584,0.5606,0.5494,0.5515,365504
1986-04-07,0.5515,0.5560,0.5515,0.5515,91304
1986-04-08,0.5515,0.5560,0.5515,0.5539,80400
1986-04-09,0.5539,0.5560,0.5425,0.5470,228400
