Date,Open,High,Low,Close,Volume
1990-03-26,1.2999,1.3140,1.2931,1.3140,1022400
1990-03-27,1.3140,1.3214,1.2999,1.3214,2573600
1990-03-28,1.3214,1.3355,1.3140,1.3355,437600
1990-03-29,1.3214,1.3214,1.3214,1.3214,97600
1990-03-30,1.3214,1.3281,1.3214,1.3281,768000
1990-04-02,1.3281,1.3281,1.3072,1.3072,698400
1990-04-03,1.3072,1.3140,1.3072,1.3072,154400
1990-04-04,1.3072,1.3140,1.2507,1.3072,952800
1990-04-05,1.3072,1.3072,1.2857,1.2931,519200
1990-04-06,1.2931,1.2999,1.2790,1.2790,1216800
1990-04-09,1.2790,1.2931,1.2790,1.2857,489600
1990-04-10,1.2857,1.2931,1.2790,1.2790,544800
1990-04-11,1.2790,1.2931,1.2790,1.2857,264000
1990-04-12,1.2857,1.3072,1.2857,1.3072,363200
1990-04-16,1.3072,1.3281,1.2931,1.3214,273600
1990-04-17,1.3214,1.3281,1.3214,1.3281,212000
1990-04-18,1.3214,1.3214,1.3072,1.3140,715200
1990-04-19,1.3140,1.3140,1.2999,1.2999,993600
1990-04-20,1.2999,1.3140,1.2857,1.2931,851200
1990-04-23,1.2931,1.2999,1.2857,1.2931,528000
1990-04-24,1.2931,1.2999,1.2857,1.2999,876800
1990-04-25,1.2999,1.2999,1.2857,1.2999,455200
1990-04-26,1.2999,1.2999,1.2857,1.2999,1266400
1990-04-27,1.2999,1.2999,1.2857,1.2931,651200
1990-04-30,1.2931,1.3072,1.2931,1.3072,284000
1990-05-01,1.3072,1.3140,1.2931,1.2999,3185600
1990-05-02,1.2999,1.3072,1.2931,1.2931,469600
1990-05-03,1.2931,1.2999,1.2931,1.2999,2809600
1990-05-04,1.2999,1.3072,1.2931,1.3072,412000
1990-05-07,1.3072,1.3281,1.2999,1.3281,356800
1990-05-08,1.3281,1.3779,1.3281,1.3637,758400
1990-05-09,1.3637,1.3779,1.3564,1.3779,331200
1990-05-10,1.3779,1.3779,1.3705,1.3779,271200
1990-05-11,1.3779,1.3847,1.3705,1.3779,637600
1990-05-14,1.3779,1.3988,1.3705,1.3988,909600
1990-05-15,1.3988,1.4061,1.3920,1.4061,293600
1990-05-16,1.4061,1.4344,1.3988,1.4344,565600
1990-05-17,1.4344,1.4694,1.4344,1.4626,796800
1990-05-18,1.4626,1.4694,1.4485,1.4485,548800
1990-05-21,1.4553,1.4694,1.4553,1.4553,604000
1990-05-22,1.4553,1.4694,1.4485,1.4485,424800
1990-05-23,1.4485,1.4553,1.4344,1.4344,304800
1990-05-24,1.4344,1.4485,1.4344,1.4344,80800
1990-05-25,1.4344,1.4344,1.4203,1.4270,357600
1990-05-29,1.4270,1.4412,1.4129,1.4344,1158400
1990-05-30,1.4344,1.4344,1.3988,1.3988,584000
1990-05-31,1.3988,1.4061,1.3988,1.4061,265600
1990-06-01,1.4061,1.4203,1.3988,1.4129,360000
1990-06-04,1.4203,1.4344,1.4203,1.4270,216000
1990-06-05,1.4270,1.4485,1.4270,1.4485,329600
1990-06-06,1.4485,1.4485,1.4412,1.4485,937600
1990-06-07,1.4485,1.4485,1.4129,1.4203,962400
1990-06-08,1.4203,1.4344,1.4129,1.4270,1682400
1990-06-11,1.4424,1.4641,1.4355,1.4641,419200
1990-06-12,1.4641,1.4995,1.4566,1.4852,905600
1990-06-13,1.4852,1.4995,1.4852,1.4852,351200
1990-06-14,1.4852,1.4852,1.4641,1.4709,152800
1990-06-15,1.4709,1.4926,1.4566,1.4926,425600
1990-06-18,1.4926,1.4926,1.4783,1.4783,162400
1990-06-19,1.4783,1.5069,1.4783,1.4995,751200
1990-06-20,1.4995,1.5138,1.4995,1.5138,157600
1990-06-21,1.5138,1.5138,1.4995,1.5069,932000
1990-06-22,1.5069,1.5069,1.4641,1.4783,398400
1990-06-25,1.4783,1.4926,1.4641,1.4926,539200
1990-06-26,1.4926,1.4926,1.4783,1.4852,428000
1990-06-27,1.4783,1.4852,1.4783,1.4852,640800
1990-06-28,1.4852,1.4852,1.4783,1.4783,156800
1990-06-29,1.4852,1.4995,1.4783,1.4995,268000
1990-07-02,1.4926,1.5069,1.4926,1.4995,47200
1990-07-03,1.4926,1.5212,1.4926,1.4995,336800
1990-07-05,1.5069,1.5069,1.4995,1.4995,272000
1990-07-06,1.5069,1.5069,1.4926,1.5069,64800
1990-07-09,1.5212,1.5355,1.5212,1.5355,81600
1990-07-10,1.5423,1.5566,1.5280,1.5423,204800
1990-07-11,1.5423,1.5497,1.5423,1.5423,56000
1990-07-12,1.5566,1.5566,1.5497,1.5497,139200
1990-07-13,1.5497,1.5640,1.5497,1.5497,267200
1990-07-16,1.5497,1.5709,1.5423,1.5640,112000
1990-07-17,1.5640,1.5709,1.5566,1.5640,272000
1990-07-18,1.5566,1.5566,1.5497,1.5497,136800
1990-07-19,1.5355,1.5423,1.5138,1.5280,396000
1990-07-20,1.5069,1.5280,1.4995,1.5212,206400
1990-07-23,1.5138,1.5280,1.5138,1.5138,252800
1990-07-24,1.5138,1.5138,1.4852,1.4852,239200
1990-07-25,1.4926,1.4926,1.4852,1.4926,84800
1990-07-26,1.4783,1.4852,1.4783,1.4783,12800
1990-07-27,1.4783,1.4852,1.4783,1.4852,5600
1990-07-30,1.4709,1.4926,1.4709,1.4926,77600
1990-07-31,1.4852,1.4926,1.4852,1.4926,181600
1990-08-01,1.4852,1.4995,1.4852,1.4852,320800
1990-08-02,1.4709,1.4709,1.4566,1.4709,160000
1990-08-03,1.4641,1.4709,1.4424,1.4424,326400
1990-08-06,1.4138,1.4138,1.3424,1.3927,0
1990-08-07,1.3852,1.3852,1.3355,1.3355,120800
1990-08-08,1.3355,1.3498,1.3213,1.3355,346400
1990-08-09,1.3424,1.3424,1.3138,1.3213,258400
1990-08-10,1.3355,1.3498,1.3213,1.3355,256800
1990-08-13,1.3213,1.3355,1.3213,1.3355,15200
1990-08-14,1.3281,1.3498,1.3281,1.3424,64800
1990-08-15,1.3424,1.3927,1.3424,1.3927,264800
1990-08-16,1.3927,1.3927,1.3784,1.3784,74400
1990-08-17,1.3641,1.3641,1.3213,1.3213,300000
1990-08-20,1.3213,1.3424,1.3213,1.3281,52800
1990-08-21,1.3424,1.3498,1.3281,1.3281,48800
1990-08-22,1.3281,1.3424,1.3281,1.3281,26400
1990-08-23,1.3138,1.3138,1.2853,1.2995,116000
1990-08-24,1.2995,1.3138,1.2641,1.2995,295200
1990-08-27,1.3138,1.3138,1.2995,1.3070,41600
1990-08-28,1.3138,1.3641,1.3138,1.3641,55200
1990-08-29,1.3641,1.3709,1.3641,1.3709,29600
1990-08-30,1.3641,1.3709,1.3641,1.3709,145600
1990-08-31,1.3641,1.3709,1.3641,1.3709,3200
1990-09-04,1.3567,1.3567,1.3355,1.3424,53600
1990-09-05,1.3424,1.3498,1.3355,1.3355,19200
1990-09-06,1.3424,1.3424,1.3424,1.3424,188000
1990-09-07,1.3424,1.3567,1.3424,1.3498,184000
1990-09-10,1.3582,1.3582,1.3437,1.3512,51200
1990-09-11,1.3726,1.3871,1.3726,1.3871,60000
1990-09-12,1.3726,1.3726,1.3582,1.3582,12800
1990-09-13,1.3582,1.3582,1.3512,1.3512,19200
1990-09-14,1.3512,1.3657,1.3148,1.3223,151200
1990-09-17,1.3293,1.3293,1.3004,1.3079,275200
1990-09-18,1.3079,1.3437,1.3079,1.3437,446400
1990-09-19,1.3368,1.3437,1.3368,1.3437,16800
1990-09-20,1.3293,1.3293,1.3079,1.3079,20000
1990-09-21,1.2859,1.3004,1.2790,1.2859,256000
1990-09-24,1.2859,1.2859,1.2715,1.2715,165600
1990-09-25,1.3004,1.3004,1.2790,1.2859,80000
1990-09-26,1.2859,1.2859,1.2570,1.2570,266400
1990-09-27,1.2645,1.2645,1.2426,1.2426,48800
1990-09-28,1.2281,1.2501,1.2137,1.2501,14400
1990-10-01,1.2281,1.2570,1.2281,1.2501,732800
1990-10-02,1.2570,1.2570,1.2570,1.2570,266400
1990-10-03,1.2570,1.2570,1.2068,1.2068,300000
1990-10-04,1.1848,1.1923,1.1779,1.1848,331200
1990-10-05,1.1634,1.1923,1.1490,1.1848,395200
1990-10-08,1.1779,1.1848,1.1703,1.1779,568800
1990-10-09,1.1703,1.1779,1.1634,1.1779,670400
1990-10-10,1.1703,1.1779,1.1703,1.1779,146400
1990-10-11,1.1779,1.1779,1.1634,1.1703,296000
1990-10-12,1.1634,1.1703,1.0837,1.1414,1440800
