Date,Open,High,Low,Close,Volume
1981-12-31,2.6595,2.6943,2.6236,2.6943,413600
1982-01-04,2.6943,2.7078,2.6662,2.6943,315800
1982-01-05,2.6662,2.6797,2.6516,2.6516,367200
1982-01-06,2.6516,2.6662,2.6382,2.6662,270000
1982-01-07,2.6516,2.6662,2.6382,2.6662,161600
1982-01-08,2.7078,2.7785,2.6382,2.6382,151400
1982-01-11,2.6236,2.6516,2.5820,2.5820,272800
1982-01-12,2.5820,2.5955,2.5674,2.5955,232000
1982-01-13,2.5674,2.5955,2.5394,2.5674,189200
1982-01-14,2.5394,2.5674,2.5113,2.5113,283400
1982-01-15,2.5540,2.5820,2.5113,2.5540,196000
1982-01-18,2.5540,2.5674,2.5394,2.5674,229200
1982-01-19,2.5820,2.6101,2.5540,2.5955,190000
1982-01-20,2.5955,2.5955,2.5820,2.5955,164600
1982-01-21,2.5674,2.5820,2.5394,2.5674,174400
1982-01-22,2.5394,2.5674,2.4978,2.5113,439400
1982-01-25,2.4698,2.4978,2.4271,2.4698,382200
1982-01-26,2.4698,2.4978,2.4417,2.4552,424000
1982-01-27,2.4417,2.4552,2.4271,2.4552,219200
1982-01-28,2.5113,2.5955,2.4271,2.5955,277000
1982-01-29,2.5540,2.5955,2.5113,2.5259,215000
1982-02-01,2.4978,2.5259,2.4552,2.4552,190200
1982-02-02,2.4698,2.4833,2.4417,2.4552,128200
1982-02-03,2.4552,2.4698,2.4417,2.4698,104400
1982-02-04,2.4833,2.4978,2.4552,2.4698,135600
1982-02-05,2.4833,2.4978,2.4552,2.4698,148000
1982-02-08,2.4698,2.4833,2.4417,2.4417,176800
1982-02-09,2.4136,2.4271,2.3991,2.4136,254200
1982-02-10,2.4417,2.4833,2.3991,2.4552,213400
1982-02-11,2.4552,2.4698,2.4271,2.4698,266000
1982-02-12,2.4417,2.4698,2.4136,2.4271,279600
1982-02-16,2.4136,2.4271,2.3856,2.4271,229400
1982-02-17,2.4271,2.4417,2.3991,2.4136,147000
1982-02-18,2.4271,2.4271,2.4136,2.4271,121800
1982-02-19,2.4271,2.4417,2.4136,2.4271,214000
1982-02-22,2.4271,2.4552,2.3856,2.3856,196800
1982-02-23,2.3856,2.3991,2.3710,2.3991,172000
1982-02-24,2.4271,2.4698,2.3856,2.4698,255200
1982-02-25,2.4698,2.4833,2.4552,2.4552,262000
1982-02-26,2.4417,2.4552,2.4271,2.4417,145400
1982-03-01,2.4271,2.4417,2.4136,2.4417,152600
1982-03-02,2.4552,2.4833,2.4271,2.4552,264600
1982-03-03,2.3991,2.4271,2.3575,2.3856,420400
